ngramme	frequence
ent	180
nt 	114
nt
	99
es 	97
ier	66
ren	64
rei	54
 co	51
us 	51
nz 	51
es
	50
tre	50
 de	50
ien	46
ele	46
est	45
men	44
ont	40
te 	40
 re	40
ere	39
eis	39
les	38
ant	38
eit	37
is
	37
res	36
it 	35
eme	35
er
	34
anz	34
 es	34
ain	33
rie	32
 pr	32
eus	31
des	30
esc	30
nte	30
ees	30
ne
	29
re 	29
 se	29
t p	29
ire	29
enz	28
ez
	28
che	28
con	27
s c	27
ers	27
s p	27
ine	26
ran	26
is 	26
 pa	25
oz 	25
chi	25
sse	25
pre	25
 en	24
ee
	24
 so	23

qu	23
 to	23
nz
	23
tie	23
s a	23
tot	23
vei	23

es	23
sen	22
ot 	22
iss	22
int	22
rai	22
tor	22
 ve	22
ns 	22
us
	22
s d	21

to	21
z c	21
rs 	21
sei	21

re	21
eie	21
nc 	21
ort	21
 gr	21
gne	21
ign	21
e a	20

tr	20
ais	20
mai	20
t e	20
anc	20
aus	20
z d	19
ore	19
ne 	19
ço 	19
iz 	19
s
e	19
 vi	19
 jo	19
or
	19
dre	18
e p	18

se	18
ten	18
it
	18
 ma	18
 tr	18
ree	18
ver	18
ons	18
ile	18
ert	18
ir
	18
par	17
mon	17
s t	17
toz	17
 me	17
 mo	17
e e	17
end	17
t
t	17
ave	17
eiz	17

de	17
ise	17
ait	17
t s	17
nes	16
ntr	16
hie	16
t m	16
re
	16
rem	16
ist	16
err	16
or 	16
gra	16
 po	16
rte	16
onc	16
ste	16
com	16
ns
	16
jor	16
s e	16
cri	15
e s	15
t a	15

me	15
mer	15
ene	15
nen	15
le 	15
nce	15
ein	15
str	15
ez 	15
ite	15
sto	15
s
s	15
san	15

co	15
ill	15
lan	15
 or	14
ron	14
vis	14
ès 	14
s s	14
t c	14

so	14
s r	14
t f	14
tra	14

ma	14
al
	14
s
a	14
s v	14
ser	14
que	14
s
d	14
ven	14
ndr	14
st 	14
 ar	14
the	14
rs
	14
uz
	14
lee	14
gre	14
t r	13
 av	13
rz 	13
iën	13
 di	13
er 	13
el 	13
pro	13
t t	13
e
e	13
cor	13
s m	13
fai	13
e r	13
uar	13
e c	13
z p	13
ieu	13
orn	13
esp	13
rec	13
mei	13
hes	13
ori	12
 ap	12
qua	12
den	12
nti	12
mes	12

sa	12
rer	12

en	12
tes	12
ole	12
pri	12
ens	12
aut	12
s n	12
art	12

ic	12
cel	12

gr	12
por	12
 pe	12
s
c	12
len	12
ins	12
z
e	12
iz
	12
etr	11
ces	11
dis	11
 ne	11
e d	11
mor	11

pe	11
t
m	11

ço	11
z e	11
ote	11
ome	11
t
s	11
e
p	11
tro	11

ch	11
t d	11
iez	11
cov	11
il 	11
ie
	11
e
c	11
lai	11
ès
	11
rne	11
 pl	11
eni	11
ra 	11
 ch	11
eil	11

ha	11
z a	11
s
p	11
pan	11
me 	10
one	10
dev	10
rië	10
 ce	10
inc	10
ce 	10
pei	10

di	10
 sa	10
rre	10
lem	10
ame	10
 no	10

pr	10
isa	10
z t	10
ove	10
ale	10
ënt	10

po	10
cha	10
r
d	10

jo	10
enc	10
t v	10
 vo	10
vie	10
eir	10
s
t	10
uit	10
per	10
 li	10
arm	10
ueu	10
s f	10
vai	10
omp	10
ie 	10
iee	10
 va	10
rir	10
 fe	10
nth	10
t g	10
rt 	10
ee 	10
orz	10
uz 	10
ion	9
evi	9
eri	9
z
s	9
rez	9
cie	9
s
m	9
e
t	9
 do	9
ous	9
t
p	9
e m	9
nei	9
ach	9
ris	9
ses	9
sis	9
 fi	9
z
a	9
uis	9
en 	9
sor	9
rti	9
ice	9
gen	9
hau	9
ut 	9
 ri	9

vo	9
ian	9
os 	9
ard	9

du	9
 ho	9
don	9
tei	9
nch	9
esi	9
sil	9
roi	9
for	9
fer	9
scu	9
scr	8
on 	8
ama	8
son	8
e
o	8
nde	8
cer	8
sti	8
sle	8
vin	8
dur	8
t
d	8

el	8
ter	8
t
e	8
sol	8
aie	8
nci	8
bra	8
on
	8
inz	8
se 	8
s l	8
 ço	8
ass	8
e
d	8
lie	8
oud	8

av	8
ir 	8
ai 	8

or	8
 ca	8
ret	8
air	8
 el	8

nu	8
dès	8
ete	8
ata	8
rme	8
rta	8
pai	8
le
	8
pla	8
eig	8
sie	8
lor	8
nor	8
ail	8
ors	8
s
r	8
eva	8
ast	8
ei 	8

mo	7
s o	7
ide	7
t
c	7

ce	7
erc	7
sme	7
ost	7
r s	7
z
t	7
isl	7
rov	7
ovi	7
 pu	7
ple	7
dem	7
 te	7
rin	7
eve	7
ssa	7
e i	7
e
r	7
gua	7
tee	7

ar	7
t
i	7

si	7
 ge	7

mi	7
z v	7

on	7
t
q	7
jo 	7
se
	7
udr	7
qui	7
t j	7
 ta	7
tai	7
e
a	7
e v	7
are	7
ria	7
 ra	7
apr	7
prè	7
rès	7

do	7
z g	7
rt
	7
t
f	7
z l	7
nis	7
ssi	7
ede	7
eco	7
bel	7
 at	7
oie	7
sch	7
euz	7
puc	7
uce	7
bat	7
mpa	7
aig	7

fi	7
fie	7
hev	7
vau	7
reu	7
r
a	7
sco	7
s g	7
 br	7

la	7
r
m	7
 cr	7
def	7
 mi	7
reï	7
 am	6
azo	6
ond	6
z
m	6
tri	6
age	6
cre	6
ure	6
r
s	6
met	6
dou	6
sac	6
hei	6
ena	6
cin	6
 si	6
nom	6

ai	6
pal	6
ves	6
 is	6
eso	6

ri	6
eng	6
i t	6
z
d	6
cio	6
te
	6
bre	6
e o	6
esm	6
rri	6
s
o	6
pie	6
lei	6
o v	6

fa	6
de 	6
vou	6
sem	6
emp	6
mpr	6
emi	6
ici	6
vre	6
env	6
ol 	6
sof	6
i p	6
mar	6
s
q	6
e
i	6
nta	6
spe	6
eci	6

cr	6
her	6
ero	6
z
r	6
vol	6
apa	6
cto	6
sai	6
tal	6
sau	6
epa	6
hié	6
ié
	6
von	6
e h	6
rra	6
e
s	6

er	6
ric	6
ich	6
he 	6
e b	6
 be	6
isi	6
hon	6
ono	6
nel	6
har	6
rdi	6
ge
	6
mil	6
uel	6
 du	6
ïne	6
e f	6
oig	6
z r	6
s
h	6
 ac	6
fre	6
cos	6
cuz	6
hil	6
di 	6
lon	6
mi 	6
aba	6
nui	6
zon	5
ape	5
pel	5
cle	5
t
j	5
r m	5
 ci	5
t n	5
ïss	5
 le	5

ci	5
fir	5
cez	5
tez	5
i e	5
 fa	5
mbr	5
ara	5

pl	5
 au	5
omb	5
ler	5
pot	5
s
g	5
orr	5
tin	5
 pi	5
nse	5
e
f	5
tir	5
r a	5
aci	5
r
e	5
r c	5
r
t	5
avr	5
die	5
 ti	5
dir	5
z
o	5
ber	5
poi	5
t
v	5
nie	5
era	5
e
m	5
ece	5
t b	5
erv	5
rve	5
om 	5
lue	5
tem	5
tau	5
med	5
dan	5
iti	5
 as	5
nem	5
hen	5
s
i	5
hom	5
r
v	5
cei	5

ad	5
t
n	5

ei	5
ect	5
uer	5
l d	5
dam	5
aid	5
pas	5
vas	5
ovr	5
ié 	5
é p	5
due	5
i r	5

pa	5
c p	5
z s	5
 gu	5
s b	5
z
p	5
oss	5
efe	5
fen	5
phi	5
ois	5
oli	5
esf	5
ded	5
ela	5
ofr	5
fri	5
eïn	5
 ro	4
aum	4
ume	4
maz	4

oc	4
arz	4
abi	4
ism	4
sos	4
ius	4
esa	4
ar 	4
sag	4
en
	4

is	4
ui 	4
 fl	4
flu	4
emo	4
o s	4

te	4
nqu	4

ti	4
z n	4
cip	4
ipa	4
rui	4
sal	4
emb	4
ce
	4
nge	4
see	4
seü	4

ge	4
ive	4
ité	4
ose	4
tis	4
mas	4
tui	4
l c	4
in
	4
ci 	4
uev	4
dra	4
nva	4
ra
	4
t
a	4
mie	4
ate	4
uin	4
s i	4
ros	4
lle	4
et 	4
auc	4
sin	4
fra	4
as 	4
tol	4
s j	4
rda	4
der	4
det	4
 eu	4
i v	4
t
o	4
edo	4
dot	4
sir	4
iri	4
och	4

am	4

fe	4
 ha	4
del	4
lez	4
e l	4
arb	4
erb	4
ato	4
vri	4
joi	4
ado	4
val	4
lla	4
z
i	4
c d	4
plo	4
roz	4
e g	4
 da	4
sel	4

bo	4
bon	4
 he	4
nee	4
spa	4
 er	4
eu 	4
 la	4
sso	4

at	4
non	4
oi 	4
st
	4
oïe	4
onf	4
hai	4
i m	4

ir	4
n
a	4
i a	4
ema	4
mis	4
s h	4
eau	4
asa	4
 fo	4
z
g	4
 fr	4
 cu	4
uch	4
 ph	4
sta	4
eïz	4
ïz
	4
onr	4
nre	4
tas	4
iet	4
pee	4
sfo	4
rz
	4

ab	4
rip	3
avi	3
vir	3
iro	3
let	3
n d	3
 dr	3
z o	3
rio	3
o c	3
 ab	3

ju	3
nez	3
ges	3
rch	3
esu	3
sur	3
soz	3
iel	3
pui	3
i f	3

pu	3
e t	3
