ngramme	frequence
ant	847
nt 	789
ent	700
nt
	696
ier	504
es 	455
oie	448
man	442
 de	430
ain	424
re
	414
est	412
tre	407
re 	396
ez
	388
ont	384
 co	371
anc	369
roi	368
res	367
ele	352
and	337
es
	334
oit	325
ien	322
ez 	322
er
	319
lan	311
con	308

de	307

co	304
voi	296
it 	296

re	290
nz 	285
 an	280
 re	279
sse	276
 es	276
nte	273
ema	273
ire	270
le 	268
tot	267
des	252
 to	248
cha	247
te
	247
t a	245
che	245
ise	245
se
	241
it
	241
ie
	236
te 	234
 pr	233

me	231
 vo	230

to	230
cel	230
nce	229
rie	225
ot 	225
iez	224
ns 	221
rai	221
el 	220
esc	219
esp	215
ill	215
e
c	214
ne 	214
er 	214
ran	214
e a	212
st 	209
 se	209
e
a	208
ne
	207
les	206
ene	206
e
p	202
ndr	201
anz	197
oz 	195
ert	192

vo	191
ie 	191
 me	190
st
	190
 fe	188
 tr	186
 sa	185
 ch	185
ven	185
mes	184
le
	183
eis	181

an	179
ten	177
uit	177
ort	176
ign	175
rs 	175
e
d	173
tes	172
pri	172
e p	170
or 	170

ch	169
par	169
ren	168
 po	167
don	167
vol	166
tor	166
 ma	165
t
a	164
cor	164

es	163
s a	162
mai	162
chi	162
us 	161
int	161
ste	160
t t	159
pre	157

se	157
 ve	157
ers	156
 pa	156
t p	156
e
t	155
ser	154
e c	154
t d	154
ist	153
oir	152
tie	151
e d	151
tra	151
inz	150

do	150
ïne	148

pr	148

la	148
elo	148
reï	147

po	147
e
v	146
e t	146
 do	146
ois	146
ee
	146
san	145
ntr	145
nde	145
ere	145
e m	144
ote	144
t
c	143
rre	142
e
m	142
t c	140
eïn	140
fei	139
por	139
e
r	138
eve	138
ite	138
ons	137
cui	137
eir	136
dem	136
rt 	136
ans	135
lle	135
que	135
ris	135
rem	134
ver	134
t
p	133

ve	133
t
d	133

sa	132

pa	131
e v	131
enu	131
ir 	130
ex 	129
anb	129
dre	129
str	129
s p	128
iso	128
e
e	128
z a	128
mer	128
eus	127

ma	126
tan	126
hie	126
ai 	125
nes	122
aut	121
err	121
soi	121
oiz	121
en 	120
ass	120
se 	119
ost	119
e e	118
ein	118
com	117
mor	117
z p	117
z c	117
ial	116
ret	116
on 	116
nz
	115
 av	115
ess	115
t m	115
ove	115
oma	114
 te	114
e s	114
deu	114
rt
	113
ore	113

fe	113
t v	113
sen	112

en	112
is 	112
t
m	112
t s	112
iss	111
z d	111
 pl	111
s c	110
 en	110
t e	110
dro	110
tro	110
pon	109
eno	109

tr	109
ame	108
nne	107
e
s	107
iz 	107
ins	106
gne	105
t
v	105
t
t	105
tui	105
