ngramme	frequence
ent	97
nt
	71
nt 	68
ere	66
rge	54
ien	51
re
	48
org	46
geo	45
eor	45
ge 	42
roi	42
es 	40
ant	40

ge	37
ren	36
res	36
re 	35
 co	35
ire	31
our	31
lle	31
cro	31
per	31
men	30
est	30

cr	30
ier	29
ill	28
e c	28
emp	27
 de	26
oie	26
rer	26
le 	25
con	25
cre	25
ée
	24
 cr	24
e
c	23
dem	23
ns 	23
mpe	23
rie	22
es
	22
oir	21
ain	21
er
	20
ort	20
ver	20
ser	20
ens	20
cie	19
cri	19
ns
	19

en	19
 pr	19
 en	19
voi	19
eme	19
man	19
ez 	19
int	18
 ma	18
ir
	18

de	18
ert	18
oit	18
nde	18
and	18
tie	18

em	18
 pa	17
ist	17
pri	17
it
	17
le
	17
e a	17
e
e	17
par	17
ois	17
ce
	17
mes	17
ont	17
ris	16
esp	16

re	16
is
	16
oul	16
e
g	16
s c	16
com	15
nte	15
te 	15
e m	15
ie
	15
des	15
t p	15

co	15
tre	15
t
c	15
 se	15
 ch	15
sse	15
e
a	15
aul	15
die	15
e d	15
omm	14
 ge	14
 re	14

pr	14
les	14
ell	14
e
p	14
pre	14
enf	14
ult	14
t c	14
esc	14

me	14
app	14
sti	14
nce	13
e
d	13
end	13
nfa	13
fan	13
ans	13
que	13
 me	13
rte	13
 vo	13
t
p	13
ieu	13
ras	13
mar	12
on
	12
rti	12
er 	12
s
e	12
t d	12
ema	12
se 	12
chi	12
eur	12

ve	12
ron	12
ons	12
en
	12
tra	12
por	12
cha	12
enc	11
ge
	11
e
v	11
e p	11
st
	11
 po	11
pou	11
age	11
mou	11
te
	11
onc	11
iss	11
cel	11

se	11
ine	11
rai	11

po	11
gen	11
onn	11
s
c	11
us 	11
t
a	11
 di	11
eil	10
art	10
hes	10
esu	10
s a	10
rac	10
scr	10
ste	10
lai	10
e
m	10
mai	10
tes	10
s d	10
 do	10
it 	10
emo	10

pa	10
t
v	10

vi	10

es	10
pen	10
ail	10
fai	10
ise	10
hie	10
ais	10
s
a	10
ess	10
ard	10
anc	10
hau	10
tou	10
 em	10
eux	10
tir	9
t
e	9
jhe	9
t
d	9
ign	9
ura	9
ira	9
r
p	9
st 	9
ez
	9
e
r	9
air	9
t f	9
ntr	9
ndr	9
e e	9
t m	9
tem	9

pe	9
e v	9
t
g	9
e
f	9
ran	9
ene	9
s p	9

ce	9
iez	9
fer	9
 ap	9
dac	9
aci	9
 tr	9
ges	9
en 	9
e r	9
as
	9
ang	9
e
s	8
il 	8
ion	8

ma	8
suc	8
ucr	8
era	8
is 	8
uoi	8
 es	8
rtu	8
se
	8
 fi	8
onv	8
erp	8
rpe	8
ulo	8
dre	8
lt 	8
ten	8
ne
	8
aie	8
gar	8
ale	8
ole	8

tr	8
ous	8
err	8
ur
	8
lon	8
 fo	8

fa	8
ace	8
ond	8
de
	8
cou	8
el
	8
e
t	8
han	8

an	8
nge	8
erg	8
as 	8
mma	8
mme	7
ce 	7
sto	7
uei	7
der	7
ass	7
ra 	7
nne	7
mis	7
ouo	7

jo	7
spo	7
 ve	7
ure	7
e s	7
vou	7
ore	7
pai	7
ssa	7
ur 	7
el 	7
 ai	7
ir 	7
 fa	7

vo	7
mer	7
da 	7

ha	7
don	7
dou	7
ray	7
ay 	7
 am	7
 ha	7
ies	7
s s	7
e b	7

fe	7
 fe	7
ne 	7
s
m	7
llu	7
lui	7
ean	7
sou	7
ulx	7
e f	7
on 	7
