ngramme	frequence
ent	87
ain	69
ns 	69
 de	68
re
	67
es 	59
nt 	57
deu	50
men	47
ge 	43
ien	43
nt
	43
est	42
ren	42
sai	41
ens	40
es
	40
us 	39
eu 	39
rge	37
ire	37
org	36
ins	35

de	35
jor	34
te
	33
e
d	33
cie	31

sa	29
rie	28
 cr	28
s d	27

to	27
 es	26
ere	26
rai	26
it 	25
le
	25
 sa	25
res	25
t d	25
 jo	25
des	25
re 	25
ndr	25
end	25
s m	24
per	24
tot	24
ine	24
dre	24
e
t	24
ot 	24
ble	23
e
s	23
les	23
e
p	23
dac	23
aci	23
st 	23
eme	23
s s	22
vei	22
 to	22
os 	21
ne
	21
ten	21
 en	20
s p	20
mor	20
eit	20
pri	20
eus	20
 vi	19
 se	19
nte	19
s c	19
tre	19
ult	19

da	19
s f	19
 te	19
er 	19
rme	19
 do	19
rei	19
is 	19
ste	18

jo	18
int	18
cre	18
 fe	18
tes	18
e
a	18
e d	18
er
	18
e a	18
e
v	17
 ma	17
age	17
tos	17
che	17
 mu	17
mul	17
lt 	17
t p	17
ir
	17
eve	17
 pe	17

co	17
ant	17
 fo	17
aus	16
 mo	16
ie
	16
s j	16
s t	16
ote	16
ris	16
e
m	16
orm	16
ir 	16
mai	16
ne 	16
e
c	16
 fa	16
eir	16
 re	16
abl	16
le 	16
ign	15
rs 	15
cri	15
ist	15
and	15
fer	15
t s	15
ill	15
s a	15
 ve	14
ors	14

pr	14
str	14
s
d	14
t m	14
for	14
par	14
ais	14
anc	14
ure	14
ce
	14
e
j	13
t t	13
e f	13
iau	13
e
r	13
 pa	13
sse	13
t c	13
és
	13
 pr	13
nce	13
vre	13
el 	12
tra	12
e v	12
ise	12
s e	12
ier	12
con	12
enc	12
t a	12
ave	12
fai	12
esp	12
ssa	12
iss	12
ore	12
ace	12
e p	12
ven	11
e e	11
ge
	11
 ch	11
ale	11
it
	11
se
	11
ole	11
lai	11
ail	11
por	11
ort	11
 co	11

pa	11
t f	11
s
s	11
i d	11
esm	11
s v	11
ue
	11
te 	10
art	10

en	10
ei 	10
uis	10
e s	10
ost	10
man	10
ron	10
ei
	10
pui	10
ai 	10
cor	10
tor	10
lle	10
e c	10
apo	10
or 	10
ges	10
 so	10
que	10
ce 	10
ès 	10
gne	10

fe	10
s r	10
ont	10
ivr	10
in 	10
uit	10
t v	9
ti 	9
e m	9
eri	9
e
e	9

vo	9
esu	9
 vo	9
vos	9
sei	9
 me	9
en 	9
era	9

es	9
t
t	9
ras	9
cha	9
 bo	9
ele	9
 ap	9
dot	9
com	9
ues	9
e
f	9
 si	9
me 	9
oil	9
 mi	8
enu	8

ve	8

si	8
one	8
rer	8
lei	8
rui	8
jes	8
té 	8

vi	8
 pl	8
pla	8
 pu	8
rev	8
rir	8
esc	8
chi	8
hie	8

te	8
cui	8
 gr	8
s
p	8
se 	8
t e	8
ile	8
 av	8
eil	8
iés	8
t
c	8
vir	8
ter	8
r
d	8
san	8
aut	8
 ra	8
tei	8
 po	8
i c	8
nde	8
de
	8
iel	8
rte	8
fac	8
as
	8
ita	7
sem	7
e
o	7
enp	7
ns
	7
sti	7
viv	7
il 	7
uir	7
t g	7
err	7
 le	7
ité	7
s i	7
air	7
ard	7
e t	7
oie	7
nté	7
té
	7
e b	7
rt 	7
ut 	7
dev	7
éen	7
yma	7
mag	7

ai	7
rde	7
ass	7
ie 	7

ap	7
eig	7
nor	7

re	7
tab	7
t
d	7
ein	7
rac	7
pol	7
oin	7
ess	7
sme	7
ser	7
sen	7
ve
	7
lin	7
 ar	7
ois	7
pit	6
 ge	6
i m	6
ili	6
is
	6
mar	6
e
b	6
ler	6
npe	6
u c	6
tie	6
ive	6
t
s	6

je	6
suc	6
ucr	6

ma	6

ci	6
tai	6
fel	6
ori	6

tr	6
enb	6

ar	6
ner	6
voi	6
ves	6
s
t	6
 tr	6
sor	6
nch	6
ert	6
ver	6
rit	6
r
v	6

mu	6
s
a	6
rée	6
lor	6
r d	6
don	6
och	6
u p	6
sa 	6
s
j	6
s l	6
ura	6
 di	6
due	6
aie	6
s g	6
evi	6

se	6
sie	6
rti	6
tir	6
e r	6
ria	6
ang	6
pei	6
dem	6
ema	6

po	6
oli	6
spe	6

an	6
ée
	6
joi	6
dis	6
roi	6
nse	5
emb	5
mbl	5
ple	5
s o	5
 da	5
 gu	5
tru	5
gue	5
uer	5

ba	5
eli	5
els	5
ls 	5
 ir	5
eni	5
nir	5
r f	5

me	5
nbr	5
bre	5
é
c	5
ena	5
 cu	5
ief	5
gri	5
s
c	5

ch	5
 fr	5
pre	5
sta	5
leu	5
 ci	5
lem	5
mer	5
erv	5
aor	5
ose	5
n d	5
 dé	5
déa	5
qua	5
i a	5
orr	5

fa	5
rès	5
 au	5
as 	5
reg	5

pu	5
uet	5
 ai	5
ies	5
oi
	5
e j	5
loi	5
del	5
liv	5
via	5
etr	5
dur	5
mes	5
ome	5

mo	5
ia 	5
t
j	5
us
	5
ces	5
iev	5
ses	5
 qu	5
pai	5
ui 	5
i
a	5

do	5
r v	5
ndi	5
ées	5
tui	5
ira	5
vie	5
t
a	5
ni 	5
 os	5
oro	5
feu	5
aig	5
nue	5
 al	5
doc	5
oce	5
lit	4
hau	4
gna	4
 pi	4
bon	4
ros	4
val	4
s
l	4
l d	4
e g	4
rre	4
e l	4
é m	4
vin	4
ind	4
gre	4
sco	4
i t	4
 sé	4
ndu	4
erc	4
eie	4
 gl	4
s
e	4
lan	4
onp	4
han	4
là 	4
eré	4
éor	4
la 	4
gen	4
sée	4
ona	4
he
	4

ri	4
 ym	4
éab	4

av	4
veu	4
gle	4
és 	4
uan	4
nqu	4
s b	4
ri 	4
 am	4
pas	4
r p	4
rec	4
cié	4
oci	4

di	4
r
a	4
aur	4
egn	4

va	4
 du	4
erd	4
rdu	4
 or	4
rra	4
 ti	4

al	4
vis	4
 ag	4
her	4
s
f	4
 ri	4
a d	4
l t	4

