Texte_A	Texte_B	Cosinus	Jaccard
JugAmD	LancJ	0.7449	0.4148
JugAmD	AigarB	0.6460	0.4082
JugAmD	ChaceP	0.7288	0.4974
JugAmD	DancusM	0.6326	0.4652
JugAmD	OmbreB2	0.7859	0.5426
JugAmD	UnicornecW	0.6901	0.4417
JugAmD	PercevalKu	0.7359	0.4128
JugAmD	AlexisP13	0.7528	0.4318
JugAmD	ErecF	0.7522	0.4189
JugAmD	BenTroieC_4partial	0.7825	0.4449
JugAmD	MeraugisF	0.8007	0.4680
JugAmD	JAvesnesFilleB	0.6897	0.3598
JugAmD	Yvain	0.7872	0.4079
JugAmD	ThebesC	0.7767	0.3528
JugAmD	AlexisPRI	0.7271	0.4553
JugAmD	AlexisPQ	0.7010	0.4536
JugAmD	CleomHas	0.7727	0.3445
JugAmD	SGeorgDeG	0.6450	0.4591
JugAmD	AlexisOctP	0.7232	0.4829
JugAmD	BenTroieC_1partial	0.7714	0.3744
JugAmD	FillePonth1B1	0.7125	0.3911
JugAmD	AlexisP11	0.7152	0.4596
JugAmD	SGeorgVosL	0.6731	0.4262
JugAmD	Cliges	0.7711	0.4243
LancJ	AigarB	0.6527	0.4318
LancJ	ChaceP	0.7429	0.3984
LancJ	DancusM	0.6949	0.4655
LancJ	OmbreB2	0.8106	0.4981
LancJ	UnicornecW	0.6926	0.3413
LancJ	PercevalKu	0.9578	0.7238
LancJ	AlexisP13	0.7694	0.4943
LancJ	ErecF	0.9411	0.6844
LancJ	BenTroieC_4partial	0.7861	0.4676
LancJ	MeraugisF	0.8526	0.6185
LancJ	JAvesnesFilleB	0.7102	0.4999
LancJ	Yvain	0.8202	0.6168
LancJ	ThebesC	0.7908	0.6001
LancJ	AlexisPRI	0.7374	0.5196
LancJ	AlexisPQ	0.7120	0.4960
LancJ	CleomHas	0.7631	0.5619
LancJ	SGeorgDeG	0.7003	0.3743
LancJ	AlexisOctP	0.7593	0.5142
LancJ	BenTroieC_1partial	0.7962	0.6007
LancJ	FillePonth1B1	0.7047	0.5074
LancJ	AlexisP11	0.7390	0.4366
LancJ	SGeorgVosL	0.6933	0.4107
LancJ	Cliges	0.9502	0.7188
AigarB	ChaceP	0.6265	0.3913
AigarB	DancusM	0.6025	0.4348
AigarB	OmbreB2	0.6036	0.4280
AigarB	UnicornecW	0.6528	0.4021
AigarB	PercevalKu	0.6403	0.4331
AigarB	AlexisP13	0.6905	0.4481
AigarB	ErecF	0.6547	0.4419
AigarB	BenTroieC_4partial	0.7113	0.4317
AigarB	MeraugisF	0.6592	0.4444
AigarB	JAvesnesFilleB	0.6311	0.3679
AigarB	Yvain	0.6527	0.4167
AigarB	ThebesC	0.7300	0.3946
AigarB	AlexisPRI	0.6979	0.4510
AigarB	AlexisPQ	0.5854	0.4168
AigarB	CleomHas	0.6380	0.3740
AigarB	SGeorgDeG	0.5815	0.3752
AigarB	AlexisOctP	0.6426	0.4381
AigarB	BenTroieC_1partial	0.7110	0.4141
AigarB	FillePonth1B1	0.6752	0.3899
AigarB	AlexisP11	0.6818	0.4635
AigarB	SGeorgVosL	0.6607	0.4278
AigarB	Cliges	0.6845	0.4456
ChaceP	DancusM	0.6863	0.4638
ChaceP	OmbreB2	0.7585	0.5141
ChaceP	UnicornecW	0.7014	0.4324
ChaceP	PercevalKu	0.7486	0.3917
ChaceP	AlexisP13	0.7499	0.4595
ChaceP	ErecF	0.7530	0.4043
ChaceP	BenTroieC_4partial	0.7058	0.4304
ChaceP	MeraugisF	0.7653	0.4506
ChaceP	JAvesnesFilleB	0.6649	0.3719
ChaceP	Yvain	0.7721	0.4015
ChaceP	ThebesC	0.7102	0.3507
ChaceP	AlexisPRI	0.7079	0.4739
ChaceP	AlexisPQ	0.6951	0.4781
ChaceP	CleomHas	0.7447	0.3635
ChaceP	SGeorgDeG	0.6558	0.4508
ChaceP	AlexisOctP	0.6864	0.4859
ChaceP	BenTroieC_1partial	0.7094	0.3709
ChaceP	FillePonth1B1	0.7021	0.3987
ChaceP	AlexisP11	0.6594	0.4502
ChaceP	SGeorgVosL	0.6590	0.4637
ChaceP	Cliges	0.7393	0.4075
DancusM	OmbreB2	0.6551	0.4879
DancusM	UnicornecW	0.6275	0.4089
DancusM	PercevalKu	0.7118	0.4657
DancusM	AlexisP13	0.6786	0.4813
DancusM	ErecF	0.7101	0.4677
DancusM	BenTroieC_4partial	0.6375	0.4627
DancusM	MeraugisF	0.6642	0.4852
DancusM	JAvesnesFilleB	0.6223	0.4302
DancusM	Yvain	0.6953	0.4629
DancusM	ThebesC	0.6494	0.4165
DancusM	AlexisPRI	0.6681	0.5004
DancusM	AlexisPQ	0.6233	0.4813
DancusM	CleomHas	0.6347	0.4148
DancusM	SGeorgDeG	0.5690	0.4353
DancusM	AlexisOctP	0.6162	0.4952
DancusM	BenTroieC_1partial	0.6389	0.4332
DancusM	FillePonth1B1	0.6545	0.4239
DancusM	AlexisP11	0.6204	0.4739
DancusM	SGeorgVosL	0.5952	0.4555
DancusM	Cliges	0.6937	0.4770
OmbreB2	UnicornecW	0.7089	0.4403
OmbreB2	PercevalKu	0.8136	0.4965
OmbreB2	AlexisP13	0.7336	0.4967
OmbreB2	ErecF	0.8141	0.4996
OmbreB2	BenTroieC_4partial	0.7407	0.4895
OmbreB2	MeraugisF	0.8297	0.5572
OmbreB2	JAvesnesFilleB	0.7023	0.4215
OmbreB2	Yvain	0.8191	0.4915
OmbreB2	ThebesC	0.7477	0.4337
OmbreB2	AlexisPRI	0.7383	0.5211
OmbreB2	AlexisPQ	0.7503	0.5369
OmbreB2	CleomHas	0.8032	0.4326
OmbreB2	SGeorgDeG	0.6836	0.4587
OmbreB2	AlexisOctP	0.7606	0.5543
OmbreB2	BenTroieC_1partial	0.7715	0.4571
OmbreB2	FillePonth1B1	0.7285	0.4782
OmbreB2	AlexisP11	0.7108	0.4827
OmbreB2	SGeorgVosL	0.6933	0.4719
OmbreB2	Cliges	0.8119	0.5146
UnicornecW	PercevalKu	0.6794	0.3337
UnicornecW	AlexisP13	0.7416	0.4302
UnicornecW	ErecF	0.6935	0.3398
UnicornecW	BenTroieC_4partial	0.7069	0.3834
UnicornecW	MeraugisF	0.7176	0.3822
UnicornecW	JAvesnesFilleB	0.6704	0.3070
UnicornecW	Yvain	0.7654	0.3494
UnicornecW	ThebesC	0.6982	0.2942
UnicornecW	AlexisPRI	0.7790	0.4271
UnicornecW	AlexisPQ	0.6881	0.3973
UnicornecW	CleomHas	0.7317	0.2952
UnicornecW	SGeorgDeG	0.6489	0.4212
UnicornecW	AlexisOctP	0.6651	0.4044
UnicornecW	BenTroieC_1partial	0.6978	0.3177
UnicornecW	FillePonth1B1	0.7396	0.3534
UnicornecW	AlexisP11	0.6740	0.4139
UnicornecW	SGeorgVosL	0.6572	0.4005
UnicornecW	Cliges	0.7028	0.3481
PercevalKu	AlexisP13	0.7634	0.5052
