Ngramme	Frequence
es 	196
nt 	186
ent	146
os 	138
 de	133
s e	128
 lo	116
 e 	115
ns 	106

e 	105
de 	105
 es	103
 la	98
s
e	95
on 	92
ant	90
 co	89
as
	89
is 	79
ans	79
ers	78
 no	77
s d	73
re 	72
 ma	70
e l	70
 ca	69
que	66
el 	66
non	65
 qu	64
s l	63
er 	63
 so	63
 pa	62
 re	61
e e	61
rs 	61
 ve	60
as 	60
rs
	60
 en	59
lo 	59
en 	58
 se	57
e a	56
 pe	55
t l	55
s a	54
per	53
e d	53
ran	53
tre	51
ls 	51
s c	51
e s	51
s s	50
us 	48
ar
	48
con	47
rei	47
ver	46
e c	45
lan	44
anc	44
eis	44
 sa	44
s
k	44
 a 	44
e m	44
des	43
 li	43
t e	42
s n	42
s p	42
e p	42
li 	42
ais	41
ue 	41
e t	40
 el	40
e n	40
or 	40
ire	40
le 	40
los	39
 to	39
nte	39
 si	38
ui 	38
es
	38
est	37
res	36
els	35
s f	35
air	34
it 	33
la 	33
il 	33
ns
	33
ons	33
 fo	33
 ta	33

ke	33
aus	33
s v	32
par	32
tan	32
ai 	32
s m	32
is
	32
ne 	32
las	32
ren	31
t s	31
ras	31
mai	30
era	30
 pr	30
ke 	30
mau	30
aur	30
 le	30
 mo	30
os
	30
 gr	29
rai	29
s t	29
us
	29
lor	29
 bo	28
rt 	28
 po	28
esc	28
te
	28
r e	27
sen	27
al 	27
et 	27
tos	27
 da	27
lai	27
e f	27
mes	27
sse	27
erm	27
 do	26
nes	26
s b	26
ber	26
ill	26
man	26
ei 	25
gue	25
 be	25
t a	25
 ni	25
ni 	25
rin	25
les	25
se 	25
n l	24
eil	24
enc	24
i p	24
tra	24
nc 	24
ont	24
nce	23
ar 	23
i e	23
ten	23
e b	23
i a	23
 al	23
uri	23
 fe	23
ars	23
ven	22
sos	22
 vi	22
ab 	22
n e	22
s q	22
t d	22
bla	22
ail	22
ors	22
len	22
re
	22
 an	21
t v	21
gra	21
n c	21
ort	21
t c	21
rme	21
ign	21
 va	20
s g	20
 er	20
ins	20
 fa	20
e q	20
ie 	20
for	20
 ja	20
ale	20
ler	20
gne	20
qui	20
s
d	20
te 	20
 vo	20
son	20
nt
	20
n p	19
tor	19
seg	19
ntr	19
n s	19
cen	19
 ab	19
s
m	19

ma	19
s
s	19
ira	19
bon	19
pre	19
esp	19
 me	19
del	19
e
e	19
