Ngramme	Frequence
nt 	442
le 	249
 de	243
ez 	243
 le	236
ant	231
ent	225
st 	200
en 	197
 qu	191
 la	186
is 	181
re 	177
et 	175
us 	174
our	172
la 	161
it 	157
 co	154
ut 	153
 so	153
on 	153
 sa	152
 di	150
out	148
t l	148
 se	136
que	136
ous	135
e l	134
 en	133
est	133
ne 	133
ist	132
ain	131
t a	131
de 	127
t d	127
e c	127
il 	126
ns 	124
e s	123
oit	123
 mo	119
 pa	119
ien	117
 a 	116
qui	115
t s	115
e p	112
 ne	112
 li	112
 es	111
ur 	110
 et	105
 vo	105
int	103
t e	102
son	101

qu	100
ier	99
e d	98
ue 	98
er 	97
 po	97
par	93
tre	92
 me	92
me 	89
li 	89
pou	85
rs 	85
er
	85
ran	84
dis	82
nt
	80
e e	80
s d	80
men	79
 vi	79
t p	79
sai	78
 ch	78
es 	77
ar 	76
oie	75
s s	75
te 	74
ui 	73
mou	73
qua	73
 do	72
 re	71
s l	71
ale	70
 ma	70
ont	70
 ce	70
ére	69
tou	69
t c	69
 fu	68
vou	67
voi	67
ele	67
 fi	65
 si	65
ie
	65
e f	64
 tr	63
e m	63
uan	63
e v	63
 al	62
ieu	62
 pu	62
con	61
t m	61
ors	61
sou	61
uis	60
se 	60
si 	60
 to	59
 gr	59
gra	59
mez	59
s a	58
s e	57
die	57
eu 	57
chi	57
is
	56
lex	54
exi	54
xis	54
ren	54
ens	53
n l	53
e t	53
s c	53
uce	53
ée
	53
a p	52
el 	52
les	52
ce 	51
s p	51
a l	51
n p	51
 bi	50
bie	50
r l	50
cha	50
cel	50
eur	49
a m	49
rez	49
ser	49
omm	48
 du	48
ost	48

et	47
dou	47
i d	46
mme	45
r d	45
res	45
 pr	45
 cr	45
cou	45
e q	45
t q	45
 no	44
sto	44
je 	44
n c	44
eme	44
 pl	44
a d	44
toi	44
t t	43
n s	43
roi	43
ure	43
str	43
nte	42
sa 	42
ois	42
e n	42
pui	41
 ou	41
 il	41
 pe	41
ir 	41
ins	41
ans	41
puc	41
onn	40
 fo	40
fis	40
a s	40
 ve	40
cor	40
uer	40
ame	40
tan	40
don	40
e r	39
avo	39
u c	39
 ta	39
mon	39
 lo	38
hie	38
uil	38
ris	38
 au	38
ie 	37
car	37
ire	37
i s	37
iez	37
 cu	36
fu 	36
 ho	36
 te	36

le	36
oy 	36
ess	36
ir
	35
mai	35
au 	35
des	35
a c	35
tro	35
e a	34
soi	34
ort	34
s m	34
com	33
lle	33
 am	33
leu	33
lez	33
aut	33
ouv	33
t v	32
s q	32
z d	32
esp	32
 ge	32
 bo	32
bon	32
vin	32
ons	32

la	32
mis	32
ouc	32
 je	31
e j	31
gen	31
cri	31
lou	31
ste	31
l n	31
on
	31
age	31
t g	30
len	30
ven	30
 jo	30
 fa	29
 av	29
oir	29
esu	29
re
	29
 fe	29
as 	29
t f	28
 su	28

ca	28
rie	28

me	28
té
	28
t b	28
che	28
du 	28
oul	28
n a	28
sen	28

il	28
s f	27
un 	27
mie	27
jhe	27
tel	27
n d	27
for	27
 mi	27
ez
	27
 pé	26
pér	26
s v	26
r s	26
t i	26
in 	26
 ro	26
art	26
rt 	26
e
q	26
uve	26
tie	26
a v	25
e g	25
enf	25
ver	25
n f	25
eus	25
s n	25
pri	25
gar	25
ard	25
lor	25
uez	25

de	25
e
l	25
vie	24
 un	24
une	24
pre	24
t n	24
ers	24
 jh	24
hes	24
vre	24
r m	24
ge 	24

en	23
nou	23
r a	23
su 	23
i e	23
ler	23
lie	23
z s	23
e
a	23
ami	23
l p	23
pas	23
r p	23
ust	23
era	23
rai	23
mes	23
n e	22
e b	22
pov	22
i a	22
s r	22
 da	22
s h	22
nqu	22
fer	22
ra 	22
 na	22
 ja	22
ay 	22
z l	22
nne	21
san	21
eul	21
dez	21
spo	21
r
q	21
hon	21
t r	21
iex	21
 on	21
t j	21
mer	20
emi	20
ns
	20
sus	20
cue	20
ute	20
 an	20
t o	20
l l	20
jou	20
ces	20
vos	20

je	20
ura	20
ge
	20
veu	19
dem	19
ise	19
r f	19
ase	19
fai	19
u p	19
ave	19
ter	19
rti	19
ere	19
i f	19
z e	19
plo	19
rée	19
uel	19
nti	19
tez	19
ma 	18
ul 	18
n m	18
sie	18
noi	18
err	18
s t	18
loi	18
ovr	18
l s	18
cui	18
e
e	18
e
c	18
 nu	18
t
l	18
z n	18
ses	18
mér	18
i v	18
sso	18
s j	18
ai 	18
lai	18
ign	18
ntr	18
nfa	17
fan	17
 eu	17
cie	17

pu	17
té 	17
deu	17
u m	17
ité	17
dev	17
z a	17
ape	17
esc	17
onq	17
ex 	17
rme	17

co	17
ié 	17
r t	17
 ga	17
egr	17
a e	16
erv	16
amo	16
moi	16
l e	16
a g	16
 ap	16
ten	16

a 	16
ine	16
pel	16
r
l	16
i l	16
lam	16
aus	16
n v	16
a a	16
 mé	16
uch	16
us
	16
fus	16
a t	16

po	16
z p	16
 pi	16
jam	16
z m	16
lan	15
ell	15
r e	15
dam	15
 ba	15
van	15
rem	15
rom	15

al	15
por	15
erc	15
utr	15
ond	15
r n	15
vis	15
nie	15
sir	15
l v	15
u d	15
moy	15
deg	15
t
q	14
hem	14
t
a	14
ais	14
u s	14
i m	14
e o	14
u t	14
ait	14
sti	14
eva	14
a f	14
oin	14
iau	14
uid	14
rou	14
 cl	14
hié	14
rte	14
joi	14

lo	14
vit	14
sse	14
e
d	14
 ca	14
nel	14
ret	14
a b	14
l a	14
ron	14
iss	13
emb	13
eno	13
rge	13
ast	13
 as	13
tir	13
per	13
rvi	13
air	13
orm	13
l m	13
mor	13
gni	13
ach	13
due	13
uré	13
cem	13
a n	13
it
	13
i t	13
ssi	13
n n	13
tra	13
tré	13
set	13
r v	13
her	13
nto	13
ert	13
ara	13
aig	13
eri	13
ou 	13
s g	13
gré	13
rec	12
hom	12
nom	12
 ri	12
ple	12
nté	12
 ar	12
eni	12
r
m	12

mo	12
r
e	12
arl	12
ala	12
rer	12
pen	12
poi	12
cle	12
doi	12

si	12
ouf	12
s
l	12
s
q	12
erg	12
nus	12
z c	12
e
s	12

sa	12
ée 	12
ef 	12
u f	12
ré 	12
gie	12
apo	12
e h	12
u l	11
rde	11
der	11
pai	11
aie	11
l f	11

so	11
sez	11
iso	11
lem	11
a j	11
n o	11
dep	11
t h	11
urs	11
ari	11
z f	11
u e	11
bre	11

ad	11
ado	11
ole	11
roy	11
 ha	11
fie	11
ech	11
mbr	11
sée	11
dur	11
cro	11
 ci	11
dit	11
nen	11
den	11
 ai	11
e
p	11
iti	11
sil	11
r c	11
née	11
va 	11
e i	11

pa	11
i g	11
his	11
enc	10
s
e	10
lon	10
mbl	10

vo	10
ord	10
s o	10

to	10
gue	10
rre	10
 or	10
enu	10
r
a	10
é
e	10
and	10
har	10
urt	10
ite	10
z b	10
tin	10
onc	10
nc 	10
i q	10
nul	10
ié
	10
i b	10
r q	10
r
s	10
ero	10
rop	10
ner	10
ray	10
pro	10
mar	10
u v	10
 lu	10
os 	10
l d	10
tié	10
vez	10
epa	10
ton	10
 be	10
bel	10
ang	10
plu	10
lus	10
tos	10
pos	10
nno	10
r
d	10
mag	10
gre	10
st
	10
 fr	10
in
	10
i n	9
