Ngramme	Frequence
nt 	212
 le	118
le 	114
ent	111
es 	111
 di	111
 de	108
ant	106
 qu	93
en 	91
ui 	89
et 	87
de 	81
die	80
ieu	79
que	78
nt
	74
 en	73
st 	73

qu	73
ere	72
est	71
eu 	70
qui	69
re 	66
e d	64
 a 	64
it 	63
ien	63
ue 	62
ne 	61
us 	60
 co	58
ain	58
t l	58
int	55
 ge	55
our	55
 se	55
re
	55
rge	54
la 	54
ur 	54
 la	53
ist	53
on 	53
ire	52
e p	52
 pa	52
il 	52
tou	51
e l	49
 to	49
e c	49
ont	49
ous	48
lui	48
roi	48
t a	48
ge 	47

et	47
 cr	47
org	46
oit	46
les	46
geo	45
eor	45
 mo	45
ns 	45
lle	45
t d	45
 sa	44
e s	43
 es	42
e v	42
ran	42
t g	41
 lu	41
 vo	41
res	41
par	40
 so	40
 fa	40
e m	38
t m	38
son	37
fai	37
gra	37
e t	37
men	36
sai	36
t e	36
ut 	36
s a	36
 ne	36
 et	35
per	35
 ma	34
t p	34
 po	34
ren	34
 gr	34
is 	33
ier	33
s l	33
eur	33
out	32
oul	32
t f	32
voi	32
t s	31
s d	31
cro	31
te 	30
e e	30
pou	30
si 	30
ult	30
 me	30
un 	30
s c	29
 ce	29
tre	29
 pr	29
t t	29
ell	29
oie	29
emp	29
omm	28
ort	28
n d	28
ens	28
e
q	28

le	28
dis	28
 te	28
mme	27

de	27
ar 	27
vou	27
 re	27
 vi	27
 au	27
ill	27
mou	27
r l	26
 ch	26
con	26
t q	26
oir	25
 fi	25
qua	25
rer	25
cre	25
com	24
e f	24
 fu	24
ans	24
t c	24
lt 	24
 si	24
ée
	24
je 	23
er 	23
 ve	23
ez 	23
ois	23
a d	23
rie	22
rs 	22
r d	22
des	22
ver	22
a c	22
 tr	22
it
	22
 un	22
dem	22
e a	22
cha	22
mes	22
se 	22
uan	22
mpe	22
ce 	21
uil	21
ser	21
ns
	21
s e	21
ses	21
gen	21
air	21
 il	21
man	21
er
	21
sto	20
a p	20
 mi	20

sa	20
 av	20
e
l	20
oy 	20
lem	20
 tu	20
ie
	19
cie	19
cri	19
ait	19
tes	19
e
e	19
n l	19
eme	19
ot 	19
 fe	19
es
	19
nde	19
n e	18
e n	18
pri	18
 fo	18
t
e	18
s s	18
 pe	18
n c	18
and	18
tu 	18
e q	17
 lo	17
ris	17
ert	17
me 	17
une	17
 do	17
n s	17
i d	17
ulx	17
tie	17
nte	16
e r	16
san	16
 no	16
ign	16
ir
	16
ais	16
s m	16
n p	16
leu	16
u c	16
e
s	16
eul	16
mon	16

a 	16
lz 	15
fut	15
ir 	15
roy	15
 ho	15
mai	15
au 	15
sse	15
ce
	15
aul	15
as 	15
toi	14
e
d	14
 je	14
ors	14
s q	14
a l	14
e j	14
 ro	14

en	14
esp	14
ste	14
s g	14
enf	14
t v	14
a g	14
 pu	14
cel	14

ce	14
e
c	14
app	14
sti	14
ux 	14
nce	13
sa 	13
pas	13
mis	13

la	13
gne	13
 jo	13
 bo	13
s p	13
t
q	13
n a	13
avo	13
nfa	13
