Ngramme	Frequence
nt 	107
et 	88
le 	75

qu	74
est	72
ent	71
es 	67
 la	66
ne 	64
qui	58
us 	55
que	55
 ne	55
ui 	54
 le	53
 de	52
t l	52
st 	51
our	50
 et	49
 co	49
ue 	47
ant	47
nt
	46
il 	46
si 	45
e l	44
ont	44
 se	42
 es	42
de 	41
el 	40
 qu	40
li 	38
en 	37
it 	37
e s	37
 en	37
re 	37
 no	36
 to	36
ns 	35
 li	34
t s	34
 a 	33
 si	33

et	33
t e	32
rs 	32
e p	32
 vi	32
e
q	31
 so	31
 mo	31
ur 	31
la 	31
is 	30
ier	30
ies	30
tou	29
s e	29
les	29
e e	28
out	28
ien	28
 ma	28
 pa	27
bie	26
ais	26
ous	26
t a	26
ele	26
 bi	25
e c	25
te 	25
e f	25
 sa	25
t d	24
oit	24
e m	24
e n	24
se 	23
s l	23
se
	23
e v	23
os 	23
s n	23
par	22
ie 	22
ste	22
t c	22
ran	22
s d	22
ar 	21
 vo	21
s a	21
vie	21
e d	21
nos	21
 fa	21
iel	21
ut 	20
uis	20
ain	20
mai	20
t n	19
 nu	19
e
e	19
son	19
re
	19
t p	18
tre	18
e t	18
ist	18
t m	18
s s	18
i s	17
t
q	17
i l	17
or 	17
 mi	17
cou	17
uan	17
er 	17
arb	17
rbr	17
bre	17
s c	16
tan	16
 ce	16
 do	16
i n	16
s i	16
ce
	16
men	16
e a	16
 au	16
lar	16
ir
	16
 fu	16
 po	16
s p	16
orn	15
lai	15

or	15
rai	15
ure	15
ans	15
ns
	15
om 	15
t v	15
r l	15
uel	15
mon	15
i p	15
 pu	15
ire	15
 me	15
 io	15
iou	15
es
	15
cor	14
 pr	14
nes	14
er
	14

le	14
ise	14
con	14
te
	14
sou	14
 pl	14
i e	14
ors	14
ens	14
pou	14
int	14
ait	14
r e	13
 ci	13
nte	13
sse	13
e i	13
ute	13

de	13
lle	13
roi	13
s f	13
aut	13
 il	13

ca	13
ons	13
mie	13
 gr	13
gra	13
mor	13
mes	13
del	12
ser	12
voi	12
ers	12
tel	12
cie	12
 ca	12
 pe	12
l m	12
t
e	12
i a	12
it
	12
deu	12
i t	12
st
	12
uil	12
me 	12
r n	12
car	12
s
q	12
on 	12
ame	12
t
c	12
pen	11
cil	11
iss	11
e
o	11
i m	11
 di	11
com	11
len	11
 ga	11
s
e	11
lou	11
ee
	11
ie
	11
as 	11
s m	11
 fi	11
t t	11
 lo	11
 lu	10
 fo	10
air	10
i c	10
nus	10
 ta	10
oie	10
ell	10
coi	10
ois	10
eus	10
rie	10
