Ngramme	Frequence
es 	201
nt 	190
ent	147
os 	140
 de	137
s e	132
 lo	117
 e 	117

e 	109
ns 	109
de 	107
 es	103
 la	101
s
e	99
on 	93
ant	92
 co	91
as
	90
is 	82
ans	80
ers	80
 no	78
s d	76
re 	73
 ma	71
 ca	70
e l	70
que	69
el 	67
 qu	66
non	66
 en	65
er 	65
s l	65
 so	64
en 	63
 pa	63
e e	63
 ve	62
 re	62
rs
	62
as 	61
rs 	61
lo 	60
 se	59
 pe	58
e a	58
per	55
s a	55
t l	55
e d	54
ran	53
e s	53
tre	51
ls 	51
s c	51
us 	50
s s	50
ar
	49
con	48
ver	47
rei	47
e c	47
 sa	45
lan	45
anc	45
ais	45
des	45
t e	44
e p	44
eis	44
s
k	44
 a 	44
e m	44
ue 	43
 li	43
e n	42
s n	42
s p	42
li 	42
le 	41
e t	40
 el	40
nte	40
or 	40
ire	40
los	39
 si	39
ui 	39
 to	39
es
	38
est	37
res	37
s f	36
it 	35
els	35
ons	35
la 	34
il 	34
s m	34
 ta	34
aus	34
air	34
mai	33
s v	33
par	33
ns
	33
 fo	33

ke	33
ren	32
tan	32
ai 	32
is
	32
ne 	32
las	32
era	31
t s	31
ras	31
 le	31
us
	31
os
	31
s t	30
 pr	30
ke 	30
mau	30
aur	30
esc	30
 mo	30
sen	29
mes	29
 bo	29
 gr	29
rai	29
rt 	29
erm	29
lor	29
te
	29
sse	28
et 	28
 da	28
 po	28
e f	28
ill	28
r e	27
al 	27
nes	27
tos	27
lai	27
les	27
t a	26
 do	26
eil	26
ont	26
s b	26
ber	26
man	26
ten	25
ei 	25
n l	25
ar 	25
gue	25
i p	25
 be	25
 ni	25
ni 	25
rin	25
se 	25
nce	24
i e	24
enc	24
tra	24
nc 	24
e b	24
t d	24
ven	23
 an	23
sos	23
i a	23
 al	23
uri	23
 fe	23
n e	23
s q	23
ail	23
rme	23
ars	23
ie 	22
 er	22
cen	22
 vi	22
ab 	22
 fa	22
bla	22
ors	22
len	22
t c	22
re
	22
e q	21
t v	21
 me	21
ins	21

ma	21
gra	21
n c	21
ort	21
gne	21
 vo	21
son	21
ign	21
 va	20
n s	20
ser	20
seg	20
s g	20
s
m	20
for	20
 ja	20
ale	20
ler	20
bon	20
qui	20
s
d	20
te 	20
nt
	20
 tu	19
n p	19
tor	19
l c	19
ntr	19
art	19
 ab	19
 ba	19
ost	19
s
s	19
ira	19
lle	19
pre	19
esp	19
del	19
e
e	19
e v	18
nos	18
val	18
orn	18
 fu	18
s
a	18
ues	18
ava	18
 ai	18
iss	18
l r	18
aig	18
a p	18
 as	18
 tr	18
bat	18
ir 	18
ter	17
err	17
em 	17
o r	17
si 	17
i c	17
r l	17
 ne	17
nse	17
cor	17
cav	17
ssa	17
 ce	17
fra	17
men	17
one	17
e g	17
don	17
ste	17
 bl	17
nas	17
r
e	17
s r	16
 o 	16
un 	16
t p	16
aiq	16
iqu	16
ien	16
 ga	16
 mi	16
ces	16
bre	16
ess	16
ade	16
in 	16
sie	16
uns	16

de	16
ile	16
ere	16
uit	15
a l	15
i s	15
ner	15
 du	15
sei	15
qua	15
 au	15
sta	15
car	15

se	15
 fi	15
s
l	15
jas	15
fer	15
ait	15
st 	15
 jo	15
com	15
pos	15
ens	15
 os	15
pai	15
san	15
rma	15
 na	15
 ar	15
and	15
mei	15

el	15
 te	14
rre	14
rem	14
r s	14
ce 	14
a t	14
tal	14
egu	14
t m	14
mil	14
gar	14
 gu	14
e r	14
ja 	14
 ri	14
bra	14
ros	14
dar	13
end	13
ndu	13
ra 	13
n f	13
ben	13
s
p	13

ka	13
jor	13
eri	13
ac 	13
s
t	13
fai	13
 ho	13
cha	13
l d	13
mon	13
rer	13
t f	13
i v	13
lar	13
om 	13
i l	13
eng	12
ut
	12
str	12
n a	12
onf	12
 lu	12
ki 	12
uel	12
uan	12
aut	12
fil	12
ils	12
ert	12
 pl	12
ass	12
fan	12
ore	12
l l	12
s j	12
tai	12
ge 	12
gui	12
arm	12
can	12
cas	12
n v	12
i f	12
uis	12
ite	12
sa 	11
 su	11
lui	11
l e	11

ki	11
a c	11
i b	11
r d	11
sor	11
rbr	11
at 	11
sau	11
eu 	11
r a	11
ol 	11
elm	11
rte	11
 ac	11
egn	11
nen	11
scu	11
cun	11
i n	11
vir	11
dis	11
ane	11
tas	11
l p	11
