Ngramme	Frequence
et 	438
nt 	258
 et	242
 de	232
ent	194
 qu	193
en 	189
il 	163
que	162
de 	150
or 	147

et	146
es 	136
qui	132
 en	131
 le	130
t e	127
re 	125
est	125
ant	122
ne 	121
le 	121

qu	120
 se	120
 a 	119
t d	118
st 	116
 la	112
ui 	109
t l	103
 sa	103
 ne	103
e e	102
t a	101
t p	101
 me	99
ue 	98
on 	98
 pa	97
 co	95
it 	94
t s	94
nt
	90
ut 	90
 po	90
eit	90
 mo	88
ien	87
re
	86
la 	84
out	84
e m	84
 es	83
er 	82
e d	80
 vo	80
e s	79
 so	79
el 	79
e
e	78
por	78
tre	77
s e	76
 il	76
e p	74
par	74
si 	74
me 	73
son	72
 ma	69
e v	66
ére	66
men	65
vos	64
ce 	63
os 	63
 ce	62
e l	62
vei	62
les	62
us 	61
se 	60
e c	60
t c	59
 vi	59
t m	58
ont	58
 li	58
rs 	57
e a	57
 pl	57
 do	56
uer	56
li 	55
 fe	54
e n	54
 ve	54
int	54
ave	54
lor	53

de	53
ez 	53
 to	52
se
	52
 si	52
 re	51
e
q	50
rt 	50
ie
	50
qua	49
t i	48
ist	48
te 	47
res	46
 gr	46
ort	45
ste	45
 pe	45
mou	45
ors	45
t q	44
 je	44
 av	44
ren	44
ran	44
mon	44
e f	43
rei	43
eme	43
ès 	43
t v	43
gra	42
 ch	42
it
	42
ar 	41
ire	41
 fu	41
anz	41
uil	41
eu 	40
 te	40
n s	40
s a	40
aut	40
uan	40
nz 	40
com	40
des	40
sse	40
 pr	39
nte	39
ier	39
ein	39
t
e	38
n p	38
je 	38
ale	38
mes	37
e j	37
ie 	37
omm	37
 fi	37
 bi	36
er
	36
e i	36
 no	36
ert	36
ain	36
ost	36
 tr	36
sa 	36
tan	36
s s	35
 di	35
ens	35
tot	35
l e	35
mès	35

si	35
len	35
is 	34
ver	34
deu	34
ten	34
s p	34
con	34
t t	34
ure	34
per	34
san	34
i p	34
ai 	34
 lo	33
fet	33
i e	33
don	33
bie	33
 au	33
sei	33
un 	32
ce
	32
e g	32
