Ngramme	Frequence
nt 	465
le 	261
ez 	260
 de	256
 le	254
ent	249
ant	248
en 	212
st 	209
 qu	207
 la	199
re 	195
is 	190
us 	188
et 	184
our	182
la 	171
ut 	166
it 	166
out	161
 so	160
on 	159
 co	158
 sa	157
t l	157
 en	156
 di	155
ous	146
que	146
e l	145
 se	144
de 	139
est	139
ne 	137
t a	136
ist	136
ain	134
e c	133
ns 	132
il 	131
t d	130
oit	128
e s	127
ien	127
 pa	125
qui	123
 mo	123
e p	120
t s	120
 a 	119
 vo	118
ur 	117
 ne	115
 li	115
 es	114
 et	112
t e	111

qu	109
son	107
ue 	107
int	105
tre	104
e d	103
ier	102
 po	102
er 	101
 me	97
par	97
me 	92
li 	92
pou	91
e e	88
er
	88
rs 	87
ran	86
men	85
t p	85
nt
	84
 vi	83
es 	83
 ch	82
dis	82
s d	82
qua	81
sai	80
 re	80
mou	80
ui 	79
ar 	79
te 	78
s s	78
oie	77
vou	76
 ma	76
ale	75
 do	75
 ce	75
t c	74
ére	73
s l	72
 fi	71
 fu	71
ont	71
tou	70
uan	70
ele	70
ieu	69
e m	69
ren	69
voi	69
e v	69
 al	68
 tr	68
 pu	66
 si	66
e f	66
ie
	66
uis	65
s e	64
die	64
eu 	64
se 	64
t m	64
si 	64
con	63
sou	63
s a	62
ors	62
 to	61
 gr	61
gra	61
is
	60
chi	60
mez	60
lex	59
exi	59
xis	59
 bi	59
a p	58
bie	58
les	58
ens	57
nte	57
n l	56
e t	56
uce	56
ée
	56
ce 	55
s c	55
n p	55
rez	54
el 	54
s p	53
a l	53
r l	53
cel	53
omm	51
cha	51
ser	51
t t	50
a m	50
dou	50
roi	50
ost	50
eur	49
r d	49
 du	49
 cr	49
end	49
mme	48
res	48
 pr	48
eme	48
 pl	48

et	48
e q	48
t q	48
 no	47
a d	47
n c	46
sa 	46
 pe	46
i d	46
str	46
sto	45
n s	45
je 	45
 ou	45
ois	45
cou	45
ure	45
pui	44
toi	44
ans	44
onn	43
 ve	43
uer	43
 il	43
ir 	43
 au	43
 te	43
e n	43
fis	42
e r	42
tan	42
 ta	42
don	42
puc	42
 fo	41
a s	41
cor	41
ame	41
ins	41
 lo	40
hie	40
uil	40
avo	40
ten	40
u c	40
ire	40
mon	40
ie 	39
fu 	39
ris	39
car	38
e a	38
 cu	38
au 	38
i s	38
lle	37

le	37
a c	37
s m	37
iez	37
ess	37
s q	36
ir
	36
mai	36
 ho	36
des	36
oy 	36
lez	36
re
	36
tro	36
com	35
esp	35
len	35
ouv	35
soi	34
bon	34
ons	34
ort	34
lou	34
aut	34
ouc	34
t v	33
z d	33
 am	33
gen	33
 ge	33
leu	33
 bo	33
vin	33

la	33
 jo	33
 je	32
un 	32
cri	32
ven	32
sen	32
 fe	32
ste	32
mis	32
on
	32
t f	31
enf	31
e j	31
t g	31
oir	31
t b	31
du 	31
n a	31
l n	31
age	31
 fa	30
 av	30
esu	30
che	30
 pé	29
pér	29
s f	29
mie	29
 su	29

ca	29
rie	29
n d	29
as 	29
s v	28
pre	28
in 	28

me	28
jhe	28
té
	28
oul	28
 mi	28
uve	28

il	28
ez
	28

en	27
e g	27
r s	27
t i	27
 ro	27
tel	27
e
q	27
for	27

de	27
e
l	27
tie	27
a v	26
n f	26
eus	26
vre	26
s r	26
gar	26
ard	26
art	26
lor	26
rt 	26
nou	25
 un	25
t n	25
ver	25
ers	25
n e	25
r a	25
s n	25
 jh	25
hes	25
pri	25
ra 	25
i e	25
ler	25
uez	25
r m	25
pas	25
rai	25
mes	25
vie	24
une	24
dez	24
pov	24
i a	24
su 	24
z s	24
e
a	24
l p	24
ge 	24
ay 	24
san	23
e b	23
 da	23
fer	23
lie	23
iex	23
ami	23
r p	23
ust	23
era	23
nne	22
eul	22
nfa	22
fan	22
r
q	22
ave	22
s h	22
nqu	22
jou	22
t j	22
i f	22
plo	22
 na	22
vos	22
 ja	22
z l	22
ura	22
mer	21
err	21
spo	21
 an	21
t o	21
u p	21
hon	21
t r	21
ter	21
i l	21
l l	21
 on	21
ces	21

je	21
veu	20
emi	20
ns
	20
sus	20
ise	20
cue	20
ute	20
ase	20
fai	20
ovr	20
l s	20
dre	20
cui	20
e
c	20
ses	20
z e	20
rée	20
us
	20
ntr	20
ai 	20
lai	20
uel	20
tez	20
ge
	20
ma 	19
n m	19
dem	19
noi	19
r f	19
loi	19
ndr	19
z a	19

po	19
esc	19
rti	19
ere	19
ex 	19
n v	19
z n	19
i v	19
s j	19
nti	19
egr	19
ul 	18
sie	18
r e	18
s t	18
té 	18
deu	18
rem	18
rme	18
e
e	18
aus	18
 nu	18
t
l	18
mér	18
sso	18
ign	18
 ga	18
 pi	18
lan	17
erv	17
ell	17
 eu	17
cie	17

pu	17
l e	17
 ap	17
u m	17
ité	17
dev	17
ape	17

mo	17
r
l	17
onq	17
vis	17
a t	17
sse	17
i t	17

co	17
ié 	17
r t	17
z p	17
z m	17
deg	17
t
q	16
a e	16
amo	16
moi	16
a g	16

a 	16
ine	16
dam	16
pel	16

al	16
lam	16
erc	16
pen	16
utr	16
uid	16
r n	16
a a	16
 mé	16
uch	16
vit	16
ret	16
fus	16
u d	16
jam	16
ais	15
u s	15
 ba	15
e o	15
van	15
ait	15
rom	15
por	15
i q	15
a f	15
iau	15
ond	15
rou	15
air	15
orm	15

si	15
 cl	15
hié	15
rte	15
joi	15
nie	15
sir	15

lo	15
due	15
e
d	15
u v	15
 ca	15
nel	15
a b	15
l v	15
tra	15
moy	15
iss	14
hem	14
ast	14
r v	14
i m	14
u t	14
 as	14
doi	14
sti	14
rvi	14
eva	14
oin	14
ndi	14
a n	14
it
	14
e
s	14
l a	14
ron	14
ert	14
aig	14
eri	14
ou 	14
gré	14
u l	13
emb	13
rec	13
nom	13
eno	13
rre	13
 or	13
rge	13
t
a	13
u e	13
ole	13
tir	13
per	13
ala	13
rer	13
nde	13
cle	13
ié
	13
ouf	13
l m	13
mor	13
gni	13
ach	13
uré	13
cro	13
cem	13

sa	13
ssi	13
vez	13
n n	13
tré	13
set	13
her	13
ef 	13
nto	13
ara	13
ré 	13
gie	13
s g	13
hom	12
s o	12
 ri	12
l f	12

so	12
ple	12
nté	12
 ar	12
sez	12
eni	12
z f	12
r
m	12
r
e	12
arl	12
z b	12
fie	12
poi	12
ech	12
s
l	12
s
q	12
erg	12
sée	12
dur	12
ndu	12
nus	12
z c	12
os 	12
 ai	12
sil	12
di 	12
ée 	12
r c	12
va 	12
u f	12
apo	12
e h	12
ate	12
enc	11

vo	11
rde	11
der	11

to	11
pai	11
aie	11
ore	11
iso	11
enu	11
lem	11
a j	11
n o	11
dep	11
t h	11
urs	11
é
