Ngramme	Frequence
nt 	557
le 	366
 de	356
ent	342
es 	334
en 	328
re 	317
et 	305
st 	294
 qu	285
ne 	284
 le	281
 en	257
e l	256
 la	255
ant	247
t l	243
us 	241
que	239
our	235
 a 	233
est	231
 se	224
ns 	221
 li	219
il 	216
li 	215
 co	214
 di	211
e d	209
 ne	207
la 	206
is 	202
de 	196
ui 	192
er
	190
 es	187
ue 	185
on 	184
 so	178
e s	177
el 	177
ist	176
t e	174
t a	172
ous	171
 sa	167
me 	166
par	166
 si	164
 me	164
qui	161
ur 	160
 pa	160
 et	158
ére	158
ain	150
ele	150
it 	149
les	148
tre	145
si 	144

qu	142
e p	142
t d	140
son	138
e e	138
se 	137
 mo	137
s e	135
 po	135
t s	134
s a	133
 to	131
s d	129
 ma	128
ien	126
ar 	123
ont	122
ier	121
e m	121
 il	120
ais	120
sai	116
s p	115
rs 	114
 re	113
e c	112
pou	110
ins	110
t p	109
nt
	109
ire	109
ren	109
te 	108
e t	108
tou	107
 pu	106
ut 	106
s l	104
s s	104

et	103
 do	103
 lo	103
dis	102
cel	101
or 	101
 te	100
diu	99
mai	99
 vi	98
out	98
i p	97
e q	96
 vo	96
res	96
uis	93
re
	93
 no	92
e n	91
men	91
e v	90
int	89
sen	88
ran	88
con	87
e a	87
t m	87
oit	87
s n	86
ai 	86
i l	85
 al	84
a m	84
oi 	84
ou 	84
és 	82
 ci	81
 pr	80
com	80
ens	80
 jo	79
és
	78
 ce	78
 fi	77
ie 	75
jou	75

si	74
ser	74
i s	74
mou	74
t i	74
e f	73
i e	73
t t	73
a d	73
lor	72
don	72
 ta	72
ir
	72
 ho	71
i a	71
ors	71
rai	71
ert	70
 fa	70
ée
	70
ale	69
ot 	69
str	69
qua	69
 pé	69
pér	69
is
	69
n s	68
iu 	68
t c	68
sir	67
ans	66
ame	66
 fu	66
 gr	65
gra	65
rt 	64
 pe	64
voi	64
s m	64
e r	64
ssi	63
nou	63
mes	63
 ca	63
car	63
i d	63
des	63
uan	62
a c	62
a p	62
sse	62
a s	61
i m	61
s q	61
iss	60
a l	60
tan	60
s c	60

ne	60
l s	60
ler	60
fai	60
eme	59
n a	59
om 	59
ter	59
sa 	58
roi	58
cor	57
 au	57
ure	57
ess	56
té
	56
nte	55
ois	55
ons	54
 pl	54
 ve	54
ste	53
ver	53
pui	53
r l	53
ers	53
es
	53
n e	52
er 	52
del	52
len	52
hom	51
n c	51
ost	51
sou	51
ses	51
tes	51
rou	50

de	50
r d	49
aut	49
por	49
esp	49
ait	49
man	48
 va	48
 bi	48
gar	48
iés	48
ten	47
 un	47
uce	47
 el	47
i c	47
i v	47
eus	47
r a	47
a t	47
 ap	47
mér	47
ces	46
s f	46
ce 	46
 tr	46
mer	46
 mi	46
 mé	46
pri	45
r
s	45
moi	45
ven	45
n l	45
n p	45
e
s	45
oie	45
ign	44
r e	44
t n	44
e i	44
ris	44
 am	44
ill	44
ra 	44
ise	44
tie	44
cou	44
as 	44
toi	44
 du	43
cie	43

se	43
s t	43
l l	43
lt 	43
 da	42
un 	42
uer	42

a 	42

sa	41
erv	41
ntr	41
puc	40
fu 	40
ust	40
ls 	40
 av	40
ius	40
sis	39
 ot	39
ort	39
r s	39
 ga	39
n f	39
t q	39
l d	39
ouv	39
dam	38
oun	38
bie	38
pre	38
e
e	38
e j	38
l e	38
 ro	37
oum	37
end	37
on
	37
non	37
erc	37
l c	37
omm	37
e
q	37
uel	37
 ai	36
aus	36
vou	36
çou	36
lai	36
art	36
a g	35
vie	35
enf	35
r m	35
gen	35
dem	35
mie	35
e g	35

il	35
soi	35
ge 	35
aig	35
l p	34
lou	34
i n	34
ir 	34
s
s	34
s v	34
esc	34
air	34
n v	34
nde	34
ner	34
ité	34
lui	34
ume	34
vin	34
s
e	34
ult	34
ues	34
ard	34
une	33
rci	33
 fo	33
avo	33
rte	33
die	33
ns
	33
n d	33
r
e	33
rée	33
spo	33
oul	33
r c	33
r
d	33
ome	32
err	32
l n	32
fil	32
a f	32
rie	32
 nu	32
 su	32
sig	31
lle	31
nen	31

po	31
lan	31
ara	31
rvi	31
and	31

en	31
uve	31
s h	31
t v	31
i t	31
s r	31
sto	31
sui	31
t g	30
 ni	30
oir	30
rés	30
mor	30
a n	30
i f	30
dé
	30
e o	30
bel	30
rec	30
 l 	30
pai	30
 cr	29
rre	29

li	29
 i 	29
t j	29
r n	29
per	29
tel	29
nes	29
a e	29
 on	29
med	29
tra	29
doi	29
ige	29
gno	28
els	28
n t	28

do	28
ere	28
rer	28
ble	28
rem	28
dol	28
 fe	27
u l	27
s i	27
ice	27
t o	27
 or	27
ari	27
 lu	27
 as	27
