Ngramme	Frequence
et 	209
es 	149

et	124
 le	115
 qu	113
en 	112
nt 	102
que	94
er
	86
us 	85
ue 	85
 de	81
ien	81
is 	79
le 	77
 ce	75
ent	75
t l	73
il 	72
 ch	70
 co	70
re 	69
 et	68
ier	67
 vo	64
ois	64
ont	63
nt
	63
les	63
est	63
ant	61
e l	61
e t	60
 te	59
ne 	57
 en	57
 au	56
 do	55
si 	55
 se	55
s c	53
 la	51
er 	50
 li	50

qu	50
chi	50
e d	49
de 	49
se 	49
ns 	49
 si	49
doi	49
ce 	47
t p	47
e c	47
 pa	47
qui	46
ous	46
e s	45
 tu	45
hie	45
ar 	45
t s	44
vou	44
tre	43
li 	43
 to	43
men	43
st 	43
 ne	43
tu 	43
 me	42
it 	42
la 	40
e e	40
s a	39
 es	39
s d	39
te 	38
sse	38
ron	38
 sa	37
 po	37
oir	37
r
e	37
t a	36
 fa	36
ez
	36
uis	36
rs 	35
 il	35
e v	35
fai	35
ez 	35
s l	35
par	35
 pu	35
cha	34
our	34
s e	34
s p	34
 bi	34
bie	34
ser	34
ir
	33
t
e	33
pui	33
cer	32
ui 	32
e p	32
as 	32
 so	31
s s	31
on 	31
 lo	31
 ta	31
ur 	30
oie	30
t t	30
oit	30
ens	30
tes	30
iez	30
voi	29
t e	28
t c	28
i c	28
ras	28
 tr	27
t q	27
roi	27
s q	27
cor	27
pou	26
mie	26
au 	26
aus	26
s t	26
or 	26
 pr	26
car	26
ten	25
e f	25
 va	25
qua	25
ain	25
 re	25
 a 	25
era	25
lor	25
i t	25
s f	25
aut	24
soi	24
ire	24
 mo	24
ai 	24
t d	24
 mi	23
 av	23
el 	23
e a	23
ie 	23
aur	23

si	22

de	22
ass	22
je 	22
n s	22
ler	22
orn	22
s m	22
son	21
e m	21
lie	21
 pl	21
it
	21
ns
	21
tie	21
res	21
rai	21
ach	21
 as	21
 di	21
e n	21

ca	21
rne	21
r c	21
ou 	20
n l	20
ors	20
n a	20
ver	20
 à 	20
com	20
 je	20
ner	20
as
	20
s v	19
ere	19
plu	19
lus	19
s
e	19
e q	19
t v	19
end	19
ero	19
 ma	19
sac	19
r l	19
ait	19
u c	18
val	18
uan	18
che	18
r a	18
ons	18
mes	18

se	18
re
	18
n c	18
eve	18
iss	18
des	18
e i	17
iau	17
i d	17
 ap	17
e b	17
dev	17
ost	17
tan	17
r t	17

le	17
eme	16
i a	16
avo	16
noi	16
cie	16
uit	16
 cu	16
con	16
sen	16
uil	16
uel	16
nte	16
ouv	16
ura	16
e j	16
ter	16
ées	16
ine	15
ex 	15
rer	15
n p	15
pri	15
pas	15
pre	15
ren	15
ndr	15
cou	15
ans	15
 jo	15
a m	15
ste	15
erf	15
rf 	15
err	15
s j	15
ven	15
ele	15
hac	14
r
s	14
i s	14
un 	14
r e	14
ort	14
me 	14
l e	14
ist	14
s n	14
t m	14

do	14
nti	14
ai
	14
z
e	14
ra
	14
tro	14
str	14
ces	14
e
e	14
a c	13
dou	13
met	13
 i 	13
iex	13
r
d	13
dre	13
i p	13
dro	13
t i	13
lai	13
rt 	13
a t	13
ris	13
ra 	13
mon	13
n e	13
 fo	12
lle	12
tou	12
eva	12
r
l	12
uns	12
 vu	12
vue	12
 ai	12
vie	12
ill	12
por	12
u p	12
toi	12
apr	12
omm	12
esc	12
and	12
ret	12
u l	12
ton	12
 fu	12
os 	12
ign	12
tor	12
i v	12
tot	12
ot 	12
 gr	11
