Ngramme	Frequence
nt 	5332
ent	5137
et 	4533
que	3614
 qu	3546
oit	3533
 de	3278
en 	3116
nt
	3083
ue 	3065
le 	2905
us 	2883
ne 	2875
es 	2774
de 	2687
ant	2645
it 	2523
il 	2394
 le	2385
roi	2362
 et	2324

qu	2261
ien	2251
est	2236
 se	2205
st 	2062
 li	2059
 la	2017

et	2003
 en	2001
t l	1993
li 	1981
e l	1973
our	1939
men	1926
ui 	1910
 co	1870
is 	1866
it
	1845
e c	1826
ns 	1812
voi	1811
 vo	1810
 ne	1797
qui	1796
ous	1757
oie	1750
re 	1735
 ce	1715
 sa	1685
 pa	1673
la 	1672
 es	1644
rs 	1610
t e	1602
t d	1601
e s	1551
ur 	1519
 mo	1518
ain	1493
s e	1492
ele	1492
ar 	1479
 me	1464
ce 	1460
 po	1450
t c	1442
 so	1415
on 	1403
se 	1403
t s	1400
e e	1389
par	1387
ont	1359
ais	1357
e p	1350
si 	1343
mou	1337
 ma	1325
s d	1315
ren	1313
e d	1308
tou	1304
 ch	1264
 à 	1262
oul	1250
s l	1225
ier	1225
 to	1218
vou	1215
t p	1208
er
	1200
ès 	1193
e v	1189
 il	1177
mai	1161
t a	1158
car	1146
les	1142
avo	1138
son	1096
lt 	1091
ult	1080
tre	1075
ois	1054

de	1050
ist	1046
 di	1045
 do	1027
s s	1026
 fu	1023
 av	1016
e m	1011
ire	1000
t m	978
er 	962
out	962
con	952
eme	928
 si	926
e f	925
fai	923
toi	922
 ve	921
 ro	919
t q	917
int	917
 re	916
pou	899
 tr	897
s p	882
ere	878

ca	875
ans	873
ran	870
t
e	868
e n	859
s c	855
 fa	853
s a	852
dès	847
ez 	846
adè	831
e t	829
ouv	829
 pl	828
ill	820
ven	816
 gr	809
sto	807
 lo	804
 pr	803
bie	795
 bi	794
ens	791
tan	783
s n	777
ut 	774
ins	773
ie
	766
t
c	764
oma	760
clé	759
mad	757
 no	756
léo	755
éom	755
t t	752
e a	752
el 	747
e q	745
t
q	738
cha	734
 cl	730
che	727
oi 	715
lui	712
rai	711
me 	711
ot 	696
com	689
ors	686
gra	676
sen	676
e i	674
lor	673
rt 	670
r l	666
s m	663
soi	658
i a	654
 pe	653
des	650
qua	647
 vi	646
oir	644
onn	641
mon	639
ez
	638
iez	637
nte	636
i e	630
uan	629
je 	628
ers	628
aus	627
s q	622
i c	621
uil	621
ert	619
 au	619
arm	615
man	614
ver	612
t v	607
ou 	606
tro	606
re
	602
ait	598
don	598
cel	596
ste	595
 ta	595
is
	593
te 	592
as 	590
ine	588
fu 	587
 te	586
res	585
 je	584
lai	580
 fi	578
ser	576
 lu	575
 jo	574
lie	573
ie 	572
eva	570
 cu	569
sse	567
t
l	561
end	554
ir 	552
or 	552
e r	547
uer	546
dis	545
eur	544
n l	541
ns
	539
ten	538
e j	538
s f	538
n p	533
ée
	531
 ai	530
str	528
lus	527
i p	525
ir
	522
sa 	521
 er	519

se	517
plu	516
pas	516
i s	515
mes	514
i l	513
n s	510

ma	509
cou	509
t f	509
lle	504
air	504
t
d	504
nou	503
r c	503
pri	502
i d	502
t i	500
ost	496

ne	494

en	491
rie	490
n c	488
art	488
s v	487
uve	486
t b	486
mer	482

à 	482
t à	478
s t	478
hev	471
chi	469
i m	466
val	466
loi	464
dou	461
ass	455
ses	455
ndi	454
e
e	454
iso	453
aut	451
i r	451
st
	449
 ot	449
dev	448
n a	445
ign	445
ris	444
 fe	444
r s	439
len	438
has	435
tel	435
ai 	431

le	429
 ci	428
r d	427
s
e	426
uis	425
au 	425
 da	422
t
s	418
rou	418
 du	417
t n	416
gen	414
 on	412
là 	411
 a 	409
noi	408
esp	408
dro	408

si	406
hie	406
 ge	406
 pu	404
uel	404
 là	404

ce	404

cl	404
e
c	401
tes	400
ons	399
ond	399
cil	397
err	395
omm	393
ler	392
 nu	391
ise	391
 i 	391
l e	390
l l	390

li	390
ero	388
oin	386
per	386
eil	385
and	384
és
	384
lar	383
t r	382
rès	380
à c	379
poi	379
eüs	378
ure	377
 am	375
e b	372
ore	372
r e	371

po	369
moi	368
i t	363
té
	361
ust	360
e
q	359
ort	359
 fo	358
t o	358
cla	356
vis	351
leu	349
es
	347
ter	346
cue	345
die	343
ame	343
por	342
us
	341
din	341
rmo	341
doi	339
for	339
ntr	338
urs	338
n e	338
ast	338

la	336
 ho	335

co	334
a c	334
rem	333
e g	333
pre	333
eni	332
dem	331
bel	331
esc	330
nsi	329
 be	328
r m	328
nus	327
ssi	327
a m	327
n d	326
ex 	326
l p	326
om 	326
i q	324
cor	322
t g	321
amb	321

sa	320
dur	319
scu	318

lo	318
 al	316
mme	315
enu	313

mo	312
iau	312
jou	312
san	312
iex	311
amo	311
ale	311
fus	310
l n	307
orr	306
utr	306
s b	306
vin	306
 ap	305
e o	304
tie	304
cun	303
cho	303
ard	303
i f	302
hon	302
ieu	301
s
q	301
 ca	301
r a	300
s
c	299
age	297
ble	297
tra	296
 bo	296
 mi	294
bon	293
t
m	293
pla	292
sou	291
ai
	291
r n	289
tos	289
ron	288
sav	288
s o	285
era	285
iss	284
 ou	284
rre	284
pen	284
nde	283
r
c	283
 ri	282
ail	282
 ar	281
sie	280
ra
	280
 el	279
sai	278
à l	278
 ga	278
ach	278
nes	276
n v	276
ces	273
joi	273
 dr	273
à s	272

do	271
rro	270
r p	269
gar	269
asc	268
s
d	267
a p	267
eno	267
 ba	267
s r	266
nno	266
gne	264
i o	264
e
d	262
ur
	261
eve	261
l a	260
al 	260
uns	259
u c	258
sac	258
n m	257
pov	257
t j	257
pui	256
ute	256
a f	254
on
	254
n f	254
i v	253
e
l	252

pa	252
dam	249
une	249
r
e	249
fer	249
ues	248
cui	248
e
s	248
mor	248
sir	248
l d	247
r v	246
lon	246
in 	245
mar	245
e à	242
nté	241
t
p	241
le
	241
eu 	240
 cr	240
où 	240
rra	238
mie	238
mbl	238
ndr	237
s i	237
nme	236
fis	235
erv	234
der	234
pai	234
l s	233
tai	233
dir	232
t
a	232
rme	230
a v	229
ssa	229

to	229
 va	227
uss	226

ai	225
ne
	224
sam	223
nie	222
s g	222
rto	221
 na	221
l q	221
üst	221
 ra	220
un 	219
nti	218
rer	218
 as	216
à p	216
ovo	216
ave	216
eus	215
r q	215
trè	215
a g	214
non	213
s
s	213
bat	213
arl	212
 or	212
i n	210
nne	209
a t	209
ite	209
s
l	208
van	208
nul	207
aig	206
evi	206
u p	206
cro	205
ban	205
n t	204
u l	203
ose	202
 ha	202
eri	202
r
q	201
arr	201
sag	199
ira	199
cie	198
a d	198
l v	197
r
d	196
té 	196
nen	195
rma	195

ta	194
rte	194
a b	194
inc	194
nqu	193
s j	193
avi	192
rde	192
s à	192
r t	191
 pi	191
a r	191
vie	190
iro	189
ui
	189
 ka	189
dre	188
ene	188
rs
	187
nc 	187
rba	187
urb	187
t
t	185
lan	185
hos	184
uce	184
l c	183
tor	183
i g	183
seu	182

au	182
ars	182
 su	181
dit	179
isi	179
u r	178
i b	177
ole	177
ié 	177
ié
	175
nse	174
ret	174
vei	173
ema	173
t
n	173
fil	173
à e	173
mis	172
enc	172
dus	172
anc	171
u d	171
r f	171
i
q	171
ner	170
ot
	170
rec	169
é
e	169
nir	168
vez	168
se
	167

so	167
ays	167
omp	167
rti	167
orm	166
 où	166
prè	166
n q	165
quo	165
rta	165
lli	165
l m	164
ari	164
rev	164
vel	164
l f	163
evo	162
bia	162
 un	161

di	161
ena	161
e
m	160
és 	159
apr	159
uoi	159
a s	159
r
l	158
a
c	158
nui	157

bi	157
oig	157
e
p	156
rom	156
ece	155
à t	155
t h	154
à d	154
onq	153
ken	153
 an	153
oia	151
nce	151
i
c	150
t
à	150
à m	150
arc	149
s
m	149
etr	149
onm	149
rve	148
eïs	148
née	148
i
e	148
ra 	147
lez	147
sel	146
u s	145
aro	145
orn	144
si
	144
kà 	144
oi
	144
sar	144
esm	143
ali	143
a
e	143
rle	142
a
q	142
alo	141
urt	141
pay	141
enr	141
sez	141
rée	141
erc	140
 ni	140
ni 	140
ouc	140
u m	140
r
s	140
cer	139

ci	139
tri	139
due	138
s h	138
sch	138
é
q	137
e h	136
sis	135
sei	134
rez	134
ape	133
di
	133
u e	133
e
n	133
mpa	133
aur	133
n o	133
nor	132
nan	130
tin	130
ité	129
emo	129
fur	129
te
	129
nch	129
sté	129
 af	128
gue	128
dig	128
iga	128
isa	128
iad	128
ess	128
i j	128
sti	127
adi	127
vor	126
 ti	126
mal	126
sor	126
ue
	125
gie	124

ve	124
puc	124
r
p	124
ule	124
ala	124
nia	124
rt
	124
ata	124
uid	123
ée 	123
la
	123
ume	123
erd	123
n n	122
lem	122

ch	122
é
d	122
e
a	122
env	122
nsa	122
s
p	122
ge 	121
lot	121
ong	120
vol	120
iem	120
ré
	119
eng	119
elu	119
 ad	119
nto	119
l o	119
an 	119
ii 	118

es	118
a l	118
a
l	118
vau	118
é
l	118

me	118
aie	117
 ir	117
spa	117
 ja	117
nob	117
z q	117
r
n	117
ngi	117
gni	116
lou	116
obl	116
han	116
sem	116
ndu	116
adu	116
seü	115

or	115
 br	115
rir	115
r b	115

du	115
sal	115
lev	115
i
d	114
vir	114
plo	114
veü	114
ete	114
use	113
uet	113
ce
	113
fes	113
t k	113
hom	112
 ke	112
vos	112
roy	112
ec 	111
uvé	111
bla	110
tir	110
r i	109
ama	109
onc	109
n g	109
spo	109
ès
	108
arg	108
ées	108
ul 	108
é e	108
uit	108
nco	108
üss	107
emi	107
ma 	107
ulo	107
lau	107
n r	107
i
s	107
 ii	106
é
c	106

fu	106
jà 	106
dor	106
z e	105
gas	105
rop	105
a e	105
kai	105
ys 	105
e k	105
r o	105
eü
	105
rit	104
rca	104
reg	104
eöi	104
yne	104
eco	103
à n	103
den	103

ka	103
sme	103
oyn	103
à o	102
ich	102
a n	102
 ac	102
 eü	102

vo	101
anu	101

un	101
fin	100
esi	100
lée	100
öir	100
sui	100
rge	99
rré	99
gno	98
ric	98
fen	98
bre	98
t
o	98
na
	98
ham	98
iie	97
tés	97
ci 	97
ge
	97

je	96
mma	96
gré	96
pue	96
sot	96
s
n	96
ava	96
z
e	96

là	95
rés	95
cad	95
vil	95
dau	95
 a
	95
à a	95
bes	95
r
m	95
vée	95
fie	94
op 	94
iti	94
sil	94
i à	93
t
k	93
pro	93

tr	93
elo	93
vit	93
ief	92
onf	92
rdi	92
mbr	92
squ	92
s
a	91
las	91
one	91
lue	91
sée	91
ian	91
oup	91
ile	91
lav	90
u t	90
i i	90
ioi	90

ou	90
peü	90
é l	90
apa	90
là
	90
né
	90
rci	90
tée	90
i
l	89
hau	89
equ	89
lam	89
tré	89
mba	89
uva	89
vre	88
uté	88
tem	88
s
t	88
uch	88
pot	88
pin	88
ené	88
veö	88
del	87
t
v	87
he 	87
rri	87
enp	87
eso	87
rdu	87
ndé	86
ami	86
nda	86
nav	86
aco	86
n i	86
z l	86
li
	86
e
t	85
lés	85
met	85
ord	85
t
f	85
à v	85
ïst	85
 os	85
alu	85
z
d	85
tez	85
nfo	84
nai	84
ges	84
rvi	84
nra	84
l t	84
sa
	84
ald	83
foi	83
nta	83
gri	83
uei	82
har	82
ado	82
u a	82
a
d	82
el
	82
r
a	82
é
s	81

ke	81
aid	81
eti	81
ani	81
eig	81
rii	81
omb	81
 fr	80
vai	80
atr	80
let	80
uvr	79
nem	79
a
s	79
 bl	78
r g	78
idi	78
r à	78
isé	78
mi 	78
e
f	77
pie	77
ndo	77
nro	77
éoi	77
z
c	77
i h	76

fo	76
llo	76
ded	76
sé
	76
 at	76
e
à	76
bra	76
i
m	76
 kà	75

da	75
 jà	75
nue	75
nz 	75
rep	74
vue	74
r j	74

pl	74
rin	74
rne	74
auc	74
aum	74
nre	74

où	74
bai	74
eü 	74
z
q	74
 vu	73
reu	73
uie	73
voe	73
 gu	73
fau	72

pu	72
uec	72
z p	72
dol	72
aci	71
pet	71
veu	71
ta
	71
enz	71

fa	71
sso	70
dan	70
von	70
abe	70
ega	70
inr	70
di 	70
ing	70
va
	70

no	70
emp	69
 oy	69
i
p	69
lit	69
à f	69
rté	69
bli	69
ace	69
stu	69
anm	69
ef 	68
sau	68
nvo	68
s k	68
tis	68
dar	68
ras	68
çoi	68
otr	68
rné	67
eau	67
eli	67
afa	67
fu
	67
eüe	67

kà	66
tru	66
req	66
l i	66
sco	66
ora	66
e
o	66
eto	66
ive	65
réé	65
u v	65
nné	65
r r	65
vra	65
cea	64
a q	64
gié	64
nço	64
r
à	64
ple	64
z s	64
rac	63
tit	63
na 	63
cis	63
uro	63
rmi	63
uvi	63
nel	63
os 	63
nés	62
eür	62
 em	62
e y	62
ies	62
oec	62
z d	62
n b	62
iés	61
dé
	61
fir	61

te	61

av	61
eut	61
l r	61
mot	61
z
s	61
set	61
 lé	61
a a	61
abl	61
npa	61
nab	60
nis	60
s
f	60
das	60
nès	60
ia
	60
du
	60
oro	60
enm	60
ci
	60
onp	60
nvi	59
ngu	59
oub	59
r
t	59
t
b	59
dun	59
z v	59
rqu	59
onv	58
yna	58
jam	58
pit	58
ede	58
ssé	58
sas	58
fon	58
lé
	58
alé	58
urq	58
ria	57
in
	57
ri
	57
 ju	57
ati	57
ubl	57
erm	57
ilu	57

il	57
nu
	57
sus	57
 vé	56
 yn	56
atu	56
eff	56
à g	56
are	56
kan	56
oré	56
rch	55
é d	55
nci	55
s
à	55
urr	55
eté	55
é a	55
