Ngramme	Frequence
et 	2146
nt 	1846
es 	1664
ant	1410
ne 	1405
 de	1329
 qu	1280
que	1218
 ne	1133
le 	1097
 le	1076
ent	1038
 et	1009
est	975
ue 	962
 la	956
li 	941
 se	911
or 	908
de 	890
e l	882
il 	860

qu	857
 co	849
 li	820
re 	810
qui	808
st 	789
ui 	788
la 	787
 sa	785

et	779
t l	742
nt
	741
 es	733
e s	725
an 	720
 a 	692
t a	680
tre	658
 vo	652
ien	649
 an	643
mes	640
se 	633
en 	621
 pa	611
e c	603
it 	602
 so	601
ier	598
 me	586
t d	569
t s	564
si 	558
ar 	546
e p	543
 mo	537
e e	536
ont	534
on 	528
re
	525
par	518
rs 	517
les	505
 ce	496
el 	492
t c	491
res	490
san	489
e n	487
man	486
roi	485
e d	485
 re	482
oit	481
por	480
t e	475
 po	472
s a	470
 ma	469
ce 	466
con	463
t p	459
oie	453
e m	449
e a	449
voi	439
 ch	437
 fe	431
e v	427
ele	423
 to	416
son	415
ire	399
ain	380
ere	379
tan	376
er 	374
 lo	374
s e	371
 pr	370
 il	369
and	368
os 	368
us 	368
e
e	362
t m	355
s l	354
vos	353
e t	352
t q	351

de	348
er
	348
ors	346
des	343
e
q	340
lor	335
s n	335
me 	334
nz 	333
s d	331

me	331
 si	329
e f	328
s s	328
ran	324
 pl	322

ne	320
i a	318
ut 	316
 do	312
 tr	311
 ve	304
qua	299
sse	298
e q	297
r l	297
i s	296
ez 	293
te 	292
is 	290
out	290
 vi	287
i l	287
és 	287
ot 	286
ns 	281
aut	280
 en	278

si	278
che	277
ema	276
 gr	274
ers	274
ois	273
t t	272
mou	270
ie 	268
a c	266
 di	264
s c	262
i c	260
 cu	259
car	257
ndr	255
anc	254
ort	252
ost	251
se
	250

ca	249
it
	247
ill	247
nte	246
t
e	245
t
q	245
mor	244
 je	244
per	243
str	243
anz	242
dre	242
 fu	237
es
	237
tot	236
e r	235
uel	235
ren	235
cor	233
s p	233
a l	233
i d	232
 ta	231
uil	230
e j	229
ert	229
ver	229
ie
	228
ses	228
 te	227
 au	227
oir	226
avo	226
 av	224
ne
	224
 bi	222
oi 	221
rie	221
int	221
lan	221
le
	220
i p	220
 fo	220
rt 	219
 lu	219
bie	219
ign	218
e
c	217
cha	217
 mi	215
e
s	210
lui	209
r c	205
je 	204
a p	203
ise	203
ist	202
 no	201
ez
	200
n l	200
ser	200
n s	200
esc	199
ir 	199
a m	197
s q	197
utr	195
 nu	194
plu	193
st
	192
i m	192
mai	192
esp	191
lus	191
ste	190
ja 	190
n a	190
