ngramme	frequence
ant	965
nt 	768
nt
	659
ier	653
ent	638
es 	535
ain	510
ere	510
man	473
us 	470
re
	457
 co	452
est	433
er
	403
and	402
oie	388
le 	386
ele	385
tre	384
rec	384
re 	381
res	380
 de	376
ez 	375
roi	361
 an	354
 es	346
ec 	343
ez
	338
con	332
ont	322
es
	312
anc	311
 re	304
ien	299
e a	294
er 	294

co	290
aus	286
nte	274
ns 	272

de	272
oit	271
it 	270
cha	265
ran	260
iez	258
ema	253
che	251

er	248
cor	248
ise	248
iau	246
ie 	245
 ch	243
sse	242
le
	237
anz	236
eis	234
ire	234
ort	234

re	232
voi	232
esp	230
el 	229
tot	228
rie	226
 pr	226
eus	225
e
a	224
ie
	224
lan	221
se
	220
uit	216
tes	215
it
	214
des	214
or 	214
ste	214
e
c	212
nz 	209
t a	208
rai	208

an	208
e c	204
s a	203
ren	203
rs 	202
esc	202
ne
	201
te
	199
ee
	198

to	196
par	196
ill	195
chi	195
ers	194
 me	192
ois	192
st 	192

es	191
te 	190
ass	190
s c	189

ch	188
e
e	187
ndr	184
e
p	184
 ve	182
 pa	180
mai	179
 to	177
e d	177
ver	176
int	173
 ma	170
 se	170
ntr	169
uen	169
e p	169
ene	169
 vo	167
e
d	166
ins	164
tan	163
 fe	163
iie	161
lle	161
eni	161
dre	160
les	159
iss	159

se	158
ore	158
aut	157
san	157
 sa	156
t p	156
tor	154
pre	154
anb	154
ot 	153
 po	152
ite	152
hie	152

me	152
ost	151
fei	150
t
c	148
nde	148
ne 	147
s p	146
don	145
 do	145
eir	145
ns
	144
ign	144
t
a	144
cel	143
ans	142
e
t	142
uel	142
nor	142
deu	141
ole	141
se 	141
uce	140
t
e	140
t c	140
iz 	139
ist	139
e v	138
por	135
ote	134
vre	134
dem	134
mes	133
 tr	132
ons	132

po	132
ai 	131
e
s	131
e f	131
t e	131
men	131
lie	129
is
	129
joi	128
oz 	128

vo	128
rem	128
ser	127
eig	127
e e	127
oma	126
st
	126
ale	126
com	125
ert	125
 so	125
bel	124
ce 	123
is 	123

ma	123
e t	122
e
r	122
ing	122
eno	122
s d	121
 ap	120
soi	120
tui	118
 pl	118
ron	118
oir	118
 va	118
t d	118
mer	118
rt 	117
z a	117
us
	117
jan	116

sa	116
ble	116
 jo	115
pri	115
