Ngramme	Frequence
 et	1122
et 	1099
nt 	1019
le 	669
ent	628
 de	564
re 	533
it 	530
 li	511
 le	507
t e	498
es 	496
en 	469
us 	468
il 	464
li 	463
ns 	446
 en	406
s e	406
t l	406
e e	403
st 	394
 vo	393
ant	380
 si	359
 il	347
de 	346
 qu	346
me 	339
 la	338
 se	334
 mo	328
t d	328
 co	327
oit	324
ous	324
ist	322
 a 	320
és 	314
ire	309
ier	305
t a	303
t s	302
e s	301
e l	299
ren	289
est	285
e d	282
 di	281
la 	274
ele	274
ame	265
si 	263
ut 	259
 sa	257
ne 	256
 da	252
 ma	249
t m	248
e v	246
 me	243
dam	237
se 	235
que	232
e c	226
ens	226
er 	224
vou	220
s d	219
e f	215
 es	215
 so	212
ie 	211
sir	211
is 	207
ien	205
 ke	204
fai	204
 jo	202
rs 	200
 po	197
out	197
 fi	196
ais	195
voi	194
oie	193
ke 	193
t i	192
our	190
 fa	189
ou 	187
 pa	184
 ne	184
e p	183
ont	182
 vi	182
 el	182
s l	181
e m	178
dis	178
par	177
 av	172
 fu	171
on 	171
mou	169
ur 	169
ere	168
tre	166
ran	164
s a	161
tie	158
e t	158
 gr	158
 pr	157
or 	157
t p	156
 do	155
men	155
ait	155
avo	151
toi	150
s m	146
gra	146
a l	145
s p	144
les	144
a d	144
sen	142
ui 	139
sto	138
e a	138
 bi	137
s s	137
 au	137
roi	137
i e	136
r e	136
ar 	134
ons	134
 re	134
i l	133
mes	133
jou	133
mai	130
sou	130
con	129
int	129
t v	129
t c	126
res	125
bie	124
i q	122
 no	121
ure	121
ans	120
ir 	120
aus	119
 ki	119
ain	118
i d	118
el 	118
 lo	117
ers	116
iés	116
t f	115
sa 	115
 ce	114
 to	114
te 	113
i s	113
 ti	112
aut	112
 ca	110
e n	110
vin	109
eur	108
t b	107
fu 	106
ue 	105
s v	104
ill	103
ise	103
s f	102
des	102
 pe	101
pri	101
ven	101
 ch	99
s c	99
 fo	98
e j	98
a e	96
lle	95
com	95
esi	95
tou	94
son	94
che	93
t j	92
lie	92
tan	91
 un	91
