Ngramme	Frequence
nt 	1435
 de	1280
et 	1063
 et	1023
ent	995
 qu	981
le 	945
 le	940
de 	898
ez 	811
que	637
 la	626
re 	622
e d	621
 co	595
lle	582
 en	536
ant	520
en 	518
est	506
qui	501
it 	490
e c	483
e s	476
 se	471
er 	460
ren	460
e e	459
e l	451
our	448
ue 	435
on 	433
ell	431
ur 	427
t l	426
t a	418
t e	414
 a 	409
 pa	400
la 	397
 so	394
ns 	393
t d	389
e p	384
st 	381
 es	374
il 	370
oit	370
ce 	369
eur	353
ien	350
con	347
ne 	344
men	339
lz 	338
 ce	338
ont	333
te 	316
 sa	311
s e	310
tre	310
ier	308
 po	306
aul	303
se 	298
rs 	297
 ch	296
 ma	295
is 	295
par	292
 re	290
ire	289
 il	287
me 	282
lez	278
e q	272
t p	270
e a	267
omm	265
us 	261
t s	260
voi	257
 au	256
t c	254
ui 	253
e m	253
e f	253
t q	242
uil	240
son	239
ilz	238
 mo	234
ere	233
mme	233
 fa	232
 da	230
s d	229
e t	227
com	226
ain	225
 fi	224
r l	223
oie	221
ir 	219
nte	215
 vo	215
ran	214
 fu	213
 du	211
 ne	211
 me	211
ieu	207
uel	207
 pr	207
ill	205
ais	202
eme	200
fai	199
 pl	199
 di	198
ar 	195
si 	193
 to	193
t t	189
ult	188
tan	188
 do	187
z e	187
ist	186
sse	183
es 	183
 gr	182
 si	181
leu	181
 lu	181
res	180
uy 	178
che	176
toi	175
ers	175
des	170
ux 	167
tou	166
és 	166
 no	164
r d	163
 te	163
s a	162
onn	161
sa 	158
a l	158
au 	158
ure	158
ous	157
ans	157
str	157
e v	157
sto	155
sou	155
pou	154
avo	153
 av	151
esp	151
eva	151
oul	150
ee 	150
 ta	150
r e	150
nce	150
luy	149
dam	148
 tr	147
gra	147
bau	146
rt 	146
mar	144
oy 	144
ame	144
ste	144
eul	144
uld	144
ons	142
e n	141
ort	138
oir	138
s p	138
s l	137
pri	136
z d	136
 th	134
cou	134
du 	133
plu	133
uis	133
eu 	132
ie 	132
lus	132
ces	132
nne	131
n l	129
t m	128
 vi	128
e r	128
tie	127
and	127
 un	126
ver	126
 ve	125
ens	124
ins	123
ble	122
cha	122
hev	122
 pe	120
ois	119
ven	119
eux	119
a d	119
s q	118
int	118
t f	118
a p	117
a s	116
bie	116
s c	116
art	115
ter	115
n d	114
ass	114
eus	114
anc	114
mon	113
san	112
a c	112
té 	112
ice	112
vou	111
end	111
les	110
nti	109
lie	109
urs	109
 su	108
r s	108
 bi	108
ouv	108
s s	108
rre	108
une	107
rie	107
ign	107
ser	107
val	107
ld 	107
r c	107
esc	107
dre	107
roi	106
mer	105
n c	105
fu 	104
mou	103
thi	102
e i	102
z a	102
ndr	102
ess	101
el 	101
ost	101
iba	100
iss	100
as 	100
n p	99
 fo	99
n s	98
cel	98
hib	97
neu	97
 jo	97
uer	97
mai	97
t i	97
dan	96
 je	96
ust	95
e j	95
sez	94
r a	94
pon	93
a f	93
lt 	93
pas	93
y e	93
n a	92
 ai	92
for	92
e b	91
z p	91
don	91
 lo	90
sen	90
 ad	90
z l	89
 fe	89
per	89
gne	88
ait	88
a m	88
enc	88
 mi	88
mez	87
ng 	87
ali	87
n e	86
ge 	85
 be	85
ten	85
ion	85
fis	85
l e	83
pre	83
 bo	82
ond	82
dez	82
tro	82
 ou	81
chi	81
lai	81
ssa	80
 eu	80
 pu	80
 ho	80
in 	79
lan	79
e g	79
out	79
omp	78
 el	78
ise	78
air	78
 cu	77
z c	77
u s	76
ron	76
nd 	76
rez	75
nde	75
rer	75
 ca	75
ceu	74
un 	74
je 	74
u e	74
s f	73
tel	73
 ba	73
ès 	73
eau	72
ltr	72
die	72
ail	72
fil	71
z s	71
ulz	71
ung	71
ntr	71
t b	70
sai	70
err	70
s t	70
hie	69
age	69
an 	69
jou	69
squ	69
sur	69
rès	69
qua	69
y d	68
 ap	68
ris	68
arr	68
bon	67
ine	67
uve	67
i e	67
dis	67
s m	66
z f	66
u p	66
 ha	66
vin	66
t r	65
r m	64
a e	64
t v	64
use	64
bat	64
pui	64
u d	64
soi	64
sei	63
n f	63
r q	63
ou 	63
non	63
u c	62
dem	62
lla	62
 ja	62
sem	61
ace	61
urn	61
nse	60
ler	60
erv	60
env	60
lx 	60
r p	60
adv	60
mes	60
ut 	59
t n	59
apr	59
l l	59
ner	59
i l	59
cor	59
 as	59
ulx	59
cez	59
scu	59
ari	58
mma	58
poi	58
rme	58
len	58
é e	58
cue	58
rin	58
 ro	58
nie	57
amo	57
lar	57
a b	57
n q	57
car	57
oye	57
mal	57
a t	56
man	56
eig	56
lem	56
e o	56
fur	56
van	56
moi	55
rai	55
ind	55
iso	55
ena	55
arm	54
aco	54
 cr	54
z m	54
rou	54
mie	54
z t	54
é d	54
tai	54
z q	53
ong	53
 ac	53
dev	53
a r	53
sce	53
ian	53
urr	53
all	52
ié 	52
i s	52
ec 	52
ses	52
tem	52
loi	52
rem	52
t o	52
 ar	52
spe	52
era	52
 am	51
nou	51
tra	51
ard	51
ors	51
r t	51
isi	51
sta	51
uan	51
dve	51
ma 	50
t g	50
n m	50
y a	49
eri	49
rti	49
 va	49
t j	49
pla	49
fus	49
sel	48
ite	48
nes	48
rz 	48
mis	48
tir	48
 pi	48
s v	48
ra 	48
ave	47
equ	47
urz	47
ssi	47
 ge	47
lui	47
hom	47
uda	47
spo	46
e h	46
z n	46
rir	46
cun	46
prè	46
sie	46
ute	46
 ra	46
pro	46
roy	46
z v	46
iés	46
dom	45
lon	45
s i	45
ura	45
sir	45
ata	45
mbl	45
deu	45
seu	45
nsi	45
tez	45
i a	45
l f	45
l s	44
ret	44
abl	44
rac	44
nan	44
r f	44
 sc	44
d d	44
l a	44
isa	44
oin	44
n t	44
s b	44
aro	44
z i	44
u a	43
has	43
vec	43
usi	43
aux	43
fer	43
l c	43
uss	43
s n	43
ief	43
eve	43
l n	43
ay 	43
aqu	42
dou	42
lor	42
esq	42
laq	41
s r	41
emb	41
dic	41
gen	41
a g	41
i t	41
sy 	41
y l	41
emi	41
arc	40
na 	40
oub	40
eni	40
tur	40
ang	40
y s	40
y p	40
rro	40
moy	40
aus	39
 ic	39
pai	39
nve	39
noi	39

co	39
 ti	39
oud	39
t u	38
a v	38
onc	38
 na	38
cqu	38
der	38
ive	38
ero	38
u t	38
eco	38
nco	38
ef 	38
 ga	38
lli	37
i f	37
fin	37
z b	37
mor	37
gar	37
al 	37
sav	37
thy	37
hyb	37
yba	37
dy 	37
del	37
 br	37
ps 	37
inc	37
n v	37
a a	37
 in	37
rec	36
u m	36
eil	36
veu	36
aig	36
gre	36
llu	36
t h	36
cie	35
ati	35
oup	35
rtu	35
x s	35
 fr	35
emp	35
fir	35
y f	35
rve	35
rte	35
emm	35
vie	34
bea	34
nee	34
bel	34
elz	34
ing	34
hau	34
dau	34
sté	34
pee	34
cre	34
 al	33
enn	33
eti	33
onf	33
nir	33
esm	33
ert	33
ré 	33
ité	33
 y 	33
ast	33
tri	33
har	33
rra	33
vos	33
nob	32
han	32
ngn	32
 nu	32
sti	32
i d	32
nue	32
tes	32
ton	32
uez	32
x d	32
voy	32
rch	32
lee	32
dir	32
hon	32
enu	32
oll	32
obl	31
a q	31
eng	31
s g	31
uma	31
las	31
asc	31
min	31
ale	31
r i	31
spa	31
ala	31
tos	31
pov	31
ras	31
é s	30
ule	30
 li	30
ene	30
reg	30
rne	30
y c	30
vei	30
 he	30
nto	30
l p	30
n o	30
 ob	30
l v	30
vai	30
nna	30
ve 	30
nez	29
uit	29
erc	29
i n	29
dun	29
ry 	29
sin	29
ndy	29
sch	29
ye 	29
y q	29
oya	29
heu	29
va 	29
ett	29
sar	29
aum	29
lda	29
nté	28
tin	28
rvi	28
r n	28
 at	28
y t	28
d e	28
rag	28
ulc	28
 tu	28
rep	28
ord	28
rde	28
rim	28
duc	28
rom	28
sme	28
ça 	28
gue	28
nfo	28
ria	27
rés	27
gni	27
doi	27
rle	27
foi	27
dur	27
cio	27
tu 	27
tio	27
vir	27
nge	27
u r	27
n g	27
rev	27
cho	27
ij 	27
ese	27
onv	27
u f	26
esf	26
tun	26
a u	26
mpa	26
 cl	26
nvi	26
obs	26
hos	26
cri	26
ta 	26
mir	26
mpt	26
ree	26
fem	26
aci	25
pen	25
req	25
lun	25
lau	25
por	25
r v	25
ndu	25
n b	25
né 	25
ple	25
ntu	25
ndi	25
cui	25
uc 	25
esv	25
tte	25
l d	25
sso	25
eli	25
ulo	24
ina	24
usq	24
emo	24
joi	24
rce	24
oia	24
adm	24
arg	24
x e	24
c d	24
oce	24
z r	24
bst	24
a i	24
omb	24
trè	24
aia	24
nda	24
 sy	24
fre	24
ray	24
y m	24
vre	23
nst	23
n n	23
 ri	23
epr	23
n r	23
r u	23
 an	23
rno	23
eno	23
ore	23
nem	23
e
c	23
sec	23
ja 	23
roc	23
vel	23
fac	23
ald	23
uvr	22
mpl	22
teu	22
ira	22
x a	22
urt	22
uri	22
uqu	22
 ju	22
ini	22
s o	22
u q	22
eoi	22
iro	22
yan	22
x q	22
ies	22
uid	22
rop	22
ngi	22
rol	22
é p	21
bou	21
da 	21
dui	21
aut	21
nul	21
ull	21
til	21
arl	21
erm	21
spr	21
ide	21
asi	21
lou	21
 o 	21
nqu	21
é l	21
nch	21
lic	21
dro	21
den	21
vil	21
n u	21
nt
	21
fau	21
amp	21
dai	21
s j	21
sil	21
nal	21
 ci	20
c l	20
rci	20
nom	20
u l	20
ul 	20
cet	20
reu	20
lte	20
nta	20
veo	20
i v	20
noy	20
i c	20
ovo	20
s h	20
lev	20
ose	20
eto	20
pet	20
u v	20
vra	20
elo	19
bre	19
uta	19
lme	19
i p	19
 oc	19
sio	19
ngu	19
i m	19
ncl	19
é a	19
ici	19
 on	19
aff	19
imi	19
ema	19
x c	19
cer	19
ber	19
d l	19
ees	19
iij	19
gie	19
aud	19
pte	19
sco	19
joy	19
pit	19
quo	18
ate	18
 dy	18
i b	18
d c	18
leq	18
evi	18
r r	18
loy	18
tz 	18
z g	18
lam	18
ssé	18
 gu	18
i r	18
 oÿ	18
 ab	18
jus	18
soy	18
i q	18
d s	18
dor	18
ues	18
gié	18
sus	17
cit	17
pli	17
mbr	17
ega	17
vic	17
 i 	17
esi	17
x m	17
tés	17
n i	17
occ	17
lcu	17
vit	17
atu	17
r j	17
eso	17
cen	17
bri	17
ete	17
sau	17
sés	17
llo	17
nci	17
amb	17
 dr	17
ham	17
uro	17
orc	17
n h	17
quy	17
orp	17
scr	17
op 	17
yeu	17
é c	17
gal	17
cci	17
dar	16
jeu	16
pue	16
mé 	16
n j	16
sid	16
acq	16
toy	16
usa	16
sal	16
ffi	16
ua 	16
ené	16
l q	16
plo	16
sié	16
lab	16
rsa	16
cus	16
u i	16
rdo	16
nés	16
met	16
stu	16
 ii	16
f d	16
tit	16
ndo	16
dit	16
re
	16
tiv	16
ani	15
cy 	15
x f	15
lea	15
uir	15
peu	15
rto	15
gui	15
c e	15
gno	15
é q	15
z h	15
riv	15
urd	15
z o	15
lac	15
 or	15
loc	15
ouc	15
pie	15
nab	15
y o	15
abb	15
het	15
mil	15
lir	15
fen	15
uff	15
up 	15
y v	15
rps	15
uva	15
eue	15
ivr	15
 af	15
rri	15
