Ngramme	Frequence
nt 	170
ent	120
 de	101
es 	90
et 	89
de 	82
ne 	76
us 	71
ont	70

qu	68
ier	63
 co	62
 so	61
 le	61
en 	60
que	59
rs 	59
le 	58
ant	58
 qu	54
 ne	52
li 	52
t l	52
son	51
 pa	50
che	50
ors	48
or 	48
e s	48
s d	47
lor	47
 vo	46
 se	46
 a 	46
ue 	45
t d	44
il 	43
st 	43
re 	43
ois	42
ui 	42
ous	42
e l	42
 et	41
est	41
 li	41
it 	40
nt
	40
e c	39
qui	39
les	39
t a	39
men	38
er
	38
la 	38
ie
	38
 ch	37
ien	36
 di	36
ain	36
ren	36
 en	35
ers	35
 la	35

et	35
e p	35
amo	34
e d	34
mor	33
par	33
lie	33
es
	33
ez 	32
 mo	32
t e	32
ler	31
ele	31
ort	30
nte	30
 bi	30
eva	30
tre	30
 sa	30
cor	29
 pr	29
 lo	29
 to	29
t p	28
ns 	28
 cl	28
cle	28
qua	28
 es	28
mie	28
roi	27
e f	27
 me	27
 da	26
s s	26
er 	26
hev	26
ar 	26
is 	26
aut	26
t c	25
e v	25
res	25
se 	25
val	25
ali	25
 fu	25
s l	25
vou	24
s c	24
 ro	24

de	23
t m	23
bie	23
oit	23
s p	23
t s	23
rs
	22
e
q	22
 ce	22
cel	22
ill	22
 re	22
eme	21
dam	21
e e	21
s a	21
 am	21
 il	21
toi	20
on 	20
t i	20
ver	20
t b	20
e a	20
el 	20
 ma	20
e
l	20

li	20
rai	20
tes	20
eve	20
ven	20
 mi	20
 av	20
is
	20
ass	19
ut 	19
s m	19
ore	19
a c	19
 au	19
e m	19
s e	19
oie	19
ist	19
si 	19
os 	19
 un	19
 do	18
 fe	18
un 	18
ire	18
ise	18
gen	18
 pl	18
voi	18
je 	18
erc	18
ez
	18
n c	17
out	17
s n	17

ne	17
s
q	17
t v	17
aus	17
flo	17
i r	17
com	17
tou	17
 ge	17
rc 	17
ing	17
sse	16
i c	16
con	16
pre	16
 ve	16
e g	16
 vi	16
s f	16
e r	16
i d	16
rt 	16
vos	16
ail	16
rto	15
i a	15
ten	15
lt 	15
mes	15
 pu	15
ai 	15
 po	15
ees	15
ses	15
r l	15

la	15
eus	15
oir	15
esp	15
tor	15
t t	15
sen	14
i e	14
end	14
mol	14
olt	14
re
	14
e
e	14
ure	14
chi	14

se	14
 no	14
e n	14
uan	14
mon	14
s
d	13
sie	13
e b	13
 i 	13
s v	13
pas	13
 ou	13
ou 	13
vre	13
me 	13
 ta	13
lan	13
utr	13
ons	13
tan	13
 fo	13
des	13
t n	13
lai	12
 va	12
s o	12
one	12
dui	12
 du	12
iau	12
ne
	12
 fl	12
s
e	12
el
	12
a d	12
ami	12

si	12
 te	12
t q	12
ee
	12
pri	12
r a	12
don	12

je	12
rie	12
plu	12
lus	12
ngn	12
e j	11
 ga	11
doi	11
r d	11
nde	11
n a	11
ues	11
une	11
ste	11
s
l	11
sel	11
str	11
tez	11
om 	11
 or	11
nz 	11
int	11
ris	11
s t	11
gno	11
it
	11
uit	11
ls 	11
isi	10
 ba	10
te 	10
r
q	10
t
q	10
die	10
uar	10

a 	10
ere	10
mai	10
i m	10
por	10
i o	10
ach	10
t
s	10
i s	10
e
p	10
ndr	10
ute	10
ost	10
s g	10
r s	10
hie	10
lle	10
usi	10
ert	10
 si	10
orn	10
avo	10
dev	10
au 	10
le
	10
vez	10
ond	10
e
s	10
sor	10
a s	10
se
	10
dis	10

so	10
di 	10
 ju	9
jug	9
ie 	9
age	9
ot 	9
ins	9
t o	9
as 	9
a p	9
uce	9

il	9
noi	9
for	9
t f	9
fur	9
ine	9
tai	9
ata	9
cha	9
 gr	9
 nu	9
spo	9
pon	9
r p	9
a b	9
 ha	9
ran	9
rne	9
ir 	9
ust	9
us
	9
ave	9
l c	9
fet	9
bat	9
n d	9
ron	9
ans	9
ge
	8
sez	8
n s	8
i p	8
rt
	8
l n	8
van	8
