Ngramme	Frequence
et 	2439
nt 	1892
es 	1664
ant	1619
 qu	1530
 de	1501
ne 	1393
que	1371
le 	1223
 la	1193
il 	1177
 le	1091
 et	1080
est	1074
ue 	1063

qu	1000
li 	985

et	979
 vo	972
 ne	971
qui	968
an 	909
 li	895
e l	888
st 	876
la 	866
t l	863
 se	862
or 	859
ui 	856
de 	851
 co	845
ent	836
it 	816
re 	805
 sa	796
ier	747
 an	738
 me	725
nt
	723
 es	712
t a	710
e s	701
tre	697
si 	697
ien	687
oit	675
se 	672
 mo	670
 ch	666
 a 	663
e c	648
t s	644
mes	641
ele	622
 ce	612
t d	611
 pa	593
os 	589
ont	586
vos	575
roi	573
e v	573
e p	562
 re	561
rs 	557
t c	552
les	551
en 	548
el 	545
che	537
 po	534
 ma	528
 so	525
e e	523
voi	514
e m	507
man	503
on 	499
e d	492
 to	491
oie	488
 fe	482
ain	482
 si	474
t e	470
 il	465
por	463
re
	462
t m	460
san	456
qua	454
ez 	451
con	447
par	447
e a	445
tan	445
e t	444
t p	442
s a	434
lt 	423
ire	422
e n	421
eva	421
res	416
ran	415
ce 	414
lan	404
t q	402
olt	400
nz 	399
 pr	397
me 	395
er 	393
s d	385
s l	383
mol	377
e f	376
son	373
te 	373
ot 	372
 di	370
anc	369
des	368
cel	367
 ve	361
ers	356
s e	356
ez
	356
val	351
hev	349
e
e	347
us 	346
i l	343

si	342
ns 	340
lie	339
and	337
 ta	336
uil	335
 te	335
i a	333

me	332
is 	330
t t	330
ar 	328
 pl	327
uan	326
it
	318
sse	316
 tr	314

de	314
er
	312
je 	302
e q	302
 lo	301
ors	301
e
q	300
 gr	300
ie 	297
 av	292
es
	292

ne	292
 je	291
t
e	291
anz	290
s s	288
 ci	284
ost	284
i c	283
nte	282
 vi	281
s n	281
s c	273
i s	273
ema	273
bie	272
s p	271
cil	268
 do	268
tot	267
aut	266
avo	266
ois	265
e j	258
 bi	258
ill	258
a c	257
fet	253
s q	251
i d	251
lor	251
str	251
t v	250
 fu	250
cha	249
 en	246
ie
	246
oir	245
ise	245
gra	244
 fo	243
ali	243
ist	242
 un	242
int	240
n c	238
rie	237
tes	236
i p	236
 au	235
a l	235
r l	233
te
	232
l l	229
nce	229
i m	228
e
s	228
ert	228
e r	227
t
q	225
se
	224
oi 	224
