Ngramme	Frequence
nt 	1098
 qu	979
es 	825
et 	773
ent	763
que	679
 de	596
qui	575
il 	575
ant	530
en 	527
ne 	518
est	518
 la	509
ue 	499
 me	464
 se	459
st 	459
ui 	454
or 	451
la 	448
le 	434
de 	431
 ne	427
ont	422
 et	418
 le	415
li 	402
nt
	398
 vo	383

qu	381
 co	379
 li	367
tre	366
e l	351
re 	350
t l	347
 es	341
is 	340
it 	337
si 	333
 en	331
ien	330
 pa	329
les	329
us 	323
e s	319
ier	311
mes	309
oit	304
ain	294
t e	291
 ce	286
 ch	286
e c	280
 sa	277
 a 	274
par	271
por	270
t d	261
je 	261
t s	259
 mo	257
roi	255
 je	254
che	251
 po	251
rs 	251
e p	250
e d	248
se 	245
ce 	244
t q	240
 so	239
 di	239
e m	237
 si	237
 to	236
e v	235
t c	234
on 	232
e e	232
ar 	232
ele	226
 ma	223
eva	223
 ve	222
voi	222
era	221
e t	221
oie	220
s d	215
re
	214
s n	214
os 	212
 fe	210
t p	208
t a	208
ez 	207
vos	207
s e	205
 lo	204
 pl	202
mer	201

et	199
 il	199
te 	197
tan	195

de	194
ren	194
el 	193
s l	193
 re	190
t m	190
me 	190
i c	189
con	188
 do	186
e j	185
e n	185
e q	184
s s	184
it
	183
ns 	182
res	182
ins	182
 te	181
son	180
 no	178
s q	178
er
	178
er 	176
uil	176
nz 	173
ois	172
 pr	169
e f	167
a m	166
sen	165
qua	164
des	163
lor	162
ut 	160
s a	160
 fu	159
lie	159
hev	157
out	156
s c	155
ot 	155
i l	155
com	151
val	151
ste	151
ors	150
plu	149
t t	147
ou 	146
ai 	146
ere	145
 ci	145
lus	145
 ta	144
ist	143
e a	143
s p	142
dit	142
men	141
ers	141
nte	139
ie
	138

me	137
aut	135
 fo	134
i a	134
t i	134
 av	133
err	133
i d	132
rau	132
i p	132
oi 	131
cha	131
ten	128
ie 	128
aug	128
gis	128
rai	127
ven	126
i s	126
 vi	126
ill	126
as 	126
rre	126
ugi	125
a l	125
ntr	124

se	123
i e	122

li	121
rt 	121
end	121
ali	121
ire	120
ces	120
is
	120
for	120
s m	119
sse	119
int	118
a p	118
 tr	118
uan	117
ja 	117
eil	117
vie	116
fer	115
 da	113
tot	112
ort	112
ost	112
 mi	111
ens	110
eus	110
toi	109
t v	109
cor	109
esp	109
t
l	107

si	106
 ja	106
dam	105
i m	104
oir	104
es
	104
a c	103
ndr	103
tor	103
t
e	102
ter	102
 au	102
s t	102
esc	102
fet	102
pas	102
ein	102
nsi	102
 jo	101
mon	101
 tu	101
chi	100
e r	99
au 	99
pre	99

la	99
on
	98
a d	98
str	98
ass	98
 i 	98
mie	98
cel	97
uis	97
tes	96
utr	96
e
l	96
don	95
mou	95
n p	95
ez
	95
mai	94
ome	93
ver	93
dev	93
i v	93
ame	93
van	92
anz	92
r l	92
bie	92
oz 	91
n l	91
 fi	90

le	90
us
	89
t
q	89
i f	89
sto	89
fu 	89
len	89
 nu	88
e
q	87
non	87
r q	87
 pu	86
nen	86
ote	86
cil	85
