Ngramme	Frequence
 qu	249
en 	240
et 	240
il 	212
nt 	209
 de	201
que	191
ne 	175
est	169
le 	163
us 	159
st 	158
 vo	154
 ne	153
de 	143
or 	143
 en	142
qui	140
 se	139
ue 	136
re 	126
ent	126
ien	119
es 	118
 la	118
ous	116

qu	113
re
	112
 a 	111
it 	109
li 	108
 me	107
 co	107
ant	107
ui 	106
 et	106
on 	104
e l	104
 fe	103
se 	102
me 	101
je 	99
e s	99
 ce	98
vou	98
el 	97
 es	97
tre	96
 li	96
 le	95
oit	95
 je	95
si 	95
e d	95
t e	95
ain	94
e m	92
 mo	91
 so	90
e e	90
e v	88
 ma	86
ele	86
e n	85
ez 	85
e a	84
 il	83
la 	81
t a	79
 pa	78
 sa	77
rs 	77
ce 	76
 si	76
e c	75
 di	74
voi	74
ut 	72
out	71
fet	71
ier	71
 po	70
par	70
t d	69
 bi	68
son	68
e f	68
por	67
ere	66
e j	65
s d	64
is 	64
ns 	64
ont	64
s e	64
t s	64
ar 	63
e p	63
t p	63
 ch	63
bie	62
 mi	62
str	61
s q	60
ie
	60
ist	58
t i	57
 ve	57
ens	56
 re	56
t m	56
 pr	56
oie	56
roi	56
er 	55
uil	55
qua	54
 do	54
t l	54
ire	52
e q	52
oir	52
mie	51
ame	51
er
	50
is
	50
end	50

de	49
com	49
fer	48
sse	48
t q	47
ie 	47

et	47
t c	47
ès 	47
ren	47
uis	46
oi 	46
 da	46
n s	45
les	45
 cu	45
s l	45
dam	45
ois	44
s a	44
 el	44
ai 	44
 au	44
 av	44
 am	44
ers	44
iez	44
pre	44
des	43
 to	43
 pu	43
i a	43
mes	43
i m	43
men	43
int	43

ne	42
s m	42
nz 	42
nt
	42
n p	41
a c	41
it
	41
 lo	41
rt 	41
nte	41
sen	40
i l	40
mon	39
i s	39
rie	39
e t	39

si	39
s n	39
s s	39
cor	38
che	38
omm	38
avo	38
ors	38
n c	38
e
q	37
i c	37
 no	37
 fo	37
i e	37
ran	37
s p	37
mai	37
i d	36
aus	36
ir
	36
rai	36
t v	36
pui	35

se	35
ort	35

il	35
ndr	35
l e	35
tan	35
n d	34
 ai	34
 pl	34
mme	34
 pe	34
iex	34
ir 	34
ert	34
mou	34
 gr	34
e
d	34
non	34
r s	34
n a	33
doi	33
 vi	33
ven	33
 ri	33
t b	33
ten	33
e
a	32
un 	32
toi	32
s c	32
ues	32
gra	32
ser	31
l n	31
l s	31
con	31
mis	31
nel	31
mès	31
ris	31
 tr	31
n l	31
mor	31
ses	30
ami	30
pen	30
aut	30
 te	30
ce
	30
uel	30
eil	29
l p	29
r c	29
tou	29

a 	29
a d	29
l l	29
e
e	29
 un	29
ost	29
lie	29
nqu	29
pas	28
as 	28
te 	28
a m	28
e
l	28
 or	28
eva	28
tel	28
en
	28
amo	28
sie	27
a f	27
i p	27
uer	27
l d	27
dre	27
ver	27
s v	26
r p	26
ces	26
cui	26
e
s	26
cel	26
ns
	26
ez
	26
 an	26
ise	25
tes	25
pri	25
val	25
au 	25
e
n	25
tie	25
moi	25
die	25
eus	24
res	24
n f	24
ex 	24
anz	24
 fa	24
e r	24
l m	24
te
	24
l v	24
iau	24
i f	24
dir	23
us
	23
ou 	23
ma 	23

po	23
ast	23
a s	23
uan	23
len	23
onq	23
nss	23
 fu	23
chi	23
 ta	23
e
c	23
té
	23
lor	23
e o	22
ins	22
san	22
t j	22
ure	22
n m	22
i b	22
esp	22
z e	22
cha	22
on
	22
nen	22
n v	22
el
	22

ce	22
 ge	22

la	22
vos	22
uar	21
 ja	21
n e	21
t o	21
ple	21
r q	21
sa 	21
t t	21
for	21
i q	21
se
	21
ave	21
r m	21
del	21
a v	21
a p	21

or	21

en	21
hev	21
iss	21
hie	21

li	21
ja 	21
 be	21
gar	20
lai	20
ait	20
ole	20
s f	20
r d	20
nes	20
ons	20
ill	20
e g	20
ste	20
ing	20
 ci	20
oin	20
ot 	20
t n	20
utr	20
r a	20
r l	20
r e	20
cue	20
bel	20
e b	19
l q	19
seu	19
ler	19
s
q	19
r n	19

le	19
art	19
om 	19
eme	19

mè	19
ute	19
mer	19
dis	19
ssi	19
eni	19
ete	19
le
	19
inz	19
man	19
ane	19
uei	18

je	18
t g	18
 ga	18
 na	18
e
p	18

pa	18
lon	18
uit	18
bon	18
vie	18
z m	18
ece	18
ali	18
 er	18
ngn	18
cil	18
ret	18
dou	18
nti	18
sir	18

vo	18
 vu	17
vue	17
t r	17
lan	17
t
q	17
plu	17
lus	17
 ho	17
i j	17
a g	17
 fi	17
 nu	17
poi	17
eu 	17
st
	17
rte	17
l a	17
don	17
bia	17
rep	17
 ou	16
rto	16
isi	16
une	16

fe	16
 on	16
ner	16
mbr	16
rem	16
enc	16
gne	16
tro	16
e
i	16
ll 	16
 jo	16
 lu	16
eut	16
r
s	16
dev	16
soi	16
i t	16
 su	16
z l	16
vez	16
ore	16
a e	15
cun	15
dit	15
t
s	15
 ni	15
i v	15
lav	15
n n	15
apr	15
rès	15
tor	15
cho	15
s i	15
sto	15
t f	15
avr	15
z a	15
esa	14
sam	14
vre	14
ach	14
ui
	14
esc	14
met	14
s
e	14
me
	14
era	14
sai	14
lle	14
qul	14
té 	14
ntr	14
sti	14
i n	14
rs
	14
ero	14
ié
	14
e
o	13
eüs	13
one	13
 pi	13
bre	13
rde	13
prè	13
t
e	13
sou	13
r v	13
 ot	13
t
d	13
ull	13
has	13
reu	13
s
s	13
veu	13
ign	13
u c	13
gen	13
l c	13
pue	13

co	13
nir	13
dro	13
 du	13
and	13
epr	13
r t	12
et
	12
sac	12
nie	12
eur	12
ard	12
lui	12
eli	12
vol	12
age	12
a r	12
nco	12
dem	12
l t	12
vis	12
ieu	12
nul	12
ule	12
fus	12
n
q	12
ans	12
sis	12

sa	12
sté	12
gno	12
rce	12
dan	12
a a	12
 mè	12
uet	12
e i	12
ene	12
nor	12
nde	12
z v	12
ose	12
rez	12
e
v	12

mo	11
amb	11
a l	11
üst	11
hom	11
e
m	11
a b	11
tez	11
ite	11
n r	11
e h	11
nui	11
s t	11
uen	11
u p	11
ust	11
sor	11
z q	11
s
n	11

to	11
rec	11
orc	11
i o	11
vin	11

ai	11
ni 	11
ace	11
ex
	11
per	11
r
q	11

ve	11
l r	11

au	10

bi	10
uns	10
t h	10
 bo	10
s
a	10
 ap	10
ra 	10
r
a	10
orn	10
ira	10
omb	10
e
j	10
ine	10
ale	10
ema	10
ne
	10
erv	10
mpa	10
uce	10

no	10
 af	10
afe	10
noi	10
omp	10
aig	10
dui	10
spr	10
fis	10
ge
	10
ais	10
mi 	10
uz 	10
cov	10
joi	10
or
	10
enu	10

ma	10
iti	10
oi
	10
eso	10

di	10
n q	10
fon	10

me	10
es
	10
mi
	10
hos	10
nço	9
mbl	9
u e	9

ou	9
aro	9
rol	9
err	9
 hu	9
loi	9
t
m	9
etr	9
pro	9
és 	9
anu	9
s j	9
in 	9
t
p	9
aco	9
arl	9
ovi	9
cer	9
scu	9
rme	9
fu 	9
ono	9
toz	9
oz 	9
pai	9
 ti	9
r
o	9
ter	9
s
d	9
van	9
tra	9
s
o	9
 cr	9
env	9
 i 	9
nez	9
al 	9
z f	9
ass	9
r f	9
erm	9

ci	9
vo 	9
pir	9
uid	9
fac	9
jel	9
r
d	8
çoi	8
jai	8
fol	8
der	8
usi	8
nc 	8
hui	8
t u	8
nou	8
sav	8
r
e	8
fai	8
a t	8
lit	8
r o	8
z d	8
usq	8
squ	8
l o	8
n t	8
iso	8
n o	8
i
q	8
erc	8
uss	8
t
c	8

so	8
t
a	8
emi	8
nz
	8
l b	8
na 	8
dun	8
 ie	8
t
i	8
ngi	8
eng	8
eïs	8
sui	8
mam	8
t
l	8
ata	8
rci	8
pit	8
tié	8
sue	8

ja	8
 va	8
l f	8
rt
	8
é
s	8
nda	8
ouc	8

da	8
ess	8
a i	8
ee
	8
inç	7
ble	7
uir	7
t
v	7
nai	7

fo	7
he
	7
ang	7
gue	7
deb	7
ebo	7
cou	7
 ar	7

am	7
tos	7
n g	7
spe	7
 ha	7
 ju	7
jus	7
ot
	7
nus	7
n
n	7

pu	7
a n	7
asc	7
ief	7
é s	7
jor	7
set	7
s o	7
nis	7
s
m	7
gie	7
ese	7
poo	7
ooi	7

on	7

el	7
uté	7

du	7
get	7
s
l	7
let	7
eri	7
las	7
rer	7
cie	7
col	7
eve	7
foi	7

do	7
 al	7
iro	7
z p	7
nté	7
eoi	7
i
p	7
os 	7
bla	7
nuz	7
pra	7
s
j	6
s r	6
tru	6
auc	6
s g	6
stu	6
pie	6
emb	6
z s	6
u q	6
oli	6
ndu	6
du 	6
ec 	6
tur	6
emp	6
 ro	6
az 	6
alo	6
oec	6

es	6
vei	6
 ac	6
z n	6
rle	6
anq	6
z j	6
edu	6
enz	6
bra	6
 ba	6
ail	6
lli	6
ti
	6
i
s	6
z
l	6
é
a	6
usp	6
den	6
s
c	6
l
e	6

lo	6
 at	6
ci 	6
lis	6
a j	6
r r	6
hon	6
 as	6
ron	6
anc	6
ove	6
u r	6
ci
	6
cro	6
esf	6
i
m	6
spi	6
ree	6
ani	6
r
m	5
ceu	5
rui	5
n b	5
vil	5
evr	5
ls 	5
rri	5
eça	5
 gu	5
aum	5
l g	5
u s	5
 em	5
plo	5
esl	5

un	5
ge 	5
lom	5
lem	5
hoi	5
n
m	5
esm	5
rve	5
rop	5
op 	5
rov	5
u l	5
a o	5
t
n	5
r i	5
u d	5
r
c	5
u m	5
ded	5
a q	5
tri	5
z
e	5
rvi	5
rue	5
u a	5
han	5
aie	5
ouz	5
r
t	5
i r	5
s b	5
avi	5
eul	5
i
a	5
ïst	5
tré	5
lac	5
ong	5
uie	5
iz 	5
nvo	5
fin	5
vro	5
 dr	5
 gi	5

ap	5
fre	5
ape	5
s
i	5
vau	5
vee	5
z c	5
é
l	5
n
s	5
u v	5
seü	5

at	5

ch	5
ré
	5
los	5
ide	5
 bl	5

av	5
voe	5
lez	5

re	5
e
b	5
aim	5
iie	5
é
p	5

te	5

nu	5
eto	5
 om	5
 qo	5
qoi	5
sil	5
use	4
ua 	4
 oi	4
çon	4
ucu	4
 oe	4
u i	4
t
f	4
onc	4
i
n	4
peü	4
e u	4
 eu	4
ieç	4
ume	4
a u	4
eür	4
de
	4
lue	4
uec	4
ntu	4
a h	4
tec	4
rne	4
ime	4
ive	4
ve
	4

pl	4
mar	4
he 	4
ava	4
vai	4
coi	4
sot	4
 fr	4
fra	4
arm	4
di
	4
ef
	4
rné	4
né 	4
deu	4
r
p	4
sch	4
geu	4
sta	4
 is	4
s
t	4
mma	4
ut
	4
eu
	4
e
t	4
dus	4
m c	4
n
d	4
rti	4
eti	4
cle	4
ul 	4
eue	4
rté	4
feï	4
n j	4
rre	4
aci	4
r j	4
as
	4
 ii	4
oiz	4
ffr	4
s
p	4
ça 	4
gré	4
i
i	4
é
q	4
veo	4
r
f	4
mal	4
sei	4
eig	4
r b	4
sal	4
 oï	4
oïr	4
lir	4
e
f	4
l j	4
nch	4
reg	4
é
d	4
evi	4
s u	4
eté	4
o c	4
sag	4
é
m	4
rom	4
im 	4
z
v	4

ha	4
ha 	4
s h	4
mas	4
rev	4
mau	4
z b	4
mav	4
ora	4
é l	4
gié	4
iz
	4
z
p	4
dez	4
erd	4
mot	4
ssé	4
sé 	4
ïr
	4
ng
	4
cis	4
ai
	4
l u	3
ila	3
gas	3
oev	3
 ra	3
ols	3
sau	3
tui	3
i
f	3
x v	3
r g	3
gui	3
sco	3
ouf	3
mem	3
di 	3
n h	3
 mu	3
s
f	3
ol 	3
elu	3
esu	3
ilu	3
c a	3
ürs	3
hau	3
sli	3
rim	3
orr	3
rés	3
faz	3
arc	3
mpi	3
lot	3

pr	3
sme	3
 ru	3
n u	3
puc	3
n
e	3
 os	3
i
e	3
 ir	3
rdi	3
ef 	3
r u	3
ves	3
ama	3
cre	3
 br	3
raz	3
nia	3
 eü	3
eco	3
onn	3
tir	3
not	3
an 	3
uau	3
n
l	3
é e	3
i
d	3
til	3
vir	3
ouç	3
uço	3
çor	3
 cl	3
x e	3
sso	3
nav	3
eüe	3
üe
	3
ue
	3
ti 	3
é
c	3
l
n	3
viv	3
ivr	3
r
n	3
ola	3
ii 	3
nge	3
rac	3
esv	3
sem	3
tas	3
ié 	3
é d	3
sel	3
ré 	3
ïss	3
all	3
uch	3
oia	3
onj	3
eez	3
tia	3
nta	3
sez	3
urs	3

na	3
m v	3
air	3
ria	3
ian	3
é c	3
n
j	3
udr	3
ng 	3
lap	3
egn	3
enç	3
rmi	3
rro	3
sce	3
cen	3
mei	3
eci	3
hai	3
z
s	3
z i	3
e
r	3
m t	3
epe	3
lam	3
r
v	3
m s	3
bes	3
vri	3
hur	3
urt	3
eff	3
rir	3
tai	3
tis	3
nom	3
z
f	3
ega	3
i i	3
é m	3
t
j	3
emo	3
ido	3
jen	3
fau	3
iec	3
evo	3
maï	3
aït	3
ït 	3
ici	3
ilo	3
oni	3
i g	3
irs	3
leu	3
vra	3
n i	3
x a	3
ïe
	3
sll	3
gni	3
ena	3
nan	3
gna	3
ndé	3
reï	3
rou	3
x s	3
rna	3
x f	3
dra	3
nce	3
r
l	3
 us	2
arç	2
rço	2

vi	2
pos	2
osn	2
sne	2
t
b	2
fel	2
ngu	2
c c	2
ça
	2
lau	2
m l	2

eü	2
sur	2
mpl	2
oup	2
nag	2
riv	2
arr	2
rré	2
rch	2
her	2
els	2
haa	2
ech	2

ga	2
noï	2
 tu	2
é n	2
nto	2
har	2
lun	2
und	2
ndi	2
teu	2
iu 	2

cu	2
 o 	2
inc	2
neü	2
scr	2
dau	2
c t	2
z
i	2
eü
	2
ü
d	2
ice	2
lut	2
bai	2
u
s	2
aha	2
iet	2
eno	2
nsa	2
bis	2
bas	2
fam	2
rit	2
ité	2

ah	2
ahi	2
hi 	2
x p	2
mé
	2
sae	2
aes	2
l
p	2
sej	2
ejo	2
sol	2
von	2
ol
	2
l
t	2
uev	2
ve 	2
z o	2
tue	2
in
	2
lec	2
x
l	2
gi 	2
i
l	2

pi	2
hap	2

ge	2
smo	2
mov	2
ovo	2
ato	2
vi
	2
nse	2
iag	2
rag	2

ta	2
ind	2
n
i	2
fos	2
oss	2
mur	2
ur 	2
rla	2
z r	2
quo	2
soz	2
ozr	2
zri	2
dur	2
cit	2
nvi	2
z t	2
sof	2
fes	2
ïr 	2

tr	2
spa	2
hem	2
min	2
u b	2
his	2
cri	2
é
i	2
pal	2
é t	2
x
a	2
pel	2
tu 	2
liu	2
are	2
vit	2
sus	2
lué	2
ués	2
trè	2
nue	2
lié	2
é
u	2
c e	2
lii	2

ot	2
uz
	2
mbe	2
bed	2
seo	2
olo	2
fir	2
uiv	2

su	2
x l	2
 ad	2
dès	2

be	2
r
j	2
n
p	2
lea	2
eal	2
eud	2
udo	2
dom	2
aud	2
rii	2
m d	2
sfe	2
map	2
uef	2
esd	2
sdi	2
e
h	2
é
v	2
ouv	2
ord	2
mac	2
jeh	2
nem	2
