Ngramme	Frequence
et 	3140
es 	2117
nt 	1858
que	1834
 de	1779
 qu	1661
le 	1648
ant	1590
ue 	1544

et	1426
ne 	1407
 le	1398

qu	1395
il 	1339
 la	1324
 vo	1227
li 	1209
 et	1202
est	1189
an 	1184
ui 	1180
re 	1173
qui	1158
 li	1122
de 	1050
 ne	1040
 an	1028
e l	1011
t l	1009
la 	996
or 	984
si 	978
 sa	976
 se	965
 me	957
 co	924
st 	907
ier	906
ent	897
 ch	886
vos	881
it 	871
e s	857
ele	837
os 	830
 pa	801
tre	800
les	795
ien	793
oit	784
nt
	784
 es	774
mes	773
e v	769
ez 	763
 mo	755
e c	752
 ma	752
t a	748
e d	739
el 	738
e p	736
roi	729
 il	718
on 	713
t s	709
 si	706
se 	700
 a 	697
ain	684
che	679
 ce	668
 so	668
t d	660
oie	649
e m	644
ire	633
 po	630
e e	613
 fe	609
eva	602
por	601
e a	587
s a	585
re
	582
voi	578
ont	573
par	562
 to	530
er 	530
t c	529
con	519
e t	515
t e	514
man	511
 di	511
t m	505
rs 	498
me 	496

si	495
t p	491
ce 	487
i a	484
res	483
e f	481
e n	481
e
e	476
 re	472
tan	467
val	462
e g	456
san	455
i l	454
and	453
en 	453
 ve	453
 pr	449
s d	447
lie	443
te 	440
ers	439

de	436
hev	433
e
q	429
ste	428
son	425
ran	422
ere	421
ns 	420
i s	417
it
	416
es
	415
 av	409
 ge	409
lan	408
ort	406
t q	405
t
e	405
ot 	400
 bi	397
 vi	396
nz 	390
ie 	388
fet	387
ge 	386
sir	380
s e	378
ost	378
 te	377
s l	376
ist	376
i c	375
 fu	375
des	375
tes	375
ut 	374
er
	372
i d	369
is 	366
 pl	362
 va	360
sse	360
qua	360
s s	357
cha	355
ez
	352
out	352
anc	348
 do	348
e q	346
i p	345
cel	342
s c	337
 tr	337
ar 	335
s p	335
 gr	333
iez	332
ill	329
t t	326
mou	325
us 	321
t i	321
bie	319
i v	319
str	317
t
q	317
tot	310
ie
	308
 ga	306
a l	306
avo	306
int	305
t v	304
i m	303
ali	303
e i	301
 pu	298
ai 	298
oi 	298
uil	296

me	296
s n	296
 fo	296
 ta	295
 no	292
a m	292
ame	291
anz	290
a p	289
n l	288
s m	286
n a	284
nte	283
a c	282
ise	282
ois	277
 lo	276
aut	275
ses	275
r l	272
te
	272
rai	271
ren	270
gra	269
le
	266
e r	264
 ci	264
se
	262
ess	262
lor	261
rie	260
oir	260
van	259
mai	259
s q	254
lui	252
 da	251
e j	249
s v	248
ser	248
e
s	247
eis	247
del	246
ign	246
ins	246
l l	245
 au	244
au 	243
don	241
esc	241
 mi	240
 ro	239
lle	238
lez	238
is
	238
ver	237
t b	237
 tu	236
 pe	234
n c	234
as 	233
ces	232
toi	232

se	231
