Ngramme	Frequence
nt 	3814
ent	2696
es 	2216
et 	2211
 de	2211
en 	2029
 le	1688
ne 	1514
ant	1474
le 	1442
de 	1423
 la	1414
 se	1398
que	1343
il 	1336
or 	1301
re 	1290
 en	1275
 qu	1245
li 	1239
it 	1220
ont	1215
rei	1213
t l	1210
 co	1177
st 	1166
est	1160
la 	1131
ue 	1114
nt
	1114
 ne	1110
 et	1059
 pa	1057
 es	1043
 re	1043
 so	1039

et	1005
e l	1004
is 	988
on 	987
t e	981
par	970
tre	970
 li	957
us 	955
 a 	952

qu	947
re
	947
les	887
t d	881
 mo	871
ien	862
ier	855
ar 	851
 me	826
 ch	820
ren	803
t p	797
e s	796
 po	787
t s	763
se 	761
t a	761
son	759
e p	758
che	756
 lo	749
s e	729
ui 	727
 to	725
ut 	722
men	699
ais	691
 gr	688
ran	687
por	687
eis	679
 vo	673
el 	669
s d	660
ot 	659
 ma	655
lor	653
e c	648
e d	634
ait	631
ez 	630
t c	626
e e	622
eit	621
qui	619
 ve	616
gra	610
 fa	604
 sa	601
os 	601
out	598
mai	590
 pr	588
e t	582
 il	581
rs 	576
e f	575
s l	574
ire	566
er
	560
fai	559
t m	552
e m	547
 fu	540
t t	537
er 	537
des	529
r l	526
s p	523
al 	522
ére	521
mou	516
ort	505
vei	501
 te	499
 tr	498
te 	495
e v	493
nz 	487
ste	482

de	481
ost	479
err	476
ist	473
 vi	472
 pl	472
con	468
vos	465
 fo	462
ill	459
s s	458
qua	457
si 	454
t f	453
s a	447
bie	440
n l	433
sei	432
s c	426
ign	425
dre	424
 un	424
sen	424
ers	423
ei
	421
hev	421
eva	418
 jo	417
com	416
 ce	415
ron	412
res	410
e
e	405
as 	404
e n	401
e a	399
ie
	398

ne	397
ei 	395
eme	395
 si	393
 do	392
un 	391
rt 	391
cha	390
t i	390
rre	389
rai	382
 no	381
tor	377

li	376
for	375
end	375
ns 	374
str	370
 ta	364
val	363
s f	362
ten	362
ors	362
 ot	360
ain	358
 fi	356
pre	355
fu 	354
 fe	354
a m	354
 bi	351
eie	350
 ci	350
ndr	350
eus	343
i r	343
 di	341
lai	339
cil	338
sse	337
mei	334
cor	333
t v	332
mes	330

se	330
tes	329
n s	328
ave	327
esc	326
n p	324
me 	322
 av	322
or
	322
nen	321
 pe	321
a t	318
t g	318
ven	318
es
	317
tan	317
rie	316
ne
	316
s m	315
nte	315
int	315
is
	315
le
	313
ver	312
e
q	312
a c	311
e r	311
t
e	311
iss	310
a p	307
ome	307
s n	306
don	304
mon	302
ter	300
uan	299
i d	298
chi	298
 du	296
t q	295
a l	292
eil	291
t b	290
 da	286
ele	285
age	283
mor	282
 va	281
enz	281
it
	280

a 	278
aut	278
z e	278
i p	278
i s	277
e
l	276
l d	276
i c	276

ca	274
i a	274
on
	274

ma	273

po	273
t o	273
 ba	272
oz 	271
s t	270
len	270
t n	270
 mi	270
tot	269
ine	269
e
c	268
lie	267
car	266

en	265
 o 	264
ein	263
e i	263
n c	262
ure	260
iez	260
 al	259
 gu	259
s v	258
sa 	258
lle	258
tra	257
esp	256
n e	255
gen	251
pas	251
rs
	250
iér	250
ale	247
i f	244
anz	244
e g	244
s q	244
ces	244
ai 	242
lui	241
ir 	240
ail	240
ons	239

pa	239
 on	239
i l	238

le	237
air	237
e
d	236
ass	235
del	234
ntr	234
ses	234
 ge	233
ço 	232
n a	231
ore	231
ert	230
 pu	229
uer	229
 lu	229
ee
	228
nos	228
ens	228
nes	228
gne	226
i e	225
une	224
sor	224
anc	224
uit	224
e
a	222
gua	222
 i 	221
s
e	221
ir
	221

si	220
ler	219
l c	218
r s	218
n d	217
r e	217
és 	216
nce	216
e
s	216
a s	216
 ho	215
rt
	214
orn	214
aus	213
s o	213
eüs	213
z l	212
nor	212
a v	211
i m	211
n f	211
eir	210

la	210
r m	210
art	210
ole	209
l l	209
plu	205
l p	204
rne	204
ssi	203
èle	202
rem	202
n m	201
ja 	200
e
p	200
utr	200
ast	199
ser	199
r d	199
n t	199
iz 	198
lus	198
nc 	198
ez
	197
n v	197
hie	197
one	197
 cr	197

ci	196
e
n	196
a f	195
e b	194
e
m	194
a g	193
 fr	193
e o	192
ge
	191
los	191
i v	189
nde	188
tei	188
ous	188
ssa	188
fer	188
ra 	187
jo 	187
 tu	185
cel	185
nse	184
 as	183
l s	182

mo	181
s b	180
e j	180
pri	180
ard	179
l e	178
ali	178
mis	176

il	176
 ri	176
onc	175
poi	175
rte	174
r c	173
lan	173
 cu	172
ie 	172
uar	172
ce 	170
ise	170
lon	170
e q	169
r a	168
ce
	167
r p	167
t
l	166
l n	166
uz 	166
pla	166
 bo	166
man	165
a d	165
sem	165
ès 	164
us
	164
ote	164
tui	162
emb	162
scu	160
a n	160
ris	159
rme	159
vre	159
enc	158
i t	158
t
q	157
z d	156
r n	156
eri	156
and	155
r f	155
mie	154
den	154
r
e	154
vai	153
 el	152
pué	151
tie	150
aig	150
 ar	149
cen	148
r t	147
 ço	147
mer	147
t
d	146
per	146
 na	145
eig	145
l m	145
vin	144
l f	144
ile	144
uel	143
ava	143
z a	143
ués	142
 ja	141
 ai	141
ble	141
van	141
in 	140
s g	140
eni	140
t r	140
ono	139
t j	139
 ti	139
 dr	138
orz	138
s r	138
dem	137
rra	137
vie	137
st
	137
toz	136
 nu	136
t
c	136
t
a	136
se
	136
om 	136
ié 	136
 ha	136
gre	136
eve	135
t
p	135
 pi	135
z s	134
s
q	134
hon	134
rde	134
te
	134
 am	134
oli	134
eng	133
tal	133
bat	133
lei	132
 au	132
von	132
aro	132
ni 	132
tai	131
nei	131
 ap	130
i o	130
gno	130
era	130
dra	130
ene	130
fon	130
l a	130
vau	130
sai	130
l t	129
s
l	129
cre	129
avr	128
non	128
lli	128

co	128
ame	127
sis	127
ite	127
l v	126
a e	126
dam	125
rz 	125
t
s	125
ras	123
stu	123
ges	122
jor	122
s h	122
uns	122
a r	122
 su	122
gie	122
due	122
pai	122
 or	121
o s	120
nch	120
tro	120
bar	120

so	120
eau	119
é l	119
r v	118
ge 	118
sir	118
l r	117
oig	117
r
l	116
has	116
t h	116
e
t	116
ace	116
ess	116
üs 	116
nge	115
dis	115
z c	114
deü	114
ece	113
cui	113
orr	113
z p	113
ner	113
ou 	113
in
	113
deu	112
 br	112
 ju	112
o l	112
oin	112
 vu	111
mbl	111
mil	111
os
	111
vue	110
z f	110
fre	110
r
s	109

un	109
al
	109
tu 	108
uen	108
s i	108
r
q	108
gue	108
ues	108
z
e	108
rge	108
 ni	108
dir	107
ins	107
nir	107
n n	107
sch	107
tin	107

ta	106
t u	106
ns
	106
emi	106
sto	106
aie	106
nz
	106
tyd	106
yde	106
ueu	105
uet	105
pro	105
sme	105
dor	105
 mé	105
s
p	104

to	104
pei	104
i b	104
eiz	104
ami	103
hau	103
he 	103
dou	103
s
s	103
s
d	102
n o	102
 be	102
e
o	101
san	101
uil	101
z m	100
cie	100
ive	100
ema	99
s
