Ngramme	Frequence
et 	1996
nt 	1740
que	1531
 qu	1460
le 	1435
ent	1364
 de	1302
es 	1252
ne 	1242
ue 	1181
 le	1160
en 	1124
us 	1113

qu	1077
 se	1073
che	996
il 	979
 ne	968
 ch	951

et	945
qui	940
ant	940
li 	909
 et	900
 vo	897
de 	885
 li	872
it 	871
est	866
re 	865
ous	850
 la	846
e l	820
ain	804
 co	792
si 	782
ns 	774
ui 	769
st 	761
 me	739
our	734
e s	712
t l	710
oit	709
 en	701
ien	701
nt
	692
out	682
is 	660
 a 	645
tre	631
ier	625
la 	622
e d	618
ais	609
 mo	598
se 	593
 pa	587
e e	583
e p	582
 es	582
e c	574
con	574
vou	573
e m	567
ut 	566
s e	560
ont	556
 sa	555
on 	551
t e	548
ele	547
mai	545
ire	542
e v	537
me 	534
t d	528
 si	520
t s	519
 ma	508
roi	499
 so	494
 il	488
t a	485
ur 	484
e n	473
tou	472
re
	466
oie	454
voi	453
ins	452
 po	452
rs 	449
par	447
s l	438
t c	435
les	431
 re	431
t p	430
 to	424
t m	423
men	419
 ve	400
s d	398
mes	392
fai	392
és 	391
e f	390
son	388
s s	386
mou	385
 di	385
 fa	382
er 	380
chi	379
s a	374
e a	371
res	370
t q	368
e t	359
el 	359
je 	359

si	358
er
	356
 pl	355
 pr	353
 je	349
ren	347
e
q	342
i l	342
e
e	341
sen	338
it
	337
ar 	335
te 	327
ait	326
i s	324
 tr	324
ois	321
tan	321
s c	319
des	318
ist	317
he 	312
ens	312

de	310
s n	308
t t	307
ie 	306
s p	303
or 	303
qua	303
e q	298
s q	298
pou	295
lai	293
ste	292
e r	289
ran	289
ven	288
t
e	286
sir	286
ie
	284
 gr	280
ame	277
 do	271
s m	269
 av	269
a d	269
 fu	265
lle	263
i a	262
ost	262

ma	259
t
q	256
 te	256
uil	255
cha	255
 da	254
dam	249
sse	249
e j	247
i p	245
nte	245
tes	245
ill	245
es
	242
 fo	241

ne	241
aut	240
vai	240
 vi	239
e i	237

se	236
gra	235
oir	234
t i	234
ons	233
r l	233
t v	233
onm	231
i c	230
str	228
rt 	227
nme	227
bie	227
ses	224
ors	224
 no	223
 ta	223
ten	223
avo	223
 bi	222
rai	222
ere	221
i d	220
ort	220
end	220
int	218
rie	218
eva	217
 du	217
ans	216
s v	215
ers	215
cou	214
is
	214
 pu	213
 lo	213
 mi	212
se
	212
e
s	211
te
	209
ns
	208
és
	208
ouv	207
st
	207
esp	202
uan	201
lie	200
ert	200
ise	199
i e	197
plu	197
n s	196
 nu	196
uel	196
ir 	195
a l	195
len	195
s
e	194
ser	194
