Ngramme	Frequence
et a	18
et de	17
cil qui	16
que il	14
et en	13
por ce	12
et la	11
quant il	11
et le	11
fet il	9
de mon	9
et li	9
et quant	8
a la	8
a deu	8
en son	7
que je	7
a son	7
de sa	7
de la	6
por deu	6
ne de	6
de lui	6
et sa	6
a grant	6
ce quil	6
et dist	6
que vos	6
deu qui	5
ce que	5
en la	5
deu et	5
et sanz	5
tant que	5
et bien	5
et par	5
plus est	5
et por	5
son pére	5
mon cuer	5
je ne	5
por la	5
a sa	5
de son	5
son fiz	5
pape innocent	5
la biére	5
la cité	4
de grant	4
por verité	4
et qui	4
en sa	4
sainte vie	4
de lor	4
il i	4
il aveit	4
qui plus	4
la mort	4
et si	4
de vos	4
se vos	4
près de	4
mon fiz	4
mout grant	4
si li	4
cort a	4
grant plenté	4
sa vie	4
a liglise	4
et mout	4
que jai	4
en ma	4
le cors	4
kar il	3
de rome	3
le plus	3
a povre	3
povre gent	3
qui por	3
si comme	3
comme il	3
sens et	3
jhesu crist	3
oie et	3
a toz	3
toz les	3
duel et	3
qui bien	3
et plus	3
son cuer	3
pére et	3
et grant	3
vint a	3
comme a	3
a si	3
pais et	3
commence a	3
et vos	3
seignor et	3
mon cors	3
la terre	3
il est	3
qui li	3
qui ne	3
toz jorz	3
et dit	3
il ne	3
que jamès	3
de ses	3
ses serjanz	3
sen sunt	3
quant alexi	3
qui a	3
cest cil	3
en liglise	3
la face	3
qui le	3
dreit a	3
saint pol	3
fu et	3
dont il	3
vers lui	3
sire fet	3
de mei	3
meson eufemien	3
mon ostel	3
ou par	3
quil sen	3
le saint	3
ce fu	3
ne vos	3
beau fiz	3
de vostre	3
vos ai	3
lasse lasse	3
le me	3
boen leu	2
et cil	2
et met	2
met a	2
fet que	2
sage et	2
son demage	2
fet son	2
son preu	2
vers deu	2
qui en	2
bien por	2
un conte	2
conte de	2
de bone	2
pour ce	2
son servise	2
et tel	2
face a	2
archade et	2
et honoire	2
la cort	2
cort et	2
ne fust	2
il ert	2
de boen	2
et debenere	2
debenere et	2
le jor	2
a ceus	2
ceus qui	2
mès son	2
de sainte	2
qui de	2
de deu	2
preu et	2
et del	2
a non	2
et se	2
ne fu	2
sanz vilanie	2
