Ngramme	Frequence
e de	109
li reis	86
de la	81
come il	52
fait il	49
que il	46
e li	45
de grant	45
e si	44
e mout	42
i ot	42
a la	41
ja mais	39
mout par	39
e la	38
a grant	37
de troie	37
de sa	37
e a	35
en i	34
ço que	33
la terre	33
grant joie	33
mout fu	32
de ço	31
la cité	31
e plus	30
por ço	30
mout en	30
ne fu	30
e par	29
que de	28
e qui	26
que li	26
par mi	26
vos en	26
li a	26
cil qui	25
e en	25
ne se	25
de lor	24
e grant	24
que la	24
de rien	24
en la	24
a troie	23
dit e	22
mout li	22
ainz que	22
proz e	22
ne de	22
que vos	22
de son	21
le jor	21
li grezeis	21
mout ert	21
ne li	21
que jo	21
la mer	21
mout i	21
a lor	21
le rei	20
que ja	20
mais ne	20
ja ne	20
a tant	20
dreit a	20
ne vos	20
en lor	20
i a	20
la gent	19
si com	19
e sa	19
ne sai	19
li plus	19
e bien	19
la contree	19
la nuit	19
cil de	18
a son	18
nus hom	18
e les	18
que nos	18
si grant	17
sa gent	17
qui mout	17
e granz	17
sa terre	17
a toz	17
toz jorz	17
e le	17
ne puet	17
ni a	17
de lui	16
e que	16
e maint	16
a fait	16
mi la	16
i aveit	16
fu de	15
tot le	15
pris e	15
la grant	15
mout grant	15
mout se	15
rien que	15
granz e	15
ni ot	15
quant il	15
qui de	15
par la	15
ne plus	15
reis prianz	14
com faitement	14
en son	14
ceus de	14
ne fust	14
il ne	14
de toz	14
par force	14
ot e	14
grant maniere	14
honte e	14
en ot	13
ço ne	13
e senz	13
ne si	13
quil ne	13
tote rien	13
com jo	13
se il	13
mout ot	13
ne par	13
de grece	13
cest païs	13
fu li	13
e beaus	13
toz les	13
en a	13
de nos	13
por poi	13
en ont	12
nul jor	12
nos en	12
ne que	12
en fu	12
la toison	12
mout esteit	12
que mout	12
fu la	12
dont il	12
que lom	12
ne qui	12
la nef	12
dès or	12
ont fait	12
hardiz e	12
o sei	12
li autre	12
tres bien	12
riche e	12
que ne	12
la vile	12
li troïen	12
rien ne	12
e por	12
par les	11
e del	11
ne lor	11
e cil	11
ne len	11
grant duel	11
qui la	11
