Ngramme	Frequence
et li	54
que il	43
et le	38
li done	34
il a	31
et il	30
quant tu	30
et se	27
quant il	24
de la	22
se il	22
et aprés	21
en tel	18
tu voiz	18
et la	18
et quant	17
le met	17
se tu	16
il ne	16
il sera	16
la goute	14
char de	14
tel meniere	13
jors et	13
la medicine	12
à mangier	12
sains quant	12
sera sains	12
li rois	11
que tu	11
il est	11
a la	11
met en	11
pran la	10
et mesle	10
mangier et	10
done li	10
tu le	10
en la	9
et les	9
medicine est	9
la char	9
et einsis	9
iii jors	9
aprés le	9
faucons et	8
lautre jor	8
et en	8
est tele	8
feu et	8
saches que	8
si le	8
pran le	8
faucon qui	8
aprés pran	8
done à	8
le tien	8
à la	7
qui est	7
de geline	7
au feu	7
et pran	7
voiz que	7
vin aigre	7
et puis	7
ta main	7
va oiseler	7
et ne	7
oisiaus et	6
des faucons	6
si li	6
et tu	6
car il	6
tele pran	6
aigre et	6
tel maniere	6
le faucon	6
en iaue	6
einsis sera	6
geline et	6
et lan	6
met au	6
juque il	6
et met	6
jor et	6
et garde	6
garde que	6
tu ne	6
ne le	6
il sont	6
il garra	6
garra quant	6
devant lui	5
commant il	5
comme il	5
ce que	5
en i	5
dou chief	5
la pierre	5
le chief	5
done mangier	5
pran une	5
le sanc	5
juque à	5
piez et	5
si pran	5
ix jors	5
char et	5
tu vues	5
la moitié	5
de chat	5
iaue et	5
ne les	5
dou pié	5
autres faucons	5
sera sanez	5
sanez quant	5
de lor	4
faire panre	4
et de	4
rois dancus	4
que je	4
quant vos	4
sachiez que	4
ansamble et	4
et lautre	4
avec la	4
une aguille	4
medicine en	4
la gorge	4
a ce	4
ce mal	4
muscatum et	4
une once	4
ne puet	4
viii jors	4
et une	4
fort vin	4
la passe	4
le laisse	4
aprés met	4
met devant	4
il soit	4
en oscur	4
as oisiaus	4
juque au	4
faucon et	4
faucon sont	4
gras et	4
nos avons	4
les piez	4
chat et	4
par iii	4
miel et	4
le viaus	4
diaue et	4
por ce	4
en fai	4
done et	4
por la	4
de coton	4
coton et	4
et sont	4
ne trop	4
si les	4
tu les	4
et si	4
mais que	4
en une	4
et commant	3
il les	3
hardiz et	3
granz oisiaus	3
oisiaus si	3
en sa	3
si en	3
il le	3
de toutes	3
tant de	3
rois galacians	3
se ce	3
ce est	3
je vueil	3
bien que	3
en lautre	3
les oisiaus	3
de faucons	3
goute qui	3
est dite	3
pierre in	3
in magone	3
vos veez	3
veez que	3
les iex	3
poivre et	3
mesle ansamble	3
li cui	3
les narilles	3
meniere que	3
aprés li	3
ou de	3
de burre	3
par les	3
le medicine	3
col et	3
la vainne	3
est sains	3
que la	3
chascun jor	3
à tierce	3
es rains	3
il tient	3
ce past	3
chief et	3
i pot	3
la fai	3
juques à	3
à ix	3
jors aprés	3
son bec	3
mesle tout	3
il se	3
aloe et	3
la geline	3
il prant	3
bec et	3
passe et	3
mesle avec	3
la tine	3
rouge et	3
au soloil	3
ne prant	3
vues faire	3
en ta	3
main et	3
done char	3
au premier	3
toute la	3
nuit et	3
de vin	3
de panre	3
tant comme	3
done la	3
moitié de	3
la cuisse	3
le jor	3
sor ta	3
et va	3
sont de	3
tuit faucon	3
ausis comme	3
avons dit	3
qui ont	3
ses pennes	3
burre et	3
au tiers	3
tiers jor	3
faucons qui	3
tu li	3
et oig	3
où il	3
et ce	3
blanc et	3
il nest	3
la mue	3
tu puez	3
en cele	3
et por	3
faucons que	3
lautre cuiçon	3
la plante	3
plante dou	3
autre faucon	3
aprés la	3
li met	3
el monde	3
si ne	3
jor done	3
le cui	3
bon et	3
plus en	3
quant ele	3
as oes	3
le cuis	3
roi dancus	2
rois fu	2
qui estoit	2
estoit en	2
lor faucons	2
il poissent	2
sains et	2
poissent faire	2
panre granz	2
autres oisiaus	2
puet estre	2
ceste chose	2
rois galaciens	2
la cité	2
rist et	2
moult li	2
le fist	2
fist venir	2
la quele	2
de tant	2
avec lui	2
il vit	2
li commança	2
à demander	2
il estoit	2
li respondi	2
tu ies	2
moult curieus	2
tu fais	2
panre i	2
i oisel	2
estre tes	2
tes desciples	2
et dist	2
tu soies	2
soies mes	2
mes desciples	2
lui et	2
moult et	2
jor li	2
tu as	2
as piez	2
terre et	2
à lui	2
son fil	2
li dist	2
tu viaus	2
lart des	2
la court	2
court le	2
le roi	2
toutes choses	2
que de	2
il fu	2
de malo	2
rains pran	2
le polmon	2
polmon et	2
le foie	2
en léle	2
iex et	2
et poivre	2
de laloe	2
la bouche	2
bouche et	2
leschaufe au	2
que ele	2
ele isse	2
isse de	2
de lautre	2
lautre part	2
li oing	2
grains de	2
mortier de	2
de pierre	2
es narilles	2
bombace et	2
voiz le	2
sanc de	2
mal si	2
maniere pran	2
et muscatum	2
et mirobalanos	2
de chascun	2
once et	2
et fai	2
tierce et	2
le puez	2
voiz de	2
pran mumiam	2
mumiam et	2
avec char	2
sanz doute	2
sains le	2
qui a	2
la cire	2
il fait	2
la coe	2
