Ngramme	Frequence
que il	134
mesire yvains	103
que je	80
et li	80
et si	77
de la	72
et de	70
et le	63
ne li	57
tant que	56
si li	56
et la	54
que vous	54
ne vous	53
je ne	49
que li	48
la dame	47
a la	44
et il	41
pour che	40
fait il	40
chil qui	35
che que	35
et je	35
et chil	34
quant il	34
et les	34
et par	33
je vous	33
vous en	33
ne se	33
ne le	33
ne me	32
en la	32
se il	32
il ne	32
se je	30
et mout	30
li rois	29
que la	29
quil ne	29
si le	29
li leons	29
de son	28
et a	28
que ja	28
de che	27
li a	26
se vous	26
ma dame	25
et pour	25
de lui	25
qui mout	24
que de	24
si grant	24
si se	24
fait ele	24
sa dame	24
de riens	23
il le	23
le roy	23
et mesire	22
de sa	22
mais je	22
ne de	21
ou il	21
li uns	21
la damoisele	21
li roys	21
et qui	20
ne ne	20
la voie	20
a le	20
a sa	20
a grant	20
mout bien	20
en sa	20
qui a	19
si con	19
qui de	19
et quant	19
tant quil	19
et ses	19
et dist	19
li dist	18
de moi	18
la puchele	18
a son	18
je sui	18
la ou	17
mout grant	17
je le	17
qui est	17
mesire gauvains	17
che ne	17
que on	17
il li	17
mais de	16
ni a	16
le porte	16
ne sai	16
de si	16
biau sire	16
que ele	16
et tant	16
si vous	16
de vous	16
mais il	15
mais ne	15
si ne	15
sire fait	15
tout le	15
qui si	15
et vous	15
et se	15
ne puet	15
qui se	15
ne sen	15
qui le	15
riens nule	15
quil li	15
si sen	15
que nus	14
ains que	14
qui vous	14
en son	14
conme il	14
et ele	14
que mout	14
ne men	14
que ne	14
et dit	14
les gens	14
et chele	14
pour le	14
che quele	14
ne set	14
en tel	14
le vous	14
grant joie	14
ne fust	13
que tu	13
riens ne	13
la fontaine	13
et plus	13
si que	13
que par	13
de ses	13
que a	13
son cuer	13
au leon	13
et des	12
qui en	12
vous estes	12
et bien	12
plus que	12
je li	12
que le	12
a faire	12
plus de	12
joie et	12
en i	12
bele et	12
bien et	12
avec li	12
et sa	12
quant je	12
vers le	12
qui la	12
plus grant	12
la bataille	12
se dix	12
ne fu	12
quil a	12
par la	12
bien le	12
pour quoi	12
vous plaist	12
de le	12
que nous	11
y a	11
mais or	11
che me	11
qui fu	11
fors que	11
et tuit	11
la nuit	11
et que	11
fait li	11
fait mesire	11
ne ja	11
ja ne	11
et son	11
a nul	11
il se	11
que ses	11
vous ai	11
pour la	11
toutes les	11
le dame	11
par le	11
il a	11
quil le	11
on li	11
li sires	11
qui tant	10
il y	10
que si	10
y ot	10
voie et	10
et che	10
en un	10
que plus	10
se tu	10
que les	10
li fait	10
et en	10
bien que	10
si me	10
le chevalier	10
sen va	10
ne porroit	10
quant ele	10
mesire yvain	10
il vous	10
a li	10
le damoisele	10
devant le	10
devant li	10
de vostre	10
pour li	10
li est	10
ne la	10
la mort	10
mout a	10
li plaist	10
mais pour	9
que onques	9
la roÿne	9
vous le	9
que bien	9
pour lui	9
que che	9
li cuers	9
se li	9
ni ot	9
tout maintenant	9
la court	9
hors de	9
des que	9
si tost	9
ne cuit	9
le cors	9
et tout	9
mout volentiers	9
je me	9
li chevaliers	9
et puis	9
car il	9
fort et	9
je men	9
mout li	9
a si	9
de mort	9
si les	9
nul fuer	9
dont il	9
de duel	9
a tel	9
il les	9
quele ne	9
a lui	9
li avoit	9
en a	9
que en	9
en chest	9
si a	9
vous ne	9
et nepourquant	9
qui pour	9
vous iert	9
pour riens	9
ma fille	9
a chele	8
chose qui	8
si fu	8
et fu	8
le roi	8
que ma	8
a plus	8
mesire keus	8
qui sont	8
lui ne	8
puis que	8
sen part	8
seur le	8
plus ne	8
si bien	8
vous dirai	8
tout a	8
que nule	8
le voir	8
les autres	8
mais se	8
le perron	8
et sans	8
le pin	8
a lautre	8
de mon	8
lui et	8
onques ne	8
aprés lui	8
quil est	8
dit que	8
la vostre	8
quil en	8
qui les	8
puis si	8
toute sa	8
dame et	8
la joie	8
que riens	8
lors li	8
puet estre	8
est il	8
on ne	8
de grant	8
mout est	8
a mout	8
grant paine	8
quil se	8
faire et	8
que pour	8
con il	8
li puet	8
chele qui	8
il sen	8
si conme	8
il en	8
cil qui	8
et cil	8
qui ne	8
il la	8
a vous	8
en grant	8
dame a	8
mout se	8
li autre	8
vers li	8
si len	8
tant con	8
ou ele	8
et toutes	8
tant quele	8
ou vous	8
li gaians	8
que trop	8
ne je	8
a bien	7
or est	7
qui sen	7
ne pour	7
li plus	7
drois que	7
nous ne	7
qui me	7
vous pri	7
vous avés	7
ne len	7
vous me	7
que chil	7
ne veul	7
estre et	7
mout y	7
fu en	7
en une	7
il me	7
riens qui	7
la maison	7
li ne	7
a ma	7
il avoit	7
la teste	7
aussi con	7
cheli qui	7
ne si	7
ele est	7
que se	7
chevalier qui	7
en nule	7
de lor	7
che est	7
a chest	7
du cheval	7
pour dieu	7
dame de	7
a sejour	7
ja par	7
tant ne	7
li ot	7
tous les	7
uns lautre	7
a mort	7
si est	7
est si	7
a droit	7
monseigneur yvain	7
a que	7
qui li	7
mout tost	7
la sale	7
de qui	7
chelui qui	7
grant duel	7
par foi	7
vient a	7
mais la	7
li prie	7
con vous	7
par les	7
ne veut	7
mout en	7
de par	7
vers la	7
ce que	7
il ni	7
a ses	7
or a	7
plaist que	7
de honte	7
le chastel	7
salue et	7
monseigneur gauvain	7
con li	7
mais que	7
a court	7
a dieu	7
si la	7
grant mestier	7
devant lui	7
et vit	7
son escu	7
et lui	7
maintenant que	7
li dui	7
dame fait	7
chevalier au	7
sor les	7
si sest	6
mout vous	6
estes vous	6
en vostre	6
quil avoit	6
est a	6
je nen	6
le puet	6
je vi	6
la forest	6
le court	6
tant conme	6
par son	6
sa fille	6
tuit et	6
a i	6
quil ni	6
ou de	6
de chest	6
parmi le	6
nus ne	6
sire et	6
ne puis	6
a une	6
est mout	6
pres de	6
que tout	6
uns a	6
si bele	6
plus tost	6
honte et	6
de ma	6
le fontaine	6
par lui	6
le pis	6
chil ne	6
le fait	6
toute la	6
sans faille	6
le grant	6
nule rien	6
la nouvele	6
en est	6
il ot	6
desous le	6
et du	6
la porte	6
si pres	6
que mesire	6
tost que	6
qui tout	6
quel part	6
a moi	6
plaist et	6
dist que	6
et lautre	6
li cors	6
je cuit	6
nous sonmes	6
pour vous	6
cuer et	6
le mort	6
et dix	6
dix le	6
quil nen	6
li fist	6
voir ne	6
ja de	6
jel vous	6
fet il	6
par foy	6
au plus	6
a tout	6
que sa	6
la main	6
tel que	6
le cuer	6
vous a	6
chevaliers et	6
jour que	6
mais li	6
conment il	6
il lor	6
sen vont	6
de soie	6
cors et	6
et vostre	6
la tere	6
tant de	6
le pas	6
mais mout	6
par quel	6
quant devant	6
dist sire	6
or me	6
mais che	6
venir a	6
entre les	6
quen li	6
li respont	6
li ont	6
li dïent	6
trop grant	6
grant pieche	6
ses leons	6
sa serour	6
li boins	5
fu de	5
pres et	5
onques mais	5
et vint	5
mout fu	5
bien sai	5
vous de	5
de sens	5
ne nous	5
fait la	5
au mien	5
se ne	5
che quil	5
il de	5
a poi	5
ne sui	5
em pais	5
mout me	5
que volentiers	5
pour moi	5
li si	5
fait le	5
con ne	5
ja nen	5
che qui	5
aussi conme	5
a quel	5
le pont	5
me dist	5
enmi le	5
en li	5
moi ne	5
du monde	5
mais tant	5
que devant	5
ne savoit	5
si tres	5
une grant	5
quil me	5
non et	5
que jai	5
et mon	5
dautre part	5
si fort	5
grant anui	5
je quit	5
nus hom	5
conmencha a	5
entre vous	5
en mon	5
que du	5
parmi la	5
car se	5
tant est	5
vous fait	5
sens et	5
car mout	5
sen fu	5
ou mesire	5
ou a	5
damoisele qui	5
perron et	5
et au	5
et lors	5
ja niert	5
mais plus	5
sor le	5
que tous	5
mort ne	5
sen fuit	5
nule guise	5
fu si	5
ja ni	5
estoit si	5
dame en	5
ses gens	5
nest mie	5
serviche et	5
dit quil	5
ses anemis	5
ne sera	5
mis et	5
quil vous	5
ja pour	5
son seigneur	5
li sans	5
fu mout	5
et nous	5
mie ne	5
conment puet	5
vous dites	5
pooit estre	5
dame qui	5
pour nule	5
a mon	5
il nen	5
et met	5
part et	5
du cors	5
tousjours mais	5
de li	5
en tout	5
conment ele	5
puet faire	5
dame ne	5
ai je	5
