Ngramme	Frequence
et li	32
en le	23
et en	21
a le	21
li pére	19
dist il	17
et si	17
et de	17
ne l	15
dist li	13
et le	13
nostre sire	12
kant li	11
ke li	11
ke il	11
ne de	11
de le	11
a diu	10
ja mais	10
et les	9
li mére	9
li puchiele	9
li sire	9
sains alexis	9
si grant	9
ki tant	8
de chel	8
kant il	8
en infier	8
a rome	8
or me	8
por diu	8
ki le	8
ot le	8
li sains	8
diu le	7
mout forment	7
en est	7
li a	7
ke ja	7
et il	7
france puchiele	7
de sen	7
le tiere	7
kil en	7
ne puet	7
le grant	7
es vos	7
est li	6
par le	6
mout grant	6
de rome	6
chou dist	6
por le	6
li doi	6
ke le	6
ki a	6
ne le	6
le li	6
ne te	6
tant ke	6
se mére	6
ke dius	6
por lui	6
le cuer	6
sen fil	6
le degret	6
si en	5
dius le	5
si le	5
droit a	5
ke mais	5
en sen	5
et a	5
sen pére	5
en se	5
de se	5
de sainte	5
ke tant	5
dius dist	5
grant goie	5
en chest	5
soit de	5
ki chou	5
od les	5
a chel	5
chelui ki	5
ne nus	5
por lamor	5
mére ki	5
mais ne	5
le sien	5
saint alexis	5
ke ne	5
en alis	5
le chitet	5
de ses	5
bien le	5
fius alexis	5
ke jou	5
mais li	5
sains hon	5
dis et	5
et siet	5
siet ans	5
cors saint	5
le cartre	5
ne li	4
a en	4
pries est	4
li diu	4
en sont	4
ki soit	4
en lor	4
ke nostre	4
sire par	4
le siue	4
li dame	4
et kant	4
en a	4
a un	4
et un	4
de lor	4
mais de	4
tot en	4
a sen	4
ke de	4
et ses	4
et sen	4
le cambre	4
si se	4
se fait	4
se femme	4
se car	4
dont li	4
tant a	4
tot le	4
puchiele or	4
les angeles	4
diu ne	4
dou siécle	4
a li	4
en un	4
chiaus ki	4
car li	4
li cors	4
lui ne	4
ki la	4
en chel	4
od toi	4
a grant	4
chel jor	4
ki ne	4
li biele	4
le puchiele	4
ne set	4
le mer	4
ou il	4
jou ne	4
en fut	4
il fut	4
nos en	4
a se	4
dou mostier	4
se bontet	4
vos le	4
ne ne	4
le saint	4
si me	4
le tien	4
une fois	4
si sen	4
por lenfant	4
sire dist	4
por cui	4
sos le	4
a a	4
ke me	4
si li	4
le te	4
li vois	4
doi roi	4
li pueles	4
li apostoles	4
par mi	4
mi le	4
an tens	3
grans dolors	3
ki de	3
tant ne	3
ne se	3
en avant	3
ki nos	3
sien cier	3
tos tens	3
sainte eglise	3
forment et	3
le fil	3
puis si	3
le roi	3
est alés	3
tant le	3
ses pére	3
vint au	3
de tot	3
en tot	3
se li	3
chel siécle	3
siécle ne	3
li siens	3
va si	3
prent a	3
dius te	3
fut et	3
si lont	3
ki dou	3
ke sarme	3
nos as	3
le virgene	3
mes pére	3
infier el	3
plus parfont	3
se france	3
sen a	3
et puis	3
a lautre	3
sor lui	3
le sale	3
tu mas	3
gentius puchiele	3
chele grant	3
grant dolor	3
chest siécle	3
me done	3
et tot	3
ou chis	3
por un	3
a men	3
diu amor	3
en paradis	3
tos chiaus	3
ki por	3
de paradis	3
entre iaus	3
ne caut	3
chou ont	3
ke tu	3
a toi	3
et od	3
cors ne	3
le jor	3
par bone	3
tot li	3
de tel	3
ke nus	3
chil ki	3
lamor diu	3
grant duel	3
si ke	3
te puist	3
puchiele ke	3
il a	3
en iert	3
ne fut	3
vint a	3
pris si	3
sepulcre ou	3
se boce	3
viers le	3
et nostre	3
alis le	3
ses mains	3
sen cors	3
hon ki	3
les povres	3
sen vait	3
il le	3
tel duel	3
me fais	3
et se	3
mais par	3
si est	3
trois fois	3
en te	3
li frans	3
le rechoit	3
vis et	3
il ne	3
damediu le	3
cui il	3
tel goie	3
li siergant	3
les grans	3
il les	3
les vit	3
