Ngramme	Frequence
et puis	20
que il	10
et si	10
que tu	10
et li	9
se tu	8
pour ce	8
et les	8
et quant	7
car il	6
et le	6
et lors	6
puis si	6
ce que	5
que vous	5
il en	5
je vous	5
le cerf	5
les fumées	5
te di	5
quant tu	5
li chien	5
ce te	5
la menée	5
lors dois	5
se il	4
bien le	4
il est	4
et se	4
que li	4
tes chiens	4
dou cerf	4
te vuel	4
sachiez que	4
mestier et	4
car li	4
li cers	4
les chiens	4
ta ta	4
cil qui	3
le sachiez	3
vous prije	3
comment il	3
se vous	3
en auront	3
chiens et	3
si ten	3
je te	3
il te	3
fai tes	3
par le	3
le pié	3
ce ne	3
ne doit	3
mais je	3
tu as	3
ce quil	3
il ne	3
et de	3
dois savoir	3
et sil	3
miex en	3
tu vois	3
le dois	3
chien et	3
dois tu	3
tant que	3
lons mos	3
en seront	3
tot adès	3
de la	3
si tost	3
tost que	3
le col	3
la teste	3
puis en	3
la queue	3
les deux	3
que cest	3
et as	3
dou cer	2
pour miex	2
pour aus	2
i a	2
a qui	2
mes tex	2
qui au	2
en a	2
il i	2
sil estoit	2
les autres	2
quil ne	2
convient ouvrer	2
vous au	2
il auront	2
si les	2
karesme et	2
et sec	2
sec et	2
et dur	2
ni soit	2
quant li	2
où tu	2
et lor	2
a ton	2
ton pooir	2
pooir et	2
et la	2
te convient	2
querre et	2
puis fai	2
est resons	2
resons et	2
nous te	2
te disons	2
a conoistre	2
quant les	2
esponde et	2
nuns hom	2
tu seras	2
vuel faire	2
jone cerf	2
cerf avoir	2
tu le	2
la seson	2
à ton	2
sa volanté	2
te fasce	2
savoir ou	2
chiens que	2
li tans	2
or vous	2
prije se	2
et il	2
il vous	2
ne puet	2
puet il	2
de tant	2
vuel bien	2
ne soiez	2
mes de	2
liemier car	2
entor le	2
le fort	2
si vous	2
ne me	2
me dites	2
je tai	2
pié et	2
et saches	2
saches que	2
des fumées	2
fumées qui	2
i vaut	2
que me	2
que je	2
le bos	2
tu auras	2
fait et	2
fai si	2
si que	2
tu puisses	2
tu dois	2
ou tu	2
et que	2
ton seignor	2
car tot	2
tot issi	2
issi faire	2
vous li	2
se le	2
bien est	2
laissier et	2
leu ou	2
ton chien	2
si met	2
met paine	2
et des	2
autresi dois	2
di et	2
li vallet	2
doivent estre	2
et quil	2
quil se	2
de faire	2
et par	2
par les	2
ce sachiez	2
sachiez et	2
le lit	2
met la	2
au descoupler	2
haut et	2
tost et	2
et viguereusement	2
qui te	2
et sieu	2
a la	2
deux menées	2
le destorne	2
quatre lons	2
mos et	2
dois corner	2
corner et	2
de voir	2
voir et	2
com jai	2
bien que	2
doit estre	2
ou à	2
ce saches	2
saches de	2
ta ho	2
corner ce	2
se je	2
prise corner	2
puis le	2
or entent	2
ni dois	2
pour voir	2
les espaules	2
la hampe	2
la bouele	2
que le	2
doit le	2
emsamble et	2
soit la	2
mon pooir	2
vous ai	2
cers as	2
cest chose	2
et au	2
plus haut	2
et plus	2
nuns ne	2
la chace	1
chace dou	1
cer si	1
si sont	1
sont aucun	1
aucun qui	1
qui santremettent	1
santremettent de	1
de rimer	1
rimer et	1
et grant	1
grant peine	1
peine i	1
i mettent	1
mettent li	1
li un	1
un le	1
le font	1
font pour	1
miex valoir	1
valoir et	1
li autre	1
autre pour	1
miex avoir	1
avoir damors	1
damors se	1
se mellent	1
mellent li	1
li auquant	1
auquant maint	1
maint revont	1
revont au	1
au tournoiement	1
tournoiement chevalier	1
chevalier pour	1
aus avancier	1
avancier luns	1
luns vuet	1
vuet trere	1
trere lautre	1
lautre lancier	1
lancier en	1
en plusors	1
plusors choses	1
choses se	1
se deduit	1
deduit loiaus	1
loiaus cuers	1
cuers sa	1
sa foiz	1
foiz le	1
le conduit	1
conduit tex	1
tex i	1
qui aiment	1
aiment faucons	1
faucons espriviers	1
espriviers et	1
et esmerillons	1
esmerillons mes	1
tex les	1
les porte	1
porte sor	1
sor son	1
son poing	1
poing qui	1
au cuer	1
cuer en	1
a pou	1
pou de	1
de soing	1
soing cil	1
qui de	1
de deduit	1
deduit sentremet	1
sentremet se	1
il naime	1
naime t	1
t ce	1
i met	1
met puet	1
puet pou	1
pou profitier	1
profitier et	1
et valoir	1
valoir sil	1
estoit quil	1
quil vousist	1
vousist savoir	1
savoir dun	1
dun deduit	1
deduit qui	1
qui les	1
autres passe	1
passe qui	1
qui bien	1
bien aprent	1
aprent petit	1
petit se	1
se lasse	1
lasse li	1
li deduiz	1
deduiz est	1
est si	1
si souverains	1
souverains qui	1
qui nest	1
nest rois	1
rois ne	1
