Ngramme	Frequence
que il	444
li rois	263
ce que	243
de ce	240
et de	234
pour ce	205
et li	176
que je	162
cil qui	135
que vous	131
de la	115
à ce	108
de lui	107
je vous	106
et à	100
ne vous	100
car moult	99
le roi	99
et que	98
et si	95
et moult	94
et cil	90
le cheval	90
au roi	86
de li	86
en la	85
que de	84
de là	84
là où	83
fait il	83
sa gent	82
sachiez que	81
roi carmant	81
de cuer	78
tant que	78
la royne	78
et sa	77
se il	76
que li	76
et la	76
de son	76
et quant	74
en son	73
à son	73
si tost	71
et pour	71
et cléomadès	71
li a	71
de tous	69
que ne	69
et il	68
rois carmans	68
qui moult	67
et lors	67
si que	66
à point	65
dist que	65
se je	64
à lui	64
ce ne	64
sa mere	64
ne li	63
que ele	63
ce quil	62
quant il	60
car bien	60
je ne	60
que la	60
la chose	60
sa fille	60
de sa	59
li dist	59
et bien	59
il ne	59
son cuer	58
moult li	58
vous di	58
moult très	57
à la	56
lui et	55
si grant	55
vous dirai	53
en tel	53
que cléomadès	51
ne fu	51
tous jours	50
grant joie	50
que cil	50
ne le	50
done ynabele	48
que nus	48
moult grant	48
ne fust	47
tout droit	47
la bataille	47
par la	47
la chambre	47
et en	46
ne sai	46
que à	46
et les	46
que on	46
si com	46
très grant	45
moult en	45
en ce	45
que ce	45
car il	44
et se	44
tost que	44
vous ai	44
vous en	44
en lui	43
pas ne	43
ne se	43
où il	43
si très	42
de toutes	42
se vous	41
quil ne	41
et le	41
la feste	41
son pere	40
plus que	40
dist cléomadès	40
par quoi	40
il li	39
la pucele	39
sire fait	39
le cuer	39
la terre	38
moult fu	38
ne de	38
à sa	38
de joie	38
et je	38
li fu	37
tel point	37
que en	37
le jour	37
lors li	37
car de	36
quant cléomadès	36
ce vous	36
mais ne	35
au plus	35
or vous	35
que moult	35
en fu	35
la grant	35
lors se	35
qui là	35
que plus	34
à cléomadès	34
cléomadès et	34
et maint	33
ceaus qui	33
ses cuers	33
et ses	33
i ot	33
son cheval	33
ainsi que	33
la bele	33
de grant	32
bien que	32
quil li	32
toutes pars	32
de tel	32
se sont	32
dist li	32
pour quoi	31
de tout	31
qui de	31
ce li	31
riens ne	31
la nouvele	31
cele part	31
bel et	31
à grant	31
je croi	30
que bien	30
ne povoit	30
mais de	30
ne me	30
o lui	30
que le	29
gent qui	29
fu si	29
lors sen	29
bele et	29
ne sen	29
il et	29
cuer et	29
fu et	28
estoit et	28
courtois et	28
car li	28
ainsi le	28
sen ala	28
que se	28
que tout	28
à tous	28
pour la	28
cléomadès moult	28
je le	28
de riens	28
et clarmondine	28
sage et	27
le vous	27
plus bele	27
à envis	27
car je	27
ce fu	27
qui à	27
et dist	27
puis que	27
tout à	27
bien et	27
ne la	27
près de	27
en i	27
la voie	27
en couvent	27
clarmondine et	27
clarmondine la	27
qui en	26
fu de	26
tout le	26
ses peres	26
la besoigne	26
il se	26
qui ert	26
li ot	26
moult durement	26
il avoit	26
bien le	26
pour voir	26
la main	26
rois et	26
par le	26
de duel	25
quil i	25
vers lui	25
selonc ce	25
le fist	25
qui le	25
fu la	25
que chascuns	25
que ses	25
li uns	25
i avoit	25
lors a	25
à faire	25
ains que	25
dont il	25
rois crompars	25
nest pas	25
et puis	25
de vous	25
vous pri	25
dou cheval	25
tout son	25
ce me	24
et vous	24
à celui	24
et dou	24
les dames	24
ainsi com	24
puis ne	24
ce sachiez	24
et ele	24
plus tost	24
moult se	24
il le	24
à cele	24
qui estoit	24
li chevaus	24
au cuer	24
son afaire	24
tant de	23
et ce	23
en li	23
que par	23
de leur	23
toute la	23
à droit	23
plus ne	23
et son	23
son pays	23
tant quil	23
com il	23
moult ert	23
jour que	23
et tout	23
la verité	23
de cléomadès	23
de bon	23
bien li	23
mere et	23
chastel noble	23
dou roi	22
à non	22
par droit	22
et grant	22
tous biens	22
que sa	22
li ont	22
de gent	22
en ot	22
de bien	22
cléomadès li	22
li cuers	22
nus hom	22
et qui	22
quil le	22
que si	22
droit en	22
leur a	22
il i	22
il en	22
tant com	22
dit li	22
en sa	21
avoec lui	21
que eles	21
croi que	21
dont je	21
à cui	21
celui jour	21
qui si	21
li et	21
il ert	21
moult à	21
car ne	21
bien en	21
et mainte	21
ken lui	21
car se	21
et bel	21
ne vit	21
moult volentiers	21
tout en	21
droit à	21
ce point	21
il de	21
après ce	21
pere et	21
car à	21
nule riens	21
à li	21
fu li	21
que mais	21
pour li	21
tout ainsi	21
et durbans	21
sai que	20
en leur	20
de si	20
com je	20
sans plus	20
ne ne	20
tous les	20
faire le	20
les trois	20
à mon	20
de par	20
a dit	20
a que	20
la gent	20
en quel	20
car si	20
vers le	20
qui la	20
ne sot	20
de fust	20
grant merveille	20
et tant	20
prist à	20
dont vous	20
pour le	20
fait ele	20
et comment	20
il a	20
à dieu	20
biaus et	19
fors que	19
il estoit	19
car en	19
au miex	19
estoit de	19
sa suer	19
en a	19
son fill	19
la maniere	19
tous li	19
de quoi	19
il la	19
dou tout	19
là se	19
roi et	19
honnour et	19
li autre	19
tout ce	19
la tour	19
il fu	19
à sebile	19
grant plenté	19
il est	19
son povoir	19
li avoit	19
lui ne	19
dou chastel	19
pour lui	19
que clarmondine	19
tout cil	19
moult me	18
mais à	18
ce est	18
qui ne	18
cors et	18
la plus	18
tout li	18
par lui	18
ne set	18
or ne	18
y ot	18
quoi il	18
moult bien	18
que nous	18
de ceaus	18
moult de	18
ne si	18
quil en	18
on ne	18
seur le	18
cheval et	18
qui li	18
au lieu	18
sachiez bien	18
car tout	18
comment il	18
quant la	18
y a	18
ce dist	18
ce mot	18
et lui	18
cléomadès lors	18
carmant et	18
car la	18
si quil	18
rois meniadus	18
bien sai	17
le firent	17
ot en	17
et courtois	17
de très	17
ne croi	17
ne plus	17
se de	17
et par	17
très bien	17
avoit à	17
cil dou	17
ne soit	17
con li	17
estoit que	17
ni a	17
qui bien	17
cheval de	17
les ot	17
que pas	17
la nuit	17
cléomadès le	17
point et	17
nus ne	17
cil de	17
que là	17
lors dist	17
kan que	17
ses trois	17
ou de	17
qui est	17
si bien	17
quant li	17
de moi	17
vous et	17
ne doit	17
toutes trois	17
les puceles	17
celui qui	17
moult len	17
pensa que	17
li plot	17
à clarmondine	17
pri que	17
de ci	17
la coustume	17
con ne	17
le chastel	17
sages et	16
sa femme	16
com cil	16
la raison	16
mais moult	16
tost fu	16
ert et	16
sagement et	16
estoit li	16
tost quil	16
si fait	16
il à	16
sen vint	16
lui se	16
de cele	16
là et	16
com vous	16
ot de	16
poins en	16
le don	16
est li	16
la vile	16
la cité	16
plenté de	16
lors fu	16
royne et	16
les autres	16
ne à	16
je la	16
se leva	16
que pour	16
moi et	16
et quil	16
ne pot	16
durbans et	16
quant les	15
la très	15
est de	15
en espaigne	15
pas que	15
quel part	15
bonne et	15
si bele	15
quil a	15
ot et	15
mais que	15
à lautre	15
ce jour	15
mais je	15
un petit	15
il ot	15
bien voit	15
enz ou	15
kan quil	15
avoit et	15
que jai	15
quil avoit	15
que tant	15
leur dist	15
nul jour	15
grant duel	15
moult le	15
quil se	15
vers la	15
lors est	15
ce quele	15
je sui	15
quant clarmondine	15
son sens	15
tout errant	15
contre lui	15
il vous	15
vous plaist	15
sa vie	15
sont venu	15
hé las	15
et leur	14
doit on	14
sai pas	14
rois qui	14
quant de	14
qui par	14
roi qui	14
avoit grant	14
cléomadès estoit	14
ce dont	14
gent et	14
de lor	14
chascuns daus	14
de celui	14
joie en	14
dit que	14
si à	14
avoit que	14
à i	14
cui il	14
lieu où	14
a en	14
car par	14
par son	14
dit et	14
feste et	14
à chascun	14
ot le	14
que faire	14
se ne	14
dusquà tant	14
i estoit	14
ce chastel	14
est venus	14
a à	14
vous ne	14
que ainsi	14
et cele	14
de clarmondine	14
mes cuers	14
bon gré	14
à vous	14
sor le	14
clarmondine moult	14
se diex	14
dist durbans	14
cléomadès en	13
moult est	13
à chief	13
chose qui	13
vous devis	13
li plaist	13
point que	13
rois de	13
et biaus	13
a et	13
moult les	13
bon afaire	13
ne fist	13
pour savoir	13
lonc tans	13
ce con	13
la biauté	13
miex que	13
noble et	13
ot la	13
fu moult	13
en maint	13
droit là	13
sans faille	13
avoit de	13
dist quil	13
qui les	13
en avoit	13
galdas des	13
des mons	13
ert li	13
gent de	13
cele qui	13
bien raison	13
de ses	13
y avoit	13
furent li	13
me samble	13
mais ains	13
jour ne	13
pour sa	13
qui erent	13
estoient et	13
quant poins	13
chascuns de	13
riches et	13
ne pourquant	13
ne men	13
kà paines	13
que quant	13
car ce	13
nuit et	13
et sage	13
com à	13
de savoir	13
devant le	13
biau sire	13
pas en	13
de moult	13
ainsi quil	13
ne vi	13
à nul	13
vous me	13
quil ot	13
fu lors	13
ou chastel	13
tant ne	13
ne je	13
tout erranment	13
la mort	13
moult doucement	13
quil ert	13
et lor	13
pour les	13
la mere	13
tous dis	13
tout kan	13
à chastel	13
bruns li	13
li hardis	13
de sens	12
je di	12
tant par	12
vous vorrai	12
ot non	12
celui tans	12
entour lui	12
ce le	12
de quel	12
savoit que	12
li roi	12
vint à	12
et bele	12
qui tant	12
que diex	12
si le	12
vous puis	12
preus et	12
tel chose	12
de voir	12
droit au	12
jour de	12
avint que	12
point de	12
si bel	12
gré et	12
pas à	12
que dou	12
et des	12
à une	12
de cel	12
en une	12
plus grant	12
quant à	12
il soit	12
entre ses	12
de plus	12
di que	12
et sen	12
où la	12
et très	12
la vie	12
nert pas	12
ses filles	12
ne les	12
lors sest	12
avoit en	12
se nus	12
et jour	12
que dire	12
ma suer	12
pour vous	12
le chevalet	12
moult sagement	12
li de	12
nul fuer	12
en lieu	12
le grant	12
son lit	12
mais il	12
mainte gent	12
lors pensa	12
carmans et	12
sot que	12
onques mais	12
li sambla	12
quant ele	12
ne que	12
cuers ne	12
qui il	12
li demanda	12
quant je	12
à moi	12
vous lairai	12
biauté et	12
len mercie	12
moult avoit	12
dedenz le	12
dames et	12
jusquà tant	12
quele avoit	12
bien à	11
en cui	11
il les	11
il ni	11
sa volenté	11
avoit non	11
roi marcadigas	11
et plus	11
que les	11
et ot	11
kà lui	11
la tierce	11
à leur	11
le voir	11
ce ken	11
que cele	11
mon povoir	11
sachiez de	11
à tant	11
à aus	11
cele nouvele	11
à paines	11
dou pays	11
ne len	11
ne puet	11
dor et	11
entre aus	11
sont de	11
cil là	11
où cléomadès	11
tout adès	11
ne savoit	11
nestoit pas	11
le dist	11
a la	11
à ses	11
moult ot	11
cest passé	11
en pluseurs	11
tost com	11
sen alerent	11
a moult	11
cele nuit	11
que jamais	11
jamais ne	11
cest li	11
ert de	11
par verité	11
par tout	11
ce seroit	11
grant feste	11
en mon	11
joie et	11
quant le	11
dire ne	11
est que	11
de vostre	11
rois dist	11
li est	11
len a	11
pou que	11
ses serours	11
quele ne	11
cléomadès dist	11
pour moi	11
li cors	11
vous voulez	11
tout maintenant	11
sen vont	11
il bien	11
quel pays	11
jà ne	11
quil la	11
qui vous	11
ne pour	11
trois puceles	11
li ert	11
ne porroit	11
vostre fille	11
dou sens	11
son conseil	11
que son	11
cléomadès sen	11
a fait	11
cléomadès sans	11
moult tost	11
commença à	11
et joiant	11
li fist	11
car tant	11
son devoir	11
à durbant	11
à sartan	11
que durbans	11
fait cléomadès	11
par sa	10
de biauté	10
de valour	10
où li	10
ces ii	10
sont et	10
joie de	10
on le	10
mais bien	10
ne puis	10
vie et	10
par raison	10
et plaisans	10
que jen	10
sa terre	10
furent et	10
se tint	10
moult près	10
fors de	10
maint pays	10
ot que	10
plus de	10
sa venue	10
dist bien	10
le fera	10
biaus fiex	10
li jours	10
son gré	10
li plaisoit	10
tout mon	10
et com	10
mal et	10
en estoit	10
gent que	10
et kà	10
vous iroie	10
iroie je	10
je contant	10
cléomadès à	10
que devant	10
cléomadès fu	10
tés que	10
kà la	10
ot fait	10
quil fu	10
cil li	10
que tost	10
cléomadès quant	10
ce di	10
pluseurs lieus	10
cléomadès si	10
tant a	10
ne comment	10
leur pays	10
quil pot	10
les joiaus	10
fist tout	10
ce mest	10
assez tost	10
vouloit et	10
jour quil	10
dist crompars	10
pas pour	10
en grant	10
et celes	10
là estoient	10
fait et	10
vous a	10
de ma	10
vous le	10
moult liez	10
vint tout	10
et donnour	10
len ont	10
triste et	10
de mon	10
ele et	10
à destre	10
lors savisa	10
très volentiers	10
le faisoit	10
que leur	10
cléomadès qui	10
lui moult	10
le lieu	10
trois damoiseles	10
plus en	10
li ne	10
grant biauté	10
que onques	10
quel chose	10
droit car	10
là ne	10
ou praël	10
grant pieça	10
si me	10
cléomadès dit	10
car sachiez	10
jà de	10
