Ngramme	Frequence
la dame	68
li quens	65
et li	57
et il	39
et dist	39
et quant	35
sire fait	33
quant il	31
fait il	30
et le	29
mesire tiebaus	27
et mout	23
li qens	22
et a	22
de la	21
a grant	21
li dist	21
et mesire	21
dame fait	20
grant joie	20
a la	20
et de	18
ke li	18
ke vous	17
dist sire	17
il estoit	16
dame et	16
quens de	16
cors et	16
mesire t	16
dist dame	16
lui et	16
a lui	16
si le	16
et si	15
et ele	15
il li	15
li soudans	15
de pontiu	14
le vous	14
ke il	14
et en	13
en grant	13
en la	13
le cors	13
et bien	13
le conte	13
de sa	12
li demanda	12
fait ele	12
fait li	12
et ses	12
vint a	11
fait la	11
saint pol	10
en son	10
vous avés	10
et se	10
parmi le	10
et vint	10
or me	10
et fist	10
molt grant	9
fu mout	9
si en	9
estoit et	9
fait elle	9
vous me	9
joie et	9
en sa	9
il se	9
car il	9
dist li	9
le vit	9
et ke	9
de saint	8
ki mout	8
je sui	8
vous donrai	8
venir si	8
se li	8
jou sui	8
jou vous	8
il ne	8
li uns	8
et les	8
comme vous	8
li fius	8
ke ele	8
se vous	8
cele dame	7
grant bien	7
mout estoit	7
en fu	7
vostre fille	7
vous ne	7
pontiu et	7
sa fille	7
fille et	7
il le	7
ke jou	7
vous en	7
dolans et	7
et jou	7
ne li	7
vinrent a	7
a le	7
piés et	7
et tant	7
avés oï	7
et la	7
mer et	7
ele vint	7
si les	7
vint en	7
en pontiu	6
mais il	6
dont il	6
boine dame	6
monteplia en	6
bien et	6
et prist	6
de tous	6
ele le	6
une nuit	6
dame se	6
jhesu crist	6
dame li	6
je vous	6
que vous	6
et elle	6
que il	6
la voie	6
ele dist	6
tant ke	6
jou ne	6
a dame	6
a son	6
ferir parmi	6
et prisent	6
les mains	6
il orent	6
le prist	6
si dist	6
u il	6
fol b	6
grant ire	6
li estoit	6
com il	6
et des	6
me dites	6
fius le	6
il furent	6
de sarrazins	6
et disent	6
son fil	6
quant la	6
si vous	6
au soudan	6
bien sai	6
et son	6
il avoit	5
en molt	5
fol e	5
tous les	5
fu fais	5
a j	5
quant ele	5
se jou	5
jou le	5
furent en	5
que de	5
ne vous	5
de li	5
en une	5
a une	5
dist a	5
voie et	5
il et	5
se diu	5
vit le	5
palefroi et	5
mains et	5
en j	5
çou fait	5
il vinrent	5
son palefroi	5
des larons	5
de grant	5
a ausi	5
pour diu	5
fu a	5
plaist vous	5
fol a	5
lor dist	5
ki ensi	5
par la	5
dame bien	5
la tere	5
et sen	5
i fu	5
avoec lui	5
avoit fait	5
en mer	5
dame ki	5
li et	5
dame a	5
et par	5
si comme	5
fu en	5
li marounier	5
li fix	5
le soudan	5
mout grant	5
vit si	5
la tiere	5
si fort	5
le soudant	5
par ma	5
sa cambre	5
dame le	5
dame dist	5
li boins	5
boins chevaliers	5
nous ne	5
la fille	4
dame fu	4
de le	4
dame en	4
et monteplia	4
dedens le	4
fu nee	4
pau de	4
tant com	4
de cele	4
crut en	4
poi de	4
ot de	4
si li	4
de vostre	4
u li	4
vous estes	4
a cui	4
il en	4
si me	4
a molt	4
dist tiebaut	4
son cuer	4
je le	4
il a	4
çou est	4
a diu	4
ne poons	4
saint jake	4
hoir de	4
monseignor saint	4
et i	4
un don	4
vous otroi	4
ke de	4
que li	4
t et	4
me poise	4
et muet	4
de ceste	4
diu et	4
ma fille	4
et murent	4
tant kil	4
un peu	4
se teurent	4
et mesires	4
a sen	4
se leva	4
plus de	4
la forest	4
forest et	4
il i	4
car jou	4
et sa	4
le voie	4
gent et	4
le dame	4
diu plaist	4
et plus	4
la boine	4
ens et	4
et alerent	4
il dist	4
commencha a	4
ke nous	4
main et	4
il les	4
après il	4
le cop	4
cop venir	4
le main	4
et mut	4
il lor	4
prisent le	4
li loierent	4
li tolirent	4
la chemise	4
chemise et	4
bele et	4
et fol	4
uns des	4
prist et	4
ke çou	4
ne me	4
lespee et	4
il vint	4
il estoient	4
fors ke	4
fist on	4
il fu	4
fu li	4
servir et	4
son païs	4
ausi grant	4
fist li	4
par le	4
chevalier et	4
fait de	4
se il	4
le vausistes	4
çou estoit	4
ke la	4
ses fix	4
fist le	4
bien portant	4
quens fist	4
fist apareillier	4
et as	4
quant li	4
as marouniers	4
a aise	4
si se	4
ensi fu	4
se croisa	4
mut et	4
vinrent en	4
tere et	4
a acre	4
acre et	4
ne les	4
les pooit	4
pooit départir	4
a boire	4
sire or	4
bonté se	4
dist il	4
i avoit	4
mie si	4
douna a	4
petit et	4
vous mavés	4
mavés dit	4
ele dame	4
si liés	4
jou li	4
et vinrent	4
au soudant	4
li ai	4
ai tolu	4
tolu mon	4
mon cors	4
de se	3
de doumart	3
dame si	3
tiebaus avoit	3
ses oncles	3
il navoit	3
mout dolans	3
femme et	3
et vaillans	3
dame de	3
le tierç	3
fil et	3
bien li	3
tiebaut et	3
il lot	3
sa maisnie	3
armes et	3
dame ot	3
biele et	3
grant biauté	3
ele fu	3
mout dolante	3
de ma	3
vous le	3
mais de	3
dist t	3
en lui	3
et cil	3
furent et	3
fait mesire	3
loÿ si	3
a mout	3
est a	3
ele se	3
oir dont	3
a cascun	3
nuit jut	3
en sen	3
lit et	3
ceste dame	3
et ne	3
soit servis	3
servis et	3
et au	3
il pensa	3
bras et	3
pleut a	3
mout et	3
çou que	3
que jou	3
saint jakeme	3
li requist	3
vous puis	3
daler avoec	3
avoec vous	3
loï si	3
si fu	3
fu molt	3
de moi	3
quant mesire	3
qens de	3
et me	3
je ne	3
vous volés	3
volés et	3
mains de	3
une boine	3
de par	3
par diu	3
tiebaut fait	3
et vos	3
mesire thiebaus	3
dist biaus	3
forest a	3
mesires t	3
lever et	3
sen alerent	3
petit demoura	3
ij voies	3
bone et	3
j poi	3
leva et	3
sans plus	3
dist au	3
fause voie	3
que la	3
que nous	3
les ij	3
il vit	3
sa main	3
de cose	3
dont cil	3
diu que	3
loierent les	3
les piés	3
il eurent	3
tolirent son	3
molt bele	3
lun des	3
mon frere	3
ki li	3
orent çou	3
dist seignour	3
jou ai	3
li tiers	3
leur dist	3
vit et	3
li dame	3
dame pour	3
une espee	3
ki fu	3
mout en	3
jesir a	3
cuida ferir	3
les coroies	3
rompi les	3
les loiens	3
ce poise	3
poise moi	3
et len	3
estoient venu	3
grant partie	3
ire et	3
ne len	3
que ele	3
ne mocirés	3
partie de	3
sa compaignie	3
si lor	3
païs et	3
on grant	3
joie de	3
de lui	3
monsegneur t	3
sen ala	3
il len	3
sa tiere	3
mout fist	3
a monseignour	3
monseignour tiebaut	3
après li	3
ne se	3
conter et	3
de gent	3
puis ke	3
tiebaus li	3
li respondi	3
quens li	3
niert mie	3
il vous	3
ke on	3
a conter	3
fol c	3
quil avoit	3
pour çou	3
ester et	3
jou volentiers	3
fort et	3
fu et	3
prist la	3
le fist	3
fist métré	3
le fons	3
le nef	3
la mer	3
avoec iaus	3
furent si	3
et ki	3
nef il	3
en le	3
de sarrasins	3
se nous	3
cil ki	3
conte et	3
de ses	3
com vous	3
envoia a	3
airs li	3
de parler	3
et sachiés	3
tiere de	3
en tel	3
tel maniéré	3
devant aumarie	3
vinrent encontre	3
la nés	3
respondirent ke	3
estoit en	3
fix le	3
se confessa	3
en mout	3
vint au	3
son pere	3
et pour	3
pour le	3
en haute	3
pere et	3
il virent	3
on le	3
tiere et	3
mer il	3
ses fius	3
mort ne	3
la volenté	3
volenté de	3
rala a	3
la cartre	3
a cestui	3
chevaliers et	3
vous grant	3
grant bonté	3
ma loy	3
vostre volenté	3
j autre	3
dame jou	3
en ot	3
tables et	3
eschiés et	3
soudans li	3
estoient et	3
nous avons	3
fain que	3
ele sen	3
lor fist	3
et petit	3
les viij	3
li fist	3
que cil	3
soit morte	3
ou il	3
le vaut	3
nous en	3
la prison	3
et vous	3
ne seroie	3
seroie mie	3
liés destre	3
ke je	3
avoec le	3
de tans	3
mon fil	3
jou voel	3
baron et	3
fist de	3
la bele	3
de bien	3
de pontieu	2
tans passé	2
passé ot	2
ot j	2
conte en	2
le siecle	2
en ce	2
nul oir	2
avoit une	2
une sereur	2
fu de	2
pontiu cele	2
si avoit	2
j fil	2
fil tiebaus	2
avoit a	2
a non	2
pol mais	2
mais povres	2
povres bacelers	2
estoit tant	2
un conte	2
mout ama	2
chevalerie et	2
siecle et	2
avoit un	2
pol ki	2
toute la	2
la contrée	2
sires et	2
mout vaillans	2
hom il	2
navoit point	2
estoit mout	2
dolans mais	2
un fil	2
en cele	2
une fille	2
criut et	2
et eut	2
bien xvj	2
xvj ans	2
mais dedens	2
se mere	2
mere morut	2
quens se	2
en pau	2
maisnie et	2
lot de	2
maisnie si	2
dun tournoiement	2
tournoiement apiela	2
apiela li	2
boins et	2
vaillans et	2
de boines	2
boines gens	2
hom et	2
de cui	2
li contes	2
mout biele	2
ele crut	2
biauté et	2
et ot	2
kele fu	2
morut dont	2
i et	2
quens ses	2
ses pere	2
quens ot	2
si estoit	2
tiebaut de	2
de domart	2
lapiela et	2
mout liés	2
car li	2
ameriés vous	2
sui j	2
les joiaus	2
joiaus de	2
fille li	2
qens fu	2
liés et	2
jo le	2
ne remaint	2
remaint sire	2
elle a	2
fille fait	2
bon chevalier	2
se vostre	2
vostre contés	2
contés estoit	2
a moi	2
moi deüst	2
deüst tous	2
tous venir	2
me tenroie	2
jo a	2
molt bien	2
bien mariee	2
mariee en	2
li mariages	2
mariages fu	2
fais li	2
pol i	2
i furent	2
et maint	2
maint autre	2
demanda et	2
tant comme	2
quens quant	2
vous doins	2
quens vint	2
a sa	2
vous ai	2
diu fait	2
ki a	2
mout bien	2
vostre cors	2
bien v	2
v ans	2
ans ensamble	2
ensamble mais	2
pesa a	2
cascun une	2
jut mesire	2
sen lit	2
et pensa	2
dont vient	2
mi et	2
poons avoir	2
dont dix	2
dix soit	2
au siecle	2
siecle bien	2
bien fais	2
fais il	2
monsengneur saint	2
as vrais	2
vrais requerans	2
quil li	2
sa voie	2
se dormoit	2
dormoit et	2
le tint	2
tint entre	2
entre ses	2
ses bras	2
don sire	2
il est	2
soit se	2
se je	2
je doner	2
congié daler	2
daler a	2
a a	2
grant déduit	2
a nostre	2
nostre seignor	2
seignor jhesu	2
car dont	2
moi et	2
il sapensa	2
de monseignor	2
droit et	2
dame ke	2
elle oïl	2
douner le	2
quil nos	2
et sainte	2
dons est	2
courtois et	2
jour et	2
et autre	2
leur lit	2
lit une	2
nuit la	2
sire je	2
me donés	2
puis sire	2
dame griés	2
griés cose	2
cose seroit	2
seroit a	2
a vostre	2
elle li	2
doutés mie	2
avés serés	2
serés vous	2
vous plus	2
vint et	2
requier un	2
est congiés	2
congiés daler	2
a monseignor	2
en galisse	2
galisse et	2
il nous	2
en cest	2
est mout	2
en lor	2
tant que	2
pontiu le	2
le seut	2
seut et	2
et manda	2
ce me	2
on et	2
il cest	2
poise sire	2
t fait	2
quant vous	2
et hastés	2
palefrois et	2
asés et	2
avoir sire	2
muet a	2
tant quil	2
a mains	2
de ij	2
ij jornees	2
jornees une	2
au soir	2
et demanda	2
ele seroit	2
seroit et	2
prés de	2
le sot	2
il çou	2
murent a	2
aprocierent de	2
nuit vinrent	2
apiela son	2
de forest	2
voie atant	2
atant se	2
teurent li	2
furent aparellié	2
aparellié si	2
jesir el	2
fist molt	2
se levèrent	2
et lisent	2
lisent noise	2
et fai	2
fai nostre	2
nostre maisnie	2
tourser et	2
et aler	2
et tu	2
tu remanras	2
que je	2
pesans et	2
il sen	2
demoura après	2
jors mais	2
fors que	2
de diu	2
i vinrent	2
vinrent si	2
si troverent	2
voies lune	2
lune bone	2
et lautre	2
se trouva	2
si apiela	2
son cambrelenc	2
sus et	2
lor voie	2
o moi	2
mie encore	2
de compaignie	2
fier des	2
des espérons	2
espérons ataing	2
ataing nostre	2
nostre gent	2
et di	2
laide cose	2
cose est	2
parmi forest	2
gnie cil	2
cil sen	2
sen va	2
va grant	2
grant aleüre	2
aleüre et	2
aler et	2
irons nous	2
nous et	2
sire se	2
plaist la	2
la bone	2
bone en	2
avoit larons	2
larons qui	2
la fause	2
pour faire	2
faire les	2
plus large	2
dame alons	2
alons de	2
diu cesti	2
cesti il	2
il entrent	2
entrent ens	2
alerent bien	2
bien le	2
le quart	2
quart dune	2
dune liue	2
liue la	2
bas et	2
dame moi	2
moi samble	2
nous nalons	2
nalons mie	2
mie bien	2
grant et	2
a lautre	2
il eut	2
devant lui	2
chevaus et	2
et cascuns	2
lance en	2
les ot	2
ot veüs	2
veüs il	2
ariere et	2
en vit	2
vit autres	2
vous esfreés	2
esfreés de	2
il salua	2
salua les	2
son salu	2
dist ce	2
vous ja	2
le glave	2
douta et	2
lui mais	2
mais au	2
t le	2
le toli	2
toli au	2
au laron	2
laron et	2
cil estoit	2
estoit mus	2
en fiert	2
fiert j	2
j parmi	2
et vit	2
il regarda	2
arriéré et	2
cose ke	2
apriés il	2
vint enviers	2
monseigneur thiebaut	2
le glaive	2
tiebaus vit	2
le douta	2
çou ne	2
pot et	2
estoit venus	2
et puis	2
fiert celui	2
celui ki	2
celui qui	2
lui parmi	2
ensi pleut	2
que des	2
des viij	2
li v	2
li ocisent	2
il caï	2
sans avoir	2
li grevast	2
grevast il	2
navoit espee	2
espee ne	2
espérons et	2
le coroie	2
coroie dune	2
dune espee	2
espee et	2
j buison	2
buison de	2
dusca la	2
elle estoit	2
estoit molt	2
si plouroit	2
dist segneur	2
si voel	2
voel avoir	2
avoir ceste	2
en ocist	2
ocisent son	2
sa robe	2
mains si	2
j buisson	2
buisson de	2
toute sa	2
ele estoit	2
maniéré li	2
li autres	2
autres dist	2
ai jou	2
autant i	2
vous et	2
tiers et	2
li quars	2
quars et	2
en li	2
nous mie	2
mie grant	2
grant preu	2
en ceste	2
et faisons	2
faisons de	2
puis le	2
le remetons	2
remetons a	2
aler ensi	2
car ces	2
me grievent	2
vit une	2
j des	2
vint vers	2
ensi le	2
fu dolans	2
mais plus	2
plus nen	2
faire ne	2
mal grét	2
cose ki	2
bien ke	2
dolante et	2
me desloiiés	2
cele part	2
part u	2
et voit	2
a tiere	2
larons ki	2
elle le	2
le cuida	2
si durement	2
que les	2
li furent	2
furent deseure	2
deseure et	2
le fiert	2
fiert si	2
le bleça	2
coroies et	2
il senti	2
senti les	2
saca a	2
et rompi	2
et sali	2
sali sus	2
huimais et	2
dist certes	2
certes sire	2
moi il	2
li toli	2
toli lespee	2
li mist	2
venu et	2
a lentree	2
lentree si	2
de çou	2
çou ke	2
avoit veü	2
en aucun	2
aucun tans	2
tans et	2
plus et	2
si que	2
cui il	2
sailli sus	2
çou poise	2
et apriés	2
la main	2
le ramena	2
encontre iaus	2
iaus et	2
lor demandèrent	2
les a	2
bien de	2
de coi	2
la nuit	2
et revint	2
bien fist	2
maison et	2
et reprist	2
reprist la	2
a si	2
si grant	2
avoit menee	2
menee fors	2
son lit	2
lit u	2
molt fist	2
dames et	2
jor li	2
biaus fix	2
me contés	2
aucune aventure	2
veüe u	2
u oï	2
oï dire	2
t li	2
ala et	2
son peierinage	2
il ot	2
fist a	2
païs a	2
len avoit	2
revint en	2
si i	2
lui a	2
biaus fius	2
ki ne	2
nule aventure	2
aventure conter	2
autre fois	2
dire vient	2
mie en	2
en loïe	2
loïe de	2
de tant	2
tant de	2
mena a	2
j chevalier	2
une dame	2
dist que	2
il lavoit	2
a autel	2
li proia	2
ke mesire	2
dist ke	2
une piece	2
monseigneur tiebaut	2
me plaist	2
plaist ke	2
