Ngramme	Frequence
la reïne	136
que il	135
et li	107
et cil	105
que je	91
li rois	89
et si	88
de la	85
cil qui	76
por ce	71
ne vos	69
et de	65
li chevaliers	62
ce que	62
et la	56
et dit	53
quant il	51
si li	50
tant que	49
a la	45
fet il	42
quil ne	42
ne li	41
et il	40
que li	38
la pucele	38
le roi	37
de ce	37
et quant	37
et molt	37
a tant	35
que vos	35
ne me	35
je ne	34
se il	34
a grant	34
vos an	33
et a	33
ne se	31
que la	31
an la	31
qui molt	31
fet li	30
si san	30
la dameisele	29
et les	29
la ou	28
se vos	28
li uns	28
de lui	28
li a	27
que cil	27
la charrete	26
rien ne	26
molt grant	26
et por	26
la bataille	26
je vos	25
qui le	25
et je	24
il li	24
le chevalier	24
ne la	24
qui de	24
mes ne	23
que tu	23
si con	23
ja mes	23
molt tost	23
il ne	23
se je	23
ja ne	23
qui est	22
a lui	22
de rien	22
a son	22
si grant	22
messire gauvains	22
ou il	22
ne ne	22
ne le	21
ne sai	21
por coi	21
que por	21
tant quil	21
com il	21
por deu	21
si le	21
et par	21
grant joie	21
tot le	21
an son	21
et se	21
il le	21
li dit	20
se li	20
que de	20
la voie	20
la tor	20
si que	19
ni a	19
qui la	19
et le	19
au chevalier	19
qui a	19
celui qui	19
de sa	19
et sa	19
de son	19
fors de	19
et cele	18
se tu	18
joie et	18
li respont	18
et an	18
bien le	18
cil respont	18
ce quil	17
mes que	17
tot maintenant	17
et lors	17
et bien	17
de lautre	17
li dist	16
il la	16
en a	16
lors li	16
et ses	16
et vos	16
cil li	16
avoec lui	16
ne fu	16
au pont	16
or androit	16
car il	16
son cheval	16
de moi	16
que ele	16
ne fust	16
la cort	15
vos ne	15
que ja	15
ne san	15
molt bien	15
quil ni	15
si la	15
ces qui	15
il i	15
san vont	15
par le	15
molt volantiers	15
que molt	15
ne ja	15
la teste	15
ma dame	14
tant con	14
an cest	14
bien que	14
de vos	14
dit que	14
fet ele	14
fet la	14
mes se	14
i ot	14
monseignor gauvain	14
grant piece	14
sor la	14
ne de	14
an est	14
quant vos	14
et sanz	14
le me	14
a ce	14
ne puet	14
a li	14
si bien	14
son fil	14
de lancelot	14
par foi	13
la sale	13
un chevalier	13
quil li	13
et tant	13
la novele	13
mes je	13
que ce	13
quant je	13
que bien	13
a un	13
mes a	13
ce ne	13
et des	13
li autre	13
nest pas	13
li ot	13
si se	13
mes il	13
lui et	13
que le	13
et que	13
des que	13
por la	13
ne si	13
de cest	13
por lui	13
molt an	13
que nus	13
et lanceloz	13
plus ne	12
tuit li	12
li chevalier	12
le vos	12
cil dit	12
tote la	12
si vos	12
quil a	12
qui li	12
san va	12
quil le	12
la fenestre	12
onques ne	12
par tot	12
qui an	12
molt se	12
lautre part	12
puet estre	12
par les	12
de rechief	12
honte et	12
qui ne	12
mes de	12
qui sont	11
por moi	11
et ele	11
ne por	11
li seneschax	11
pres de	11
con li	11
pas ne	11
je te	11
les genz	11
nest mie	11
pont de	11
de lespee	11
dit li	11
il est	11
se dex	11
il se	11
tant li	11
con je	11
de grant	11
de ses	11
je sui	11
que ne	11
or est	11
est venuz	11
ce est	10
la dame	10
tant com	10
a dit	10
et sachiez	10
et tuit	10
par la	10
grant duel	10
car molt	10
le jor	10
ne lan	10
molt li	10
tot a	10
maintenant que	10
et plus	10
a vos	10
son lit	10
ou la	10
de ces	10
et son	10
que trop	10
deu et	10
sor le	10
nus ne	10
lui ne	10
an ceste	10
et sil	10
roi artu	10
por rien	10
an tel	10
et qui	10
del païs	10
a fet	10
li vavasors	10
cest païs	10
plus que	10
qui tant	10
si ot	9
ce me	9
ez vos	9
ne te	9
au roi	9
rien que	9
vos le	9
si est	9
les autres	9
vos estes	9
chevalier qui	9
reïne et	9
enmi la	9
de li	9
que nos	9
uns lautre	9
et puis	9
quil na	9
vos plest	9
chevalier et	9
et grant	9
il ni	9
a sa	9
et del	9
il fu	9
pris et	9
si quil	9
quil est	9
lors a	9
molt est	9
rien nule	9
a cele	9
le gué	9
le cuer	9
li avoit	9
moi ne	9
grant honte	9
son escu	9
por li	9
tant ne	9
si com	9
dit sire	9
por le	9
chevaliers et	9
qui se	9
et fet	9
tant de	9
quil se	9
toz les	9
se lieve	9
vient a	9
a toz	9
sa parole	9
sil vos	9
molt a	9
maïst dex	9
la chose	9
tost et	9
ses filz	9
por voir	9
ne je	9
reïne qui	9
a feire	8
come cil	8
mes tant	8
devant le	8
dames et	8
que les	8
biax sire	8
con vos	8
li prie	8
est li	8
ja de	8
je la	8
cui molt	8
mes li	8
que del	8
vers la	8
sor un	8
et messire	8
grant aleüre	8
chevaliers qui	8
tant a	8
la nuit	8
est an	8
et ja	8
sa vie	8
cheval et	8
quil san	8
voie et	8
le voir	8
pas que	8
et tot	8
filz le	8
einz est	8
vos ai	8
vos me	8
cil de	8
est de	8
de tel	8
ne set	8
si tost	8
piece a	8
a deu	8
tant le	8
feire et	8
molt me	8
or a	8
ja dex	8
que cest	8
qui les	8
bien et	8
de ci	8
de logres	8
que se	8
a tot	8
veez vos	8
sanz faille	8
si maïst	8
et dist	8
que an	8
je bien	8
li filz	8
vos et	8
dit et	8
ceste terre	8
fors que	8
molt estoit	8
qui plus	8
et meleaganz	8
puis que	7
est il	7
fu la	7
avoec li	7
a cort	7
chevaliers a	7
ne tan	7
reïne li	7
je man	7
an ma	7
a dire	7
de toi	7
est ce	7
et kex	7
sire fet	7
est a	7
dame fet	7
por vos	7
quant ele	7
devant lui	7
ce sachiez	7
con ge	7
reïne an	7
reïne a	7
son comandemant	7
aprés le	7
un seul	7
mes an	7
li chevax	7
a nul	7
je cuit	7
ni avoit	7
le hiaume	7
a ces	7
aprés la	7
et voit	7
an sa	7
lui se	7
a molt	7
et ce	7
grant et	7
chevaliers de	7
dautre part	7
il san	7
qui fu	7
la lance	7
qui estoit	7
son cors	7
cors et	7
puis si	7
uns chevaliers	7
li autres	7
a mon	7
mes la	7
bel et	7
que par	7
quant cil	7
fet cil	7
sa lance	7
les enarmes	7
les escuz	7
san est	7
est molt	7
que si	7
de vostre	7
an quel	7
cele part	7
que a	7
le col	7
que ge	7
li est	7
toz jorz	7
ja nus	7
li fu	7
si ne	7
a terre	7
ses ialz	7
mes por	7
quant la	7
la rien	7
ne tant	7
que jai	7
fet ce	7
qui me	7
mon seignor	7
toz ces	7
qui onques	7
del rëaume	7
il estoit	7
et dïent	7
que tant	7
toz li	7
la lande	7
sa mort	7
fet meleaganz	7
vos a	7
fet lanceloz	7
qui mialz	7
est si	7
que rien	6
me sanble	6
terre et	6
dire et	6
ne lor	6
quil ot	6
sachiez bien	6
por vostre	6
il vos	6
dit quil	6
vint devant	6
lui si	6
de quel	6
vostre merci	6
