Ngramme	Frequence
que je	49
et dit	41
por quoi	39
ja mes	37
a la	37
que il	34
por ce	32
de la	32
quant il	31
je ne	29
ce que	28
li chevaliers	28
cil qui	28
ne sai	27
que vos	26
meraugis qui	25
et si	25
se je	24
et tant	24
et cil	24
que ja	23
en la	23
que li	22
et li	21
par force	21
toz jorz	20
sen vet	20
li rois	18
la dame	18
mes ne	16
je vos	16
et je	16
quil ne	16
se tu	16
qui fu	15
ne li	15
tant que	15
com il	15
tant quil	14
a tant	14
et meraugis	14
en i	14
de moi	14
la voie	14
qui ne	13
riens ne	13
sui je	13
et quant	13
et la	13
li nains	13
la cité	13
ni a	12
et de	12
nus ne	12
ce quil	12
et il	12
que tu	12
qui li	12
dit meraugis	12
dit que	12
ne se	12
tu es	12
sen vont	12
par foi	12
la mer	12
li lois	12
de son	11
le roi	11
li plus	11
devant la	11
que de	11
de ci	11
par mi	11
en mi	11
qui mout	11
que nus	11
de lui	11
je te	11
la main	11
la tor	11
cil de	11
qui est	10
de sa	10
si grant	10
qui la	10
les dames	10
la ou	10
fet il	10
de ce	10
se vos	10
que par	10
au tref	10
le chevalier	10
la bataille	10
li chevalier	10
tant se	10
la nef	10
ne vos	9
il ni	9
de grant	9
la pucele	9
toz li	9
sa terre	9
que ce	9
en sa	9
li dit	9
vos en	9
la nuit	9
mi la	9
quan quil	9
la fin	9
il ne	9
la meslee	9
tant sen	9
que meraugis	9
lors dit	9
ne puet	9
car je	9
je voi	9
sanz non	9
la porte	9
qui tant	8
preuz et	8
la damoisele	8
me plest	8
si ne	8
que la	8
et plus	8
et por	8
i ot	8
dou tot	8
ce ne	8
la terre	8
tuit li	8
dame qui	8
si li	8
plus que	8
et lors	8
ne fu	8
sa lance	8
a meraugis	8
ja ne	8
chevaliers qui	8
a lui	8
et mout	8
a sa	8
la croiz	8
qui de	7
ce fu	7
ce me	7
ne la	7
la gent	7
qui estoit	7
ne sen	7
si vos	7
car il	7
toz les	7
fors dou	7
quant je	7
je sui	7
ne te	7
et se	7
fors de	7
vos diroie	7
de par	7
loutredotez qui	7
chevalier qui	7
devant que	7
il est	7
est einsi	7
et en	7
ou il	7
en cest	7
non et	7
qui pas	7
plus forz	7
einsi le	7
mes il	7
plus de	7
par tot	7
