Ngramme	Frequence
que je	27
fet il	22
je ne	17
fet ele	15
que vous	12
en son	9
je vous	9
en la	9
ne sai	8
a ce	8
de son	8
ne li	8
dame fet	8
puis que	7
por ce	7
se je	7
la dame	7
vous en	7
ne me	6
plus que	6
de la	6
et de	6
il est	6
que li	6
que il	6
ne cuit	5
a son	5
il se	5
la grant	5
de tant	5
de moi	5
mon cuer	5
ni a	5
la voie	5
por rien	5
et si	5
a ami	5
il a	5
si bel	5
que jel	5
por qoi	5
a fere	4
tout ce	4
fors de	4
qui a	4
je vueil	4
a la	4
qui de	4
son afere	4
ne fu	4
se li	4
li est	4
ses iex	4
or ne	4
et que	4
quil ne	4
font il	4
ne si	4
si en	4
mout grant	4
de rien	4
douce dame	4
qui en	4
je bien	4
et li	4
sire fet	4
nest pas	4
se vous	4
et je	4
de mamor	4
onques mès	4
en grant	4
son doit	4
comme il	4
vueil pas	3
bien dire	3
mon sens	3
ne vueil	3
ceus qui	3
que jai	3
bien en	3
ou il	3
bien a	3
quil le	3
ce li	3
a un	3
si com	3
vient a	3
qui bien	3
mis en	3
et por	3
et a	3
ce qui	3
en cest	3
de lombre	3
cuit pas	3
qui si	3
si comme	3
ne de	3
mès il	3
qui mout	3
a certes	3
quil estoit	3
quil en	3
ce nest	3
cil qui	3
amors qui	3
quil li	3
et sa	3
a force	3
com cil	3
grant biauté	3
qui li	3
il nest	3
veut que	3
ce ne	3
ou ele	3
ne puet	3
por dieu	3
et pitiez	3
je cuit	3
en sa	3
sai que	3
son pensser	3
avez fet	3
com vous	3
vous avez	3
quar je	3
je ni	3
il je	3
vueil que	3
a mout	3
li ont	3
est il	3
si compaignon	3
est en	3
mout li	3
je ai	3
que jaim	3
sui je	3
vous le	3
de ce	3
vous me	3
parole et	3
ce que	3
rien que	3
ha dame	3
ce est	3
moi a	3
vous fet	3
cortoisie fere	3
ne set	3
a il	3
il en	3
ja mès	3
je voi	3
si ne	3
ou par	3
si maït	3
maït diex	3
ce seroit	3
son anel	3
en vo	3
a cui	3
si tost	3
si bien	3
bien ne	3
qull le	3
la vostre	3
le me	3
diex fet	3
je li	3
li lais	3
ma douce	3
de bien	2
quar puis	2
en dit	2
en fet	2
est qui	2
ne lait	2
qui por	2
a dire	2
por quil	2
je puis	2
cuit je	2
je que	2
que on	2
et miex	2
miex vient	2
vient de	2
bone eure	2
je di	2
di voir	2
tost mis	2
de lavoir	2
met en	2
celui qui	2
qui le	2
lai je	2
a bien	2
a grant	2
qui me	2
len dit	2
et bien	2
je faz	2
de maintes	2
maintes en	2
son non	2
en ot	2
ne trop	2
de grant	2
mout bien	2
la ou	2
nen ot	2
dame nen	2
a nule	2
ne sen	2
quar il	2
et frans	2
frans et	2
aus armes	2
quant il	2
fere a	2
torné son	2
li chevaliers	2
vous di	2
vousist que	2
chevaliers ne	2
