Ngramme	Frequence
que il	207
et si	160
et li	141
messire gauvains	122
fet il	100
que ge	98
que vos	96
de la	91
et la	84
li vaslez	83
et il	77
por ce	77
a la	75
et de	74
et cil	72
li rois	72
la pucele	72
ce que	69
que je	67
si li	67
et les	66
tant que	66
an la	61
ne vos	59
cil qui	58
et messire	55
que li	53
et dit	53
fet li	49
il ne	48
ne li	46
si con	46
le roi	46
se vos	45
li dist	45
vos an	43
la reïne	43
que tu	41
de ce	40
et por	39
et quant	37
li chevaliers	37
qui mout	37
il li	37
et dist	37
que ele	37
que ja	36
ou il	36
et se	36
si le	35
ne me	35
an son	34
si san	33
et le	33
et vos	33
que de	32
la dameisele	32
quil ne	31
que lan	31
se dex	31
par foi	31
con il	31
la lance	30
biau sire	30
de son	30
que la	30
por coi	29
ne sai	29
se il	29
sire fet	29
et ge	29
ge ne	29
ge vos	29
se tu	28
et que	28
dist sire	28
grant joie	28
qui la	28
et a	28
la porte	28
mes il	28
ne le	27
tot le	27
li uns	27
et ses	27
qui de	26
a lui	26
de lui	26
fet la	26
et cele	26
li prodon	26
quant il	25
qui est	25
or me	25
au roi	25
dit que	25
par le	24
et mout	24
son cheval	24
li a	24
se ge	24
a non	23
mout bien	23
il le	23
a son	23
et tant	23
celui qui	23
an sa	23
le chastel	23
monseignor gauvain	23
qui le	22
mout grant	22
ma mere	22
la ou	22
et an	22
san va	22
sor le	22
ne puet	21
de sa	21
ne de	21
le vos	21
par la	21
a grant	21
il i	21
la teste	21
et par	21
devant le	21
dex me	20
ne ne	20
si que	20
la sale	20
ne fu	20
qui ne	20
ne se	19
sa mere	19
bien que	19
que mout	19
vos ne	19
il me	19
si se	19
quil li	19
les dames	19
toz les	18
ne set	18
totes les	18
que nus	18
qui li	18
de moi	18
si grant	18
que dex	18
sa lance	18
a ce	18
ja ne	18
devant lui	18
i ot	18
qui a	18
ge le	18
si ne	18
si la	18
et ele	18
et qui	17
ce est	17
et des	17
li sires	17
li dit	17
ce ne	17
de vostre	17
bien le	17
fet ele	17
je vos	17
il a	17
qui fu	17
qui an	17
et bien	17
del chastel	17
la nuit	17
le cheval	17
rien ne	16
por le	16
et je	16
rois artus	16
li chevalier	16
et sa	16
lui et	16
vos i	16
de mort	16
a une	16
por lui	16
ni a	16
nule rien	16
qant il	16
bien et	16
de vos	16
fet messire	16
il ot	15
tuit li	15
ma dame	15
se li	15
les puceles	15
chevalier qui	15
con ge	15
si vos	15
mes que	15
la main	15
si a	15
il la	15
que cil	15
que ce	15
que a	15
quil ni	15
qui sont	14
et tuit	14
vers le	14
me dites	14
au chevalier	14
