Ngramme	Frequence
saint george	28
en dieu	8
de dieu	8
a dieu	8
les gens	7
que tu	7
de par	6
dist que	6
a grant	6
le dieu	6
tout le	6
tout son	5
de la	5
a la	5
lui dist	5
dieu le	5
quant lemperere	5
lui a	5
en la	5
si grant	5
le peuple	5
la ville	4
que il	4
le serpent	4
de lui	4
et dist	4
ceulx qui	4
je vous	4
george lui	4
les crestiens	4
cellui qui	4
son dieu	4
la teste	4
dieu que	4
la femme	4
tu crois	4
le filz	3
filz sainte	3
sainte marie	3
mis a	3
dieu fist	3
pour lui	3
toutes les	3
ce que	3
qui est	3
george dist	3
dist a	3
dieu a	3
a de	3
a saint	3
sans demourance	3
george en	3
et si	3
de son	3
fut moult	3
ot fait	3
fait faire	3
quant il	3
si lui	3
je croy	3
le monde	3
mon dieu	3
le pere	3
que george	3
que dieu	3
et lui	3
car il	3
a dit	3
a haulte	3
haulte voix	3
a commandé	3
que ne	3
je croiray	3
par jhesucrist	3
le miracle	3
plus de	3
ton dieu	3
et a	3
les dieux	3
que vous	3
la royne	3
aux cieulx	3
de saint	2
par le	2
la vie	2
george et	2
sans ce	2
que pour	2
qui prist	2
lui si	2
par trois	2
trois fois	2
prist mort	2
laide et	2
en une	2
par son	2
le jour	2
de paour	2
un enfant	2
et qui	2
si y	2
a ses	2
grant dueil	2
pere et	2
estoit de	2
de belle	2
quant elle	2
elle fut	2
en son	2
le chief	2
son cuer	2
je vois	2
vers lui	2
de moy	2
quant saint	2
qui estoit	2
qui ont	2
vous estes	2
serpent ne	2
mal faire	2
droit a	2
la cité	2
dist haultement	2
par dieu	2
le roy	2
tout puissant	2
pouoir que	2
a ce	2
gens grant	2
vous et	2
pour dieu	2
dieu quil	2
que le	2
en leurs	2
juré que	2
ceulx de	2
de leur	2
chascun a	2
a martire	2
nostre seigneur	2
emperere dacien	2
a sa	2
qui fait	2
ot nom	2
grant fain	2
fain a	2
a demandé	2
comment il	2
il est	2
ne vault	2
vault pas	2
pas un	2
dieu qui	2
bel enfant	2
dieu si	2
porter fruit	2
et fait	2
de quoy	2
au cuer	2
le damoisel	2
le pié	2
et quant	2
moult grant	2
grant despit	2
dieu abulon	2
la fait	2
et puis	2
est de	2
en dix	2
quil ot	2
devant lemperere	2
lemperere est	2
le mescreant	2
lors lui	2
avoit un	2
il lui	2
george je	2
qui te	2
commandé que	2
ne lui	2
elle ne	2
lui en	2
je te	2
enfant je	2
dieu du	2
du ciel	2
les vertus	2
vertus de	2
george entra	2
entra en	2
dieu tu	2
tu ny	2
sans faille	2
et tout	2
dieu en	2
qui sont	2
xx ans	2
sa grace	2
qui furent	2
voix nous	2
jhesucrist dacien	2
je vueil	2
mon empire	2
tes ymages	2
a fait	2
quant tu	2
tu vouldras	2
la cohue	2
et leur	2
leur dist	2
trestous les	2
lors a	2
ly a	2
lui ont	2
ont la	2
teste couppée	2
ont lame	2
ses sergens	2
lui soit	2
et en	2
il a	2
que nous	2
martire lors	2
le corps	2
en mon	2
cieulx et	2
vous requier	2
cy commence	1
commence lystoire	1
lystoire de	1
george de	1
marie vous	1
vous vueil	1
