Ngramme	Frequence
li reis	252
le rei	129
fait il	122
de la	118
en la	114
que il	112
et li	97
et de	88
par la	71
a grant	60
a la	56
que li	53
et cil	53
et les	52
mout grant	51
cil de	50
de son	48
la cité	47
al rei	47
quant il	46
et a	45
et par	45
par mé	45
le cors	44
en son	44
et si	43
i ot	41
car il	40
a un	40
de lost	40
la tor	39
se il	39
de grant	38
grant duel	38
de lor	37
a tant	37
ne fu	37
et bien	37
par les	37
ne li	36
pas ne	36
par le	35
la terre	35
que ne	35
si com	33
en un	32
que jo	32
mé le	32
que ja	31
cil qui	31
vos en	31
en lost	31
jo vos	30
il ne	30
de sa	30
et le	30
de thèbes	29
por ço	28
o sei	28
en sa	28
et por	28
ne vos	28
come il	28
pués que	27
ne se	27
que vos	26
de lui	26
se vos	26
et il	26
la vile	26
reis de	25
mout fu	25
et o	25
la nuét	25
por quei	24
a une	24
bien le	24
li baron	24
tant com	24
o lui	24
a son	24
a lui	24
et mout	24
sa gent	24
cil dedenz	24
fu mout	23
et ne	23
que la	23
il a	23
en terre	22
tuit li	22
plus de	22
tot le	22
et en	22
onc ne	22
que mout	22
a pié	22
il le	22
le jor	21
et quant	21
qui fu	21
por le	21
ou il	21
por la	21
a val	21
vers lui	21
i a	21
o le	21
se tu	20
la ou	20
et la	20
ni a	20
ne lor	20
quant li	20
et plus	20
sire fait	20
que par	19
fu de	19
ceus dedenz	19
son frére	19
en lor	19
sa terre	19
et sa	19
et son	19
li chevalier	19
li dus	19
une part	19
a thèbes	18
ja ne	18
et se	18
proz et	18
de rien	18
rien ne	18
en mé	18
granz cous	18
ceus de	18
ço est	18
un poi	18
ot un	18
si come	18
les dames	18
tot dreit	17
mout se	17
entre eus	17
ne puet	17
mais il	17
ni ot	17
en sont	17
et que	17
sont de	17
a mont	17
qui sont	17
car mout	17
seignor fait	17
a ceus	17
se li	17
la pucèle	17
et des	16
en vait	16
qui mout	16
de mei	16
la mort	16
est mout	16
qui de	16
ço que	16
ne sai	16
et tydeüs	16
il sont	16
mout par	16
le li	16
a fait	16
que por	16
par grant	16
est de	16
nen i	16
les rens	16
de grece	16
ot non	16
il est	15
son pére	15
et del	15
la gent	15
ne la	15
et jo	15
o les	15
si li	15
fei que	15
fait ele	15
bien que	15
son cheval	15
por poi	15
il fu	15
trés bien	15
mé la	15
reis et	15
il en	15
est li	15
grant ire	15
sor le	15
vint mile	15
li greu	15
il ot	15
un cheval	15
li dist	14
que tu	14
ot grant	14
la vie	14
de mort	14
que a	14
et pués	14
a sei	14
et grant	14
que le	14
li plusor	14
ainz que	14
ne ne	14
ja mais	14
li uns	14
que de	14
rei de	14
les a	14
quant que	14
ne mais	14
ot une	14
sa mére	14
ses barons	14
rei et	14
ceus qui	14
li autre	14
et as	14
de ceus	14
de nos	14
que nos	14
et vos	14
ot mout	14
reis adrastus	14
li a	13
nus hon	13
son fil	13
qui la	13
del rei	13
a tort	13
et lor	13
mais li	13
toz les	13
de ço	13
les cors	13
sont et	13
sont bien	13
reis fait	13
en ont	13
mais ne	13
terre ne	13
rien que	13
en a	13
se ne	13
a sa	13
o mei	13
ne por	13
le cheval	13
et ot	13
mout tost	13
la plaigne	13
et fu	13
mile sont	13
par cele	13
sa veie	12
vos di	12
que se	12
le chief	12
cil le	12
de lautre	12
ço sachiez	12
la reïne	12
mais se	12
la sale	12
mout fort	12
hon ne	12
si lor	12
tot en	12
jo ne	12
ses homes	12
ne sen	12
les murs	12
soz ciel	12
sont en	12
com jo	12
del cheval	12
a mort	12
la grant	12
ne me	12
par lost	12
que cil	12
de monflor	12
cinc cenz	12
ne de	12
sen vont	11
le vit	11
et qui	11
sont li	11
cors li	11
grant gent	11
o eus	11
mais ço	11
se sont	11
ne qui	11
ne fust	11
de totes	11
totes parz	11
qui le	11
de tal	11
la place	11
il les	11
mout est	11
por les	11
et ses	11
grant honor	11
o ses	11
la porte	11
que fu	11
a cheval	11
a mei	11
o sa	11
est la	11
fors de	11
a terre	11
il la	11
de duel	11
soz la	11
lor amis	11
li cuens	11
li est	11
entre les	11
les dous	11
o la	11
le champ	11
sa lance	11
mort le	11
en ot	11
al tornei	11
nen ot	10
dreit a	10
tant i	10
ot le	10
lor seignor	10
la novèle	10
nen a	10
il li	10
sor son	10
lautre part	10
en vont	10
son corage	10
il ni	10
bien a	10
a lor	10
et senz	10
ne cuit	10
et granz	10
si se	10
le fou	10
la noise	10
ne nos	10
lor a	10
o tei	10
davant le	10
ne vit	10
si grant	10
les pucèles	10
en paiz	10
mais por	10
fu la	10
et nos	10
est en	10
car li	10
poez saveir	10
qui les	10
li soleuz	10
fu et	10
reis le	10
vos dei	10
des lor	10
en i	10
por lui	10
mout en	10
tote lost	10
por deu	10
i est	10
font il	10
cil a	10
deus fait	10
se pasme	10
plus que	10
vers le	10
mon seignor	10
la cort	10
par force	10
set cenz	10
mais cil	10
ço crei	10
ot bien	10
et tant	10
reis est	10
la presse	10
de ton	9
por lor	9
amis fait	9
por mei	9
dreit en	9
est et	9
de tei	9
sa main	9
si que	9
il vos	9
la veïssiez	9
o lor	9
li dui	9
ço quil	9
que tant	9
dit que	9
en est	9
bien li	9
il nel	9
onc ni	9
a raison	9
desoz la	9
li proz	9
la lune	9
mais que	9
ja nen	9
cuit que	9
il se	9
la bataille	9
de sei	9
bien les	9
la face	9
les autres	9
de ses	9
mout sont	9
les granz	9
mais jo	9
que tuit	9
tu as	9
fu li	9
rei ne	9
la sèle	9
mais par	9
por rien	9
com li	9
rei que	9
la guerre	9
fu uns	9
ne men	9
la montaigne	9
ne pot	9
grant damage	9
mil chevaliers	9
se jo	9
et fait	9
un sol	9
vers la	9
senz faille	9
qui est	9
i sont	9
sor un	9
grant joie	9
de chevalerie	9
la pree	9
reis a	9
que lon	9
veit que	9
sen torne	9
le destrier	9
el champ	9
fu bien	9
mout proz	9
li chevaus	9
lui et	9
sa maisniee	9
de dous	9
duel et	9
en grant	8
si vos	8
grant dolor	8
quant la	8
la reine	8
par mei	8
bien se	8
pués li	8
forment se	8
se peinent	8
de ma	8
grant parage	8
bien en	8
sai que	8
tuit en	8
en une	8
ço cuit	8
ot et	8
les deus	8
sai bien	8
reis se	8
a dit	8
les ont	8
que lor	8
fu en	8
sei et	8
sont tuit	8
de calidone	8
en quier	8
mais hué	8
sont a	8
sont mout	8
vos de	8
dist li	8
de mil	8
que sont	8
ne seit	8
por ses	8
ses filles	8
que les	8
vos estes	8
il i	8
sis frére	8
de ça	8
il nen	8
li plus	8
ma fei	8
a parlé	8
bien de	8
de vostre	8
a or	8
qui li	8
a lautre	8
il sen	8
or et	8
del bos	8
car par	8
en cest	8
ja por	8
toz jorz	8
sa vie	8
poi de	8
ne tant	8
que nel	8
sa compaigne	8
mout chier	8
que bien	8
lost et	8
por eus	8
le sanc	8
al cors	8
la serpent	8
cele part	8
tuit a	8
est morz	8
tant ont	8
ont fait	8
de bataille	8
bien ne	8
lui que	8
a dreit	8
del bien	8
sa mort	8
que deus	8
cele porte	8
a esporon	8
le tornei	8
por veir	7
por son	7
gent et	7
quant fu	7
ço fu	7
sen vait	7
de guerre	7
ot la	7
son seignor	7
li fu	7
fu bèle	7
ma terre	7
si le	7
tuit cil	7
vont par	7
vieuz et	7
quant jo	7
qui a	7
li dient	7
home de	7
mout li	7
mout granz	7
sachiez que	7
tot son	7
par son	7
grant et	7
le regne	7
plus tost	7
de cent	7
ot de	7
li dueus	7
fort et	7
cil ne	7
quil ot	7
il meïsmes	7
lui se	7
eus se	7
a ses	7
cil sen	7
ne vout	7
ot plus	7
par un	7
ne sét	7
que ele	7
que est	7
ne len	7
li mist	7
est reis	7
vait avant	7
jo crei	7
ça enz	7
le pez	7
sor les	7
reis en	7
lor armes	7
terre et	7
son cuer	7
a celui	7
granz dueus	7
mais qui	7
de parage	7
ne si	7
ses privez	7
a non	7
fu tant	7
li fait	7
que sis	7
sét bien	7
en ta	7
tuit sont	7
de ceste	7
ço mest	7
a le	7
sa fei	7
mais en	7
par vos	7
et tote	7
la contree	7
que tot	7
ne vueut	7
par fei	7
metre en	7
sen éssent	7
par sei	7
ne ja	7
da mont	7
vos ne	7
li done	7
el cheval	7
en tal	7
treis cenz	7
mei et	7
la riviére	7
des greus	7
par est	7
por nos	7
fu pas	7
a mout	7
le veit	7
a vos	7
a bandon	7
fait grant	7
font duel	7
cil en	7
point et	7
sist en	7
qui se	7
al duc	7
li geudon	7
ont et	7
baron de	7
lescu li	7
un chevalier	7
devers la	7
car bien	7
le pré	7
il ont	7
lui a	7
sor lui	7
grant piéce	7
la main	7
nest pas	7
en vostre	7
la geude	7
vers eus	7
il por	7
beaus sire	7
le fais	7
al matin	7
dus de	7
il lor	7
le duc	7
prist a	7
son grant	7
joie en	7
lariére guarde	7
sis pére	6
et gent	6
genz et	6
la teste	6
granz et	6
grant aleüre	6
et dist	6
dist que	6
mout ert	6
ert li	6
poor de	6
et proz	6
quant vos	6
a toz	6
que seit	6
que del	6
li sans	6
puet estre	6
que si	6
et vont	6
dient que	6
ne sué	6
mis sire	6
sen tornent	6
et sage	6
par vostre	6
hardiz et	6
tant que	6
a nul	6
a rei	6
com plus	6
mout i	6
dont il	6
ço sai	6
lor fist	6
fait a	6
son cors	6
fait et	6
fiz fait	6
son an	6
sor lor	6
sen ést	6
cil se	6
ne fist	6
terre que	6
des grezeis	6
ainceis que	6
cors et	6
entre nos	6
tydeüs ot	6
devant le	6
bien o	6
son espié	6
ont les	6
cheveus ot	6
en lui	6
le cuer	6
li dona	6
eissi fors	6
de mon	6
reis ne	6
il et	6
di va	6
car se	6
lor chevaus	6
en meine	6
en fu	6
ne que	6
la chambre	6
as chevaliers	6
les ueuz	6
mout a	6
il dui	6
a mon	6
et mon	6
fait li	6
cele que	6
fort que	6
toz ses	6
frére a	6
la fille	6
cil li	6
ciel na	6
tant bon	6
merveille se	6
corage que	6
sen est	6
vint a	6
la rue	6
son message	6
entent a	6
nul jor	6
une rien	6
ma mére	6
as murs	6
vostre terre	6
nule rien	6
li messages	6
car ne	6
el chief	6
i ont	6
grant vasselage	6
car la	6
la lande	6
por neient	6
se defent	6
la plaie	6
en sus	6
cil i	6
se de	6
pués a	6
mout volentiers	6
gent que	6
que tydeüs	6
des autres	6
a martire	6
mort et	6
en grece	6
com vos	6
nus ne	6
le pont	6
les barons	6
qui ne	6
plaignent lor	6
plus en	6
de treis	6
jol vos	6
vos dirai	6
ne te	6
mout les	6
la veie	6
fu a	6
et neporquant	6
vos et	6
sire font	6
o son	6
a eslais	6
grant espleit	6
qui donc	6
donc veïst	6
en mon	6
lance et	6
as herberges	6
grant merveille	6
ot en	6
tant en	6
merci li	6
dedenz les	6
ja ni	6
as estres	6
