Ngramme	Frequence
et li	10
et si	8
nus hom	7
nest nus	6
et le	5
qui le	4
le mont	4
la falise	4
or ne	4
or est	4
de la	4
la bieste	4
ne finent	4
cou est	4
tous iours	4
li biel	4
cil ki	3
or vous	3
qui nos	3
par tout	3
si a	3
tout le	3
et de	3
que nest	3
hom qui	3
qui tant	3
qui de	3
quant li	3
li preudom	3
est si	3
la gent	3
si grant	3
ne li	3
en grant	3
et quant	3
sa corne	3
a le	3
de larbre	3
nuit ne	3
ne iour	3
larbre manguent	3
manguent et	3
et afinent	3
grant dolour	3
les ii	3
del miel	3
a noient	3
si nos	3
et la	3
la mort	3
li iours	3
de lunicorne	2
lunicorne et	2
ses cuers	2
li laisse	2
que ie	2
il nest	2
se ceste	2
que moult	2
ne doie	2
par le	2
de couuoitise	2
couuoitise qui	2
a tel	2
a tout	2
deuant lui	2
tant seuist	2
seuist qui	2
de li	2
li garder	2
garder se	2
se peuist	2
le front	2
corne si	2
quil nest	2
paour a	2
ne set	2
set il	2
el monde	2
car la	2
la valee	2
nus ne	2
au fons	2
qui si	2
que tout	2
a la	2
puant et	2
que de	2
de paour	2
hideus et	2
le fu	2
fu et	2
le flame	2
il est	2
est mors	2
esvous celui	2
celui en	2
par mi	2
vne brance	2
de lui	2
viers lui	2
toute la	2
le cuer	2
ii biesteletes	2
iour onques	2
onques ne	2
finent larbre	2
quel part	2
la ius	2
cele bieste	2
bieste cornue	2
en vit	2
le miel	2
se tient	2
e las	2
ii biestes	2
que larbre	2
ne vaut	2
de sa	2
ne se	2
que il	2
v il	2
est il	2
il drois	2
drois que	2
est la	2
la mors	2
mors qui	2
elle prent	2
prent tout	2
le fil	2
et cil	2
ce sont	2
qui en	2
qui volentiers	2
se nos	2
v li	2
la vie	2
et nos	2
li nuis	2
no vie	2
met en	2
plus longe	2
iours et	2
qui ne	2
laide et	2
qui tous	2
car se	2
jamais iour	2
iour issir	2
issir nem	2
mais tous	2
iours en	2
en viuant	2
ausi com	2
com cil	2
cil qui	2
les grans	2
dames et	2
si tost	2
et les	2
mais pour	2
pour cou	2
sans fin	2
les faus	2
faus delis	2
et del	1
del serpent	1
serpent mout	1
mout par	1
par est	1
est fols	1
fols cil	1
ki sentent	1
sentent qui	1
le bien	1
bien voit	1
voit et	1
le mal	1
mal prent	1
prent aucun	1
aucun bien	1
bien se	1
se ses	1
cuers li	1
laisse or	1
vous ai	1
ai mis	1
mis tel	1
tel cien	1
cien en	1
en laisse	1
laisse que	1
ie lairai	1
lairai coure	1
coure par	1
par cans	1
cans il	1
hom tant	1
tant soit	1
soit viuans	1
viuans se	1
ceste oueure	1
oueure vient	1
vient esscouter	1
esscouter que	1
moult ne	1
doie redouter	1
redouter le	1
le diauble	1
diauble qui	1
nos iustice	1
iustice par	1
le pechie	1
pechie de	1
