Ngramme	Frequence
nt 	664
 de	599
et 	493
 et	474
le 	456
 qu	445
de 	444
ent	442
 le	435
ez 	373
e d	310
 la	291
 co	287
re 	281
lle	271
que	266
est	250
qui	249
it 	247
ant	238
e c	232
 en	231
e s	231
 se	230
en 	229
t l	218
our	212
er 	211
ren	208
e e	206
on 	201
 es	196
 so	194
 a 	192
t a	191
e l	189
ell	189
ur 	189
t e	189
e p	188
oit	188
la 	181
ce 	181
st 	181
men	180
con	180
ont	180
ue 	178
 pa	174
t d	174
il 	172
ns 	170
 ce	164
eur	157
te 	156
s e	156
ne 	154
ier	154
lz 	154
aul	151
omm	151
ien	149
 po	147
tre	147
 sa	142
rs 	139
ire	139
se 	137
voi	135
 il	134
 ch	133
 re	132
t p	131
par	130
 ma	130
mme	130
ui 	127
us 	127
e a	125
me 	125
son	120
is 	120
lez	120
com	119
e t	119
 au	119
e q	118
e f	117
t c	116
t s	115
ran	114
uil	113
e m	109
ieu	108
 du	108
 fa	108
 da	108
ilz	108
s d	107
 fu	106
 mo	106
t q	106
 fi	105
ill	105
ere	105
 ne	104
t t	102
 do	98
 to	98
nte	96
oie	96
ult	95
si 	95
 gr	95
 me	95
es 	95
 pl	95
 di	95
z e	94
ain	94
r l	94
 pr	93
eme	92
ir 	92
toi	91
 si	90
 vo	89
tou	89
fai	88
ist	88
avo	87
res	86
uel	85
 av	85
ans	85
ers	84
bau	83
tan	83
uy 	82
 lu	82
sto	81
sou	81
ar 	80
str	80
mar	79
nce	79
onn	79
 tr	78
des	77
sa 	76
ux 	76
ais	76
uld	76
du 	75
esp	75
 th	74
gra	74
 te	74
és 	74
oy 	73
a l	72
s a	72
r d	72
che	72
eva	72
sse	71
ous	71
oul	70
ste	70
leu	70
t m	69
ame	69
 ta	69
eu 	68
dam	68
luy	68
nne	67
r e	67
s l	67
plu	67
au 	67
ee 	66
lus	66
cou	66
e v	66
n l	65
a s	65
ie 	65
pou	65
pri	65
rt 	64
 no	63
ure	63
e n	62
ces	62
oir	62
 vi	61
tie	61
and	61
dan	61
z d	61
cha	59
eul	59
art	59
uis	59
e r	59
ons	58
r s	58
thi	57
iba	57
nti	57
n d	57
eux	57
ort	57
anc	57
ess	56
a p	56
ld 	56
eus	55
hev	55
s p	55
fu 	54
hib	54
mou	54
urs	54
s q	54
ver	54
san	53
bie	53
 pe	53
a d	53
s s	53
rie	52
té 	52
lie	52
n p	52
int	52
ouv	52
mer	52
pon	51
ois	51
mon	51
z a	51
 bi	51
 ve	51
 un	50
lt 	50
ens	50
esc	50
r c	50
ign	49
neu	49
a c	49
les	49
a f	48
ass	48
ins	48
 jo	48
t f	48
ost	48
don	47
une	46
ble	46
an 	46
 su	46
mez	46
sez	46
ust	46
val	46
enc	46
 ad	46
rre	46
n e	45
ser	45
s c	45
t i	45
u s	45
n c	45
gne	44
n a	44
n s	44
r a	44
el 	44
e i	43
ven	43
vou	43
omp	43
ter	43
u e	43
lan	43
e g	43
roi	43
e b	42
ice	42
l e	42
y e	42
 eu	41
tro	41
as 	40
 ou	40
t b	40
 el	40
 pu	40
