Ngramme	Frequence
 qu	243
et 	231
en 	229
nt 	202
il 	197
 de	193
que	186
ne 	168
est	165
le 	152
st 	150
 ne	144
us 	144
 vo	141
de 	138
or 	138
qui	137
 se	135
ue 	134
 en	131
es 	116
ent	113
 la	112
re 	110

qu	110
ien	108
ui 	104
li 	104
 et	103
ous	103
 a 	102
on 	101
 fe	101
ant	101
re
	100
 co	100
 me	99
it 	99
se 	99
e l	99
me 	98
e s	97
je 	95
tre	94
si 	93
e d	93
ain	92
 es	92
 ce	92
t e	92
 le	91
 li	91
 je	90
el 	89
 mo	88
e m	87
e e	87
 so	86
oit	85
vou	85
ele	82
 ma	81
e n	80
 il	80
ez 	80
e v	78
e a	78
la 	77
rs 	75
 si	74
 pa	73
ce 	73
 sa	72
e c	72
voi	71
 di	70
 po	69
out	69
fet	69
ier	69
t a	69
par	67
e f	67
son	66
ut 	66
t d	65
ere	65
 bi	64
ns 	64
por	64
s d	63
is 	63
ont	63
t s	62
e j	61
s e	61
 ch	61
 mi	60
str	59
ar 	59
s q	59
ie
	59
e p	58
bie	57
t p	57
ens	56
oie	55
 do	54
t l	54
t i	54
qua	53
er 	53
uil	53
t m	52
ist	52
ire	51
e q	51
com	49
 ve	49
mie	48
oir	48
is
	48
ame	48
sse	48

de	47
fer	47
ès 	47
roi	47
er
	46
uis	46
t q	46
ie 	46

et	46
t c	45
 da	45
les	44
 cu	44
 pr	44
oi 	44
ers	44
dam	44
ois	43
n s	43
s a	43
 el	43
 to	43
 av	43
i a	43
s l	43
int	43
iez	43
 pu	42
ai 	42
s m	42
i m	42
n p	41
 am	41
des	40
 re	40
it
	40
rt 	40
sen	39
 au	39
 lo	39

ne	39
s n	39
mes	39
men	39
mon	38
e t	38
omm	38

si	38
s s	38
i l	37
a c	37
che	37
i c	37
 no	37
 fo	37
mai	37
nt
	37
i s	36
e
q	36
cor	36
rie	36
i d	36
aus	36
avo	36
ors	36
n c	36
t v	36
nz 	36
pui	35
ir
	35
i e	35
ran	35
tan	35
n d	34
ort	34
mme	34
 pe	34
nte	34
ert	34
non	34
l e	34
 ai	33

se	33
 pl	33
 gr	33
e
d	33
n a	32
iex	32
 vi	32
ues	32
ir 	32
mou	32
t b	32
s p	32
rai	32
r s	32
ser	31
un 	31
toi	31
doi	31
mis	31
mès	31
gra	31
 tr	31
mor	31
ses	30
s c	30
aut	30
 ri	30
tou	29
e
a	29
e
e	29
l s	29
con	29
ami	29
ris	29
nqu	29
pen	29
ce
	29
n l	29
l n	28
a d	28
 un	28
ost	28
te 	28
tel	28

il	28
amo	28
l p	27
sie	27
i p	27
ven	27
 or	27
eva	27
uel	27
eil	26
pas	26
as 	26
r p	26

a 	26
a f	26
l l	26
cui	26
uer	26
nel	26
lie	26
a m	26
 te	26
ns
	26
r c	25
ces	25
e
s	25
tes	25
ver	25
ez
	25
die	25
ise	24
res	24
n f	24
cel	24
 fa	24
l m	24
te
	24
e
l	24
val	24
en
	24
iau	24
pre	24
moi	24
eus	23
us
	23
ast	23
e r	23
pri	23
len	23
onq	23
nss	23
l d	23
e
n	23
 fu	23
 ta	23
i f	23
tie	23
 an	23
e
c	23
dir	22
s v	22
ou 	22
ins	22
t j	22
ex 	22
i b	22
a s	22
uan	22
ten	22
cha	22
on
	22
el
	22
 ge	22
té
	22
e o	21
uar	21
 ja	21
ma 	21
r q	21
sa 	21
ure	21
n m	21

po	21
t t	21
for	21
del	21

or	21

en	21
iss	21
n v	21
chi	21

ce	21

la	21
lor	21
 be	21
vos	21
n e	20
t o	20
lai	20
ple	20
ait	20
s f	20
r d	20
nes	20
ons	20
i q	20
e g	20
ste	20
se
	20
r m	20
a v	20
z e	20
a p	20
hev	20
ing	20
oin	20
t n	20
utr	20
hie	20
ren	20

li	20
l v	20
ja 	20
r a	20
r l	20
bel	20
e b	19
l q	19
ler	19
s
q	19
gar	19
san	19
ole	19
r n	19
ill	19
om 	19
eme	19

mè	19
ave	19
ute	19
 ci	19
au 	19
ssi	19
ot 	19
nen	19
ete	19
cue	19
seu	18
 ga	18
e
p	18

pa	18
uit	18
art	18
ece	18
mer	18
 er	18
ngn	18
cil	18
ret	18
esp	18
dou	18
eni	18
anz	18
le
	18
inz	18
man	18

je	17
t g	17
 na	17
plu	17
lus	17
lon	17
bon	17

le	17
 ho	17
a g	17
ali	17
 nu	17
poi	17
st
	17
rte	17
l a	17
don	17
bia	17
nti	17
r e	17
sir	17
ane	17
rto	16
isi	16
une	16
lan	16
t
q	16
 on	16
mbr	16
rem	16
enc	16
i j	16
dis	16
tro	16
ll 	16
 jo	16
 lu	16
dev	16
i t	16
eu 	16
uei	15
cun	15
dit	15
 ou	15
t
s	15
 ni	15

fe	15
vie	15
apr	15
rès	15
tor	15
gne	15
cho	15
 fi	15
r
s	15
soi	15
 su	15
avr	15
z l	15
vez	15
ore	15

vo	15
 vu	14
vue	14
esa	14
a e	14
sam	14
vre	14
e
o	14
t r	14
ach	14
ner	14
i v	14
n n	14
met	14
me
	14
sai	14
s i	14
qul	14
sto	14
t f	14
s
s	14
té 	14
ntr	14
sti	14
rs
	14
z m	14
ero	14
ié
	14
eüs	13
bre	13
lav	13
rde	13
prè	13
s
e	13
sou	13
era	13
 ot	13
lle	13
ull	13
has	13
reu	13
ign	13
gen	13
l c	13
nir	13
i n	13
z a	13
 du	13
et
	12
sac	12
nie	12
ui
	12
one	12
 pi	12
ard	12
e
m	12
t
e	12
eli	12
age	12
nco	12
t
d	12
dem	12
vis	12
e
i	12
nul	12
ule	12
fus	12
sis	12

sa	12
sté	12
eut	12
gno	12
u c	12
rce	12
pue	12
 mè	12

co	12
e i	12
ose	12
amb	11
a l	11
üst	11
eur	11
esc	11
hom	11
lui	11
vol	11
tez	11
ite	11
e h	11
r v	11
s t	11
uen	11
l t	11
ust	11
n
q	11
sor	11
ans	11
z q	11
rec	11
ieu	11
orc	11
vin	11
a a	11
uet	11
ni 	11
ace	11
ex
	11
per	11
r
q	11
nor	11
and	11
z v	11

mo	10
r t	10
uns	10
t h	10
s
a	10
 ap	10
orn	10
n r	10
nui	10
omb	10
ine	10
ema	10
erv	10
mpa	10
u p	10
uce	10

no	10
 af	10
afe	10
s
n	10
noi	10
omp	10
aig	10
ge
	10
ais	10
i o	10
uz 	10
joi	10

ai	10
enu	10

ma	10
iti	10
eso	10

di	10

ve	10
fon	10
ene	10
es
	10
mi
	10
