Ngramme	Frequence
et 	426
nt 	252
 et	236
 de	226
en 	185
ent	185
 qu	185
il 	157
que	157
de 	148
or 	144

et	141
es 	133
 le	127
qui	127
 en	124
est	124
t e	122
ne 	119
 se	119
 a 	118
re 	118
ant	118
le 	117

qu	115
st 	115
t d	113
 la	109
ui 	108
t l	102
 sa	101
 ne	100
 me	99
t a	99
t p	99
e e	99
on 	97
 pa	96
t s	93
 co	93
ue 	92
it 	91
nt
	88
ut 	88
 po	88
re
	86
eit	86
 mo	86
ien	85
la 	83
 es	83
out	82
e m	80
er 	80
 so	79
e s	78
e d	78
por	77
el 	76
e
e	75
 il	75
 vo	74
e p	73
par	73
s e	73
me 	73
tre	73
si 	73
son	72
 ma	67
ére	65
e v	63
vei	62
men	62
 ce	61
ce 	61
les	61
se 	60
e l	60
us 	60
os 	60
vos	60
 vi	59
e c	59
t c	58
t m	57
rs 	57
ont	57
 pl	57
 do	56
e a	56
 li	56
e n	54
uer	54
int	54
ave	54
 fe	53
lor	53

de	53
li 	52
 ve	52
se
	52
ez 	52
 to	51
 si	50
 re	49
e
q	48
rt 	48
ie
	48
t i	47
ist	47
te 	46
qua	46
res	45
 pe	45
mou	45
ors	45
 je	44
 gr	44
ort	44
ste	44
 av	43
mon	43
e f	42
t q	42
ran	42
 ch	42
eme	42
ès 	42
 fu	41
t v	41
eu 	40
ar 	40
ire	40
s a	40
gra	40
aut	40
anz	40
it
	40
sse	40
 te	39
ier	39
ein	39
n s	39
uan	39
rei	39
nz 	39
com	39
des	39
t
e	38
n p	38
mes	37
je 	37
ren	37
ale	37
uil	37
 pr	36
 bi	36
e i	36
e j	36
 no	36
ert	36
ain	36
 tr	36
omm	36
tan	36
s s	35
ens	35
tot	35
er
	35
ie 	35
sa 	35

si	35
 fi	35
ver	34
deu	34
s p	34
con	34
nte	34
ure	34
per	34
l e	34
ost	34
san	34
mès	34
len	34
 lo	33
 di	33
is 	33
bie	33
t t	33
i p	33
sei	33
fet	32
i e	32
don	32
ce
	32
e g	32
 au	32
mme	32
ai 	32
s d	31
un 	31
ere	31
vie	31
ele	31
sen	31
i s	31
iér	31
str	31
ot 	30
a d	30
cha	30
e
d	30
cor	30
iz 	30
r l	30
a m	30
chi	30
n l	29
i l	29
eis	29
e t	29

en	29
r d	29
z e	29
a p	29
s n	29
 fo	29
mor	29
iez	29
nce	28
ns 	28
n c	28
lus	28
r e	28
t f	28
ise	27
tel	27
i a	27
plu	27
ses	27
ese	27
tie	26
pas	26
r c	26
e q	26
ser	26
che	26

a 	26
i d	26
esc	26
ple	26
a l	26
ée
	26
iss	26
i f	25
ame	25
n a	25
esp	25
lex	25
exi	25
lle	25
l q	24
ers	24
ten	24
 fa	24
eie	24
 ho	24
ome	24
 ou	24
a c	24
l a	24
a s	24
 jo	24
utr	24
for	24
r s	24
age	23
l n	23

po	23
 ta	23
 un	23
 am	23
sai	23
z l	23
t
a	23
 lu	23
 ja	23
ore	23
rte	23
 al	23
s l	23
tes	23
 ci	22
cil	22
mei	22
es
	22
 or	22
eus	22

ne	22
e
s	22

mè	22
 nu	22
r a	22
a v	22
ez
	22
ole	21
 bo	21
s f	21
i m	21
err	21
 du	21
mie	21

ke	21
aus	21
eve	21
ass	21
 cu	21
s m	21
lui	21
nes	21
st
	21
t
s	21
gar	21
rre	20
e r	20
i c	20
n m	20
on
	20
ose	20
t
q	20
a t	20
nz
	20
ces	20
ou 	20
ssi	20
tei	20
ié
	20
one	19
as 	19
a f	19
vin	19
oie	19
t h	19
sem	19
ité	19
n e	19
 mi	19
r n	19
l p	19
amo	19
uel	19
n f	19
fiz	19
tro	19
art	19
ove	19

mo	19
 pu	19
mal	19
ir 	19
ret	18
vre	18
ge
	18
n d	18
rie	18
en
	18
t b	18
ble	18
hom	18

ce	18
ess	18
ust	18

il	18
nie	18
s q	18
ign	18
 su	18
fu 	18
e
n	18
eir	18

co	18
uit	18
rov	18
i t	18
 ai	18
au 	18
enc	17
pre	17
mer	17
 ri	17
té 	17
t n	17
té
	17
fus	17
nqu	17
l s	17
eso	17
 na	17
del	17
 da	17
ill	17
ote	17
ani	17
une	17
xi 	17
r p	17
l f	17
ter	17
te
	17

le	17
uis	17
ven	17
t
c	17
hie	17
t
l	17
anc	17
 ge	16
ris	16
nti	16
ace	16
dis	16
nse	16
rit	16
ape	16
uz 	16
ene	16
jor	16
 ga	16
 va	16
nor	16
t o	16
e
a	16
oz 	16
van	16
le
	16
rt
	16
t g	16
dol	16
e b	15
a r	15
t r	15
s t	15
lan	15
e
p	15
u e	15
ari	15
n o	15
ler	15
rem	15
ir
	15
 be	15
nul	15
nos	15
l l	15
ine	15
olo	15
r m	15
s c	15
tor	15
a e	15
tié	15
veu	15
las	15
iti	15
uen	15
 pi	15
oen	14
ovr	14
eri	14
arc	14
emb	14
mbl	14
non	14
ece	14
r v	14
 i 	14
i n	14
fer	14
gen	14
s
e	14
cri	14
é e	14
et
	14
i b	14
or
	14
sie	14
dre	14
r q	14
l v	14
 is	14
cue	14
e
l	14
n v	14
al 	14
ois	14
in
	14
l t	14

lo	14
 cr	13
r
e	13
l m	13
rch	13
 ha	13
e
k	13
s v	13
sir	13

al	13
mis	13
is
	13
t j	13
ive	13
z d	13
orn	13
eau	13
nel	13

se	13
e
m	13
ut
	13
ei 	13
eu
	12
u q	12
ge 	12
nen	12
pri	12
sti	12
eng	12
oir	12
me
	12
s o	12
emi	12
cer	12
pen	12
ns
	12
lei	12
a n	12
sol	12
arl	12
i q	12
eig	12
ast	12
n q	12
sor	12
z
e	12
in 	12
cel	12
ve 	12
s g	12
mar	12
ol 	12
era	12
dev	12
ker	12
el
	12
ma 	12
hié	12
ard	12
pit	12
boe	11
a g	11
erv	11
fac	11
dui	11
 eu	11

do	11
rde	11
pai	11
euz	11
nei	11
fol	11
 ba	11
man	11

sa	11
z v	11
z m	11
iso	11
toz	11

ta	11
pér	11
e
o	11
l c	11
gre	11
enz	11
joi	11
ase	11
i v	11
ui
	11
dex	11
ex 	11
rai	11
enn	11
vez	11
rdu	11
u p	11
vel	11
z q	11
ema	10
dit	10
dou	10
vis	10
avi	10
noi	10
 ro	10
 er	10
lis	10
e
i	10
 os	10

au	10
vol	10
inz	10
lig	10
 el	10
and	10
ail	10
vil	10
eff	10
 oi	10
 pé	10
sou	10
poi	10
all	10

ou	10
ové	10
t
d	10
due	10
erd	10
uet	10
cov	10
i j	10
l o	10
né
	10
ntr	10
nté	10
jai	10
nno	10
z
q	10
sch	10
inn	10
l d	10

or	10
n
e	10
 as	10

pa	10
bon	9
cei	9
n t	9
ra 	9

ka	9
kar	9

un	9
fem	9
lec	9
hau	9
igl	9
gli	9
anq	9
eiz	9
s r	9
pov	9
ins	9
equ	9
ngi	9
s
d	9
lou	9
e
t	9
n g	9
nié	9
ffe	9
ul 	9
gno	9
 ap	9
vou	9
z p	9

da	9
dau	9
sav	9
é
e	9
s i	9
e o	9
rec	9
ite	9
rti	9

to	9
fes	9
ues	9
iz
	9
tin	9
na 	9
tra	9
aie	9

vo	9
n b	9
ouc	9
ié 	9
eni	9
tos	9
pue	9
dur	9

la	9
sez	9
a b	9
u s	9
lai	9
sag	8
dem	8
reu	8
gue	8
dir	8
e
b	8
rvi	8
 ar	8
hon	8
r t	8
ric	8
ich	8

me	8
ke 	8
abl	8
fei	8
ssa	8
z a	8
pel	8
req	8
ech	8
aci	8
n
d	8
dam	8
ang	8
lon	8
ons	8
r j	8
ami	8
s j	8
t
t	8
lie	8
nit	8
z c	8
rié	8
 ad	8
xi
	8
ot
	8
pla	8
ous	8
z s	8
ata	8
 dr	8
 at	8
rné	8
ra
	8
iun	8
onc	8
nc 	8
cie	8
esg	8
pui	8

be	8
plo	8
s
q	8
ile	8
ete	8
un
	8
egr	8
usi	8
lem	8
uss	8
sco	8
cun	8
 in	8
rs
	8
u t	7
 ti	7
mag	7

li	7
r i	7
ala	7
cre	7
 fr	7
euf	7
ufe	7
e
c	7
ouz	7
ner	7
aum	7
har	7

tr	7
lée	7
spa	7
 mè	7
aig	7
nav	7
scr	7
u d	7
lam	7
oit	7
vir	7
r
a	7
sun	7
u f	7
jan	7
ell	7
los	7
u c	7
erc	7
viv	7
a
e	7
let	7
spo	7
nui	7
tui	7

so	7
seu	7
eur	7
vé 	7
z f	7
onf	7
oro	7
si
	7
kes	7
ni 	7
uce	7
noc	7
oce	7
prè	7
rès	7

ci	7
 ni	7
riv	7
eut	7
fin	7
pec	7
ne
	7
ief	7
pei	7
rev	7
bea	7

fo	7
eno	7
tri	7
jam	7
nov	7
t
p	7
voi	7
spe	7
sui	7
leu	6
eti	6
met	6
mat	6
ati	6
r
q	6
e
f	6
rér	6
rom	6
hes	6
s h	6
om 	6
umo	6
elé	6
hem	6
gie	6
t
m	6
ars	6
 gl	6

ei	6
tur	6
moi	6
nne	6
ila	6
n j	6
cié	6
sis	6
s
c	6
oi 	6
z
m	6
l i	6
env	6
oli	6
nfo	6
t
k	6
é a	6
i
e	6
oné	6
lez	6
nez	6
u m	6
née	6
oin	6
den	6
ais	6
unt	6
ans	6
rle	6

no	6
bel	6
jen	6
evi	6
ach	6
avr	6
vra	6

es	6
sau	6
eto	6
n
q	6
onq	6
a q	6
n
t	6
lav	6
rge	6

el	6
he 	6
han	6
ivr	6
erj	6
rja	6
mér	6
é
q	6
ès
	6
u n	6
 on	6
t
i	6
mai	6
bes	6
i
m	6
lau	6
cen	6
min	6
oiz	6
du 	6
bié	6

ve	5
rir	5
ira	5
n
k	5
 gu	5
tal	5
