Ngramme	Frequence
nt 	546
et 	438
le 	398
en 	391
ant	355
 le	342
ent	339
es 	322
ier	285
re 	270
 de	262
ne 	262
 en	257
is 	248
 li	242
li 	240
 si	240
 se	237
t l	235
nt
	224
or 	220
er
	201

et	191
it 	190
 a 	190
 co	186
est	183
st 	182
ns 	177
 ne	176
il 	175
de 	175
e s	173
t a	173
t e	169
e c	168
et
	166
e p	163
 pa	162
e d	162
 et	161
e l	160
t s	159
se 	159
ke 	159
si 	155
ont	153
 ch	153
che	149
us 	149
me 	149
 di	145
 es	140
ais	139
men	137
chi	137
 me	136
par	134
e e	133
t d	133
ain	132
 so	131
te 	130
os 	129
e m	127
 ma	126
ele	126
ut 	125
 do	125
 po	125
s l	124
ien	121
ou 	119
s e	118
el 	117
 sa	116
rs 	116
ki 	116
s s	114
 mo	113
 te	113
s d	113
por	113
les	111
t p	111
 to	109
e t	109
ran	108
sen	107
tre	107
 ki	106
s a	105
oit	104
e v	102
mai	99
ére	98
ar 	98
ist	98
 la	97
ot 	96
er 	96
s p	95
 re	95
s n	94
diu	93
 vi	92
 no	92
t m	92
e f	91
nte	90

ke	90
 vo	89
 ke	89
e n	88
sai	87
on 	87
lor	86
ie
	86
con	85
ire	84
e a	83
i s	83
 pu	82
ens	80
tan	80
i p	80
roi	80
s c	79
 gr	78
ors	77
int	76
 il	76
ois	76
t t	76
iel	76
i l	76
t c	75
 ta	75
t
e	75
sie	75
 lo	74
out	74
 al	73
ins	73
gra	73
ui 	73
res	73
tet	71
ost	71
ie 	70
ale	70
tie	70
oi 	70
voi	70
t
k	70
ten	69
 ca	69
hie	68
 pr	68
és
	68
cor	68
ai 	68
don	67
ait	67
uis	67
 fa	67
r l	66
n s	66
eme	66
vie	65
és 	65
tot	65
iu 	65
e k	64
hel	64
rai	63
ers	63
 tr	63
len	63
 bi	63
 jo	63
dis	63
e r	62
mou	62

si	62
 fo	61
i d	61
rie	61
n l	61
bie	61
t i	60
fai	60
 ve	59
ren	59
ome	58
mes	58
i e	57
nos	57
n p	57
 fi	56
sir	56
oie	55
 un	55
ius	54
 ho	54
t n	54
ste	54
r
e	54
t
s	53
son	53
ret	53
ies	52
i a	52
iet	52
ir
	52

ne	51
sto	51
kan	51
i c	51
 fu	50
ore	50
s t	50
 bo	50
rme	50
car	50
ée
	50
 pl	49
ert	49
s m	49
 cu	49
hon	49
s k	49
a l	49
ler	49
is
	49
n e	48
lai	48
iss	48
 mi	48
ole	48
rt 	47
i m	47
n c	47
str	47
 pe	47
a s	46
un 	46
as 	45
ort	45
ses	45

ka	45
on
	45
s f	44
 pé	44
pér	44
r d	44
for	44
one	44
ame	44
esp	44
t v	43
ans	43
dou	43
mie	43
aus	43
 va	42
pri	42
 ro	42
e b	42
n f	41
lie	41
des	41
 au	41
pos	41
or
	41
r s	40
ise	40
pui	40
t k	40
e
k	40
jou	40
i v	39
t f	39
e g	39

ki	39
s v	39
r t	39
soi	39
sse	39
n a	38
 an	38
ill	38
lui	38
 ap	38
ser	38
uch	38
e
e	38
ver	37

ma	37
r m	37
 on	37
ra 	37
toi	37
nor	36
nie	36
rte	36
 da	36
t
d	36
gen	36
ite	36
he 	35
cho	35
oir	35
iés	35
 ba	35
i t	35
vos	35
ut
	34
r a	34
ron	34
a d	34
i f	34

li	34
r e	34
tes	34
man	34
e i	34
s
e	33
 lu	33
tro	33
spo	33
a m	33
err	33
esc	32
cie	32
s h	32
ce 	32
lex	32
exi	32
xis	32
l p	32
pre	32
r
k	32
 nu	32
la 	32
com	31
anc	31
fut	31
 am	31
ign	31
au 	31
cui	31
van	31
tos	31
ter	31
cue	31
ris	31
r
s	31
war	31
rem	31
iau	31
e j	31
mor	30
 ar	30
dol	30
s b	30
i n	30
aut	30

de	30
kil	30
ene	30
ven	30
t
m	30
erv	30
ara	30
hes	30

ch	29
 ti	29
ari	29
bon	29
ir 	29
tor	29
t r	29
vis	29
pie	29
dam	29
mos	29

do	29
qui	29

se	29
u s	29
iso	29
n t	28
 cr	28
enf	28
t b	28
 fe	28
uer	28
 ie	28
l l	28
ard	28
l s	28
veu	28
l d	28
it
	28
sti	27
eus	27
lli	27
ble	27
s i	27
ner	27
ose	27
l e	27
nch	26
 or	26
sor	26
ass	26
lan	26
a t	26
cle	26
t
l	26
 av	26
uel	26
t g	26
rom	26
enc	26

a 	26
nen	26
mer	26
cri	26
 dr	26
e o	26
jor	26
ue
	26
ira	26
puc	26
ich	25
san	25
ons	25
avo	25
emb	25
non	25
une	25
pro	25
sos	25

or	25
art	25
n i	25
 el	25
tel	25
 as	24
vai	24
nes	24
t o	24
orm	24
and	24
doi	24
r c	24
arm	24
n d	24
era	24
rec	24
i b	24
pue	24
in 	23
ere	23
fra	23
ssa	23
 du	23
 ot	23
nse	23
vin	23
ove	23

di	23
dem	23
l a	23
r
n	23
 mé	23
mér	23
u c	23
ja 	23
 l 	23
t
c	22
tés	22
s o	22
 fr	22
t
a	22
n v	22
ala	22
r p	22
goi	22
 ai	22
u l	22
l c	22
s r	22
lon	22
kes	22
mis	22
i g	22
a a	22
rer	22
rvi	22
s
k	22
 qu	22
r
c	22
 ra	22
u m	22
ntr	22
rov	22
a e	21
ail	21
 ni	21
fil	21
n m	21
ono	21
nti	21
i r	21
 wa	21
cou	21
dev	21
hou	21

ca	21
nc 	21
a p	21
t j	20
mar	20
gno	20
lis	20
 i 	20

ta	20
plo	20

le	20
e
s	20
r
d	20
uie	20
a c	20
 pi	20
i k	20
l m	19
rs
	19
foi	19
u t	19
 na	19
t
n	19
nfa	19
fan	19
ech	19
i o	19
api	19
net	19
ue 	19
rde	19
dro	19
eut	19
r
t	19

po	19
moi	19
aig	19
ora	19
amo	18
rit	18
cre	18
sié	18
aro	18
t
p	18
ian	18
onk	18
nke	18
tra	18
let	18
ouc	18
lés	18
u a	18
mbr	18
u d	18
fie	18
die	18
r n	18
e
d	18
uet	18
a r	18
apo	18
ine	18
s g	18
erg	18
hit	18
 gi	18
pas	18
esi	17
l f	17
sig	17
sem	17
sme	17
 ci	17
pai	17
evi	17
gre	17
r
a	17
arl	17
rés	17
ge 	17

il	17
noi	17
 su	17
 tu	17
erc	17
 go	17
ang	17
n b	17
rch	17
lue	17
tol	17
egr	17
s
n	16
ote	16

en	16
poi	16
mbl	16
 ri	16
air	16
 ge	16
eve	16
r
m	16
ure	16
 ka	16
ras	16
nge	16
ast	16
sis	16
bre	16
abl	16
iie	16
due	16
utr	16
od 	16
eil	16
tu 	16
ssi	16
 ou	16
u p	16
fer	16
ues	16
set	16
r
o	16
nus	16
eva	16
eri	15
pla	15
olo	15

ja	15
l v	15
mal	15
l n	15
emp	15

pu	15
nvi	15
ami	15
apr	15
rle	15
isi	15
alé	15
l k	15
pen	15
t
o	15
fon	15
bar	15
sus	15
nui	15
rra	15
u n	15
n n	15
ni 	15
 ju	14
iéc	14
écl	14
nan	14
hom	14
fem	14
emi	14
s
d	14
nde	14
lit	14
vre	14
fis	14
bia	14
eni	14
r
l	14
inc	14
edi	14
vir	14
 ja	14

sa	14
l t	14
gie	14
e
l	14
ema	14
 ir	14
e
c	14
ige	14
ee
	14
cos	14
ese	14
gan	14
os
	14
mme	13
iér	13
his	13
rin	13
t h	13
ava	13
ori	13
age	13
s
p	13
t
t	13
ovr	13
n g	13
oin	13
r v	13
t
i	13
ave	13
eue	13
enu	13
pec	13
dia	13
ete	13
bai	13
l j	13
rée	13
e
t	13
ein	13
rre	13
adi	13
uit	13
hil	13
se
	13
 er	13
ra
	13

ai	13
aum	13
s u	13
n
e	13
deg	13
i j	12

so	12
e h	12
ns
	12
s
c	12
rge	12
rev	12
oma	12
lar	12
t w	12
der	12

mo	12
lir	12
nés	12
vit	12
cas	12
pal	12

tr	12
rti	12
hen	12
nce	12
sil	12
med	12
sui	12

pa	12
 ic	12
 cl	12
 em	12
orn	12
den	12
lam	12
cié	12
fiu	12
rga	12
us
	12
re
	12
onc	11
isa	11
loi	11
ena	11
bla	11
u v	11

to	11
onv	11
ric	11
tem	11
sco	11
t u	11
rne	11
eng	11
lem	11
nir	11
eli	11
oil	11
uec	11
ec 	11
e
p	11
iab	11
fui	11
 in	11
 je	11
 od	11

co	11
 we	11
wer	11
t
j	11
ta 	11
aor	11
s
s	11
ero	11

ou	11
ach	11
sne	11
vol	11
s
l	11
rér	11
ama	10
s
a	10

vi	10
fin	10
 gl	10
glo	10
sau	10
aie	10
spi	10
pir	10
r i	10
bat	10
reg	10
scr	10
sei	10
gni	10
can	10
del	10
e u	10
sas	10
e q	10
nco	10
per	10
epa	10
eti	10
a n	10
uid	10
rue	10
esw	10
swa	10
plu	10
las	10
oii	10
l r	10

la	10

te	10
née	10
e
a	10

fr	10
eci	10
kel	10
esu	10
rad	10
det	10
r k	10
osn	10
hi 	10
sac	10
rse	10
r f	10
ali	10
ilu	10
ust	9
ile	9
sal	9

au	9
ma 	9
ieu	9
va 	9
lle	9
nta	9
lav	9
hia	9
vue	9
s
t	9
ghe	9
hem	9
arg	9
ice	9
n o	9
vau	9
enr	9
lev	9
ené	9
sol	9
ef 	9
emm	9
nue	9
iti	9
inf	9
nfi	9
lus	9
lau	9
gne	9
tée	9
oro	9
nul	9
ute	9
a o	9
mau	9
oce	9
e
f	9
rir	9
a
e	9
i i	9

es	9
ima	9
mag	9
ess	9
umo	9
rdo	9
fré	9
in
	9
rtr	9
le
	9
cha	8
hor	8
 oi	8
t
v	8
def	8
von	8
r u	8
ple	8

cu	8
a g	8
ngh	8
vil	8
sov	8
u e	8
arf	8

un	8
dep	8
r g	8
iue	8
ram	8
eco	8
ond	8
ate	8
dan	8
r
p	8
tin	8

fi	8
a u	8
nom	8
amb	8
are	8
rel	8
mas	8
cau	8
 is	8
nqu	8
erd	8
eor	8
a b	8
asm	8
vei	8
tré	8
gel	8
stu	8
s j	8
e w	8
erp	8
l b	8
 ac	8
vet	8
tai	8
lot	8
uss	8
e
o	8
a
k	8
elu	8
r b	8
ve 	8
uns	8
lap	8
tit	8
her	8
s
o	8
n
k	8
pel	8
es
	8
omm	7
ha 	7
r o	7
al 	7
ul 	7
 lh	7
lho	7
 eu	7
ong	7
bor	7
ton	7
mil	7
pov	7

dr	7
arn	7
oné	7
t
f	7
orp	7
n r	7
liv	7
ivr	7
erm	7
omb	7
r r	7
coi	7
tir	7
cam	7
sar	7
auv	7
rac	7
pon	7
d l	7
rve	7
rep	7
osé	7
sée	7
rc 	7
som	7
mon	7
rpi	7
pao	7
jes	7
 ia	7
ord	7
nra	7
scu	7
ace	7
ken	7
e
n	7
tru	7
kai	7
mi 	7
ide	7
nsi	7
dos	7
tut	7
oia	7
isn	7
met	7
a i	7
l o	7
que	7
sté	7
vés	7
rié	6
eno	6
ité	6
avi	6
nar	6
boi	6
mol	6
red	6

pr	6
sch	6
ios	6
tis	6
ism	6
euf	6
ufe	6
ges	6
na 	6
oni	6
nem	6
t
u	6
tal	6
 hu	6
ili	6
osp	6
siu	6
esm	6

bi	6

da	6
tiu	6
nre	6
uci	6
ati	6
nfe	6
dra	6
aim	6
ime	6
rpe	6

no	6
sa 	6
ree	6
och	6
ief	6
a f	6
dre	6
ela	6
rda	6
dru	6
u j	6
nfo	6
 af	6
cla	6
anu	6
eté	6
oré	6
ule	6
pei	6

me	6
u o	6
eta	6
a k	6
bli	6
c n	6
aur	6
oli	6
fac	6
ume	6
ano	6
boc	6
u i	6
nee	6
org	6
 ad	6
 br	6
a j	6

ni	6
env	6
rro	6
erf	6
rf 	6
 mu	6
nut	6
ssu	6
 bu	6
eto	6
kon	6
lim	6
pet	6
orc	6
ghi	6
pié	6
keu	6
emo	6
neu	6
rgh	6
n
d	6
 ha	6
nté	6
gis	6
ge
	6
rut	5
an 	5

fo	5
jus	5
rea	5
s
m	5
sso	5
 fl	5
lla	5
oll	5
om 	5
edo	5

vo	5
 vu	5
mpl	5
uen	5
egl	5
gli	5
elo	5
sés	5
gri	5
ndo	5
epr	5
umi	5
fes	5
ars	5
ol 	5
viv	5
hiu	5
u f	5
usi	5
onr	5
ovo	5
 bl	5
rdu	5
onf	5
uve	5
r
f	5
alo	5
fol	5
rfo	5
jet	5
uir	5
uii	5
eso	5
rté	5
tar	5
tui	5
tee	5
eet	5

jo	5
pit	5
sav	5
ato	5
rni	5
s q	5
e
j	5
fau	5
ura	5
uan	5
hoi	5
dui	5
mem	5
eur	5

od	5
d t	5
bra	5
uei	5
vra	5
rui	5
ta
	5
rmi	5
val	5
mpe	5
efi	5
esa	5

ot	5
mei	5
r
j	5
ade	5
uev	5
c m	5
uia	5
lic	5
u k	5
pot	5
evé	5
ros	5
sni	5
rav	5
l g	5
iri	5
fus	5
hos	5
egn	5
asc	5
ata	5
ion	5
erb	5
rbi	5
s
v	5
 he	5
n
c	5
te
	5
sin	4
s
f	4
tic	4
ean	4
vas	4

an	4
leu	4

go	4
vou	4
ous	4
dun	4
 eg	4
vié	4
isd	4

he	4
hum	4
dit	4
tur	4
aré	4
iva	4
iem	4
osa	4
a v	4
spr	4
pes	4

av	4
nst	4
 hi	4
hir	4
los	4
sca	4
idi	4
da 	4
rto	4
nel	4
enq	4
 ao	4
cro	4
cai	4
aca	4
ida	4
ani	4
deu	4
lun	4
roc	4
l h	4
dur	4
tri	4
nit	4
n w	4
ngi	4
su 	4
eat	4
onq	4
n u	4
ncu	4
nis	4
aco	4
 ob	4
obl	4
nto	4
ria	4
 ue	4
mpa	4
s w	4
rta	4
leg	4
min	4
poe	4
 wi	4
dal	4
uek	4
eke	4
esk	4
ién	4
éne	4
pul	4
lcr	4
c s	4
la
	4
sa
	4
a
a	4
req	4
equ	4
n k	4

ko	4
 n 	4
vée	4
lée	4
 ag	4
ée 	4
rgo	4
dir	4
lié	4
mba	4
vic	4
ive	4
aci	4
e
i	4
eff	4
oup	4
iro	4
ka 	4
tié	4
 ab	4
mir	4
vré	4
gré	4
heu	4
nai	4
bri	4
més	4

cr	4

on	4
e
m	4
oru	3
rri	3
jam	3
fla	3
t
b	3

bo	3
lme	3
lee	3
rio	3
fel	3
ssé	3
rfi	3
fit	3
ndi	3
 ko	3
oer	3
ing	3
itu	3
eig	3
cem	3
uc 	3
c u	3
otr	3
asa	3
ase	3
sel	3
ana	3
noc	3
sop	3
ope	3
ape	3
tab	3
 os	3
avu	3
c t	3
r
v	3
auc	3
nci	3
cov	3
jui	3
ndu	3
irg	3
ece	3
ceo	3
cat	3
abe	3
ber	3
ecl	3
vem	3
oci	3
e
b	3

ge	3
fri	3
i w	3
liu	3
seu	3
gig	3
poé	3
oés	3
llo	3
elé	3
 lt	3
nob	3
i h	3
hai	3
uta	3
pli	3

lu	3
pua	3
hié	3
sam	3
di 	3

re	3
aud	3
ajo	3
jos	3
i u	3
mee	3

el	3
omp	3
gue	3
tov	3
ovi	3
r
g	3
 lé	3
sta	3
pin	3
uva	3
a
l	3
egi	3
bou	3
c a	3
nro	3
esl	3
 dh	3
ded	3
ede	3

va	3
soe	3
oef	3
eis	3
poo	3
l w	3
tom	3
nki	3
kie	3
apa	3
ril	3
ona	3
rna	3
cen	3
sep	3
epu	3
ulc	3
n j	3
mut	3
dig	3
pau	3
lut	3
atu	3
a
d	3
 im	3
mpo	3
iré	3
r h	3
asi	3
dut	3
oul	3
uli	3
 ru	3
sev	3
tas	3
sdo	3
