Ngramme	Frequence
et 	201
es 	146

et	120
 le	112
 qu	109
en 	106
nt 	99
que	94
er
	85
ue 	85
us 	80
is 	79
le 	77
 de	76
 ce	73
ien	73
t l	71
 co	69
il 	69
 ch	68
ent	67
ier	67
 et	65
ois	64
est	63
re 	62
les	62
e l	61
 vo	61
ont	60
ant	60
nt
	59
 do	55
 au	55
ne 	55
 te	55
e t	55
si 	53
 se	53
 en	53
s c	51
er 	50
 li	50
 la	50

qu	50
chi	49
e d	48
doi	48
se 	47
ns 	47
e c	46
 pa	46
 si	46
ce 	45
de 	45
t p	45
e s	45
 tu	44
hie	44
qui	43
tre	43
st 	43
ar 	43
 me	42
li 	42
 to	42
t s	42
ous	42
tu 	42
men	41
it 	41
vou	41
 ne	41
la 	40
 es	39
s a	38
sse	38
s d	38
 po	37
 sa	36
r
e	36
te 	36
e e	36
ron	36
uis	36
oir	35
rs 	35
 fa	35
ez
	35
s l	35
s e	34
s p	34
 il	34
ez 	34
ser	34
par	34
 pu	34
cha	33
t a	33
fai	33
pui	33
our	32
e v	32
as 	32
cer	31
 so	31
ir
	31
e p	31
s s	31
t
e	31
 ta	31
ui 	30
t t	30
on 	30
 bi	30
bie	30
tes	30
iez	30
 lo	30
oit	29
ens	29
ur 	28
oie	28
t c	28
ras	28
voi	27
 tr	27
t q	27
cor	27
i c	27
mie	26
t e	26
roi	26
s q	26
e f	25
pou	25
 va	25
 re	25
aus	25
s t	25
or 	25
era	25
car	25
lor	25
s f	25
aut	24
qua	24
ain	24
au 	24
i t	24
 mi	23
soi	23
 mo	23
ie 	23
ai 	23
aur	23
t d	23

si	22
ass	22
n s	22
ler	22
orn	22
s m	22
son	21

de	21
 av	21
e m	21
lie	21
 pl	21
ns
	21
 pr	21
rai	21
ire	21
ach	21
je 	21
 as	21
 di	21
e a	21
el 	21
e n	21
rne	21
r c	21
ou 	20
ors	20
it
	20
 a 	20
s
e	20
tie	20
res	20
 à 	20
com	20
 je	20

ca	20
as
	20
n l	19
ere	19
plu	19
lus	19
t v	19
ver	19
 ma	19
sac	19
ner	19
ait	19
ten	18
val	18
che	18
r a	18
ons	18
mes	18
n a	18
e q	18
n c	18
eve	18
iss	18
des	18
u c	17
e i	17
uan	17
s v	17
i d	17

se	17
ero	17
dev	17
r l	17
ost	17
tan	17
r t	17

le	17
eme	16
i a	16
noi	16
cie	16
 cu	16
ouv	16
ura	16
e j	16
ter	16
ées	16
ex 	15
rer	15
uit	15
iau	15
con	15
sen	15
uil	15
pas	15
cou	15
ans	15
 jo	15
a m	15
ste	15
e b	15
s j	15
ele	15
hac	14
r
s	14
r e	14
ine	14
avo	14
n p	14
pri	14
ort	14
me 	14
l e	14
ist	14

do	14
nti	14
ai
	14
tro	14
erf	14
rf 	14
err	14
str	14
ces	14
dou	13
un 	13
met	13
iex	13
 ap	13
s n	13
i p	13
t m	13
uel	13
rt 	13
z
e	13
a t	13
ris	13
e
e	13
mon	13
n e	13
a c	12
i s	12
 i 	12
 fo	12
eva	12
r
l	12
 ai	12
vie	12
ill	12
toi	12
dro	12
re
	12
omm	12
t i	12
esc	12
and	12
ret	12
lai	12
u l	12
ton	12
 fu	12
os 	12
ign	12
ra 	12
ven	12
tor	12
tot	12
ot 	12
 gr	11
ran	11
i m	11
r
d	11
lle	11
tou	11
van	11
uns	11
ses	11

lo	11
uer	11
ers	11
por	11
u p	11
ins	11
rez	11
ert	11
ise	11

a 	11
sie	11
aci	11
ra
	11
rou	11
 no	11
nte	11
ais	11
ure	11
és
	11
ite	11
us
	11
 su	11
ir 	11
hau	11
ès 	11
ié
	11
san	10
loi	10
utr	10
mai	10
t r	10
lon	10

me	10
r s	10
sil	10
apr	10
s
s	10
 fe	10
enc	10
s b	10
don	10
 ou	10
r
a	10
gno	10
has	10
asc	10
u a	10
uro	10
use	10
is
	10
r
q	10
sce	10
bli	10
man	10
vez	10
ené	10
i v	10
 bo	10
née	10
ta 	10
gra	9
 pe	9
int	9
t
c	9
uet	9
lan	9
ded	9
dui	9
u d	9
t
s	9
l n	9
sto	9
n d	9
pre	9
ren	9
uve	9
t b	9
nco	9
ouz	9
l a	9
tra	9
 ni	9
ni 	9
sez	9
aie	9
eu 	9

sa	9
iso	9
i e	9
es
	9

ne	9
tos	9
r v	9
 ve	9
eus	9
l s	9
s
l	9
ut 	9
 fr	9
 dr	9
e r	8
t
l	8
u t	8
anc	8
 vu	8
vue	8

en	8
edu	8
cue	8
oin	8
a p	8
pue	8
i l	8
 vi	8
vis	8
t
q	8

bi	8
sir	8
uz 	8
ux 	8
joi	8
eso	8
t à	8
mme	8
vre	8
vol	8
ute	8
l c	8
 an	8
n t	8
l t	8
rre	8
ieu	8
mée	8
r n	8
air	8
r d	8
s
a	8
ave	8
om 	8
i
e	8
iés	8
ssi	8
e o	8
ne
	8
 ha	8
cun	7
t
d	7

li	7
 un	7
iem	7
ava	7
t f	7
esp	7
rte	7
et
	7

pu	7
l v	7
sav	7
e
q	7
i n	7
nes	7
s h	7
 ho	7
bia	7
vau	7
t o	7
z q	7
a d	7
mou	7
oul	7
r
c	7
ola	7
sco	7
out	7
oi 	7
cog	7
ogn	7
sai	7
a v	7
té
	7

au	7
r i	7
ée 	7
z c	7
ene	7

la	7
avi	7
for	7
ues	7
fum	7
umé	7
ié 	7
evr	7
nde	7
 nu	7
nsi	7
i f	7
lev	7
ies	7
 ra	7

po	7
s r	7
dit	7
 br	7
fer	7
sié	7
i q	7
all	7
rie	7
sus	7
obl	7
mbl	7
auc	6
n q	6
ntr	6
ime	6
t
m	6

ma	6
r p	6
llo	6
s
q	6
 ga	6
udr	6

ce	6
x e	6
dir	6
ult	6
ple	6

co	6
uvr	6
e
s	6
coi	6
 vé	6
nz 	6
poo	6
ooi	6
cui	6
emi	6
nou	6

pa	6
 pi	6
 os	6
l f	6
z p	6
gne	6
eur	6
 da	6
s
c	6
a b	6
n m	6
rra	6
uss	6
hes	6
ale	6
s i	6
bri	6
oue	6
l l	6
ut
	6
z t	6
deu	6
eux	6
 ja	6
ée
	6
tel	6
nie	6
ble	6
ace	5
ucu	5
t g	5
r m	5
alo	5
ell	5
len	5
hev	5
oia	5
sa 	5
iz 	5
z l	5
a q	5
l q	5
pro	5
usi	5
se
	5
ono	5
nen	5
erv	5
 am	5
z
d	5
lli	5
lt 	5
ian	5
onv	5
nvi	5
ie
	5
 be	5
u v	5
r j	5
ive	5
sté	5
ang	5
ref	5
der	5
uir	5
rce	5
 ca	5
 ti	5
vra	5
ros	5
on
	5
di
	5
z
q	5
uat	5
neu	5
r
o	5
é
e	5
 cl	5
ail	5
enr	5
sti	5
amb	5
r
p	5
ard	5
gue	5
tai	5
 al	5
t
a	5
oup	5
isi	5
sur	5
z
l	5
a a	5
al 	5
ess	5
s
d	5
lem	5
a
e	5
rès	5
 ac	5
a h	5
e
d	5
lès	5
rri	5
ule	5
fro	5
ett	4
mer	4
a f	4
oiz	4
ond	4
aim	4
fau	4
esm	4
s
m	4
cil	4
 na	4

du	4
eti	4
z e	4
sou	4
e g	4
z n	4
u s	4
tui	4
aud	4
 or	4
e
c	4
st
	4
quo	4
uon	4
tir	4
l b	4
nd 	4
n r	4
etr	4
tru	4
ec 	4
ur
	4
gar	4
art	4
efu	4
fus	4
mil	4
iro	4
iée	4
ngi	4
gie	4
i
c	4

il	4
à c	4
onn	4
orc	4
és 	4
dis	4
f a	4
s
n	4
s
p	4
pié	4
gro	4
tal	4
nun	4
hom	4
s o	4
jon	4
one	4
 af	4
a s	4
s à	4
à t	4
sei	4
eig	4
fas	4
z
s	4
ete	4
nce	4

or	4
oi
	4
nra	4
per	4
in 	4
iev	4
ve 	4
bos	4
sch	4
rde	4
arc	4
t n	4
i
q	4
r
t	4
 ju	4
cel	4

as	4
i o	4
 on	4
i
s	4
ex
	4
ouc	4
rch	4
 ad	4
 er	4
l d	4
del	4
u o	4
 em	4
eni	4
bel	4
arr	4
si
	4
let	4
ame	4
prè	4
al
	4
u m	4
s g	4
fui	4
arl	4
rle	4
el
	4
ape	4
pel	4

tr	4
a l	4
aro	4
aco	4
sem	4

to	4
bou	4
 ci	4
é
s	4
jai	4
 ob	4
te
	4
gni	4
llè	4
col	4
pau	4
n o	4
ueu	4
sam	4
le
	4
rem	3
x v	3
rev	3

ch	3
nci	3
lau	3
cho	3
hos	3
ose	3
foi	3
t
t	3

te	3
tex	3

es	3
sme	3
poi	3
ing	3
l i	3
t
p	3
iti	3
i b	3
las	3
e
l	3
 ro	3
vai	3
nor	3
ore	3
rvo	3
t
v	3
l m	3
fet	3
ami	3
mis	3
rij	3
ije	3
oil	3
uex	3
z a	3
evi	3
r
m	3
oli	3
ssa	3
t j	3
uie	3
 jà	3
jà 	3
à m	3
vér	3
éri	3
rit	3
é
q	3
i
d	3
uev	3
c e	3
nez	3
 ar	3
och	3
her	3
a
l	3
là 	3
f p	3
rié	3
eng	3
ira	3
u à	3
orr	3
 sé	3
ge 	3
u i	3
iz
	3
oss	3
lar	3
rge	3
ars	3
li
	3
i
l	3
ito	3
atr	3
afa	3
nté	3
mma	3
leu	3

ou	3
z d	3
r g	3
oïr	3
n n	3
a e	3
ast	3
rec	3
oig	3
nto	3
seu	3
va 	3
 mu	3
ong	3
ngu	3
éus	3
fre	3
é e	3
r q	3
nel	3
rui	3
dem	3
ema	3
erb	3
upe	3
squ	3
u f	3
fra	3
eto	3
cen	3
à l	3
lou	3
nul	3
nst	3
cle	3
hié	3
sui	3
pai	3
z m	3
esi	3
pe 	3
nro	3
oiv	3
é
p	3
l
e	3
stu	3
tue	3
lit	3
z
a	3
dre	3

ai	3
mos	3
irz	3
rz
	3
 cr	3
rol	3
ole	3

ta	3
s
t	3
 in	3
vig	3
n b	3
x m	3
rto	3
 ba	3
ce
	3
he 	3
ssé	3
m j	3
