Ngramme	Frequence
nt 	5160
ent	4877
et 	4437
que	3532
 qu	3465
oit	3391
 de	3151
en 	3061
ue 	2991
nt
	2988
le 	2829
ne 	2811
us 	2808
es 	2716
de 	2637
ant	2535
it 	2416
il 	2318
 et	2290
 le	2281
roi	2230
ien	2198
est	2187

qu	2164
 se	2159
 li	2022
st 	2007
 la	1969

et	1950
li 	1938
t l	1933
our	1912
e l	1907
ui 	1873
men	1854
 co	1828
is 	1819
 en	1795
e c	1794
voi	1793
it
	1792
 vo	1769
ns 	1765
qui	1755
 ne	1740
ous	1717
oie	1714
 ce	1677
 sa	1659
re 	1657
 pa	1640
la 	1636
 es	1608
rs 	1579
t d	1554
t e	1540
e s	1526
 mo	1499
ur 	1492
ele	1460
ar 	1456
s e	1448
 me	1447
ain	1445
ce 	1421
 po	1418
t c	1405
 so	1393
se 	1375
on 	1371
par	1367
t s	1365
e e	1342
ont	1330
mou	1327
ais	1318
e p	1316
si 	1311
 ma	1304
tou	1283
s d	1283
e d	1268
 ch	1249
oul	1234
 à 	1219
ier	1209
 to	1199
s l	1192
vou	1184
er
	1171
t p	1169
e v	1166
ès 	1166
ren	1151
 il	1137
avo	1129
t a	1124
car	1122
les	1116
mai	1112
lt 	1083
son	1074
ult	1072
tre	1063
ois	1034
 di	1028

de	1021
 do	1014
ist	1010
 fu	1007
 av	1007
s s	1004
e m	998
ire	966
t m	961
out	947
er 	937
con	933
 ve	909
 si	907
toi	906
eme	906
fai	904
e f	902
int	900
 ro	898
t q	893
 tr	890
 re	884
pou	881
ere	861
ran	860
s p	856

ca	854
t
e	848
ans	847
s c	840
 fa	831
dès	826
s a	823
e n	823
ez 	823
e t	818
adè	810
 pl	810
ouv	810
ill	805
ven	802
 gr	794
sto	792
 bi	785
 lo	785
bie	781
ens	776
ie
	760
ut 	757
tan	756
ins	755
s n	753
 pr	747
t
c	743
oma	740
clé	739
mad	737
e a	736
léo	735
éom	735
t t	734
e q	730
 no	727
el 	727
cha	723
che	723
t
q	710
 cl	710
rai	702
oi 	700
lui	696
me 	690
ot 	685
com	674
ors	668
gra	666
sen	662
lor	657
s m	656
rt 	655
r l	654
e i	654
i a	646
soi	645
 vi	636
oir	634
onn	631
mon	628
ers	625
ez
	624
iez	623
aus	620
je 	619
 pe	619
des	614
 au	611
ert	610
ver	610
man	608
s q	608
i c	607
arm	603
uil	602
tro	601
i e	600
qua	593
t v	593
cel	588
ait	586
is
	585
te 	583
don	580
ine	578
ou 	577
res	577
fu 	575
uan	575
 ta	575
 je	571
ste	571
 te	569
ser	569
 jo	569
as 	568
 cu	567
lie	567
ie 	564
lai	563
 fi	561
 lu	561
eva	561
sse	560
ir 	543
t
l	543
or 	543
uer	539
e r	536
n l	534
eur	532
dis	529
ns
	528
e j	526
re
	523
str	522
s f	521
n p	521
ée
	521
ir
	516
sa 	515
 ai	515
lus	512
i s	509
 er	507
mes	504
n s	501
plu	501
pri	499
i p	499
air	499
t f	499

se	498
r c	497
pas	497
lle	496
nte	496
i d	495
cou	495
t
d	495
i l	494

ma	487

ne	486
ost	485
t i	484
n c	483
rie	483
s v	481
mer	479
t b	479

en	478
nou	478
s t	472
uve	471
art	471
hev	467
t à	466

à 	464
chi	463
val	462
i m	461
dou	456
loi	456
ass	450
aut	449
iso	444
ris	442
 ot	441
ses	441
ign	440
dev	438
st
	435
r s	433
i r	433
e
e	432
n a	429
 fe	428
has	426
tel	424
ai 	422
r d	420
s
e	417
uis	417
au 	416
 da	414
 ci	414

le	413
rou	412
 du	409
gen	409
noi	405
t n	404
 ge	402
esp	401
hie	400
t
s	400
 on	399

ce	397
e
c	396

cl	396
uel	395

si	394
ons	393
tes	393
 a 	393
len	392
ond	392
ise	390
ler	390
 pu	389
cil	387
omm	385
and	383
és
	382
err	381
 nu	380

li	380
eil	379
per	379
l e	378
 i 	377
oin	376
ero	376
rès	375
lar	375
t r	373
à c	372
e b	369
l l	369
poi	368
ndi	367
eüs	365
ure	365
moi	363

po	362
r e	361
 là	361
té
	361
ust	356
ort	355
là 	354
ore	354
i t	354
ten	351
vis	350
 fo	349
cla	349
t o	347
 am	346
cue	345
leu	341
e
q	341
ter	339
es
	338
por	337
din	334
rmo	334
ntr	333
ast	333
for	332
urs	331
die	330
 ho	330

la	329
a c	329
rem	328

co	328
bel	328
n e	327
eni	327
r m	325
a m	325
e g	324
 be	323
ssi	321
l p	320
nsi	319
us
	319
amb	319
doi	318
om 	318
n d	315
t g	315

sa	315
cor	315
dro	315
 al	315
ex 	313
i q	313

mo	311
nus	311
scu	310
jou	310

lo	310
amo	309
dur	309
iau	308
ale	308
enu	306
utr	304
mme	304
san	304
fus	304
ame	303
s b	301
iex	299
cun	298
cho	298
 ca	298
tie	298
ard	298
s
c	297
vin	297
ieu	296
tra	296
hon	296
ble	296
r a	295
i f	294
 bo	292
 mi	292
orr	292
e o	292
age	292
bon	290
esc	290
 ap	288
pla	288
l n	288
sav	288
sou	287
s
q	285
dem	285
ron	284
t
m	283
ai
	282
tos	280
era	280
r n	278
s o	278
 ri	276
r
c	275
ail	275
ach	275
 ga	274
sie	274
 ar	274
sai	273
iss	273
 el	272
joi	270
ra
	270
 ou	269
à s	269
nes	269
rre	269
 dr	268
n v	268

do	267
gar	266
eno	266
r p	265
asc	264
à l	264
 ba	264
ces	263
gne	262
pen	262
rro	261
s r	260
nno	260
ur
	259
s
d	258
uns	256
i o	256
t j	256
al 	256
e
d	255
eve	255
sac	255
ute	254
a p	254
n m	253
l a	253
pov	253
u c	252
a f	251
pui	251
n f	250

pa	249
pre	248
i v	247
fer	247
r
e	246
r v	246
e
l	246
on
	246
cui	245
dam	244
une	244
sir	243
ues	242
l d	242
mar	240
nté	240
le
	240
e
s	239
e à	237
lon	237
 cr	236
eu 	235
mbl	235
mor	234
erv	233
où 	233
rra	233
mie	233
pai	231
s i	231
t
p	231
tai	231
nme	230
l s	229
rme	226
 va	226
a v	226
t
a	226
fis	224
in 	224
uss	223
ne
	223

to	223
ssa	222
nie	220
sam	220
rto	218
s g	218
nti	218
l q	218

ai	217
un 	217
 ra	216
dir	214
r q	214
 as	213
trè	213
arl	212
 na	212
ovo	212
non	211
a g	211
bat	211
üst	210
ave	210
eus	209
rer	209
i n	208
ite	208
à p	208
nne	207
s
s	206
evi	204
van	204
aig	203
nul	203
cro	202
n t	202
 or	201
ban	201
 ha	200
a t	200
arr	200
s
l	200
ira	199
eri	199
ose	198
cie	197
té 	196
sag	195
rte	194
l v	194
a d	194
nqu	193
u p	193
r
q	192
avi	192
rma	192
s j	191
r
d	190
a b	190
rde	190
 pi	190
der	189
iro	189
inc	189
a r	189
u l	188

ta	188
ene	188
vie	187
r t	187
ui
	187
rs
	186
nde	186
nen	185
lan	184
rba	183
urb	183
tor	182
s à	182
t
t	181
hos	181
nc 	181
 su	181
uce	180
i g	180

au	180
l c	179
 ka	178
isi	177
ars	177
seu	176
u r	176
dit	175
ole	175
nse	174
ret	174
vei	173
ié
	173
i b	172
anc	171
fil	170
ié 	170
mis	169
enc	169
é
e	169
ner	169
nir	168
t
n	167
r f	167
se
	165
rec	165
l m	164
omp	164
ot
	164
n q	163
r
l	163

so	163
prè	163
rta	163
ari	163
ays	162
rev	162
bia	161
 où	161
u d	161
 un	160
orm	160
vez	160
lli	160
ena	160

di	158
quo	158
i
q	158
evo	157
a s	157
l f	157
nui	156
a
c	156
rti	156
és 	155
oig	154
onq	153
uoi	153
e
p	153
rom	153
s
m	152
e
m	152
t h	152
ema	152
ece	152
à t	152

bi	151
 an	151
nce	151
dus	151
vel	151
etr	149
rve	148
oia	148
à m	148
arc	147
onm	147
eïs	146
née	146
u s	145
ken	145
lez	145
si
	144
oi
	144
à d	144
i
c	144
t
à	144
esm	143
aro	143
rle	142
orn	142
apr	142
sel	142
i
e	142
a
q	142
r
s	142
alo	141
kà 	141
ra 	141
urt	140
sar	140
ali	140
ouc	140
enr	140
sez	140
cer	139
rée	139
a
e	139
é
q	137
s h	137
u m	137
tri	137
pay	136

ci	136
erc	135
sch	135
e h	133
sei	133
mpa	131
aur	131
n o	131
rez	131
ape	130
nor	130
sis	129
te
	129
sté	129
nan	129
ité	128
tin	128
due	127
 af	127
fur	127
nch	127
ess	127
i j	127
 ni	126
u e	126
isa	126
sti	125
 ti	125
adi	125
dig	125
iga	125
e
n	125
iad	125
ni 	124
sor	124
rt
	124
uid	123
ala	123
mal	123
erd	123
gie	122
lem	122
é
d	122
r
p	122
env	122
la
	122
nia	122
nsa	122

ch	121

ve	121
ule	121
ata	121
s
p	121
vol	120
puc	120
à e	120
ée 	120
ume	120
iem	120
eng	119
ge 	119
vor	119
ue
	119
ré
	118
gue	118
emo	118
elu	118
 ad	118
vau	118
lot	118
an 	118
 ir	117
e
a	117
nob	117
n n	116
ii 	116
spa	116
nto	116
l o	116
obl	116
z q	116
han	116
gni	115

es	115
seü	115
 ja	115
r b	115
sem	115

me	115
aie	114
lou	114
rir	114
a l	114
r
n	114
adu	114
vir	113
veü	113
fes	113
ete	113

or	112
 br	112

du	112
vos	112
hom	111
a
l	111
ec 	111
é
l	111
plo	111
sal	111
use	110
i
d	110
ce
	110
roy	110
ong	109
uvé	109
ngi	109
lev	109
bla	108
ées	108
tir	107
arg	107
ul 	107
ama	107
 ke	107
n g	107
r i	106
é
c	106
onc	106
é e	106
ma 	106
lau	106
spo	106
ès
	105
üss	105
uet	105
rop	105
emi	105
uit	105
eü
	105
nco	105
t k	105
 ii	104
rit	103
gas	103
jà 	103
kai	103
reg	103
eöi	103
rca	102
à n	102
ich	102
ulo	102
ys 	102
sme	102
 ac	102
yne	102
i
s	101
oyn	101
eco	100
fin	100
anu	100

fu	100

un	100

ka	100
e k	100
r o	100

vo	100
 eü	100
sui	100
à o	99
z e	99
esi	99
rré	99
dor	99
lée	99
öir	99
n r	99
rge	98
ric	98
na
	98
ham	98
a n	97
s
n	97
bre	97
tés	96
sot	96
gno	96
ge
	96
ava	96
r
m	96

je	95
mma	95
gré	95
t
o	95
rés	94
op 	94
iie	94
bes	94
pro	93

tr	93
cad	93
vil	93
a e	93
iti	93
dau	93
z
e	93
vée	93
onf	92
rdi	92
mbr	92
vit	92
 a
	92
s
a	91
fie	91
las	90
ief	90
di
	90
one	90
lue	90
u t	90
elo	90
sée	90
sil	90
là
	90
né
	90
ile	90
t
