Ngramme	Frequence
et 	2091
nt 	1857
ant	1705
es 	1613
 de	1527
le 	1243
ne 	1173
 et	1106
que	1087
de 	1071
est	1061
 la	1058
 le	1041
 qu	1020
li 	1000

qu	961
re 	956
an 	905
 co	894
 vo	886
 li	872
ue 	867
 an	852
ier	835
or 	830
la 	829
 ne	806
st 	796
e l	768
ent	745
t l	738
 es	730
tre	729
 sa	722
 se	712
ui 	700
us 	698
 a 	682
t a	679
nt
	670
vos	665
it 	664

et	662
qui	659
il 	658
 ch	654
roi	642
e c	639
e s	630
oit	612
 so	609
ien	607
 me	607
 pa	594
t d	589
 mo	586
os 	584
ele	583
ain	575
ont	568
e v	561
les	558
el 	557
mes	550
e p	546
e d	545
t e	544
ere	535
t s	533
s a	529
ez 	529
on 	519
se 	516
 ma	515
 re	514
man	514
e a	507
re
	504
e e	499
ran	494
che	479
par	478
e m	473
rs 	460
con	459
ut 	458
er 	458
ire	443
s e	439
 fe	438
t p	434
voi	432
oie	430
s d	428
e f	426
si 	422
e n	419
ns 	411
 po	408
out	407
tan	406
qua	404
and	402
me 	402
res	401

de	401
s l	400
er
	400
san	398
eva	397
t c	395
por	389
is 	387
son	385
rec	384
 ce	378
mou	376
t m	366
ec 	363
 si	361
ois	360
 pr	357
e t	355
 pl	353
 to	353
 fu	352
ar 	351
ot 	347
 ve	343
en 	341
lan	338
ers	337
des	333
ie 	329
 gr	326
 di	321
ost	313
gra	313
anc	312
lie	311
je 	311
nte	310
i l	309
anz	309
ce 	308
ist	308
s s	306
hev	306
ez
	305
aut	304
te 	301
nz 	300
aus	298
s c	296
ste	294
i a	292
cor	291
 ro	289
 vi	287
it
	287
e
q	287
 av	287
 il	286
sse	284
ort	281
 ta	279
val	277
cha	275
 do	275
es
	274
s n	274
uan	273
 je	272
 lo	269
i c	265
t t	264
e
e	264
r l	264
str	264
lor	263
e r	262
 bi	261
s p	260

si	259
 tr	258
iez	258
tes	256
 un	256
t b	254
ema	253

li	252
ren	252
a l	251

me	251
a p	250
int	248
ise	248
iau	246
bie	244

ne	244
s m	243
rie	240
a c	236
mai	236
eis	234
 te	233
ass	232
 pu	231
ie
	231
ors	231
esp	230
i s	230
ai 	230
t q	228
tot	228
e j	228
e q	227
cel	226
eus	225
ver	224
ses	224
e
l	221
t v	220
uel	219
ill	219
uit	216
avo	215
 fo	215
t
q	214
sto	214
un 	213
lus	213
 no	212
t
e	212
i d	211
plu	211
se
	211
le
	210
oir	209
fet	208
 fi	208
rai	208
oi 	208
 nu	206
toi	205
ame	205
a m	205
fu 	204
t f	204
sa 	202
esc	202
n s	198
ntr	198
t i	195
 da	195
te
	195
chi	195
van	194
r a	194
 jo	193
n l	192
ali	191
ins	190
 cu	190
utr	190
 mi	189
sir	189
rt 	189
n c	187
e
s	186
ee
	186
n a	185
com	185
i r	185
lle	185
ndr	184
i m	183
eni	183
 va	182
 na	182
ne
	182
 lu	182
a d	181
 ci	180
is
	180
for	179
as 	179
i v	178
i p	178

la	176

se	176
e b	175
soi	175
s v	174
s q	174
ir 	173
 au	172
uen	171
 pe	171
ces	170
lui	170
ene	169
n p	167
ter	167
 ja	167
a s	166
z e	166
t
l	166

le	166
 be	165
mon	165
del	165
s f	165
tel	164
uis	164
sor	163
e
d	162
n e	161
iie	161

a 	161
dre	160
une	160

an	159
iss	159
pri	159
ure	158
ore	158
t n	158
i f	158
 ot	157
don	156
ale	156
tro	155
tor	154
cil	154
pre	154
nde	154
anb	154
ans	153
iz 	153
z l	153
t g	152
ite	152
hie	152
e
a	151
ser	150
r e	150
pas	150
fei	150

er	150
s
e	149
ris	148
 ri	147
st
	147
nor	145
a t	145
eir	145
car	144
ign	144
t j	144

po	143
art	143
deu	142
ole	141
rre	141
err	141
s t	141
mie	140
uce	140
 fa	140
dam	139
 er	139

mo	138
a f	138
 el	138
nqu	137
mor	137
ir
	136
 ap	136
ert	136
uil	136
e o	136
r s	136
vre	135
e
c	135
s
q	134
ote	134
oz 	134
ven	134
dem	134
n v	134
nes	133
men	133
 en	132
ons	131
a r	131
e g	131
rt
	130
 du	129
joi	129
 ar	129
ou 	129
e
m	129
z a	129
n d	128
et
	128
 i 	128
ler	128
rem	128
e i	127
l l	127
eig	127
ail	127
oma	126
i e	126
l a	126

ca	125
ues	125
bel	124
dev	124
vin	124
ns
	124
e
n	123
r n	123
r v	122
jan	122
nan	122
ing	122
eno	122
r c	121
ssi	120
in 	120
ome	120
s b	119
mer	119
mis	119
tui	118
ens	118
r d	118
 am	118
uer	118
lez	118
a v	118
n n	117
e
p	117
ron	117
t
d	117
n m	117
rs
	117
t
a	117
ble	117
moi	116
t r	115
vue	114
z d	114
arm	114
tie	114
l c	113
dis	113
ten	112
loi	112
us
	112
scu	111
enu	110
vie	110
noi	110
cui	109
nce	109
 or	109
i o	109
nul	109
s r	109
iee	109
 as	109
ide	108
orn	108

ta	108
l v	108
oiz	108
nie	108
rte	108
oi
	108
dro	107
au 	107
puc	107
per	107
ard	106
i n	106
l s	105
 ba	105
uz 	104
pui	104
has	104
ret	104
ess	104
 ga	103
 ni	103
cue	103
t
c	102
l n	102
 tu	102
 ha	102
t
s	102
or
	102
lai	101
ell	101
n f	101
ove	100
toz	100
ja 	100
a n	100
ni 	100
l p	100
era	99
ast	99
ssa	99
 ou	99
ave	99
ma 	98
nne	98
lei	97
onq	97
ava	96
tra	96
fer	96
 ai	96
iso	95
s o	95
r m	95
l d	95
vez	95
dit	94
uns	94
oin	94

ce	94
inn	94
doi	93
age	93
one	92
ce
	92
i t	91
i q	91
r
q	90
dir	90
c l	90
aro	90
sie	90
ero	90
ui
	90
 bl	89
z v	89
bia	89
eit	89
sen	89
oil	89
stu	88
s
d	88
eve	88
non	88
eri	88
s j	87
gno	87
t o	87
és 	87
gar	87
t
t	86
uet	86
nbl	86
nti	86
bla	85
z c	85
 at	85
 al	85
rme	85
ena	85
 fr	85
ine	84
al 	84
apr	83
 on	83
sav	82
on
	82
 gu	82
 os	82
rne	81
ace	81
rz 	81
ami	81
ata	81
ang	81
ee 	81
 su	80
el
	80
vai	80
 dr	80

to	79
ivr	79
jor	79
t
m	79
hau	79
r p	79
evi	79
vau	78
cie	78

ci	78
nc 	78
nco	78
fus	78
tai	78

bi	78

co	78
s
l	78
nid	78
lli	77
l e	77
ié 	77
gie	77
nui	77
z s	77
r q	76

pa	76
s i	76
sel	76

sa	76
lau	76
ot
	76
r
e	76
ple	75
pro	75
sai	75

so	75
rev	75
rei	74
der	74
ra 	74
sei	74
n t	74
ule	74
s
s	74
gue	74
ner	74
 vu	73
orz	73
spo	73
r f	73
ut
	73
isi	72
pra	72
z m	72
vol	72
vas	72
fis	72
nen	71
pla	71
erv	71
a b	70
rer	70
 cr	69
t
p	69
z
e	69
 bo	69
a g	68
ein	68
nz
	68
rde	68
sti	67
e
t	67
z f	67

lo	67
poi	67
mi 	67
n o	67
l m	67
oii	67
l f	67
r t	67
a a	67
pan	66
 bu	66
pon	66
dui	66
rés	66
t
n	66
a j	66
nch	66
z q	65
bue	65
s
m	65
pré	65
gne	65
gui	65
rez	65
i b	64
 ça	64
nai	64
sme	64
sso	64
han	64
ust	63
reï	63
erc	63
ose	62

un	62
cos	62
té
	62
u d	62
nel	62
z
q	62
 br	62
inz	62
pue	61
tez	61
sis	61
i j	61
r
s	61
ndu	61
ngn	61
 ju	61
jus	61
nta	60
cer	60
he 	60
çan	60
a e	60
spe	60
sez	60
bat	60
s
a	60

or	60
dun	59
té 	59
eüs	59
r
a	59
uec	59
ngi	59
len	58
ue
	58
fie	58
aie	58
eïn	58
ïne	58

je	58
lon	58
auz	57
vel	57
z p	57
nus	57
ees	57
ci 	57
ato	56
l q	56
orr	56
plo	56
emi	56
t u	56
s
c	56
 ra	56
due	56
ich	55
avr	55
ola	55
s g	55

vo	55
tos	54
tur	54
rov	54
ira	54

ja	54
z
s	54
u l	54
z n	54
op 	54
eïs	54
nez	54
nir	53
i
q	53
r
l	53
vit	53
vis	53
i g	53
 ie	52
ume	52
quo	52

ma	52
nee	52
cov	52
ai
	52
eoi	52
ul 	52
os
	52
ian	51
squ	51
rol	51
 pi	51
ean	51

da	51
pei	51
 ti	51
anv	51
eu 	51
rel	50
nse	50
sau	50
nos	50
s
n	50

ch	50
ge
	50
evr	50
sal	50
ape	50
na 	50
har	49
ges	49
rmi	49
spr	49
fur	49
onc	49
u p	49
l r	49
rop	49
uz
	49
de
	48
e h	48
c a	48
tri	48
lev	48
mal	48
iz
	48
fra	48
ric	47
apa	47
are	47
sch	47
r o	47
u a	47
u c	47
ua 	47
sui	47
eme	47
n r	46
auc	46
auv	46

ou	46
fro	46
in
	46
alo	46
sil	46
esl	46
r
d	46
tu 	46
me
	46

do	45
rro	45
z
d	45
ves	45
i u	45
gni	45
col	45
eti	45
avu	45
die	45
las	45
eco	45
cho	44
uid	44
n q	44
z
a	44
pal	44
esm	44
met	44
n i	44
gié	44
dra	44
amo	44
lac	43
r
m	43
eli	43
von	43
z
l	43
s
t	43

tr	43
usq	43
ind	43
bre	43
ber	43
seu	43
u m	43
sle	43
onp	42

pu	42
üst	42
 ho	42
pee	42

au	42
r
c	42
esa	42
nbr	42
anp	42
aum	42
dan	42
bei	41
tue	41
mel	41
ama	41
u s	41
tir	41
ies	40
 ei	40
uss	40
udr	40
tin	40
ete	40
nsa	40
los	40
llo	40
dau	40
rgi	40
ié
	40
rep	40
i
m	40
foi	40
z
m	40
ovr	40
e
o	40
ong	40
c e	39
emo	39
olo	39
nav	39
sag	39
r u	39
u e	39
vra	39
és
	39
ree	39
ece	39
r
p	38
asc	38
cun	38
mei	38
sol	38
npe	38
rci	38

ve	38
den	38
uiv	38
z t	38
bar	38
lue	38
fam	38
 is	38
rob	38
 cl	38
anq	38
let	37
gau	37

on	37
uch	37

tu	37
ïst	37
cro	37
alu	37
é l	37
dou	37
u t	36
uva	36
lot	36
t h	36
t
o	36
nsi	36
nté	36
i
e	36
ach	36
r
n	36
i
s	36
rce	36
pet	36
erg	36
ief	36
bes	36
 ac	36
al
	36
hos	35
nov	35
rtu	35

ai	35
hes	35
nço	35
gre	35
erm	35
lem	35
via	35
aii	35
etr	35
atr	35
t
j	35
nue	34
l o	34
ala	34
iro	34
abl	34
tit	34
rti	34
pel	34
obe	34
il
	34
dor	34
aco	34
vil	33
mia	33
fil	33
ora	33
c c	33

na	33
r r	33
uoi	33
l t	33
red	33
n u	33
arr	33
n g	33
as
	33
epo	33
aub	33
ntu	32
rra	32

es	32
s h	32
e
