Ngramme	Frequence
et 	2426
nt 	1876
es 	1655
ant	1602
 qu	1524
 de	1478
ne 	1386
que	1362
le 	1215
 la	1184
il 	1167
 le	1082
 et	1074
est	1070
ue 	1054

qu	987
li 	979

et	975
qui	964
 vo	964
 ne	964
an 	905
 li	890
e l	878
st 	872
la 	861
 se	860
t l	857
or 	852
ui 	850
de 	847
 co	837
ent	829
it 	809
re 	793
 sa	793
ier	741
 an	729
nt
	721
 me	720
 es	708
t a	703
e s	697
tre	693
si 	689
ien	682
se 	668
 mo	667
oit	667
 ch	660
 a 	657
e c	643
t s	639
mes	637
ele	619
 ce	608
t d	605
 pa	590
os 	582
ont	581
vos	567
e v	567
roi	561
e p	559
 re	553
rs 	553
t c	550
les	546
en 	543
el 	540
 po	532
che	531
 ma	525
 so	522
e e	521
voi	513
e m	504
man	502
on 	495
 to	491
e d	490
oie	488
 fe	479
ain	476
 si	469
t e	466
 il	462
por	460
t m	458
san	455
qua	447
par	447
ez 	447
re
	444
con	444
tan	443
e t	441
e a	439
t p	438
s a	431
lt 	418
ire	418
e n	417
eva	415
res	413
ran	413
ce 	411
lan	402
olt	399
t q	398
nz 	396
me 	392
er 	391
 pr	388
s d	382
s l	381
mol	376
e f	374
 di	370
ot 	370
son	369
te 	369
anc	369
cel	366
 ve	359
s e	356
ez
	354
des	353
ers	352
val	347
hev	344
e
e	343
us 	342

si	340
ns 	339
and	337
lie	337
i l	337
 ta	334
uil	333

me	331
t t	330
i a	330
 te	328
ar 	328
is 	325
 pl	324
uan	322
it
	316
 tr	314
sse	314

de	313
er
	311
e q	301
ors	299
 lo	298
 gr	298
je 	296
ie 	296
e
q	295
t
e	294
es
	291

ne	291
anz	289
 av	288
 je	288
s s	286
 ci	283
i c	279
ost	278
s n	277
 vi	276
nte	273
i s	272
ema	272
s c	269
bie	269
 do	268
tot	267
s p	267
cil	266
avo	266
aut	265
ois	263
ill	257
a c	256
 bi	256
e j	254
s q	251
fet	251
cha	249
i d	249
 fu	249
str	249
t v	248
lor	247
ie
	246
ise	244
ist	242
 un	242
oir	242
gra	242
 en	241
 fo	241
ali	241
int	240
n c	237
rie	236
tes	235
i p	234
a l	233
r l	233
te
	232
 au	232
nce	229
l l	228
e r	227
i m	226
ert	226
e
s	224
t
q	224
oi 	223
ort	223
iez	223
se
	222
n s	222
 mi	221
a m	221
a p	220
ste	219
t i	216
dit	216
lui	216
cor	216
a t	215
rai	214
uel	214
rt 	214
esp	214
n p	208
mai	208
ai 	208
sto	207
ene	205
oz 	204
 pu	203
 no	203
e i	203
esc	203
com	202

se	202
ces	202
pri	202
ir 	202
ven	202
n l	200
a r	199
ver	196
st
	195
 cu	195
s m	192
i r	191
 lu	188
toi	187
soi	187
 ro	186

la	184
utr	184
nes	183
ses	183
rre	183

li	183
ame	182
del	182
 na	182
r c	182
ne
	181
ser	181
a d	180
ren	180
pas	179
lle	179
for	179
t f	179
eis	179
i e	178
as 	178
plu	178
lus	178
uis	177
au 	177
un 	177
l n	177
van	176
uit	176
s t	175
ign	174
t b	174
n a	173

a 	173
 da	172
t n	172
mon	171
don	171
e
l	171
t
s	171
le
	170
s v	170
 nu	170
i v	169
z e	167
tor	166
vol	165
ris	165
r a	165
ere	163
ten	163
nqu	162
ntr	162
err	162
 fi	162
chi	162
tro	161
e
m	160
ass	160
sa 	160
t j	159
 pe	159
ndr	159
ja 	158
z a	158
une	157
s f	152
mie	152
e g	152
s
e	152
nde	151
 va	151
z l	151
 ga	151
tra	151
tie	150
ou 	150
t
l	150
r s	149
ïne	148
inz	148
nan	148
elo	148
reï	147
i f	146
sir	146
moi	144
ote	144
 tu	144
mor	144
 jo	143
n v	143
ail	143
ans	142
ir
	142
is
	142
dam	141
pre	141
eïn	140
l s	140
sor	139
fei	138
eve	137
ite	137
 i 	136
t g	136
dem	136
cui	136
eir	135
 el	135
ex 	135
r e	135
rem	134
ons	134
mer	134
ee
	134
a s	133
ter	133
ins	133
ues	133
e b	132
vie	132
 or	132
n m	130
enu	130

le	130
rte	130
e
c	129
 ri	129
anb	129
rt
	129
 ja	128
iso	127
l a	127
e
n	127
l p	126
hie	126
a v	126
eus	125

po	125

ce	124
i q	124
art	124
i t	124
dro	124
e
a	124
 ge	124
l c	123
z
e	123
oin	122
sen	121
len	121
uer	121
l e	121
l q	120

ta	120
t
a	120
l d	120
r m	120
fu 	119
ure	119
e
d	118
 ot	118
era	118
oiz	118
ein	117
iz 	117
ens	116
r d	116
ret	116
et
	116
t
m	116
doi	116
z q	115
oma	114
 ou	114
ess	114
 ar	114
tel	114
 fa	114
deu	114
lai	114
rs
	113
s
q	113
 ap	113
n e	113
z d	113
sel	113
ial	112
l m	112
onq	112
ore	112
l v	111
 ai	111
a n	111
lot	111
a f	110
ard	110
r n	110
ove	110
iss	110
n t	110
z s	110
n n	109
dev	109
eno	109
n d	108
 ba	108
dre	108
pon	108
lez	108

co	107
i n	107
gar	107
 su	106
nen	106

mo	106
sai	106
gne	105
t
d	105
men	105
tui	105
eni	105
nor	105
uns	104
nne	104
arm	104
toz	104
e o	104
eïs	103
lz 	103
ole	103
ax 	103
r v	103
uet	102
ni 	102
fer	102
inn	101
tos	101
ra 	100
ome	99
ble	99
 as	99
ce
	99
car	99
 cr	99
r t	99
pui	97
ssi	97
per	97
ave	97
i o	96
ot
	96
ns
	96
 du	96
bat	96
 ni	95
r
e	95
loi	95
al 	95
l f	95
nz
	94
z
q	94
ale	94
oi
	94
poi	94
 pi	94
vai	94

sa	93
arr	93
fus	93
on
	92
ron	91
s b	91
orn	91
ena	91
nul	91
 be	90
n f	90
t r	90
sav	90
 am	90
eüs	90
oil	89
 ho	89
aie	88
t o	88
rme	88
tai	88
t
c	88
eu 	88
r
q	88

an	88
ple	88
mis	88
rde	88
or
	87
pue	86
ge 	86
voe	86
tu 	86
 bo	86
noi	86
ast	86
erv	85
z m	85
nel	85
i g	85
sez	85
z v	83

ei	83
scu	83
ïst	82
és 	82
nbl	82
gen	82
 al	82
vez	82
ust	82
ava	81
e
t	81

pa	81
orr	81
spo	81
ata	81
s o	81
nos	81

ca	81
dir	80
joi	80
ero	80
apr	79
e
p	79
vin	79
dis	79
rne	79
z c	79
mei	79
eig	79
pla	79
ose	78
om 	78
ete	78
 ju	78

lo	78
ner	78

au	78
ui
	78
iee	78
uz 	78
ang	77
nse	77
nco	77
loz	77
ma 	76
mal	76
as
	76
in 	76
 ha	76
s g	76
ule	76
non	75
a g	75
s
s	75
l t	74
ié
	74
met	73

un	73
z p	73
nie	73
jor	72
cov	72
sil	72
rov	72
t
n	72

ci	72
avr	71
u p	71
s i	71
sie	71
 on	71
orz	71
fil	71

to	70
pan	70
pro	70
ee 	70
ci 	70
gan	70
har	69
ra
	69
üst	69
rro	69
nti	68

so	68
ié 	68
de
	68
s
l	67
 dr	67
uid	67
sei	67
aig	66
uce	66
 ra	66
 ti	66
ean	66
ndu	66
pra	65
en
	65
eoi	65
bel	65
stu	65
u l	65
rra	65

ja	65
l r	65
age	65
t
t	65
rz 	65
z n	65
uz
	65
ngi	64
gie	64
jus	64
s
c	64

en	64
r q	64
i b	64
lau	64
mel	64
ler	63
ai
	63
lei	63
nui	63
a e	63
nir	63
ait	63
rec	63
dex	63
n q	62
ing	62

fe	62

do	62
fai	62
s
n	61
alz	61
ace	61
pré	61
s r	61
r p	61
ova	61
z
s	61
sch	61
té
	61
a b	61
ies	61
aga	61
alt	60
rés	60
lon	60
t
p	60
has	60
eli	60
ond	59
one	59
puc	59
s
a	59
dra	59
u c	59

vo	59
lea	59
ec 	58
ua 	58
s j	58
cer	58
erc	58
cue	58
t h	58
aro	57

or	57
uie	57
nez	57
n o	57
iz
	57
han	56
via	56
il
	56
ira	56
s
m	56
lli	56
auv	56
amo	56
esf	56
sui	55
çoi	55
eit	55
pie	55
las	55
s
d	55
u d	55
elu	55
aïs	55
rei	54
ïen	54
u m	54
sme	54
nsi	54
 os	54
os
	54
cho	54
us
	54
t u	54
emi	54
hon	54
gno	53
ach	53
vis	53
na 	53
a a	53
rep	53
gau	53
uva	53

es	52
squ	52
ola	52
el
	52
ue
	52
ami	52
ine	51
oec	51
z
d	51
e h	51
z f	51
dui	51
cie	51
ut 	50
nço	50
iax	50
cun	50
rci	50
hau	50
r
s	50
ul 	50
z
m	50
pai	49
uen	49
sis	49
vre	49
ut
	49
bla	49
boe	49
oen	49
ala	49
spe	49
n g	49
hos	49
nto	49
he
	49
nus	49
r f	48
foi	48
mia	48

ma	48
mi 	48
ece	48

ou	48
ve 	48
nch	48
ssa	48
anq	47
cre	47
ong	47
sti	47
vra	47
iti	47
fan	47
nc 	47

bi	47
air	47
u e	46
n r	46
rev	46

ve	46
eme	45
rez	45
i
q	45
r i	45
tir	45
esa	45
ide	45
aus	45
nue	45
cos	45
i
e	45
eag	45
a o	44
n i	44
nté	44
fis	44
due	44
och	44
r
d	44
ume	44
leu	44
olo	44
von	44
onb	44
u a	43
ras	43
der	43
z t	43
enz	43
tez	43
u s	43
e
o	43
ief	43
ees	43
anp	42

