Ngramme	Frequence
nt 	3680
ent	2573
es 	2141
et 	2139
 de	2073
en 	1970
 le	1621
ne 	1458
ant	1436
le 	1394
de 	1384
 la	1360
 se	1339
que	1309
il 	1280
or 	1245
re 	1230
 en	1224
 qu	1206
li 	1201
t l	1174
it 	1170
ont	1168
rei	1168
st 	1143
est	1135
 co	1130
ue 	1085
la 	1079
nt
	1072
 ne	1058
 et	1040
 pa	1030
 es	1024
 so	1013
 re	977
t e	959

et	958
is 	954
e l	951
tre	951
par	949
on 	937
us 	936
 li	932

qu	928
 a 	900
les	855
 mo	851
t d	847
ier	835
re
	833
ien	832
ar 	823
 me	806
 ch	804
t p	769
e s	766
 po	760
che	740
t s	738
son	733
t a	732
s e	723
 lo	723
e p	712
ut 	707
ui 	704
se 	695
 to	689
 gr	676
ran	675
men	674
por	669
eis	666
ais	663
ren	650
 vo	646
el 	641
s d	639
ot 	636
 ma	631
e c	622
lor	620
ait	617
e e	611
qui	604
e d	603
ez 	602
t c	600
gra	598
out	590
 fa	590
 sa	587
 ve	584
eit	583
os 	570
 il	559
e f	559
rs 	558
mai	557
e t	555
ire	554
s l	549
er
	548
fai	547
t m	542
e m	535
 fu	532
t t	516
er 	516
r l	513
mou	510
ére	507
 pr	507
al 	503
vei	492
des	488
s p	488
ort	486
 tr	486
te 	481
err	470
e v	468
nz 	467
ste	466
ist	466
ost	466

de	465
 pl	460
 vi	456
s s	453
con	451
 te	450
vos	445
ill	443
qua	442
t f	438
si 	437
 fo	436
s a	430
sei	422
bie	421
ign	419
n l	417
hev	416
ers	413
eva	412
sen	411
ei
	411
s c	410
 un	409
 jo	402
com	400
res	399
 ce	392
as 	390
e n	388
 do	387
ie
	387
e a	384
ei 	384
eme	384
rre	383

ne	382
t i	382
cha	380
 si	380
e
e	380
rt 	378
ron	373
un 	372
 no	371
ns 	369
str	366
rai	363
tor	363

li	362
s f	357
 ta	357
 ot	353
val	353
ors	351
for	348
fu 	347
 fi	344
 fe	341
 bi	341
eie	339
a m	339
 ci	338
 di	336
ain	334
eus	331
lai	328
i r	327
sse	326
mei	325
mes	325
tes	324
ave	322
t v	322
cor	322
cil	317
 av	317
nen	314
n s	314
es
	312
int	312
ne
	312
t g	311
is
	311
tan	310
rie	309
s m	308
n p	308
me 	307
or
	307

se	306
le
	305
a t	304
ver	304
e r	304
t
e	304
e
q	302
ome	301
iss	299
don	297
s n	297
a c	296
 pe	295
a p	294
mon	293
ven	293
ter	293
nte	291
 du	291
esc	290
uan	288
eil	285
t b	284
chi	284
ten	282
i d	281
age	281
 da	280
t q	280
ele	276
a l	276
mor	275
pre	273
it
	271
z e	270

a 	269
aut	269
enz	268
i c	268
 va	267
i s	266
 ba	265

po	265
i a	265
t n	265
oz 	264
t o	264
ine	264

ma	263
i p	263
 mi	262
lie	262

ca	261
on
	261
ein	260

en	259
e
l	257
tot	256
dre	255
e i	255
 o 	255
tra	254
iez	254
car	253
s t	253
sa 	253
esp	252
 gu	252
 al	250
n c	250
n e	249
s v	248
pas	248
ure	247
e
c	247
len	247
l d	247
rs
	247
lle	244
i f	242
gen	241
e g	241
iér	241
ale	239
anz	238
ces	238
ir 	235
ons	235
s q	235

pa	234
 on	234
air	234
i l	231
ses	230
e
d	229
ass	228
ail	228
 ge	227
ntr	227
lui	227
ens	227
ert	225

le	225
ore	225
ee
	224
ço 	223
uer	223
anc	223
del	222
sor	222
ai 	222
gne	222
n a	220
ir
	220
nes	219
une	218
ler	217
 i 	217
i e	217
gua	217
 lu	217
nos	217
l c	216
r s	216
s
e	216
uit	216
e
a	213
 pu	212

si	211
aus	211
nce	211
eir	210
 ho	210
orn	210
r e	210
s o	209
n d	209
a s	207
eüs	207
z l	206
n f	206
és 	206
e
s	205
rt
	205
plu	204
nor	204
art	204
l l	204
i m	203
r m	203

la	202
ole	201
èle	201
rne	199
ser	197
lus	197
ssi	197
rem	197
ast	196
a v	196
nc 	196
r d	195
one	195
ez
	194
utr	193
n m	193
iz 	192
e
p	191
l p	191
n t	189
 fr	189
ge
	189
los	189
a g	188
e b	187
e o	187
 cr	187
ja 	186
e
n	186
e
m	186
ous	186
tei	185
hie	185
a f	185
fer	184
n v	182

ci	181
nse	181
i v	180
ssa	180

mo	179
 tu	178
cel	178
ard	178
jo 	178
s b	177
 as	177
ali	177
pri	176
e j	175
mis	175
onc	174
l s	173
 ri	172
rte	171
lan	171

il	170
ise	169
poi	169
ie 	168
r c	167
uar	167
e q	166
ce 	164
ra 	164
ce
	164
 bo	164
lon	163
l e	162
man	161
l n	161
ès 	161
pla	161
sem	161
ote	161
us
	160
emb	160
 cu	159
r a	159
t
l	158
uz 	158
tui	158
r p	158
a d	157
t
q	157
vre	157
ris	155
eri	154
enc	152
a n	151
i t	151
and	150
scu	150
rme	150
z d	149
vai	149
mie	149
r n	149
 el	149
aig	148
mer	147
r
e	146
 na	145
per	145
tie	145
vin	144
 ar	144
l m	144
r f	144
t
d	142
pué	142
ble	141
 ço	140
ava	140
eig	140
eni	140
l f	140
ile	140
z a	139
r t	138
 ti	138
uel	137
 ai	137
s g	137
van	137
se
	136
 ja	135
orz	135
rra	135
t
a	135
ués	135
t j	135
ono	134
 nu	134
rde	134
te
	134
 pi	134
st
	134
s
l	133
 ha	133
z s	132
s
q	132
hon	132
gre	132
eng	131
toz	131
tal	131
 dr	130
t
c	130
von	130
om 	130
ene	130
aro	130
oli	130
eve	129
bat	129
t r	129
vau	129
 ap	128
lei	128
i o	128
vie	128
fon	128
nei	128
t
p	127
gno	127
era	127
non	127
ié 	127
l a	127
lli	127
ni 	127
sis	126
ite	126
s r	126
 am	126
nde	125
avr	125
l t	125
 au	125
dem	124
l v	124
dam	123
rz 	123
tai	123

co	123
stu	122
ame	121
in 	121
s h	121
gie	121
cre	121
a e	121
ges	120
uns	120
eau	119
ras	119
tro	119
sai	119
bar	119
jor	118
 or	118
r
l	118
nch	118
 su	118
t
s	118
é l	118

so	118
pai	118
ge 	117
a r	117
oig	117
ndr	117
den	117
due	117
o s	116
ess	116
üs 	115
nge	114
l r	114
sir	114
r v	112
ace	112
ece	111
t h	111
e
t	111
o l	111
mbl	111
os
	111
deü	111
dis	110
 br	110
has	110
ner	110
ou 	110
z c	110
mil	110
deu	109
orr	109
r
q	109
cen	109
oin	109
 ju	108

un	108
in
	108
uen	107
z p	107
nir	107
ins	106
ns
	106
emi	106
fre	106
tu 	105
z f	105
s i	105
gue	105
pro	105
sto	105
 ni	105
nz
	105
sch	105
t u	104
ues	104
sme	104
z
e	104
tin	104
tyd	104
yde	104
i b	103
rge	103
 mé	103

ta	102
s
p	102
r
s	102
hau	102
dou	102
aie	102
al
	102
ami	101
n n	101
pei	101
s
s	101
dor	101
cui	100
 vu	100
cie	100
dir	99
n o	99
uet	99
he 	99
ond	99
ive	99
eiz	99
vue	98
s
d	98
die	98
san	98
uil	98
lem	98
lau	97
ueu	96
s
c	96
ove	96
e
o	96
nti	96

to	96

o 	96
 be	95
z m	95
ué 	95
s
a	95
i q	95
enu	94
n r	94
ber	94
eïs	94
ree	94
cis	93
bon	93
nie	93
i g	92
euz	92
lin	92
r
c	91
r q	91
plo	91
l o	91
fei	91
tos	91
erc	91
iz
	90
rir	90
 mu	90
i n	89
arl	89
nel	89
ret	89
rec	89
ema	88
s j	88
pue	88
onf	88
bes	87
nqu	87
auc	87
pol	86
ois	86

bi	86
 er	86

do	86
ee 	86
sag	86

on	86
ose	85
prè	85
oci	85
dra	85
ind	85
n b	85
soz	85

ce	85
t
m	85
n g	84
ple	84
t
n	84

al	84
ceu	84
ere	84
inz	84
rès	83
uch	83
rié	83
joi	83
té 	82
och	82
hom	82
mé 	82
orm	82
cri	82
sie	82
ié
	82
dui	81
l q	81
ach	81
dei	81
n q	80
ini	80
nic	80

ja	80
ira	79
spe	79

jo	79
vit	79
mal	79
rez	79
ero	79
ra
	78
mar	78
dit	78
dev	78
a b	78
icè	78
cès	78
omp	78
s
m	77
z v	77
rer	77
inc	77
uei	76
tur	76
r
d	76
 ei	76
ice	76
sav	75
ton	75
u l	75

da	75
rz
	75
z q	75
are	75
fis	75
ivr	75
erv	75
roc	73

as	73

tu	73
ate	73
spo	72
r i	72
rro	72
jus	72
vou	72
eti	72
onq	72
r
n	72
rér	72
ès
	72
vra	71
apr	71
 eu	71
e h	71
har	71
uis	71
met	71
cue	71
iee	71
na 	70

ve	70
z t	70
ngi	70
a u	70
ét 	70
llo	69
 ro	69
fil	69
eu 	69
squ	69
rag	69
ede	69
fus	69
hié	69
uie	69
mpa	69
arg	69
col	69
té
	68
u m	68
s
t	68
dun	68
nav	68

di	68
e
i	68
tez	67
vir	67
sol	67
fré	67
dav	67
ves	66
lez	66
sez	66
iso	66
olo	66
 he	66
ded	66
ees	66
a a	65
u d	65
lee	65
jos	65

ch	65
her	65
oi 	65
vol	65
sta	65
n i	65
env	65
han	65
cei	65
r
p	65
aiz	64
lue	64
erd	64
ma 	64
pié	64
 ir	64

sa	64
o c	64
gié	64
ci 	64
ue
	64
é e	64
bla	63
 th	63
pon	63
ete	63
 oc	63
rbe	63
r o	63
pie	63
uz
	63
arm	63
ari	63

ai	63

gr	63
t
t	63
ena	63
 ty	63
edo	63
ve 	62
erg	62
z n	62
fol	62
sco	62
nan	62
vez	61
 bl	61
las	61
i
e	61
emp	61
cou	61
 an	61
ust	61
o m	61
s
o	61
rve	61
isn	60
ité	60
pen	60
asc	60
aïs	60
u e	60
 ra	60
ieu	60
s
n	60
cit	59
ara	59
apa	59
i
c	59
lot	59
u a	59
 ac	59
eso	59
liv	59

el	59
r
m	59
nta	59
ich	59
z
d	58
r
a	58
uec	58
ama	58

pu	58
l b	58
reu	58
fra	58
tié	58
flo	58
ies	57
esl	57
tus	57
vil	57
o e	56
vas	56
omb	56
ec 	56
cun	56
rov	56
 ou	56
ual	56
e u	56
tri	56
z
l	56
t
o	56
raï	56
amp	56
der	55
i
q	55
i j	55
ol 	55
vee	55
tré	55
mbr	55
bre	55
ori	55
fac	55
i
p	55
atr	55
riv	55
ian	55
fur	55
nre	55
thè	54
hèb	54
èbe	54
enf	54
rue	54
de
	54
rce	54
med	54
nez	53
arr	53
rle	53
hos	53
il
	53
sué	53
ai
	53
erm	53
o v	53
r g	53
ang	53
 pé	52
pér	52
he
	52
ric	52
pee	52
t
i	52
 sé	52
bai	52
jur	52
reg	52
amo	52
rti	52
 ad	52
adr	52
fie	52
oen	51
ros	51
hem	51
sti	51
iti	51
pan	51
amb	51
fié	51
ça 	51
aba	51
pom	51
cho	50
lar	50
u p	50
ime	50
sal	50

es	50
n
q	50
l j	49
ram	49
usq	49
z
q	49
e
j	49
tir	49
ube	49
l g	49
esm	49
n
e	49

yp	49
z
s	48
ilu	48

ço	48
fan	48
erb	48
evi	48
nul	48
ïst	48
roz	48
uét	48

tr	48
aub	48

no	48
poe	48
orc	48
e
u	48
etr	48
ypo	48
ot
	47
r u	47
bro	47
dol	47
nfa	47
e
v	47
min	47
a o	47
sac	47
esf	47
ham	47
dai	47
iro	47
c n	47
hen	47
nue	46
cov	46
mau	46

lo	46
bèl	46
rdi	46

vo	46
tue	46
 af	46
z
c	46
nué	46
r
t	46
aco	46

fo	46
onr	46
mba	46
bra	46
sue	46
ve
	46
nee	46
fiz	45
eut	45
n u	45
dus	45
ora	45
o n	45
lev	45
som	45
lun	45
rol	45
mur	45
rri	44
noi	44
oro	44

or	44
esr	44
el
	44
fui	44
 is	44
lié	44
cin	44
sau	44
 fl	44
atu	44

ni	44
r b	44
ria	44
ést	43
esg	43
sil	43
sar	43
 bè	43
gn 	43
i
s	43
iés	43
u s	43
pré	43
ré 	43
ui
	43
o q	43
ta 	43
lac	43

me	43
ide	43
ane	43
uev	42
nus	42

ju	42
z o	42
ope	42

ou	42
nfo	42
vis	42
ïss	42
oie	42
ume	42
mér	42
uai	42
r r	42
def	42
rop	42
rci	42
z j	42
esu	42
é
e	41
mag	41
eür	41
fin	41
ief	41
n
l	41
ans	41
i
m	41
i
d	41
dur	41
bos	41
mbe	41
s u	41
üst	41
lé 	41
e
b	41
rav	41
asm	41
as
	40
ata	40
i
a	40
orp	40
 ie	40
ndu	40
ord	40
isi	40
ese	40
üs
	40

ty	40
e ç	40
o t	40
iço	40
op 	40
z i	39
bea	39
abl	39
s
i	39
arc	39
rch	39
ati	39
arz	39
 at	39
dar	39
éve	39
cu 	39
ién	39
éne	39
hai	38
pot	38
é d	38
dan	38
çon	38
aum	38
spi	38
otr	38
ef 	38
nco	38
ita	38
u n	38
egn	38

pl	38
sel	38

re	38
nem	38
neü	38
cos	38
mpr	38
 cl	38
r ç	37
di 	37
sgu	37
eno	37
ape	37

pr	37
hes	37
uge	37
en
	37
veï	37
t ç	37
n
a	37
e
f	37
esa	37
pal	37
ala	37
sus	37
ocl	37
 ca	37
cur	36
ong	36
sté	36
rgi	36
not	36
epo	36
i
n	36
sot	36
evr	36
ré
	36
ela	36
lav	36
viv	36
me
	36
aud	35
apo	35
nuz	35

na	35
loi	35
u f	35
é s	35
nié	35
é p	35
n
s	35
u i	35
 ic	35
arn	35
z g	35
erp	35
eon	35
nag	35
 ça	35
gna	35

mi	35
 ab	35
 és	34
tem	34
sle	34
nst	34
poo	34
fou	34
udr	34
fem	34
emn	34
mne	34
é
d	34
 lé	34
gni	34
 ga	34
u v	33
rée	33
i
l	33
elu	33
cer	33
gem	33
cle	33
 hu	33
leg	33
vié	33

du	32
r
o	32
jug	32
alo	32
ovr	32
z b	32
soi	32
ion	32
sso	32
m l	32
é a	32
dez	32
set	32
oud	32
iév	32
eli	32
ofr	32
fri	32
uid	32
urs	32
rc 	32
sur	32
tru	31
arb	31
nov	31
seü	31
n
d	31
lam	31
be 	31
fir	31
ioc	31
clè	31
lès	31
n
p	31
éss	31
rés	31
ri 	31
sèl	31
iet	31
n h	31
rel	31
eto	30
u b	30
ul 	30
emo	30
rdr	30
é
l	30
uat	30
sos	30
ua 	30
ét
	30
ée 	30
nve	30
rta	30
mue	30
ule	30
 em	30
aci	30
sin	30
puc	30
ucè	30
cèl	30
rep	30
fen	30
c c	30
ute	29
z
a	29
o f	29
vèl	29
dot	29
spa	29
pet	29
sni	29
i
j	29
u t	29
i h	29
haï	29
r
j	29
an 	29
z
p	29
oné	29
pèl	29
oil	29
lir	29
pes	29
n
c	29
eia	29
gon	29
rin	29
egi	29
sof	29
oez	29
c l	29
z
m	28
rtu	28
pos	28
loe	28
oz
	28
va 	28
ïne	28
tis	28
avo	28
gle	28
ïez	28
mat	28
rna	28

ap	28
dic	28
apè	28
o p	28
omo	28
cap	28
r j	27
uso	27
roe	27
n j	27
rdu	27
ovè	27
nai	27
üre	27
a q	27
rpe	27
oma	27
tio	27
vro	27
ssu	27
é t	27
n
n	27
ref	27
nat	27
o d	27
e
g	27
emé	27
tho	27
peu	27

ot	27
nfl	27
ci
	27
tau	26
t
j	26
ido	26
u c	26
rim	26
nci	26
 os	26
a j	26
nvi	26

lu	26
lag	26
cir	26
mez	26
rth	26
nop	26
ève	26

cu	25
tit	25
erz	25
uqu	25
scr	25
equ	25
ura	25
i i	25
o a	25
sou	25
s
j	25
epa	25
ici	25
ivi	25
l
e	25
ger	25
cuz	25
ona	25
ïso	25
e
y	25
t
b	24
bel	24
 je	24
nté	24
pel	24
reï	24
t
u	24
 oï	24
 ié	24
auq	24
é v	24
é m	24
org	24
c s	24
esi	24
né 	24
sét	24
t
f	24
rpi	24
hué	24
roi	24
irs	24
rmi	24
ceü	24
dri	24
r
v	24
phi	24
més	24
ato	24
get	23
rev	23
i
o	23
tee	23
a h	23
t
v	23
oss	23
iem	23
i u	23
bru	23
dès	23
gar	23
sfo	23

fa	23
tel	23
riz	22
ut
	22
l i	22
lér	22
rui	22
l
q	22
nér	22
paï	22
mot	22
a i	22
fro	22
é
c	22
aug	22
t
g	22
gui	22
iel	22
hor	22
pir	22
cla	22

gu	22
nu
	22
z
t	22
avi	22
at 	22
nze	21
enç	21
agi	21
pin	21
oor	21
mel	21

fi	21
 bu	21
é
q	21
req	21
 ue	21
auv	21
é c	21
efo	21
z h	21
oec	21
 eü	21
uas	21
vel	21
da 	21
reo	21
s
f	21
eud	21
mp 	21
ude	20
sea	20
s
