Ngramme	Frequence
et 	1941
nt 	1697
que	1489
 qu	1426
le 	1398
ent	1314
 de	1243
es 	1223
ne 	1200
ue 	1147
 le	1129
en 	1088
us 	1071
 se	1052

qu	1039
che	972
il 	940
 ne	931
 ch	928
ant	926

et	917
qui	911
li 	881
 et	879
 vo	867
de 	860
 li	842
it 	839
est	837
re 	831
 la	825
ous	821
e l	797
ain	784
 co	772
si 	758
ns 	756
ui 	746
st 	731
our	714
 me	714
e s	702
t l	699
ien	687
nt
	679
oit	675
out	670
 en	666
is 	646
tre	623
ier	621
 a 	618
la 	607
e d	596
ais	594
 mo	586
se 	573
 es	570
e e	566
 pa	565
con	558
e c	556
e p	556
e m	551
ut 	550
s e	548
vou	546
 sa	544
ont	539
ele	536
on 	536
ire	532
mai	529
t e	523
me 	516
t d	513
e v	512
 si	509
t s	507
 ma	497
 so	480
roi	471
 il	471
ur 	471
t a	469
tou	464
e n	459
voi	449
ins	443
rs 	443
oie	440
 po	431
s l	429
par	428
t c	424
les	419
t m	418
 to	415
t p	414
men	399
 re	394
re
	394
s d	390
mes	388
s s	382
fai	382
e f	381
son	380
 ve	379
mou	378
 di	378
és 	377
 fa	374
er 	370
chi	369
res	365
s a	363
t q	356
e a	356
el 	351
e t	349
er
	348

si	343
 pl	342
je 	336
sen	329
 je	329
e
q	327
i l	327
ar 	327
e
e	326
 tr	321
it
	320
ait	318
ois	317
te 	317
tan	315
i s	313
s c	310
ens	308
he 	306
 pr	305

de	303
ist	303
des	302
s n	301
ie 	300
t t	299
qua	297
e q	292
s q	292
lai	289
or 	287
ran	285
pou	283
sir	282
t
e	281
s p	280
ie
	280
ste	279
e r	278
 gr	275
ven	273
 do	266
 av	265
ame	264
a d	262
s m	261
 fu	260
lle	257
ost	256
i a	255
ren	253
t
q	251

ma	251
 da	250
cha	249
 te	247
dam	246
uil	245
sse	243
tes	241
es
	239
vai	239
ill	237
aut	236
e j	236
 fo	234
oir	233

ne	233
 vi	232
gra	230
i p	229
t v	229
r l	228
t i	228
ons	227
onm	227
e i	226
nme	224
ors	224
i c	223

se	223
str	223
rt 	221
nte	221
 no	220
ere	220
ses	220
avo	220
 ta	219
bie	218
int	215
eva	215
 bi	214
rie	214
ort	214
ans	213
ers	212
cou	211
 du	210
 mi	210
rai	210
se
	210
s v	208
is
	207
 pu	207
i d	207
 lo	207
ns
	207
te
	205
st
	204
ouv	202
és
	200
ise	199
esp	199
ert	199
uan	199
lie	196
ir 	193
e
s	191
i e	191
ser	191
uel	190
ure	189
ine	189
 nu	189
s
e	188
n s	188
plu	188
 el	188
t f	187
 au	186
a p	186
i m	186
uis	186
a m	186
 fe	185
sa 	184
s t	184
len	184
esi	183
lus	182
s
q	180
a l	180
eur	180
ne
	179
don	179
n c	175
oin	174
ten	173
tel	173
a c	172
ntr	171
ir
	171
sto	170
 ho	169
ute	169
ver	169
n l	169
tro	168
nen	167
i f	167
ai 	167
iés	166
toi	165
 pe	165
iss	165
uit	163
l n	163
n a	162
oi 	162
eme	162
ou 	160
l l	160
hel	159
r e	159
hev	158
nch	158
ues	158
i v	158
a s	158
 ro	157
n p	156
onn	156
gne	155
t n	155
le
	155
t
s	155
mie	155
por	154
mon	154
t b	153
 ai	152
au 	152
uer	152
utr	151
 fi	151
moi	150
in 	150
yva	150
soi	149
s f	148
 lu	148
val	147
 cu	146

le	146
lui	145
 yv	145
nqu	144
ign	143
e
m	143
 va	143
ite	143
ero	143
e
d	143
e g	142
a t	141
 ga	140
tie	140
ter	140
esc	140
t j	140
pre	138
rte	138
lor	137
r c	137

ch	136
tra	136
ja 	135
eil	134
pla	134
 ja	134
pri	134
nou	132
 un	132
r d	132
e
l	131
e
c	131

li	131
 ou	131
n e	131
s
s	131
fu 	130
ave	130
l s	130
ass	130
 bo	129
mer	129
 jo	129
air	129
pas	129
une	128
n v	127
e b	126
rt
	126
enc	125
a v	125
e y	124
i q	124
eni	124
ron	124
err	124
 on	123
rem	122

me	122
 ar	121
e
a	121
anc	121
for	121
i r	120
us
	120
eüs	120
ot 	120

a 	119
i t	119
s o	119
r n	119
ee
	119
 ri	118
 am	118
du 	118
per	118
tai	117

co	117
