Ngramme	Frequence
e de	11
lo reis	10
e lo	8
e a	6
reis es	6
e li	6
sos fils	5
a tubie	5
maurins lo	5
de tos	5
non es	5
non o	4
en la	4
e si	4
al rei	4
seguentre parle	4
ke lo	4
rix hom	4
de son	4
e sos	4
que non	4
e tant	4
e sunt	4
cent ni	4
li vermeil	4
mais non	3
lo rei	3
seguentre lui	3
lui parlet	3
a sos	3
en er	3
non sera	3
lo baivers	3
e port	3
e ac	3
e per	3
ja non	3
es rix	3
quel reis	3
e lautre	3
ki lor	3
e tos	3
es fors	3
hom e	3
de las	3
non er	3
la ribe	3
ribe de	3
del rei	3
a la	3
en las	3
de la	3
de lor	3
lances els	3
els gonfanons	3
per escus	3
e ab	3
vant sei	3
sei ferir	3
andui sabatent	3
fraignent los	3
las lances	3
tal cent	3
ni caient	3
los blans	3
vermaus e	3
ab lor	3
li blanc	3
en pas	2
fils bertrans	2
e es	2
non fo	2
per tot	2
tot aiço	2
non laissar	2
jor en	2
sorbre lui	2
lui e	2
sa terre	2
los mans	2
mans e	2
es vergers	2
tos fils	2
bertrans e	2
e quant	2
per ajostar	2
e tu	2
al lans	2
nos de	2
sor e	2
li cortes	2
bon conseil	2
non fu	2
lo matin	2
li graisle	2
graisle espes	2
espes e	2
port lensegne	2
e anuit	2
anuit sient	2
sient c	2
c message	2
message trames	2
alerans li	2
las naus	2
del canp	2
garin lo	2
lo landones	2
reis sie	2
tant fort	2
per la	2
e estem	2
estem lai	2
per nos	2
er lo	2
e nos	2
de gris	2
el torneis	2
fors e	2
fers e	2
non poc	2
ja sie	2
li autre	2
pros e	2
ke non	2
non remaigne	2
es tos	2
e ros	2
maurins cavalge	2
e seu	2
aveir que	2
cobras e	2
li pros	2
es de	2
e bons	2
bons guerrers	2
de cap	2
del lans	2
des quant	2
de maltalent	2
sus en	2
en pes	2
grans es	2
sojornas e	2
gris e	2
que ja	2
nas e	2
consaus part	2
e il	2
gresleis lonc	2
lonc la	2
aiqui viras	2
viras tant	2
tant blanc	2
blanc hosberc	2
hosberc e	2
tant elme	2
los renge	2
qui es	2
e alerans	2
v mile	2
e sa	2
sa bataille	2
fils del	2
met en	2
el reis	2
reis aigars	2
tant vos	2
mon aveir	2
vit la	2
non la	2
ins en	2
las aies	2
