Ngramme	Frequence
la pucele	24
jhesu crist	23
li dist	17
le saint	15
en la	14
a son	11
a la	11
dous jhesu	11
pour dieu	11
quant le	11
et li	10
sains hons	10
li a	10
saint cors	10
saint alexis	9
de la	9
son pére	8
li sains	8
et la	8
il ne	8
dis et	8
et set	8
set ans	8
le dous	7
quil ne	7
pére et	7
en son	7
puis dist	7
la sainte	7
de ce	7
la gentil	7
gentil pucele	7
a dist	7
le pére	6
que le	6
la dame	6
son fiex	6
ne li	6
puis li	6
sa mére	6
la chambre	6
que la	6
a dieu	6
tant que	6
en plourant	6
ne le	6
la mére	6
grant duel	6
a dit	6
mez le	6
quant il	6
le cors	6
de romme	5
trez dous	5
grant joie	5
vint a	5
son chier	5
et sa	5
dist dous	5
et il	5
quant la	5
out grant	5
si grant	5
chier fis	5
que pour	5
vint au	5
en alphis	5
la cité	5
il a	5
le conte	5
le serjant	5
que ce	5
et au	4
dieu par	4
mout bien	4
qui mout	4
et si	4
le roy	4
du tout	4
tout a	4
le cuer	4
cuer out	4
en grant	4
chier pére	4
qui estoit	4
car la	4
en leure	4
doucement li	4
la vierge	4
de lanel	4
il est	4
pour vostre	4
et le	4
au cuer	4
de moy	4
de mon	4
et dist	4
que vous	4
a mon	4
pour lamour	4
et en	4
en ceste	4
tout le	4
ne pout	4
alphis la	4
le bon	4
jamez ne	4
par devant	4
je ne	4
leur dist	4
car je	4
dist il	4
cors saint	4
a grant	3
asez de	3
avoir a	3
que par	3
tant de	3
mout fu	3
le fist	3
son plezir	3
si que	3
quant alexis	3
ce siecle	3
alexis a	3
si bien	3
son cuer	3
sen vint	3
dist en	3
qui en	3
la joie	3
de tous	3
fist la	3
son cors	3
vierge marie	3
mez ne	3
plourant li	3
la moitié	3
pour la	3
et du	3
que il	3
sil vous	3
mon cors	3
la nef	3
la contrée	3
se ne	3
je te	3
en ma	3
de li	3
par la	3
ce jour	3
a une	3
la mer	3
de paradis	3
sachiez sans	3
en out	3
alexis qui	3
qui du	3
alexis quant	3
sus son	3
son pis	3
en cest	3
pour moy	3
hors de	3
le trez	3
onquez ne	3
que de	3
qui tant	3
grant paine	3
pour voir	3
pas a	3
il navoit	3
mais il	3
car il	3
comme il	3
les vit	3
le fis	3
li fist	3
quant les	3
fu bien	3
fu en	3
mout souvent	3
sa vie	3
le clerc	3
une vois	3
dous amis	3
du saint	3
vrai dieu	3
il fu	3
que dieu	3
fis que	3
en sa	3
qui dist	3
loy si	3
je suis	3
bons hons	3
dist le	3
et de	3
je vous	3
sous les	3
la nate	3
ce saint	3
saint corps	3
qui fu	3
le degré	3
la bele	3
les deus	3
lors fu	3
la vie	2
de dieu	2
dieu le	2
tout puissant	2
qui nous	2
et fist	2
que je	2
de cuer	2
quil fu	2
or fin	2
de bien	2
mez dune	2
a jhesu	2
par sa	2
depriérent dieu	2
bien la	2
sains homs	2
si comme	2
lenfant alexis	2
et quant	2
lenfant que	2
que jhesu	2
et a	2
tout son	2
son talent	2
adonc le	2
fist son	2
la court	2
servi le	2
si le	2
pére le	2
le sout	2
fist pour	2
on li	2
point de	2
alexis le	2
car des	2
du monde	2
monde ne	2
jour mout	2
mout forment	2
au trez	2
li souvenoit	2
souvenoit de	2
mez il	2
pucele et	2
et les	2
son lit	2
euvre dont	2
dont mame	2
mame soit	2
alexis vit	2
vit la	2
fust en	2
et tout	2
pucele que	2
tous poins	2
se pour	2
est a	2
ce monde	2
mon pére	2
ja ne	2
dieu qui	2
crist vous	2
dieu que	2
du cors	2
car trop	2
pour tant	2
ainsi la	2
dist douce	2
car me	2
vous ai	2
deus pars	2
a bien	2
en essil	2
essil veul	2
veul aller	2
il sera	2
alexis respondi	2
bele suer	2
la sus	2
vostre ame	2
en estrange	2
dist ainsi	2
dieu puis	2
puis que	2
ferez car	2
tout baset	2
a vois	2
par foy	2
la pucelle	2
le bourdon	2
quant en	2
son ordre	2
mére ne	2
mez tant	2
port de	2
out le	2
grant dezir	2
mére alexis	2
alexis est	2
mout se	2
se repentoit	2
out tel	2
un si	2
quil pout	2
du grant	2
grant deul	2
fu forment	2
forment esbahis	2
pucele li	2
chier sire	2
vostre fis	2
dieu servir	2
homme qui	2
a moy	2
ot grand	2
mére dautre	2
dautre part	2
fis alexis	2
mére et	2
duel que	2
mourir vouroie	2
quant je	2
dist dame	2
que jamez	2
soulas ne	2
quant vo	2
ma lessie	2
le comte	2
estroit la	2
mon enfant	2
lamour de	2
dame par	2
grant doulour	2
estoit en	2
droit a	2
cuidiérent ariver	2
plus de	2
roy de	2
paradis qui	2
crist ne	2
le vout	2
vout consentir	2
ce sachiez	2
sainte chité	2
ou dieu	2
au port	2
qui tous	2
biens envoie	2
il vit	2
dieu fu	2
nus genous	2
crois sus	2
car bien	2
bien say	2
say que	2
trois fois	2
sa bouche	2
dieu out	2
terrien onnour	2
tel vertu	2
pout estre	2
dist on	2
pucele qui	2
qui le	2
de sa	2
la chapele	2
si fort	2
il nen	2
tant out	2
out de	2
de hachie	2
crist servir	2
alexis de	2
ne vout	2
char ne	2
li donnoit	2
pour le	2
le matin	2
au comte	2
forment se	2
de trouver	2
que deus	2
par tout	2
megrez et	2
ly sains	2
hons les	2
doucement reclama	2
reclama le	2
pas ne	2
au moustier	2
car jamez	2
ne leur	2
leur ostel	2
sont pour	2
la porte	2
de lostel	2
le grant	2
pucele con	2
con li	2
