Ngramme	Frequence
la pucele	28
de la	27
dist il	27
que il	26
et li	22
li pére	21
la cité	21
sire dist	20
dist ele	19
ne l	19
pére et	17
a son	15
son pére	14
cel saint	14
la mére	14
pour diu	13
et de	13
li a	13
en la	13
quant il	12
qui le	11
se li	11
sains alessins	11
a la	11
la cartre	11
li cors	10
a grant	10
sa mére	10
et la	10
ne te	10
ot le	10
ne li	9
et a	9
sains alessis	9
que jou	9
çou dist	9
grant duel	9
en est	8
et en	8
de roume	8
mére et	8
dist li	8
bele dist	8
dist la	8
ne sai	8
son cors	8
saint cors	8
ot non	7
cors en	7
de ses	7
li mére	7
dont il	7
çou que	7
u il	7
si le	7
que li	7
et son	7
son fil	7
dius dist	7
ne sen	7
saint home	7
et pour	7
qui tant	7
nostre signour	6
si est	6
a sa	6
est la	6
que dius	6
a cel	6
la contrée	6
que la	6
set ans	6
et si	6
que ne	6
de son	6
le la	6
il ne	6
de diu	6
il a	6
del ciel	6
ne me	6
il les	6
li pules	6
le degré	6
saint alessin	5
prist a	5
a diu	5
li péres	5
a roume	5
roume la	5
fu nés	5
cel jour	5
toute la	5
et sa	5
len a	5
a a	5
diu que	5
çou fu	5
ke il	5
mais il	5
de lor	5
a dé	5
de cest	5
de moi	5
mére qui	5
il en	5
des oels	5
a dit	5
le glorious	5
de sa	5
mére si	5
li sains	5
droit a	5
si la	5
pour lui	5
a lui	5
mais ne	5
nus hom	5
est moult	5
et le	5
est li	5
tant jour	5
home qui	4
el ciel	4
si iert	4
la vie	4
son enfant	4
de tout	4
que de	4
jour que	4
non li	4
si len	4
a non	4
a un	4
de rome	4
rome la	4
li doi	4
a le	4
ne vaut	4
la cambre	4
il sen	4
pére qui	4
qui nous	4
la soie	4
que l	4
em paradis	4
del cors	4
il fu	4
ne puet	4
et del	4
la bele	4
te commant	4
commant a	4
moult liés	4
bele pucele	4
dist sains	4
jou ai	4
jou sui	4
saint paradis	4
dur cuer	4
il pour	4
li hom	4
oels ne	4
et jou	4
ele jou	4
pour son	4
son vis	4
sen est	4
la nef	4
en va	4
par le	4
ne ne	4
a tout	4
de ta	4
dame dist	4
ne puis	4
jou le	4
quant ot	4
tout droit	4
u non	4
ausis la	4
le jour	4
lui parler	4
il est	4
li clers	4
de mon	4
si li	4
il ot	4
ot espousée	4
en son	4
en roume	4
hom sui	4
cil qui	4
fins aproce	4
il le	4
sen ala	4
sains hom	4
la toie	4
cest li	3
non et	3
a li	3
en gist	3
fu li	3
al tans	3
ne le	3
tant ne	3
del siécle	3
del pére	3
sainte escriture	3
son vivant	3
est en	3
cors a	3
cil le	3
ne fu	3
fu de	3
los de	3
lor en	3
diu en	3
mercis et	3
par grant	3
li bons	3
le mist	3
et puis	3
la fait	3
ens el	3
son talent	3
de cel	3
e vous	3
la nuit	3
plus que	3
qui me	3
qui tout	3
mortel vie	3
en cest	3
en a	3
en estrange	3
ta mére	3
de fi	3
en tere	3
droit en	3
dius le	3
dont li	3
ens en	3
que ja	3
qui plus	3
grans est	3
est a	3
cil est	3
ne lestuet	3
lestuet demander	3
quant autrement	3
autrement ne	3
te puis	3
le prist	3
estrange pais	3
mais jou	3
jou ne	3
