Ngramme	Frequence
que il	93
et de	92
de la	79
et li	77
ce que	71
por ce	68
ne li	66
que je	58
li rois	57
et si	54
que li	53
et la	47
et cil	46
que ja	42
a la	40
ne se	40
tant que	38
an la	37
et por	36
si li	35
de son	34
que vos	34
et les	33
fet il	33
la reïne	33
ne ne	33
ne ja	32
li a	32
quil ne	32
ne le	31
et mout	31
le roi	30
et a	30
que de	29
de lui	29
se il	29
et se	29
mes ne	28
que la	28
de ce	28
il ne	28
li uns	28
qui ne	27
toz jorz	26
rien ne	26
ne vos	26
ne la	26
qui le	25
li est	25
ja mes	24
por coi	24
ne puet	24
ni a	24
et par	24
si con	23
ja ne	23
qui mout	23
a grant	23
se je	23
que ele	23
si com	23
de sa	23
si que	23
la pucele	22
qant il	22
et le	21
et dit	21
quant il	21
li dus	21
et sanz	20
grant joie	20
li autre	20
qui la	20
qui de	20
de rien	20
ne set	20
mes il	20
la bataille	20
la tor	20
cil qui	19
et quant	19
je ne	19
a lui	19
que nus	19
an son	18
de lor	18
com il	18
vos an	18
a son	17
ne me	17
ne man	17
tant con	17
ce quil	17
de moi	17
tot le	17
et bien	16
la ou	16
car li	16
son cuer	16
plus de	16
que par	16
dit que	16
i a	16
et cligés	16
la parole	15
car de	15
quil li	15
en la	15
la mer	15
tuit li	15
mout li	15
ne san	15
mes cuers	15
por la	15
le suen	15
an sa	14
il est	14
et plus	14
la nuit	14
que mout	14
car mout	14
a sa	14
qui les	14
et del	13
mes de	13
plus ne	13
je vos	13
nus ne	13
et ses	13
qui a	13
plus que	13
a li	13
la voie	13
lor seignor	13
la vile	13
quele ne	13
si la	13
ja niert	13
ne sai	13
de mon	13
avoec lui	13
dit et	13
a lautre	13
que por	12
et que	12
par le	12
a nul	12
se vos	12
la terre	12
joie et	12
lui se	12
car il	12
ne fu	12
de vos	12
car bien	12
et je	12
par foi	12
li grezois	12
mout se	12
et tant	12
car je	12
cil ne	12
de tot	12
je sui	12
por lui	12
ce li	12
par tote	12
qui li	12
ni ot	12
les escuz	12
toz les	12
mes ainz	11
dom il	11
ne plus	11
an bretaigne	11
ce ne	11
au roi	11
einçois que	11
ne par	11
de lautre	11
que ne	11
ne soit	11
et sil	11
la cort	11
li baron	11
vos ne	11
les a	11
a ce	11
tote la	11
et son	11
il le	11
por le	11
il a	11
et qui	11
ne fust	11
a fet	11
la chose	11
que cil	11
li ont	11
a un	11
a dit	11
ne por	11
bien le	11
que a	11
mout grant	11
la porte	11
le cors	11
ne de	11
mes cligés	11
de grece	10
est an	10
con li	10
qant li	10
vos ai	10
est li	10
par la	10
tot ce	10
plus tost	10
ne lor	10
ou il	10
et tuit	10
de ma	10
a toz	10
sil ne	10
est la	10
si se	10
chose que	10
que plus	10
si le	10
a le	10
mout est	10
li cuens	10
si san	10
et sa	10
de neant	10
que se	10
par les	9
de vostre	9
rois artus	9
dit quil	9
si grant	9
est a	9
a de	9
mes por	9
mes mout	9
ce me	9
fu la	9
li plus	9
se li	9
tant qua	9
devant lui	9
il se	9
sont li	9
qui est	9
mout me	9
si les	9
pas ne	9
a chascun	9
tant quil	9
qui me	9
uns lautre	9
fors que	9
vers lui	9
les genz	9
li miens	9
puet estre	9
je cuit	9
qant la	9
li cuers	9
qui por	9
mes an	9
sanble que	9
mes que	9
de ses	9
tot a	9
les lances	9
par tans	9
mes se	9
le conte	9
sa lance	9
son neveu	9
et an	9
ja nus	9
au duc	9
son oncle	9
le duc	9
ma dame	9
qui an	8
qui si	8
il san	8
li vaslez	8
nest pas	8
que ses	8
en a	8
li dit	8
qant de	8
il ni	8
cil de	8
et grant	8
devant le	8
ne les	8
lui ne	8
car se	8
mes bien	8
je le	8
cuit que	8
vos i	8
car a	8
et as	8
par un	8
ses cuers	8
sa terre	8
a cui	8
cui il	8
de toz	8
des ialz	8
mes a	8
ausi con	8
qui son	8
mes tant	8
moi ne	8
ne vient	8
que tote	8
ne lan	8
la main	8
car ja	8
cil li	8
la cité	8
que an	8
que le	8
aprés lui	8
ses genz	8
le chastel	8
les armes	8
de cest	8
la soe	8
la cope	8
li sanble	8
ou de	8
de duel	8
la joie	8
la corone	8
et fet	8
que tu	8
chascun jor	8
cligés a	8
sa mestre	8
la poison	8
la teste	8
quil le	8
del tot	8
la sepolture	8
son pere	7
fet ele	7
se lui	7
a tant	7
le monde	7
le me	7
con il	7
il me	7
ceste chose	7
nest mie	7
vint a	7
au plus	7
li empereres	7
pas que	7
se de	7
mout volantiers	7
que len	7
ses ialz	7
rien qui	7
les autres	7
li fet	7
mes cil	7
et lautre	7
se la	7
car la	7
mout a	7
por cui	7
qui se	7
que chascuns	7
il la	7
si ne	7
mes je	7
don li	7
mon cuer	7
or vos	7
sa vie	7
tot son	7
a feire	7
est ce	7
le jor	7
mout et	7
mout san	7
san est	7
ce quele	7
toz li	7
del chastel	7
i ot	7
en ot	7
bele et	7
li un	7
mout vos	7
tote lost	7
de par	7
par tot	7
la verité	7
devant li	7
que ce	7
ou mout	7
einz que	7
que toz	7
se nus	7
