Ngramme	Frequence
li rois	115
et de	102
de la	78
et li	76
fet il	72
que je	69
et la	68
ne vos	62
a la	61
la reïne	56
li cuens	56
que il	53
por ce	47
et cil	46
si li	46
je ne	43
ne li	43
et les	43
qui mout	42
je vos	41
la cort	40
la pucele	40
le roi	40
an la	38
de son	38
et si	38
que vos	37
et dist	37
mes sire	35
vos an	35
sire fet	33
ce que	33
li uns	33
tant que	32
a grant	31
et sa	31
grant joie	31
de rien	30
a son	29
la dame	29
ne me	29
cil qui	28
ne fu	28
que li	28
de ce	26
i ot	26
quant il	26
ne le	26
se vos	26
la joie	26
et por	25
li a	25
ne se	25
et le	25
et bien	24
rien ne	24
de grant	24
fet ele	24
erec respont	24
ni a	23
ne puet	23
se je	23
par la	23
mout grant	22
de lui	22
le chevalier	22
sa fame	22
a tant	22
et je	22
qui de	21
mon seignor	21
sor un	21
de sa	21
qui la	20
mout est	20
quil ne	20
bien le	20
por quoi	20
et mout	20
an son	19
et a	19
car mout	19
la parole	19
san vont	19
li autre	19
erec et	19
a lui	19
que nus	19
si con	19
que de	19
tot le	18
et par	18
le cors	18
si san	17
come il	17
mout estoit	17
qui fu	17
mes mout	17
a deu	17
mes ne	17
si grant	17
si le	17
li dist	17
et sanz	17
mes je	17
erec a	17
est li	16
plus bele	16
an un	16
ne sai	16
et il	16
grant enor	16
si se	16
ne de	16
de vos	16
ce ne	16
sor le	16
erec le	16
vos ai	16
je sui	16
son seignor	16
si que	16
sa pucele	15
mout fu	15
an grant	15
la main	15
que ja	15
a un	15
et bel	15
mout an	15
que a	15
qui tant	15
dist sire	15
de lautre	15
le conte	15
la nuit	15
que la	14
la plus	14
la forest	14
la lance	14
nest pas	14
an cest	14
li fiz	14
a sa	14
la ou	14
que plus	14
de li	14
et puis	14
est la	13
bele et	13
ansanble o	13
fu de	13
o lui	13
sil vos	13
an sa	13
fet li	13
si la	13
plus de	13
que tot	13
qui a	13
an i	13
bien et	13
tuit li	13
an est	13
est de	13
an une	13
plus ne	13
quant vos	13
le jor	13
de ci	13
an tel	13
que mout	13
a terre	13
mes de	13
rois artus	12
por la	12
une pucele	12
parmi le	12
li chevaliers	12
la bataille	12
quant li	12
a lautre	12
sire gauvains	12
se il	12
dautre part	12
por voir	12
a li	12
ou il	12
mes se	12
avuec lui	12
de mon	12
de moi	12
si les	12
rien nule	12
des que	12
son escu	12
la verité	12
fu li	12
toz les	12
sa lance	12
que ele	12
tant con	11
qui le	11
se lieve	11
fet erec	11
ja mes	11
se sont	11
an a	11
au roi	11
chevaliers et	11
li vavassors	11
biaus sire	11
erec de	11
son cheval	11
an nule	11
qui ne	11
tot a	11
quant erec	11
vos ne	11
de joie	11
la place	11
et plus	11
se tu	11
tot maintenant	11
que ne	11
et grant	11
que bien	11
a mout	11
si come	11
nus ne	11
et vos	11
fu pas	11
el palés	11
que lan	10
rois et	10
ja ne	10
ni ot	10
biaus et	10
dame fet	10
devant aus	10
le vit	10
pucele et	10
a moi	10
li nains	10
ne set	10
est et	10
je man	10
ou a	10
que le	10
et des	10
dist que	10
un petit	10
el chastel	10
par le	10
vostre merci	10
quan li	10
quant ele	10
de cest	10
et tuit	10
il a	10
mout li	10
nule rien	10
de totes	10
le fiert	10
ne ne	10
or androit	10
et tant	10
tote la	10
par tel	10
joie et	10
a nul	10
i vint	10
que toz	10
toz li	10
que mes	10
uns lautre	10
cinc çanz	9
mout bien	9
biaus amis	9
et bele	9
sa main	9
sor la	9
de ma	9
vos vuel	9
quant je	9
san va	9
chevaliers de	9
et ma	9
par grant	9
la sele	9
le cheval	9
cil li	9
il ne	9
biaus douz	9
et vostre	9
je li	9
vos plest	9
mes erec	9
por lui	9
contre val	9
les escuz	9
le chief	9
li fist	9
que tu	9
ma dame	9
vos i	9
lautre part	9
joie an	9
avuec moi	9
la terre	9
son cuer	9
le vos	9
grant duel	9
ne lan	9
erec qui	9
et enide	9
con li	9
rois evrains	9
a ses	8
de vostre	8
uns chevaliers	8
de tant	8
de ses	8
tot droit	8
estre et	8
vers lui	8
mout me	8
li est	8
le col	8
grant aleüre	8
et se	8
la soe	8
la sale	8
et del	8
parmi la	8
par les	8
les chevaus	8
erec ne	8
il le	8
son oste	8
qui an	8
estoit de	8
il se	8
et neporquant	8
ne fust	8
i a	8
ne cuit	8
vos pri	8
vos me	8
se deus	8
les janz	8
ma douce	8
droiz que	8
a vos	8
tant se	8
a erec	8
est mout	8
a joie	8
je le	8
que trop	8
sa mere	8
bien vos	8
ainz que	8
de soie	8
et an	8
a cort	8
ez vos	8
san vet	8
et dit	8
de buen	8
or fu	8
fors de	8
et quant	8
rois les	8
con je	8
ses armes	8
dire ne	8
por son	8
vint a	8
li sans	8
ses plaies	8
des or	7
toz jorz	7
mout i	7
dames et	7
qui li	7
sont tuit	7
un chevalier	7
bel et	7
chevalier qui	7
a lancontre	7
la corgiee	7
la voie	7
la face	7
amis fet	7
me poise	7
lui et	7
que del	7
or est	7
par son	7
ou soit	7
vos comant	7
li baron	7
que ce	7
le sot	7
li plot	7
li respont	7
car je	7
fu et	7
la porte	7
an fu	7
ne sui	7
ne plus	7
nule guise	7
ce fu	7
an ot	7
ot et	7
li dit	7
et ses	7
conte qui	7
quil li	7
a dit	7
vos enuit	7
qui est	7
qui par	7
lez lui	7
cuit que	7
li fu	7
li haubers	7
roi artu	7
mon pere	7
mout san	7
et ele	7
cele nuit	7
les armes	7
ne san	7
an mainne	7
a tel	7
puet estre	7
les espees	7
un po	7
a cele	7
a fet	7
et erec	7
il mout	7
di que	7
son duel	7
et sil	7
dras de	7
que nule	7
plus tost	7
grant piece	7
comande a	7
de mout	7
qui bien	7
vuel je	7
la chanbre	7
les a	7
vos sai	7
vos dirai	7
lui a	7
sa cort	7
mout se	7
çaus qui	7
del destrier	7
jus del	7
mes a	7
le fist	7
cil san	7
li plus	7
ses sire	7
ne soiiez	7
a a	7
si santrevienent	7
a mort	7
ainz quil	7
puis a	6
et beles	6
le blanc	6
blanc cerf	6
seignor gauvain	6
de ceste	6
par reison	6
mout granz	6
a droit	6
mes por	6
doit estre	6
tant come	6
un cheval	6
fors que	6
que tant	6
il an	6
an ceste	6
por vos	6
a feire	6
ne puis	6
le cerf	6
aprés le	6
sor son	6
delez lui	6
la reine	6
moi et	6
anmi la	6
a force	6
et cele	6
si bele	6
vassaus fet	6
li ont	6
devant lui	6
quil ni	6
il or	6
pas a	6
a cest	6
je la	6
ou li	6
des autres	6
et pris	6
ou de	6
i fu	6
aprés li	6
vit et	6
moi se	6
de chevaliers	6
i avoit	6
les rues	6
le chastel	6
li sire	6
la robe	6
an tot	6
vos di	6
ne les	6
sa biauté	6
voit que	6
an li	6
cheval et	6
son pere	6
por le	6
dites moi	6
ele a	6
ma terre	6
sire de	6
cest païs	6
que sa	6
je ai	6
cest mes	6
a une	6
et sage	6
pres de	6
et biaus	6
dist erec	6
de quel	6
a non	6
an ma	6
ja de	6
il li	6
onques ne	6
vost plus	6
la bele	6
est bien	6
vos que	6
la novele	6
totes les	6
li chevalier	6
les puceles	6
douce amie	6
vos le	6
mout le	6
de quoi	6
granz cos	6
nule ne	6
celui qui	6
qui por	6
car trop	6
cui il	6
fet grant	6
cil respont	6
jusqua la	6
ce quil	6
dont il	6
la teste	6
ne la	6
ne por	6
an vostre	6
et moi	6
nul leu	6
mon non	6
grant enui	6
une chanbre	6
ce est	6
le voir	6
jel vos	6
et mes	6
mout a	6
devant le	6
puis le	6
mout vos	6
nest mie	6
cort et	6
qua la	6
et buens	6
si lan	6
et sor	6
bien an	6
mes bien	6
quant la	6
de mes	6
ne vuel	6
le palefroi	6
quant de	6
de bone	6
bone eire	6
et son	6
come ele	6
mes que	6
rien que	6
qui onques	6
mal ne	6
ne soit	6
ce vos	6
erec les	6
congié prandre	6
nul qui	6
vint li	6
de toz	6
et as	6
et lautre	6
sor les	6
forz et	6
a si	6
ot erec	6
aussi con	6
ceste chose	6
un lit	6
mes ele	6
ne man	6
dire vos	6
por rien	6
comant il	6
un seul	6
moi ne	6
mes li	6
douz amis	6
erec an	6
que tuit	6
car de	6
por deu	6
ja tant	6
beise et	6
que par	6
et guivrez	6
qui que	6
joie de	6
a bien	5
dire et	5
savoir que	5
que cil	5
ne fet	5
einçois que	5
la corz	5
dist quil	5
ot la	5
il de	5
cele qui	5
je bien	5
la chose	5
les chevaliers	5
de roi	5
erec ot	5
ot non	5
janz et	5
onques nus	5
feire et	5
li un	5
pucele qui	5
tuit troi	5
son destrier	5
a cel	5
car la	5
le nain	5
ce quele	5
petit et	5
le vis	5
san est	5
set que	5
que si	5
cele part	5
vos ni	5
bien que	5
que se	5
sanz nule	5
deu vos	5
del chevalier	5
rois ot	5
ot le	5
la meison	5
uns a	5
grant esfroi	5
dïent tuit	5
noise et	5
por sa	5
vindrent a	5
fort et	5
chevaus et	5
de si	5
nain et	5
il vit	5
toz seus	5
li cort	5
le prant	5
aprés lui	5
sa fille	5
mes tant	5
se pot	5
ot que	5
li ot	5
deus ne	5
onques mes	5
grant biauté	5
or a	5
el chief	5
fu mout	5
a lor	5
vostre fille	5
tant par	5
cest chastel	5
il est	5
le mont	5
son cors	5
li die	5
ni avoit	5
mout biaus	5
li miaudre	5
devant toz	5
lors a	5
pri que	5
vostre pleisir	5
ne savez	5
mes pere	5
a vostre	5
cortois et	5
mout la	5
cil la	5
don li	5
mise et	5
parmi les	5
de jant	5
vint si	5
erec li	5
bien est	5
la lune	5
or mes	5
et granz	5
andeus les	5
mout doucemant	5
se fust	5
se li	5
bien li	5
tant ont	5
nan i	5
li done	5
toz et	5
chief li	5
que ses	5
ja nan	5
ne te	5
sanz nul	5
son comandemant	5
sage et	5
ai non	5
voie et	5
del tot	5
vos et	5
ce me	5
je cuit	5
lors sest	5
plus que	5
quil a	5
son palefroi	5
chevaliers i	5
quanque vos	5
se test	5
plus an	5
mes ce	5
se de	5
ne die	5
riches li	5
nos an	5
ne pot	5
ver et	5
de dras	5
sa cosine	5
jusque la	5
robes et	5
et un	5
teus est	5
le puet	5
que sil	5
de lor	5
devant la	5
frans et	5
que dautre	5
lot comandé	5
dune part	5
qui plus	5
prant si	5
çaus de	5
mes la	5
cors et	5
ne je	5
or me	5
me dites	5
qua sa	5
que chevaliers	5
si lor	5
tote sa	5
grant planté	5
son fil	5
fet et	5
ne vost	5
cort ne	5
et ce	5
liez an	5
a chascun	5
mout chier	5
et maint	5
et tante	5
de tel	5
armes et	5
tuit cil	5
a mervoilles	5
les hiaumes	5
ot bien	5
cil un	5
pris que	5
sa vie	5
tot an	5
mar i	5
si ne	5
grant peor	5
peor ot	5
si vos	5
est enide	5
fist un	5
vos puis	5
tost et	5
une dame	5
anmi le	5
dedanz le	5
car li	5
cele respont	5
con sil	5
dist li	5
lui mes	5
ne ja	5
li cuers	5
tant quan	5
erec mout	5
sire je	5
del cheval	5
de mainte	5
mes qui	5
il vos	5
or ot	5
qui me	5
qui si	5
la voiz	5
et acole	5
et que	5
vuel feire	5
an avoit	5
ceste dame	5
tel chose	4
car qui	4
cil ne	4
qui sa	4
deus la	4
li contes	4
et devant	4
jorz mes	4
a caradigan	4
jantes et	4
rois a	4
la costume	4
ne ni	4
droit que	4
rois respont	4
sai je	4
car ne	4
ne doit	4
puis que	4
rois la	4
tuit an	4
iert mout	4
lués que	4
et lor	4
aprés aus	4
roi et	4
sist sor	4
a esperon	4
estoit mout	4
avoit de	4
il i	4
et fu	4
preuz et	4
le chemin	4
a or	4
lan mercie	4
je mout	4
lez li	4
quan ne	4
de nule	4
nule part	4
au col	4
el poing	4
ot an	4
il sont	4
fet la	4
pucele o	4
vers le	4
lancontre li	4
il que	4
que feire	4
la vit	4
la vost	4
des iauz	4
les lermes	4
dolante et	4
ma pucele	4
au chevalier	4
chief an	4
an chief	4
son nain	4
mie a	4
vuel que	4
trop me	4
le me	4
bataille et	4
quil me	4
man vois	4
ne fine	4
la prise	4
del cerf	4
dit et	4
sachiez que	4
mie ne	4
a mis	4
chevalier tuit	4
rois li	4
je nai	4
cort li	4
sages et	4
sont venu	4
tant fu	4
fu la	4
lor a	4
