Ngramme	Frequence
et de	10
ne de	9
de cortoisie	6
je vos	6
clerc ne	6
de deduit	6
li rois	6
li rousingnols	6
ne se	5
toutes les	5
autre gent	5
de flors	4
chevalier sont	4
si vous	4
avoir amie	4
ne sevent	4
sont li	4
ne sont	4
et li	4
en un	4
que clerc	4
deduit ne	4
fet il	4
vous mentez	4
la bataille	4
que vous	3
de roses	3
a dit	3
lautre respont	3
respont vous	3
tant com	3
le jor	3
quant il	3
sont de	3
les genz	3
qui sont	3
que autre	3
par mon	3
mon chief	3
a la	3
lors se	3
tant que	3
la ou	3
les puceles	3
ou li	3
les a	3
doit avoir	3
li clers	3
mentez dans	3
je di	3
preu et	3
vous di	3
le jugement	2
cortoisie et	2
en son	2
son corage	2
ne doit	2
clers ou	2
ou a	2
de mai	2
en i	2
ni ot	2
flors de	2
i ot	2
et les	2
bien ouvrees	2
ouvrees a	2
besiers damors	2
et molt	2
molt sont	2
sont riche	2
cri doisel	2
parla com	2
vous dites	2
dites voir	2
ne le	2
ne lor	2
quar il	2
com li	2
est il	2
de sa	2
de la	2
qui de	2
avoit a	2
a non	2
et bon	2
qui en	2
en avez	2
le don	2
ce ne	2
vos dirai	2
flor et	2
de mamor	2
un clerc	2
cortoisie ne	2
torne et	2
et retorne	2
et bel	2
gent quant	2
au tornoiement	2
pris et	2
et le	2
par grant	2
vous dirai	2
sont molt	2
ou son	2
tout en	2
en apert	2
que sor	2
sor toutes	2
genz qui	2
gent ne	2
ne chevalier	2
chevalier ne	2
sevent vaillant	2
vaillant un	2
dist il	2
il ne	2
querre jugement	2
vous en	2
a son	2
que par	2
sont pas	2
ne fust	2
pas de	2
a clous	2
clous de	2
de girofle	2
girofle atachies	2
et bien	2
lit se	2
puis lor	2
com il	2
et que	2
la verité	2
lor a	2
je vous	2
sont plus	2
plus cortois	2
rousingnols lors	2
vous i	2
i mentez	2
ne puet	2
ne autre	2
os bien	2
gent vous	2
mentez trop	2
trop apertement	2
et vaillant	2
saut avant	2
du monde	2
bien que	2
ou il	2
fet li	2
qui si	2
envers clers	2
clerc sont	2
cortois et	2
je bien	2
sest tost	2
tost levez	2
et cortois	2
se leva	2
et si	2
et se	2
li papegaus	2
di que	2
et lor	2
la mort	2
jugement damours	1
damours de	1
de barnage	1
barnage ot	1
ot cil	1
cil assez	1
assez en	1
corage qui	1
qui cest	1
cest conte	1
conte vout	1
vout presenter	1
presenter que	1
vous morez	1
morez ci	1
ci aconter	1
aconter qui	1
qui ces	1
ces vers	1
vers set	1
set molt	1
molt bien	1
bien se	1
se gart	1
gart quil	1
quil ne	1
ne les	1
les die	1
die a	1
a couart	1
couart a	1
a vilains	1
vilains ne	1
ne a	1
a vanteors	1
vanteors ne	1
doit on	1
on pas	1
pas conter	1
conter damors	1
damors mes	1
mes a	1
a clers	1
a chevaliers	1
chevaliers ou	1
a pucele	1
pucele debonere	1
debonere quar	1
quar ele	1
ele en	1
en a	1
a auques	1
auques a	1
a fere	1
fere el	1
el mois	1
mois de	1
mai par	1
par i	1
i matin	1
matin il	1
il puceles	1
puceles en	1
i jardin	1
jardin entrerent	1
entrerent por	1
por esbanoier	1
esbanoier forment	1
forment fesoient	1
fesoient a	1
a proisier	1
proisier andui	1
andui furent	1
furent dun	1
dun fier	1
fier corage	1
corage dune	1
dune biauté	1
biauté et	1
et dun	1
dun parage	1
parage de	1
de ii	1
ii mantiaus	1
mantiaus sont	1
sont affublees	1
affublees quen	1
quen i	1
i isle	1
isle firent	1
firent ii	1
ii fees	1
fees ne	1
ne furent	1
furent pas	1
pas ouvré	1
ouvré de	1
de laine	1
laine onques	1
onques ni	1
ot oevre	1
oevre villaine	1
villaine li	1
li estains	1
estains fu	1
fu de	1
de glai	1
glai traime	1
traime i	1
ot de	1
roses de	1
mai et	1
les panes	1
panes furent	1
furent de	1
flors et	1
les listes	1
listes furent	1
furent damors	1
damors les	1
les ataches	1
ataches sont	1
sont bien	1
a ii	1
ii besiers	1
damors fermees	1
fermees et	1
riche li	1
li tassel	1
tassel atachié	1
atachié sont	1
sont a	1
a cri	1
doisel sen	1
sen aloient	1
aloient esbanoiant	1
esbanoiant en	1
i val	1
val truevent	1
truevent i	1
i ruissel	1
ruissel qui	1
qui soef	1
soef cort	1
cort par	1
par le	1
le praiel	1
praiel la	1
la ont	1
ont mirees	1
mirees lor	1
lor colors	1
colors qui	1
qui sovent	1
sovent lor	1
lor changent	1
changent damors	1
damors puis	1
puis sassistrent	1
sassistrent soz	1
soz lolivier	1
lolivier qui	1
qui fu	1
fu plantez	1
plantez lez	1
lez le	1
le gravier	1
gravier lune	1
lune parla	1
com preus	1
preus et	1
et sage	1
sage premiere	1
premiere a	1
dit en	1
corage comme	1
comme avroit	1
avroit ore	1
ore bone	1
bone vie	1
vie toute	1
toute seule	1
seule celeement	1
celeement sanz	1
sanz compaignie	1
compaignie dautre	1
dautre gent	1
gent sil	1
sil sentramoient	1
sentramoient bien	1
bien andui	1
andui il	1
il ni	1
ni querroient	1
querroient ja	1
ja nullui	1
nullui fere	1
fere porroient	1
porroient lor	1
lor valoir	1
valoir lautre	1
voir quar	1
quar pleüst	1
pleüst ore	1
ore a	1
a dieu	1
dieu le	1
le roi	1
roi que	1
que ci	1
ci fussent	1
fussent li	1
li nostre	1
nostre andoi	1
andoi ne	1
le besier	1
besier ne	1
ne lacoler	1
lacoler ne	1
lor porrïons	1
porrïons nous	1
nous veer	1
veer mais	1
mais geu	1
geu qui	1
qui tort	1
tort a	1
a vilonie	1
vilonie ne	1
lor soufferrïons	1
soufferrïons nous	1
nous mie	1
mie quar	1
il nous	1
nous convient	1
convient bien	1
bien garder	1
garder quon	1
quon ne	1
se puis	1
puis de	1
de nous	1
nous gaber	1
gaber tant	1
li arbres	1
arbres est	1
est foilluz	1
foilluz est	1
il amez	1
amez et	1
et chier	1
chier tenuz	1
tenuz et	1
et quant	1
quant la	1
la fueille	1
fueille en	1
en est	1
est cheüe	1
cheüe molt	1
molt a	1
a de	1
sa biauté	1
biauté perdue	1
perdue ausi	1
ausi est	1
il de	1
la meschine	1
meschine qui	1
sa chasteé	1
chasteé decline	1
decline ja	1
ja nert	1
nert si	1
si haut	1
haut emparentee	1
emparentee ne	1
ne soit	1
soit en	1
en grant	1
grant viuté	1
viuté tornee	1
tornee lautre	1
voir mielz	1
mielz aim	1
aim hennor	1
hennor que	1
que trop	1
trop avoir	1
avoir assez	1
assez ont	1
ont devisé	1
devisé le	1
jor et	1
de savoir	1
savoir et	1
de folor	1
folor et	1
de quanques	1
quanques lor	1
lor plot	1
plot au	1
au cuer	1
cuer se	1
se lune	1
lune fust	1
fust a	1
a lautre	1
lautre suer	1
suer ne	1
ne fussent	1
fussent eles	1
eles miex	1
miex paraux	1
paraux de	1
de compaignie	1
compaignie et	1
de consaus	1
consaus mains	1
mains ainz	1
ainz que	1
que prime	1
prime fust	1
fust sonee	1
sonee fu	1
fu molt	1
molt male	1
male la	1
la dessevree	1
dessevree por	1
por assez	1
assez petit	1
petit dachoison	1
dachoison issirent	1
issirent fors	1
fors de	1
de lor	1
lor reson	1
reson lune	1
lune avoit	1
non blancheflor	1
blancheflor quainz	1
quainz ne	1
se pot	1
pot tenir	1
tenir damor	1
damor et	1
et lautre	1
lautre avoit	1
non florence	1
florence qui	1
qui le	1
jor commença	1
commença la	1
la tence	1
tence molt	1
molt doucement	1
doucement et	1
et par	1
par amor	1
amor a	1
a demandé	1
demandé a	1
a blancheflor	1
blancheflor quar	1
quar me	1
me dites	1
dites gentil	1
gentil pucele	1
pucele qui	1
qui tant	1
tant estes	1
estes plesant	1
plesant et	1
et bele	1
bele de	1
de vo	1
vo fin	1
fin cuer	1
cuer leal	1
leal et	1
bon qui	1
avez vos	1
vos fait	1
fait le	1
don celui	1
celui que	1
que vos	1
vos devez	1
devez amer	1
amer ne	1
ne me	1
me devez	1
devez vous	1
vous pas	1
pas celer	1
celer sele	1
sele devint	1
devint pale	1
pale et	1
et vermeille	1
vermeille ce	1
ne fu	1
fu mie	1
mie de	1
de merveille	1
merveille de	1
de respondre	1
respondre nest	1
nest pas	1
pas vilaine	1
vilaine parla	1
com bouche	1
bouche de	1
de seraine	1
seraine si	1
si a	1
dit lautre	1
lautre pucele	1
pucele je	1
dirai ma	1
ma damoisele	1
damoisele a	1
a cui	1
cui jai	1
jai donee	1
donee la	1
la flor	1
de mon	1
mon cuer	1
cuer et	1
mamor un	1
clerc cortois	1
cortois jolif	1
jolif et	1
bon ai	1
ai de	1
mamor doné	1
doné le	1
don il	1
il est	1
est molt	1
molt biaus	1
biaus mes	1
mes sa	1
sa bontez	1
bontez vaut	1
vaut miex	1
miex assez	1
assez que	1
que sa	1
sa biautez	1
biautez sa	1
sa bonté	1
bonté ne	1
ne sa	1
sa cortoisie	1
ne sauroie	1
sauroie raconter	1
raconter mie	1
mie lautre	1
respont molt	1
molt me	1
me merveil	1
merveil ou	1
ou vos	1
vos avez	1
avez pris	1
pris tel	1
tel conseil	1
conseil je	1
je plaing	1
plaing molt	1
molt vostre	1
vostre cortoisie	1
cortoisie quant	1
quant a	1
a un	1
clerc estes	1
estes amie	1
amie quant	1
quant vostre	1
vostre amis	1
amis est	1
est au	1
au moustier	1
moustier torne	1
retorne cel	1
cel sautier	1
sautier torne	1
retorne cele	1
cele pel	1
pel por	1
por vos	1
vos ne	1
ne fet	1
fet autre	1
autre cembel	1
cembel mes	1
mes jai	1
jai ami	1
ami et	1
bel et	1
et gent	1
il vait	1
vait au	1
tornoiement et	1
et il	1
il abat	1
abat un	1
un chevalier	1
chevalier il	1
il me	1
me presente	1
presente le	1
le destrier	1
destrier chevalier	1
de molt	1
molt haut	1
haut pris	1
pris il	1
il ont	1
ont sor	1
sor tote	1
tote gent	1
gent le	1
le pris	1
le los	1
los et	1
et la	1
la seignorie	1
seignorie chetive	1
chetive quar	1
quar lai	1
lai ta	1
ta folie	1
folie por	1
por quaimes	1
quaimes tu	1
tu cel	1
cel clerc	1
clerc descole	1
descole cel	1
cel chetif	1
chetif cele	1
cele bische	1
bische fole	1
fole cel	1
cel bertaudé	1
bertaudé cel	1
cel haut	1
haut tondu	1
tondu blancheflor	1
blancheflor lui	1
lui a	1
a respondu	1
respondu ausi	1
ausi com	1
com par	1
grant felonie	1
felonie damoisele	1
damoisele cest	1
cest vilonie	1
vilonie quant	1
quant vous	1
vous le	1
le mien	1
mien ami	1
ami blasmez	1
blasmez mes	1
mes quant	1
quant le	1
le chevalier	1
chevalier amez	1
amez assez	1
assez plus	1
plus fole	1
fole estes	1
estes de	1
de moi	1
moi si	1
dirai reson	1
reson por	1
por qoi	1
qoi chevalier	1
molt lasche	1
lasche gent	1
il vont	1
vont au	1
tornoiement il	1
il nont	1
nont pas	1
pas du	1
du pain	1
pain a	1
a mangier	1
mangier se	1
se chascuns	1
chascuns ni	1
ni met	1
met son	1
son destrier	1
destrier ou	1
son escu	1
escu ou	1
son haubert	1
haubert je	1
je proverai	1
proverai tout	1
apert devant	1
devant toutes	1
genz du	1
du mont	1
mont que	1
sont doivent	1
doivent li	1
li clerc	1
clerc avoir	1
amie quar	1
quar plus	1
plus sevent	1
sevent de	1
cortoisie que	1
un denier	1
denier envers	1
envers clerc	1
clerc qui	1
qui damors	1
damors senvoise	1
senvoise florence	1
