Ngramme	Frequence
li sains	17
sains jorge	12
saint jorge	8
et de	7
li dist	6
ti deus	6
sans dote	6
en la	5
à grant	5
que il	5
le saint	5
si com	4
de sa	4
tos les	4
rien ne	4
sains dist	4
se que	4
de la	4
que li	4
ne puet	4
vie et	3
deu et	3
li fels	3
et qui	3
et les	3
jorge en	3
et deu	3
por deu	3
si li	3
lors dist	3
dist li	3
deus qui	3
en sa	3
lors fist	3
poi ne	3
veit forment	3
forment li	3
la dame	3
ton deu	3
grant joie	3
au ciel	3
qui tot	3
et si	3
ains que	3
que tu	3
sans faille	3
vos doint	3
le bien	2
dire et	2
de saint	2
fu de	2
et sans	2
sainte vie	2
les gens	2
gens de	2
fist venir	2
venir à	2
por nos	2
la cité	2
cité de	2
fels li	2
dist à	2
de son	2
à soi	2
por tos	2
por les	2
por la	2
les boeles	2
grant planté	2
paeles por	2
desronpre et	2
en militaine	2
mult grant	2
et vost	2
et sa	2
deu qui	2
mon deu	2
deu mon	2
quanque tu	2
tere et	2
et mon	2
mon regne	2
jorge dist	2
nest pas	2
pas estable	2
dist naies	2
de moi	2
mes deus	2
qui sont	2
se ti	2
de mes	2
de fer	2
i ot	2
tot le	2
son cors	2
quant il	2
fu sains	2
le fels	2
por son	2
la terre	2
del cors	2
seigna de	2
fels dire	2
dire par	2
par poi	2
ne crieve	2
crieve se	2
il veit	2
li grieve	2
à la	2
dist sire	2
est et	2
et ne	2
par quel	2
sil dist	2
dist deus	2
se dist	2
li miens	2
fist le	2
et fruit	2
quant tu	2
de ce	2
fist daciens	2
tot seit	2
tot maintenant	2
mult les	2
fist à	2
fors de	2
deu de	2
les ymages	2
del ciel	2
de ses	2
se ne	2
et en	2
le feu	2
fait au	2
alexandrie la	2
grant puissance	2
en deu	2
la corone	2
en bon	2
deu en	2
en cui	2
fist tot	2
et ta	2
regne et	2
de mort	2
mon cors	2
et mult	2
mult la	2
la mort	2
le cors	2
et dist	2
la fist	2
que fust	2
fust ocise	2
à delivre	2
por tei	2
la vie	2
devant le	2
sans plus	2
vers les	2
esperite jorge	2
que mors	2
et plus	2
grant peine	2
feu dinfer	2
si les	2
en paradis	2
que onques	2
jorge a	2
a grant	2
la boche	2
de ma	2
tos siaus	2
ses mains	2
qui por	2
et vos	2
incipit vita	1
vita beati	1
beati georgii	1
georgii militis	1
militis bel	1
bel gent	1
gent qui	1
qui venuz	1
venuz este	1
este ensemble	1
ensemble oïr	1
oïr le	1
bien si	1
com moi	1
moi semble	1
semble le	1
bien vos	1
vos sui	1
sui ci	1
ci venuz	1
venuz dire	1
jorge le	1
le martyre	1
martyre haus	1
haus hom	1
hom fu	1
de noble	1
noble lignage	1
lignage simples	1
simples pitos	1
pitos et	1
sans oltrage	1
oltrage de	1
de bones	1
bones mors	1
mors de	1
de sainte	1
et trop	1
trop pros	1
pros en	1
en chevalerie	1
chevalerie uns	1
uns enpereres	1
enpereres daciens	1
daciens qui	1
qui haet	1
haet deu	1
et crestiens	1
crestiens contre	1
contre nostre	1
nostre lei	1
lei estriveit	1
estriveit quant	1
quant li	1
li bon	1
bon sains	1
jorge viveit	1
viveit sil	1
sil daciens	1
daciens en	1
en tote	1
tote guise	1
guise voleit	1
voleit destruire	1
destruire sainte	1
sainte iglise	1
iglise vers	1
vers jesucrist	1
jesucrist vost	1
vost faire	1
faire la	1
la guerre	1
guerre si	1
si manda	1
manda les	1
sa terre	1
terre ses	1
ses barons	1
barons fist	1
à sei	1
sei por	1
nos destruire	1
destruire et	1
et notre	1
notre lei	1
lei en	1
de melitaine	1
melitaine vindrent	1
vindrent tos	1
tos mult	1
mult fu	1
de gent	1
gent plaine	1
plaine daciens	1
daciens li	1
li plains	1
plains dire	1
dire dist	1
à tos	1
tos seaus	1
seaus de	1
son enpire	1
enpire se	1
se nus	1
nus crestien	1
crestien puist	1
puist tenir	1
tenir a	1
a greve	1
greve mort	1
mort le	1
le ferai	1
ferai morir	1
morir escorchier	1
escorchier li	1
li ferai	1
ferai la	1
la teste	1
teste traire	1
traire les	1
les iaus	1
iaus à	1
grant moleste	1
moleste tos	1
tos séaus	1
séaus qui	1
qui torment	1
torment savoient	1
savoient et	1
qui gent	1
gent tormenté	1
tormenté avoient	1
avoient fist	1
soi et	1
et conduire	1
conduire por	1
les crestiens	1
crestiens destruire	1
destruire as	1
as os	1
os perceier	1
perceier fist	1
fist glaives	1
glaives faire	1
faire et	1
et tenailles	1
tenailles por	1
les dens	1
dens traire	1
traire et	1
et rasors	1
rasors por	1
por le	1
le cuir	1
cuir des	1
des chiefs	1
chiefs escorchier	1
escorchier fist	1
fist tormenz	1
tormenz et	1
et griefs	1
griefs por	1
la char	1
char frire	1
frire et	1
boeles fist	1
fist faire	1
faire à	1
planté paeles	1
les cors	1
cors desronpre	1
et destraire	1
destraire fist	1
fist une	1
une roé	1
roé trenchant	1
trenchant faire	1
faire de	1
de grief	1
grief torment	1
torment ot	1
ot mainte	1
mainte forge	1
forge en	1
militaine au	1
au tenz	1
tenz saint	1
en capadosse	1
capadosse ert	1
ert à	1
à estage	1
estage sains	1
jorge entre	1
entre son	1
son lignage	1
lignage dileuc	1
dileuc se	1
se mut	1
mut par	1
par verité	1
verité en	1
militaine la	1
cité là	1
là aporta	1
aporta mult	1
grant aver	1
aver et	1
vost la	1
la covine	1
covine saver	1
saver del	1
del parlement	1
parlement qui	1
qui deveit	1
deveit estre	1
estre devant	1
devant lenperéor	1
lenperéor le	1
le maistre	1
maistre mult	1
mult se	1
se merveila	1
merveila des	1
des genz	1
genz foles	1
foles qui	1
qui aoréent	1
aoréent les	1
les idoles	1
idoles des	1
des ymages	1
ymages faiséent	1
faiséent festes	1
festes et	1
et lor	1
lor sacrifiéent	1
sacrifiéent bestes	1
bestes et	1
deu despriseent	1
despriseent nostre	1
nostre pere	1
pere et	1
sa tant	1
tant gloriose	1
gloriose mere	1
mere li	1
sains tot	1
tot son	1
son aveir	1
aveir dona	1
dona por	1
qui li	1
li guerredona	1
guerredona dreit	1
dreit à	1
à lenperéor	1
lenperéor sentoche	1
sentoche sains	1
jorge si	1
dist de	1
de boche	1
boche rien	1
ne te	1
te dot	1
dot crestien	1
crestien sui	1
sui la	1
la mercideu	1
mercideu bastiés	1
bastiés sui	1
sui ne	1
ne naim	1
naim tes	1
tes ymages	1
ymages ne	1
ne crei	1
crei mais	1
mais jesucrist	1
jesucrist mon	1
mon rei	1
rei mult	1
mult ont	1
ont déable	1
déable deçéu	1
deçéu qui	1
qui es	1
es ymages	1
ymages ont	1
ont créu	1
créu aveugles	1
aveugles sont	1
sont mués	1
mués et	1
et sordes	1
sordes quanque	1
tu creis	1
creis ne	1
ne sont	1
sont que	1
que bordes	1
bordes je	1
je crei	1
crei deu	1
et pri	1
pri quil	1
quil mament	1
mament qui	1
qui conpassa	1
conpassa le	1
le firmament	1
firmament qui	1
qui fist	1
fist mer	1
mer et	1
et terre	1
terre comune	1
comune et	1
et steles	1
steles et	1
et soleil	1
soleil et	1
et lune	1
lune a	1
a ces	1
ces paroles	1
paroles sest	1
sest dreciés	1
dreciés vers	1
vers lui	1
lui daciens	1
daciens corrociés	1
corrociés jorge	1
jorge distil	1
distil mais	1
mais car	1
car me	1
me crei	1
crei fais	1
fais que	1
que sage	1
sage guerpis	1
guerpis ta	1
ta lei	1
lei ce	1
ce tu	1
tu vues	1
vues tere	1
et aveir	1
aveir dignité	1
dignité et	1
et puissance	1
puissance aveir	1
aveir après	1
après mei	1
mei auras	1
auras seignorie	1
seignorie et	1
regne en	1
en ta	1
ta baillie	1
baillie sains	1
dist fos	1
fos enpereres	1
enpereres tes	1
tes dignités	1
dignités sont	1
sont mult	1
mult ameres	1
ameres ta	1
ta puissance	1
puissance nest	1
estable ains	1
ains est	1
est vaine	1
vaine et	1
et escolorjable	1
escolorjable jorge	1
jorge ta	1
ta biauté	1
biauté mesmuet	1
mesmuet duel	1
duel aurai	1
aurai se	1
se morir	1
morir testuet	1
testuet li	1
naies duel	1
duel de	1
moi aince	1
aince de	1
de ta	1
ta vie	1
de toi	1
toi daciens	1
daciens ton	1
ton aage	1
aage deplore	1
deplore perdus	1
perdus es	1
es nés	1
nés fus	1
fus de	1
de pute	1
pute ore	1
ore lors	1
fels so	1
so est	1
est la	1
la pure	1
pure briement	1
briement moras	1
moras ge	1
ge le	1
le te	1
te jure	1
jure par	1
par mes	1
sont en	1
en mon	1
mon reine	1
reine agaba	1
agaba rache	1
rache et	1
et apoloine	1
apoloine essample	1
essample auront	1
auront mes	1
mes gens	1
gens par	1
par tei	1
tei verrai	1
verrai se	1
deus te	1
te delivre	1
delivre de	1
mes mains	1
mains et	1
et te	1
te fera	1
fera vivre	1
vivre par	1
par les	1
les cheviaus	1
cheviaus et	1
et par	1
par la	1
la gorje	1
gorje il	1
il fist	1
fist alors	1
alors trainer	1
trainer saint	1
la roé	1
roé le	1
le fistil	1
fistil metre	1
metre dont	1
dont nos	1
nos parle	1
parle sa	1
sa vis	1
vis la	1
la letre	1
letre la	1
la roe	1
roe esteit	1
esteit de	1
fer et	1
et dure	1
dure trenchant	1
trenchant partot	1
partot à	1
à desmesure	1
desmesure broches	1
broches i	1
ot de	1
fer agues	1
agues et	1
et serres	1
serres forment	1
forment esmolues	1
esmolues enmi	1
enmi avoit	1
avoit glaives	1
glaives dreciés	1
dreciés dunt	1
dunt saint	1
jorge fu	1
fu mult	1
mult bleciés	1
bleciés tot	1
le destrencherent	1
destrencherent les	1
les sies	1
sies de	1
cors firent	1
firent dix	1
dix parties	1
parties daciens	1
daciens comença	1
comença à	1
à rire	1
rire quant	1
il vit	1
vit du	1
du saint	1
saint le	1
le martire	1
martire mors	1
mors fu	1
jorge sans	1
sans respit	1
respit le	1
li cria	1
cria en	1
en despit	1
despit jorge	1
jorge bien	1
bien es	1
es por	1
por fol	1
fol tenus	1
tenus o	1
o est	1
est ti	1
deus quest	1
quest devenus	1
devenus deus	1
deus fist	1
fist ici	1
ici por	1
son martir	1
martir la	1
terre moveir	1
moveir et	1
et partir	1
partir au	1
au leu	1
leu vint	1
vint jesucrist	1
jesucrist sans	1
dote aces	1
aces i	1
ot angles	1
angles en	1
sa rote	1
rote ensemble	1
ensemble fist	1
fist les	1
les pieces	1
pieces estre	1
estre del	1
cors et	1
et seigna	1
sa destre	1
destre si	1
com tesmoigne	1
tesmoigne nostre	1
nostre livre	1
livre lors	1
fist deus	1
deus saint	1
jorge revivre	1
revivre li	1
sains hom	1
hom secria	1
secria forment	1
forment daciens	1
daciens ou	1
ou sont	1
sont ti	1
ti torment	1
torment tes	1
tes grieves	1
grieves peines	1
peines et	1
et tes	1
tes manasses	1
manasses je	1
je ne	1
ne pris	1
pris rien	1
rien quanque	1
tu fasses	1
fasses le	1
grieve sains	1
jorge senclot	1
senclot sens	1
sens raison	1
raison ches	1
ches une	1
une feme	1
feme en	1
sa maison	1
maison li	1
sains à	1
la veve	1
veve demande	1
demande del	1
del pain	1
pain ou	1
ou de	1
de quelque	1
quelque viande	1
viande ains	1
ains la	1
la povre	1
povre li	1
dist sains	1
jorge je	1
je nai	1
nai pain	1
pain de	1
de forment	1
forment ne	1
ne dorge	1
dorge cui	1
cui creis	1
creis dist	1
dist il	1
il el	1
el dist	1
dist ge	1
ge crei	1
crei apolin	1
apolin cui	1
cui ge	1
ge creire	1
creire dei	1
dei feme	1
feme sen	1
sen jesucrist	1
jesucrist créusses	1
créusses pain	1
pain et	1
et autre	1
autre bien	1
bien éusses	1
éusses il	1
il esgardent	1
esgardent si	1
si virent	1
virent mise	1
mise près	1
près déaus	1
déaus table	1
table à	1
à lor	1
lor devise	1
devise chargée	1
chargée virent	1
virent la	1
la dicte	1
dicte table	1
table de	1
la viande	1
viande esperitable	1
esperitable que	1
li angele	1
angele orent	1
orent aportée	1
aportée la	1
dame fu	1
fu reconfortée	1
reconfortée puis	1
puis dist	1
sire je	1
je sui	1
sui dolente	1
dolente de	1
de mon	1
mon fis	1
