Source;Target;Weight;jaccard;Type
BenTroieC_1partial;BenTroieC_4partial;0.3276;0.0323;Undirected
BenTroieC_1partial;Cliges;0.3167;0.0465;Undirected
BenTroieC_1partial;ThebesC;0.5079;0.0730;Undirected
Yvain;MeraugisF;0.4390;0.0554;Undirected
Yvain;DancusM;0.3456;0.0164;Undirected
Yvain;AlexisOctP;0.3365;0.0237;Undirected
Yvain;PercevalKu;0.5414;0.0613;Undirected
Yvain;Cliges;0.5491;0.0596;Undirected
Yvain;FillePonth1B1;0.3819;0.0372;Undirected
Yvain;ThebesC;0.3985;0.0431;Undirected
Yvain;LancJ;0.5288;0.0635;Undirected
Yvain;ErecF;0.4962;0.0567;Undirected
Yvain;CleomHas;0.5361;0.0626;Undirected
Yvain;AlexisPRI;0.3179;0.0347;Undirected
Yvain;OmbreB2;0.3526;0.0340;Undirected
MeraugisF;AlexisOctP;0.3203;0.0384;Undirected
MeraugisF;PercevalKu;0.5117;0.0671;Undirected
MeraugisF;Cliges;0.5351;0.0663;Undirected
MeraugisF;ThebesC;0.3450;0.0465;Undirected
MeraugisF;LancJ;0.5573;0.0704;Undirected
MeraugisF;ErecF;0.4976;0.0666;Undirected
MeraugisF;CleomHas;0.3890;0.0387;Undirected
MeraugisF;OmbreB2;0.3244;0.0469;Undirected
DancusM;PercevalKu;0.3578;0.0155;Undirected
DancusM;Cliges;0.3035;0.0151;Undirected
DancusM;LancJ;0.3296;0.0170;Undirected
DancusM;CleomHas;0.3077;0.0104;Undirected
AlexisOctP;PercevalKu;0.3745;0.0255;Undirected
AlexisOctP;Cliges;0.3920;0.0291;Undirected
AlexisOctP;ThebesC;0.3111;0.0224;Undirected
AlexisOctP;LancJ;0.3779;0.0285;Undirected
AlexisOctP;ErecF;0.3699;0.0267;Undirected
AlexisOctP;CleomHas;0.3052;0.0147;Undirected
PercevalKu;Cliges;0.6847;0.1010;Undirected
PercevalKu;ThebesC;0.3971;0.0496;Undirected
PercevalKu;LancJ;0.7465;0.1145;Undirected
PercevalKu;ErecF;0.6585;0.1012;Undirected
PercevalKu;CleomHas;0.4863;0.0475;Undirected
Cliges;ThebesC;0.4366;0.0504;Undirected
Cliges;LancJ;0.7119;0.1066;Undirected
Cliges;ErecF;0.6814;0.0970;Undirected
Cliges;CleomHas;0.5034;0.0449;Undirected
Cliges;OmbreB2;0.3250;0.0327;Undirected
ThebesC;LancJ;0.3980;0.0487;Undirected
ThebesC;ErecF;0.3934;0.0509;Undirected
ThebesC;CleomHas;0.3468;0.0387;Undirected
LancJ;ErecF;0.6902;0.1023;Undirected
LancJ;CleomHas;0.5051;0.0469;Undirected
LancJ;OmbreB2;0.3150;0.0325;Undirected
ErecF;CleomHas;0.4492;0.0448;Undirected
ErecF;OmbreB2;0.3279;0.0312;Undirected
