Source;Target;Weight;jaccard;Type
BenTroieC_1partial;SGeorgDeG;0.8072;0.3854;Undirected
BenTroieC_1partial;AlexisPQ;0.8207;0.4857;Undirected
BenTroieC_1partial;BenTroieC_4partial;0.9586;0.5355;Undirected
BenTroieC_1partial;Yvain;0.8498;0.5669;Undirected
BenTroieC_1partial;MeraugisF;0.8809;0.6069;Undirected
BenTroieC_1partial;ChaceP;0.7628;0.3959;Undirected
BenTroieC_1partial;DancusM;0.7180;0.4521;Undirected
BenTroieC_1partial;AlexisOctP;0.8311;0.5136;Undirected
BenTroieC_1partial;PercevalKu;0.8139;0.6234;Undirected
BenTroieC_1partial;AlexisP13;0.8237;0.4727;Undirected
BenTroieC_1partial;Cliges;0.8553;0.6262;Undirected
BenTroieC_1partial;JugAmD;0.8582;0.4051;Undirected
BenTroieC_1partial;AlexisP11;0.9023;0.4367;Undirected
BenTroieC_1partial;JAvesnesFilleB;0.7647;0.4556;Undirected
BenTroieC_1partial;FillePonth1B1;0.7606;0.4734;Undirected
BenTroieC_1partial;SGeorgVosL;0.8055;0.3921;Undirected
BenTroieC_1partial;ThebesC;0.9421;0.6586;Undirected
BenTroieC_1partial;AigarB;0.7877;0.3966;Undirected
BenTroieC_1partial;UnicornecW;0.8203;0.3308;Undirected
BenTroieC_1partial;LancJ;0.8291;0.6180;Undirected
BenTroieC_1partial;ErecF;0.8472;0.6433;Undirected
BenTroieC_1partial;CleomHas;0.8379;0.5622;Undirected
BenTroieC_1partial;AlexisPRI;0.8596;0.5058;Undirected
BenTroieC_1partial;OmbreB2;0.8367;0.4880;Undirected
SGeorgDeG;AlexisPQ;0.8763;0.5416;Undirected
SGeorgDeG;BenTroieC_4partial;0.7933;0.4572;Undirected
SGeorgDeG;Yvain;0.8533;0.4425;Undirected
SGeorgDeG;MeraugisF;0.8297;0.4557;Undirected
SGeorgDeG;ChaceP;0.7843;0.4850;Undirected
SGeorgDeG;DancusM;0.7284;0.4727;Undirected
SGeorgDeG;AlexisOctP;0.8006;0.4962;Undirected
SGeorgDeG;PercevalKu;0.8003;0.4012;Undirected
SGeorgDeG;AlexisP13;0.7768;0.4651;Undirected
SGeorgDeG;Cliges;0.8219;0.4269;Undirected
SGeorgDeG;JugAmD;0.8167;0.5037;Undirected
SGeorgDeG;AlexisP11;0.7919;0.4630;Undirected
SGeorgDeG;JAvesnesFilleB;0.8337;0.4843;Undirected
SGeorgDeG;FillePonth1B1;0.7790;0.4286;Undirected
SGeorgDeG;SGeorgVosL;0.8186;0.4894;Undirected
SGeorgDeG;ThebesC;0.8308;0.3662;Undirected
SGeorgDeG;AigarB;0.6485;0.3991;Undirected
SGeorgDeG;UnicornecW;0.8242;0.4424;Undirected
SGeorgDeG;LancJ;0.8059;0.4143;Undirected
SGeorgDeG;ErecF;0.8113;0.4098;Undirected
SGeorgDeG;CleomHas;0.8603;0.3796;Undirected
SGeorgDeG;AlexisPRI;0.8595;0.4859;Undirected
SGeorgDeG;OmbreB2;0.8110;0.4992;Undirected
AlexisPQ;BenTroieC_4partial;0.7939;0.4928;Undirected
AlexisPQ;Yvain;0.8813;0.5417;Undirected
AlexisPQ;MeraugisF;0.8526;0.5303;Undirected
AlexisPQ;ChaceP;0.8029;0.4936;Undirected
AlexisPQ;DancusM;0.7563;0.4960;Undirected
AlexisPQ;AlexisOctP;0.8306;0.5824;Undirected
AlexisPQ;PercevalKu;0.8131;0.4955;Undirected
AlexisPQ;AlexisP13;0.8310;0.5340;Undirected
AlexisPQ;Cliges;0.8336;0.5232;Undirected
AlexisPQ;JugAmD;0.8445;0.4893;Undirected
AlexisPQ;AlexisP11;0.8322;0.4808;Undirected
AlexisPQ;JAvesnesFilleB;0.8684;0.5202;Undirected
AlexisPQ;FillePonth1B1;0.8350;0.4991;Undirected
AlexisPQ;SGeorgVosL;0.7966;0.4711;Undirected
AlexisPQ;ThebesC;0.8537;0.4720;Undirected
AlexisPQ;AigarB;0.6536;0.4179;Undirected
AlexisPQ;UnicornecW;0.8421;0.4169;Undirected
AlexisPQ;LancJ;0.8215;0.5136;Undirected
AlexisPQ;ErecF;0.8403;0.5070;Undirected
AlexisPQ;CleomHas;0.8858;0.4797;Undirected
AlexisPQ;AlexisPRI;0.9126;0.5725;Undirected
AlexisPQ;OmbreB2;0.8574;0.5476;Undirected
BenTroieC_4partial;Yvain;0.8214;0.4604;Undirected
BenTroieC_4partial;MeraugisF;0.8656;0.5269;Undirected
BenTroieC_4partial;ChaceP;0.7591;0.4694;Undirected
BenTroieC_4partial;DancusM;0.7033;0.4882;Undirected
BenTroieC_4partial;AlexisOctP;0.7915;0.5149;Undirected
BenTroieC_4partial;PercevalKu;0.7921;0.4828;Undirected
BenTroieC_4partial;AlexisP13;0.8093;0.4821;Undirected
BenTroieC_4partial;Cliges;0.8368;0.5093;Undirected
BenTroieC_4partial;JugAmD;0.8573;0.4901;Undirected
BenTroieC_4partial;AlexisP11;0.8798;0.5040;Undirected
BenTroieC_4partial;JAvesnesFilleB;0.7348;0.4279;Undirected
BenTroieC_4partial;FillePonth1B1;0.7356;0.4531;Undirected
BenTroieC_4partial;SGeorgVosL;0.7902;0.4577;Undirected
BenTroieC_4partial;ThebesC;0.9167;0.4854;Undirected
BenTroieC_4partial;AigarB;0.7792;0.4440;Undirected
BenTroieC_4partial;UnicornecW;0.8132;0.4110;Undirected
BenTroieC_4partial;LancJ;0.8103;0.4875;Undirected
BenTroieC_4partial;ErecF;0.8274;0.5101;Undirected
BenTroieC_4partial;CleomHas;0.8163;0.4180;Undirected
BenTroieC_4partial;AlexisPRI;0.8428;0.4914;Undirected
BenTroieC_4partial;OmbreB2;0.7956;0.5231;Undirected
Yvain;MeraugisF;0.9225;0.5993;Undirected
Yvain;ChaceP;0.8796;0.4196;Undirected
Yvain;DancusM;0.8342;0.4734;Undirected
Yvain;AlexisOctP;0.8763;0.5121;Undirected
Yvain;PercevalKu;0.9105;0.6351;Undirected
Yvain;AlexisP13;0.8540;0.4884;Undirected
Yvain;Cliges;0.9162;0.6506;Undirected
Yvain;JugAmD;0.8835;0.4342;Undirected
Yvain;AlexisP11;0.8327;0.4182;Undirected
Yvain;JAvesnesFilleB;0.8287;0.5204;Undirected
Yvain;FillePonth1B1;0.8683;0.5049;Undirected
Yvain;SGeorgVosL;0.8278;0.3983;Undirected
Yvain;ThebesC;0.8918;0.5696;Undirected
Yvain;AigarB;0.6782;0.4021;Undirected
Yvain;UnicornecW;0.9009;0.3548;Undirected
Yvain;LancJ;0.9097;0.6395;Undirected
Yvain;ErecF;0.9063;0.6267;Undirected
Yvain;CleomHas;0.9364;0.5975;Undirected
Yvain;AlexisPRI;0.9127;0.5470;Undirected
Yvain;OmbreB2;0.9165;0.5092;Undirected
MeraugisF;ChaceP;0.8642;0.4687;Undirected
MeraugisF;DancusM;0.8210;0.5061;Undirected
MeraugisF;AlexisOctP;0.8951;0.5671;Undirected
MeraugisF;PercevalKu;0.9295;0.6292;Undirected
MeraugisF;AlexisP13;0.8323;0.5120;Undirected
MeraugisF;Cliges;0.9432;0.6598;Undirected
MeraugisF;JugAmD;0.8935;0.4916;Undirected
MeraugisF;AlexisP11;0.8761;0.4809;Undirected
MeraugisF;JAvesnesFilleB;0.8104;0.4860;Undirected
MeraugisF;FillePonth1B1;0.8192;0.5118;Undirected
MeraugisF;SGeorgVosL;0.8340;0.4534;Undirected
MeraugisF;ThebesC;0.9129;0.5841;Undirected
MeraugisF;AigarB;0.7116;0.4305;Undirected
MeraugisF;UnicornecW;0.8669;0.3893;Undirected
MeraugisF;LancJ;0.9418;0.6397;Undirected
MeraugisF;ErecF;0.9282;0.6663;Undirected
MeraugisF;CleomHas;0.9044;0.5428;Undirected
MeraugisF;AlexisPRI;0.8849;0.5565;Undirected
MeraugisF;OmbreB2;0.9245;0.5790;Undirected
ChaceP;DancusM;0.8259;0.5000;Undirected
ChaceP;AlexisOctP;0.8294;0.5161;Undirected
ChaceP;PercevalKu;0.8562;0.4087;Undirected
ChaceP;AlexisP13;0.8139;0.4692;Undirected
ChaceP;Cliges;0.8564;0.4347;Undirected
ChaceP;JugAmD;0.8249;0.5301;Undirected
ChaceP;AlexisP11;0.7658;0.4687;Undirected
ChaceP;JAvesnesFilleB;0.7666;0.4186;Undirected
ChaceP;FillePonth1B1;0.7843;0.4384;Undirected
ChaceP;SGeorgVosL;0.7796;0.4938;Undirected
ChaceP;ThebesC;0.8298;0.3751;Undirected
