Id;Label;genre;auteur;date
AigarB;AigarB;Epique;Anonyme;XIIe siècle
AlexisOctP;AlexisOctP;Hagiographie;Anonyme;XIIIe siècle
AlexisP11;AlexisP11;Hagiographie;Anonyme;XIe siècle
AlexisP13;AlexisP13;Hagiographie;Anonyme;XIIIe siècle
AlexisPQ;AlexisPQ;Hagiographie;Anonyme;XIVe siècle
AlexisPRI;AlexisPRI;Hagiographie;Anonyme;XIIe siècle
BenTroieC_1partial;BenTroieC_1partial;Roman courtois;Benoît de Saint-Maure;XIIe siècle
BenTroieC_4partial;BenTroieC_4partial;Roman courtois;Benoît de Saint-Maure;XIIe siècle
ChaceP;ChaceP;Didactique;Anonyme;XIIIe siècle
CleomHas;CleomHas;Roman courtois;Adenet le Roi;XIIIe siècle
Cliges;Cliges;Roman courtois;Chrétien de Troyes;XIIe siècle
DancusM;DancusM;Didactique;Anonyme;XIIIe siècle
ErecF;ErecF;Roman courtois;Chrétien de Troyes;XIIe siècle
FillePonth1B1;FillePonth1B1;Prose;Anonyme;XIIIe siècle
JAvesnesFilleB;JAvesnesFilleB;Prose;Anonyme;XVe siècle
JugAmD;JugAmD;Jugement d'amour;Anonyme;XIIe siècle
LancJ;LancJ;Roman courtois;Chrétien de Troyes;XIIe siècle
MeraugisF;MeraugisF;Roman courtois;Raoul de Houdenc;XIIIe siècle
OmbreB2;OmbreB2;Roman courtois;Jean Renart;XIIIe siècle
PercevalKu;PercevalKu;Roman courtois;Chrétien de Troyes;XIIe siècle
SGeorgDeG;SGeorgDeG;Hagiographie;Anonyme;XIVe siècle
SGeorgVosL;SGeorgVosL;Hagiographie;Anonyme;XIIIe siècle
ThebesC;ThebesC;Antique;Anonyme;XIIe siècle
UnicornecW;UnicornecW;Didactique;Jacques de Vitry;XIIIe siècle
Yvain;Yvain;Roman courtois;Chrétien de Troyes;XIIe siècle
