ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
 ab	1	12	20	3	1	0	4	25	3	21	3	5	29	15	39	4	2	36	0	3	15	9	2	1	17
 ac	2	27	10	4	6	7	2	35	7	37	6	15	60	31	62	12	3	94	2	1	59	19	10	0	57
 ad	1	23	4	3	4	3	3	14	4	8	2	5	108	22	41	2	1	70	0	8	16	2	13	0	18
 af	1	25	2	4	0	9	5	24	5	22	0	4	17	21	45	6	4	79	1	6	18	9	1	0	30
 ai	2	55	19	3	12	13	3	57	7	26	3	38	47	50	72	11	5	132	7	2	69	19	5	5	38
 am	32	79	4	7	3	42	7	156	38	102	6	58	55	84	121	26	26	305	7	24	104	46	19	4	140
 an	3	280	21	6	15	23	2	362	38	354	3	25	19	66	46	20	24	129	3	5	49	16	16	4	264
 ap	6	91	5	16	33	12	3	114	35	120	12	30	67	84	117	35	15	218	9	10	91	105	18	9	110
 ar	1	74	20	2	15	5	4	105	42	76	14	22	71	75	154	26	13	235	5	8	110	21	4	7	67
 as	2	28	10	6	2	5	2	70	12	45	5	30	59	43	52	14	9	127	1	7	46	11	6	1	64
 at	3	47	2	3	2	5	3	64	6	83	7	20	30	54	47	7	7	70	1	11	29	36	28	2	61
 au	3	43	18	19	7	14	7	40	11	50	5	16	169	29	38	33	9	161	3	12	56	44	0	5	39
 av	2	115	3	8	6	11	1	179	12	94	13	77	15	96	209	26	5	267	1	34	243	106	26	8	94
 ba	4	44	12	2	14	5	3	69	27	54	3	19	56	43	166	15	12	114	1	4	71	29	7	3	58
 be	4	53	20	4	7	12	1	124	3	99	6	48	58	44	68	17	9	161	3	15	106	21	14	2	45
 bi	4	30	1	3	0	9	6	76	22	49	2	2	17	23	11	13	15	95	2	6	14	34	0	1	34
 bl	3	23	13	1	7	4	2	31	4	65	1	5	4	20	46	8	1	46	1	0	30	4	5	1	28
 bo	5	52	21	8	18	3	1	74	36	49	3	26	36	77	80	15	10	87	4	13	59	52	15	9	56
 br	1	24	8	7	5	2	4	32	5	45	7	12	36	27	89	3	4	58	2	1	37	11	2	3	36
 ce	5	50	12	14	5	8	3	76	2	50	10	23	54	9	147	16	16	99	3	5	77	23	10	2	65
 ch	5	185	4	42	53	21	1	280	100	243	11	96	161	316	353	1	65	344	15	30	185	46	25	11	164
 cl	11	15	7	5	3	3	2	39	10	29	2	11	27	30	31	6	10	191	1	2	24	4	4	1	90
 co	28	371	62	37	41	30	22	434	105	452	51	182	386	359	629	106	75	799	35	30	431	200	53	11	409
 cr	3	66	7	2	4	7	2	80	21	46	7	39	55	64	147	23	41	100	24	11	66	57	12	28	70
 cu	4	80	1	4	33	10	0	77	26	63	4	14	26	49	93	6	13	140	0	5	70	23	8	5	86
 da	3	28	7	1	6	3	2	33	11	21	4	18	57	18	124	26	0	38	5	0	51	12	8	5	15
 de	19	430	32	21	24	51	14	494	83	376	50	166	335	349	606	118	95	846	26	71	408	142	97	68	383
 di	8	64	7	10	12	14	2	94	80	68	13	49	83	85	101	63	13	269	11	3	92	91	5	6	56
 do	3	146	17	21	48	18	6	192	68	145	9	63	127	123	231	47	45	331	10	24	140	91	45	19	176
 du	1	44	7	2	1	5	1	61	13	49	6	29	62	58	152	25	13	158	0	11	79	20	13	4	70
 el	2	15	21	0	4	1	0	20	0	4	8	6	1	12	6	3	0	52	0	0	1	4	6	0	1
 em	2	1	1	5	3	5	3	2	12	0	3	6	16	46	36	24	6	58	10	2	32	12	10	0	45
 en	11	110	29	16	12	32	11	111	96	96	24	120	206	229	361	91	70	651	19	47	278	160	48	20	123
 er	1	18	23	2	1	13	2	31	15	78	4	31	1	13	69	12	4	335	1	8	122	7	9	1	14
 es	13	276	46	18	20	32	10	315	88	346	34	145	249	250	633	88	52	586	8	49	387	81	38	26	330
 eu	1	0	2	3	0	3	0	0	7	5	4	5	55	11	53	18	17	11	0	5	45	13	4	1	0
 eü	2	28	0	0	0	6	0	54	0	27	0	4	0	44	14	0	2	94	0	0	28	16	0	0	30
 fa	3	55	12	14	61	13	9	90	13	110	5	23	141	93	169	20	18	209	7	17	134	53	7	16	81
 fe	8	188	18	6	11	38	2	222	12	163	10	78	62	96	255	17	24	205	7	12	145	43	11	18	157
 fi	5	62	13	1	11	4	5	50	37	93	9	24	100	57	179	32	33	166	8	17	104	119	13	3	70
 fl	9	6	2	2	0	1	0	11	4	4	4	4	5	8	34	7	1	24	0	2	15	4	0	0	16
 fo	6	75	20	4	5	11	2	115	31	81	4	38	48	79	176	13	20	115	8	8	78	67	5	17	77
 fr	1	28	9	8	5	1	4	50	15	66	4	8	29	42	143	4	8	51	3	7	47	18	7	5	33
 ga	7	99	11	2	11	7	6	238	1	58	1	23	30	85	26	32	15	142	3	9	6	20	0	1	74
 ge	2	69	6	1	11	14	3	203	8	8	7	18	25	34	64	12	11	77	14	6	43	7	11	6	41
 gi	3	25	0	2	9	2	1	24	14	19	1	17	1	12	15	6	6	28	0	0	8	12	7	0	16
 gl	1	2	1	0	0	0	1	7	10	6	0	2	4	4	9	10	0	2	1	6	7	4	3	4	6
 gr	3	77	17	5	27	5	0	95	11	77	21	21	120	55	195	14	9	147	2	7	184	22	12	8	91
