Texte A	Texte B	Cosinus	Jaccard
Cliges	Yvain	 0.9162	 0.6506
Cliges	AlexisP11	 0.8567	 0.4642
Cliges	ThebesC	 0.9078	 0.6214
Cliges	AlexisPRI	 0.8754	 0.5424
Cliges	FillePonth1B1	 0.8213	 0.5037
Cliges	AlexisP13	 0.8396	 0.4969
Cliges	BenTroieC_1partial	 0.8553	 0.6262
Cliges	ChaceP	 0.8564	 0.4347
Cliges	AlexisOctP	 0.9082	 0.5498
Cliges	SGeorgDeG	 0.8219	 0.4269
Cliges	MeraugisF	 0.9432	 0.6598
Cliges	SGeorgVosL	 0.8366	 0.4256
Cliges	AigarB	 0.7024	 0.4284
Cliges	LancJ	 0.9797	 0.7295
Cliges	PercevalKu	 0.9698	 0.7244
Cliges	CleomHas	 0.8879	 0.5737
Cliges	BenTroieC_4partial	 0.8368	 0.5093
Cliges	ErecF	 0.9732	 0.7031
Cliges	DancusM	 0.8513	 0.4973
Cliges	JAvesnesFilleB	 0.8055	 0.4889
Cliges	JugAmD	 0.8812	 0.4554
Cliges	OmbreB2	 0.9020	 0.5428
Cliges	UnicornecW	 0.8740	 0.3638
Cliges	AlexisPQ	 0.8336	 0.5232
Yvain	AlexisP11	 0.8327	 0.4182
Yvain	ThebesC	 0.8918	 0.5696
Yvain	AlexisPRI	 0.9127	 0.5470
Yvain	FillePonth1B1	 0.8683	 0.5049
Yvain	AlexisP13	 0.8540	 0.4884
Yvain	BenTroieC_1partial	 0.8498	 0.5669
Yvain	ChaceP	 0.8796	 0.4196
Yvain	AlexisOctP	 0.8763	 0.5121
Yvain	SGeorgDeG	 0.8533	 0.4425
Yvain	MeraugisF	 0.9225	 0.5993
Yvain	SGeorgVosL	 0.8278	 0.3983
Yvain	AigarB	 0.6782	 0.4021
Yvain	LancJ	 0.9097	 0.6395
Yvain	PercevalKu	 0.9105	 0.6351
Yvain	CleomHas	 0.9364	 0.5975
Yvain	BenTroieC_4partial	 0.8214	 0.4604
Yvain	ErecF	 0.9063	 0.6267
Yvain	DancusM	 0.8342	 0.4734
Yvain	JAvesnesFilleB	 0.8287	 0.5204
Yvain	JugAmD	 0.8835	 0.4342
Yvain	OmbreB2	 0.9165	 0.5092
Yvain	UnicornecW	 0.9009	 0.3548
Yvain	AlexisPQ	 0.8813	 0.5417
AlexisP11	ThebesC	 0.9029	 0.4142
AlexisP11	AlexisPRI	 0.8901	 0.5224
AlexisP11	FillePonth1B1	 0.7796	 0.4311
AlexisP11	AlexisP13	 0.8480	 0.5106
AlexisP11	BenTroieC_1partial	 0.9023	 0.4367
AlexisP11	ChaceP	 0.7658	 0.4687
AlexisP11	AlexisOctP	 0.8409	 0.5182
AlexisP11	SGeorgDeG	 0.7919	 0.4630
AlexisP11	MeraugisF	 0.8761	 0.4809
AlexisP11	SGeorgVosL	 0.8136	 0.4642
AlexisP11	AigarB	 0.7403	 0.4743
AlexisP11	LancJ	 0.8396	 0.4441
AlexisP11	PercevalKu	 0.8171	 0.4357
AlexisP11	CleomHas	 0.8254	 0.3696
