Texte A	Texte B	Cosinus	Jaccard
Cliges	Yvain	 0.9163	 0.6520
Cliges	AlexisP11	 0.8569	 0.4664
Cliges	ThebesC	 0.9075	 0.6220
Cliges	AlexisPRI	 0.8764	 0.5431
Cliges	FillePonth1B1	 0.8228	 0.5082
Cliges	AlexisP13	 0.8409	 0.4970
Cliges	BenTroieC_1partial	 0.8548	 0.6272
Cliges	ChaceP	 0.8574	 0.4379
Cliges	AlexisOctP	 0.9083	 0.5542
Cliges	SGeorgDeG	 0.8235	 0.4298
Cliges	MeraugisF	 0.9434	 0.6609
Cliges	SGeorgVosL	 0.8387	 0.4303
Cliges	AigarB	 0.7036	 0.4305
Cliges	LancJ	 0.9798	 0.7300
Cliges	PercevalKu	 0.9698	 0.7248
Cliges	CleomHas	 0.8872	 0.5735
Cliges	BenTroieC_4partial	 0.8374	 0.5113
Cliges	ErecF	 0.9733	 0.7037
Cliges	DancusM	 0.8507	 0.4978
Cliges	JAvesnesFilleB	 0.8090	 0.5068
Cliges	JugAmD	 0.8818	 0.4610
Cliges	OmbreB2	 0.9012	 0.5485
Cliges	UnicornecW	 0.8763	 0.3686
Cliges	AlexisPQ	 0.8339	 0.5286
Yvain	AlexisP11	 0.8335	 0.4198
Yvain	ThebesC	 0.8918	 0.5699
Yvain	AlexisPRI	 0.9133	 0.5461
Yvain	FillePonth1B1	 0.8697	 0.5146
Yvain	AlexisP13	 0.8545	 0.4887
Yvain	BenTroieC_1partial	 0.8503	 0.5675
Yvain	ChaceP	 0.8814	 0.4236
Yvain	AlexisOctP	 0.8777	 0.5151
Yvain	SGeorgDeG	 0.8541	 0.4459
Yvain	MeraugisF	 0.9233	 0.5996
Yvain	SGeorgVosL	 0.8311	 0.4012
Yvain	AigarB	 0.6812	 0.4039
Yvain	LancJ	 0.9096	 0.6396
Yvain	PercevalKu	 0.9102	 0.6369
Yvain	CleomHas	 0.9362	 0.5973
Yvain	BenTroieC_4partial	 0.8236	 0.4611
Yvain	ErecF	 0.9061	 0.6268
Yvain	DancusM	 0.8329	 0.4736
Yvain	JAvesnesFilleB	 0.8358	 0.5407
Yvain	JugAmD	 0.8858	 0.4373
Yvain	OmbreB2	 0.9174	 0.5142
Yvain	UnicornecW	 0.9024	 0.3596
Yvain	AlexisPQ	 0.8825	 0.5428
AlexisP11	ThebesC	 0.9036	 0.4162
AlexisP11	AlexisPRI	 0.8911	 0.5249
AlexisP11	FillePonth1B1	 0.7801	 0.4197
AlexisP11	AlexisP13	 0.8483	 0.5118
AlexisP11	BenTroieC_1partial	 0.9028	 0.4388
AlexisP11	ChaceP	 0.7682	 0.4717
AlexisP11	AlexisOctP	 0.8412	 0.5210
AlexisP11	SGeorgDeG	 0.7930	 0.4653
AlexisP11	MeraugisF	 0.8768	 0.4826
AlexisP11	SGeorgVosL	 0.8186	 0.4696
AlexisP11	AigarB	 0.7421	 0.4754
AlexisP11	LancJ	 0.8402	 0.4465
AlexisP11	PercevalKu	 0.8174	 0.4382
AlexisP11	CleomHas	 0.8257	 0.3700
AlexisP11	BenTroieC_4partial	 0.8805	 0.5062
AlexisP11	ErecF	 0.8316	 0.4457
AlexisP11	DancusM	 0.7488	 0.4858
AlexisP11	JAvesnesFilleB	 0.7731	 0.4073
AlexisP11	JugAmD	 0.8388	 0.5015
AlexisP11	OmbreB2	 0.8323	 0.4961
AlexisP11	UnicornecW	 0.8248	 0.4349
AlexisP11	AlexisPQ	 0.8329	 0.4792
ThebesC	AlexisPRI	 0.8894	 0.5120
ThebesC	FillePonth1B1	 0.8253	 0.4765
ThebesC	AlexisP13	 0.8723	 0.4717
ThebesC	BenTroieC_1partial	 0.9425	 0.6594
ThebesC	ChaceP	 0.8322	 0.3780
ThebesC	AlexisOctP	 0.9047	 0.5067
ThebesC	SGeorgDeG	 0.8321	 0.3681
ThebesC	MeraugisF	 0.9131	 0.5848
ThebesC	SGeorgVosL	 0.8560	 0.3812
ThebesC	AigarB	 0.7588	 0.3873
ThebesC	LancJ	 0.8881	 0.6199
ThebesC	PercevalKu	 0.8740	 0.6174
ThebesC	CleomHas	 0.8728	 0.5623
ThebesC	BenTroieC_4partial	 0.9183	 0.4868
ThebesC	ErecF	 0.8947	 0.6496
ThebesC	DancusM	 0.8085	 0.4362
ThebesC	JAvesnesFilleB	 0.8148	 0.4791
ThebesC	JugAmD	 0.8969	 0.3894
ThebesC	OmbreB2	 0.8625	 0.4685
ThebesC	UnicornecW	 0.8599	 0.3126
ThebesC	AlexisPQ	 0.8551	 0.4754
AlexisPRI	FillePonth1B1	 0.8732	 0.5414
AlexisPRI	AlexisP13	 0.8860	 0.5988
AlexisPRI	BenTroieC_1partial	 0.8601	 0.5069
AlexisPRI	ChaceP	 0.8374	 0.4967
AlexisPRI	AlexisOctP	 0.8532	 0.5847
AlexisPRI	SGeorgDeG	 0.8611	 0.4868
AlexisPRI	MeraugisF	 0.8859	 0.5568
AlexisPRI	SGeorgVosL	 0.8480	 0.4988
AlexisPRI	AigarB	 0.7292	 0.4537
AlexisPRI	LancJ	 0.8578	 0.5329
AlexisPRI	PercevalKu	 0.8491	 0.5223
